class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-16.768845,-3.274047,1.3540976,3.812107,0.2170777,0.61258996,-2.1181765,0.45344356,-0.78501195,9.5839615,1.3093306,0.32980248
-46.087074,-7.824047,-0.11940181,44.074562,9.014209,-1.5172195,9.585969,2.7746158,-0.9651589,3.944234,0.23519668,0.6357542
-2.8013985,-0.4333692,0.46792233,36.92935,8.014696,-1.6463513,46.791374,9.387376,-1.3437755,30.851877,5.9744844,-0.9025168
-40.554726,-7.3661957,0.15289119,27.783766,5.1726027,-0.29562026,48.049057,9.626857,-1.4302533,33.545433,5.73223,-0.238208
-4.743823,-1.2939501,1.3069024,51.56694,9.588075,-1.2672532,5.6292086,1.6012621,-0.8483574,3.203814,0.74188066,0.57319754
8.685306,1.3015578,0.1880292,47.711624,9.418131,-1.5542731,3.7254,0.1961331,0.63945216,4.9708815,1.2398151,0.078551054
-0.82670224,-0.5360902,0.629088,42.852722,8.480666,-1.4116466,-26.871342,-4.980463,0.5296158,15.310266,3.038635,0.34794062
-4.1774693,-1.1341926,0.8440396,30.586918,5.743444,-0.7832683,34.804924,6.970852,-1.4564056,2.937601,0.06842145,0.6667862
7.2936897,1.33818,0.11585963,38.66356,7.424505,-1.201901,3.4384909,0.061850995,0.78686166,21.957987,4.4080925,-0.12610936
6.2661805,1.0380911,0.5425489,45.15526,9.036734,-1.0687306,0.5310011,0.042126566,0.101279676,-15.272459,-2.8126774,1.064904
-33.246666,-6.1830444,1.2453294,8.207292,0.96251523,0.6196537,22.274218,4.6934195,-0.62831575,7.680722,1.2098207,-0.115642965
-46.46869,-7.986412,-0.11141038,15.093487,3.4533508,-0.36702645,-17.499466,-3.666957,0.5727997,13.088295,2.9427462,-0.496257
-37.13173,-7.2395115,0.2706455,25.935656,4.906354,-0.14955038,-12.41353,-2.2763114,0.65034384,32.401024,6.830599,-1.0295558
-14.506753,-2.7415655,1.2858377,31.412455,5.2029524,-0.44387394,30.797127,4.976086,0.14433187,18.94989,4.645707,-1.0877182
-17.022005,-3.163813,1.1861076,3.3316607,0.13394159,0.6541726,46.097992,9.507513,-1.4703221,2.9670503,0.2469804,0.49701905
2.3046732,0.11442551,0.8815461,34.423515,7.0165534,-0.77822775,5.119255,0.43113694,0.59646094,15.261868,2.8043509,0.6606457
-6.086603,-1.5142614,0.94433206,36.17595,7.064031,-0.7608412,0.8930638,-0.2539472,0.5727674,33.640495,6.67932,-1.4583745
-21.703598,-3.9003289,1.0593655,31.663912,5.3435063,0.47825462,12.254188,3.1431901,-1.2928355,25.036118,4.204089,0.18470573
-33.831406,-6.6018896,0.4908064,5.2464404,0.43948165,0.49008182,42.6436,8.522517,-1.3508074,9.577164,3.411637,-1.3084984
-18.018946,-2.7810597,1.0577729,18.731707,5.040806,-1.548276,30.873705,6.2207093,-1.1644726,-12.2728615,-1.851901,-0.12005305
-43.991737,-7.648575,-0.76894265,29.534237,5.3057413,-0.25695163,-1.1586636,-0.6015676,0.68366456,22.286188,4.4977837,-0.7481466
-7.179776,-1.589923,1.0455256,12.481982,1.6126122,0.4821074,43.7434,9.129231,-1.5162468,-7.596108,-1.0759076,0.20560098
-16.092611,-2.893299,1.2185779,11.951952,3.2960079,-0.627232,26.826214,5.474149,-1.0156705,-7.6771135,-0.2949128,-0.5003748
-18.654406,-3.1971073,0.7964414,37.14511,7.3065734,-1.1840999,20.447693,4.520786,-0.6245765,-12.427661,-2.9162242,-0.24821913
-37.82675,-7.102256,-0.06914389,36.24192,7.61405,-0.91477853,0.26648045,1.4090858,-0.8330415,3.669641,0.66041803,0.230513
-22.24048,-4.6127157,0.8625505,8.083973,1.0222753,0.29946494,15.494854,3.2425437,-0.80182797,10.544837,2.5386786,0.11053768
-21.499557,-3.8598611,-0.7873847,20.950218,4.7401495,-0.59652275,27.786531,5.26115,-0.7031519,19.470863,3.698882,-0.3661813
-47.338577,-8.674972,0.2437535,37.465233,6.9789543,-1.0013208,38.762863,8.574,-1.815315,21.385859,3.9883518,-0.026359737
-46.790062,-8.728044,0.2975222,38.417908,8.135638,-1.582865,4.511832,0.6401758,1.0142438,1.9266047,-0.07717806,0.49186343
-45.49865,-7.893876,0.2992695,32.139915,6.706676,-0.5455722,-18.553358,-3.5051932,1.0820885,1.051528,0.22119907,-0.6424286
-11.4220085,-1.7534108,0.2887994,3.5624247,0.95333374,0.09677327,15.705528,3.233879,-0.43834323,33.770576,6.4249315,-0.74584144
2.27798,-0.039130926,0.6660261,37.298897,7.406974,-0.5692161,40.734093,8.049933,-0.92196745,2.3683772,-0.01702547,0.6138396
-16.261543,-3.1136413,1.2830775,27.807493,5.448737,-0.9351973,45.059883,8.9967165,-0.8793344,42.132347,8.61873,-1.1653819
-45.74997,-8.581199,0.42763513,3.7316647,0.18131402,0.587717,-29.829298,-5.0437713,0.84621596,21.436022,3.5534387,0.63593704
-5.3103123,-0.98926926,0.7817434,2.098523,-0.024989545,0.6043177,-25.76209,-3.963676,0.15000015,25.190844,5.4320717,-0.24604481
-1.4205703,-0.6074625,0.677894,13.6719,3.6797352,-1.2216568,-16.894588,-3.2578557,0.38773775,27.825636,5.7002053,-0.9540052
-43.34736,-7.5594482,-0.390441,13.711871,3.1144063,-1.1997552,-24.296955,-4.0184417,0.8948315,17.03958,2.891997,0.40727907
-17.599066,-3.2095456,1.2457638,42.21856,8.454077,-1.3831272,40.481865,8.143954,-1.1406977,42.12491,8.403165,-1.1130362
-45.88772,-8.891478,1.0123103,31.42082,7.2375813,-1.5811393,17.162283,3.674457,-1.526855,11.488285,2.645245,-1.2847099
-47.537926,-8.543376,0.03922516,8.721552,1.0897496,0.3008244,-16.416157,-3.3336031,0.5082424,4.1422224,1.1348344,0.55497515
-15.534851,-2.9466093,1.206614,34.691986,6.601471,-1.0870478,-17.943836,-3.5402777,0.82377577,17.758017,3.832653,0.009251714
2.0240283,-0.06376752,0.6612464,26.495476,5.717288,-1.0087495,44.268387,8.690069,-1.4040332,6.6739254,0.8371706,-0.01317203
