class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.08403278,0.08949918,0.020856097,0.084307544,0.08802171,0.019096984,0.083950065,0.08785674,0.018851,0.08411097,0.08755211,0.018440919
0.08364483,0.08789646,0.019495172,0.08410538,0.08765999,0.01914085,0.08393207,0.08751643,0.01876349,0.083274536,0.08826344,0.01923275
0.08340254,0.08767649,0.019171074,0.08374561,0.08751767,0.01959971,0.082724944,0.08804206,0.019591954,0.08370057,0.08814082,0.01933876
0.08188006,0.0872206,0.020296756,0.08368814,0.08795169,0.019456439,0.08403473,0.08773858,0.01849666,0.08342891,0.08813633,0.019537915
0.08347734,0.08738551,0.018810935,0.08283655,0.08794037,0.018828604,0.08403668,0.087681636,0.019032354,0.083230466,0.08809569,0.019827291
0.08255319,0.08601851,0.020299716,0.08379935,0.08745009,0.019005772,0.083535716,0.08751329,0.01918166,0.08370244,0.08853036,0.020535301
0.08410163,0.08760036,0.018430548,0.08358002,0.08820708,0.019432608,0.08398316,0.08754251,0.018866122,0.08368511,0.088527925,0.020395657
0.081871234,0.089942016,0.019784704,0.08338112,0.088014334,0.018873181,0.08280461,0.0881192,0.019846909,0.08380557,0.08784434,0.018949682
0.08341858,0.08801338,0.019412968,0.08410523,0.0880158,0.018746948,0.08379653,0.08815695,0.019787699,0.08326726,0.087767504,0.019732527
0.08174871,0.09104215,0.018933233,0.08360818,0.0872701,0.0196114,0.08382217,0.087786585,0.01949316,0.08312008,0.087329574,0.019782674
0.084053114,0.087482646,0.0186022,0.083378114,0.087492935,0.018967992,0.082903996,0.0872621,0.019799674,0.0836309,0.08788798,0.018972542
0.083722554,0.08775957,0.018928979,0.08318343,0.08784459,0.01890702,0.08411263,0.08733055,0.018594649,0.083400354,0.08736619,0.019528637
0.084087595,0.08760672,0.01841088,0.0839341,0.08783304,0.018370647,0.083389424,0.08779719,0.020691803,0.0833826,0.087556854,0.019365013
0.08212576,0.09094929,0.018897697,0.08370449,0.087479286,0.018854946,0.08314867,0.08712317,0.018769097,0.083392054,0.08822145,0.01889663
0.084103845,0.087567106,0.018429853,0.083596796,0.08814214,0.019441977,0.083925456,0.08784107,0.018847307,0.08257592,0.08830102,0.019275274
0.083404355,0.0879162,0.018748662,0.08319994,0.088038124,0.019395024,0.08385752,0.08769318,0.018737374,0.08337268,0.088046916,0.019016098
0.08345765,0.08786314,0.01962604,0.08380002,0.08788124,0.01962334,0.083507285,0.08788705,0.019195078,0.08325601,0.08826046,0.01957658
0.08126596,0.08778597,0.020257859,0.08352384,0.087680295,0.019894116,0.083432384,0.087371774,0.020258477,0.08408257,0.08796417,0.01895301
0.0836789,0.090478085,0.020906482,0.08390104,0.08823455,0.018876173,0.08326373,0.08799185,0.019322954,0.083684504,0.08748131,0.018900104
0.08337665,0.0878343,0.019337418,0.083439305,0.088076055,0.019216113,0.08403449,0.087353185,0.02018625,0.083068624,0.08826545,0.018734803
0.084197946,0.08674091,0.020114781,0.084073745,0.08823676,0.018703606,0.08295745,0.08786986,0.019360775,0.08454219,0.08822809,0.019312855
0.08181256,0.088666916,0.019915907,0.084112726,0.08758313,0.018421607,0.084219046,0.08736197,0.019217014,0.083887786,0.08726148,0.018547662
0.082273886,0.088084266,0.017747657,0.0841479,0.087892205,0.019208921,0.08225243,0.08765431,0.019543003,0.08295812,0.08872847,0.01892292
0.083639145,0.08779944,0.018825894,0.08333331,0.08758637,0.01944597,0.08433867,0.087871104,0.020311596,0.08353281,0.08775393,0.01888406
0.08372884,0.08739467,0.018654713,0.082938775,0.08790096,0.018222008,0.083316,0.087793216,0.019252032,0.08295105,0.08850371,0.019306185
0.08354835,0.087788105,0.019126754,0.08331484,0.08727902,0.019089848,0.082927816,0.08828357,0.01916226,0.08388839,0.08750082,0.01872999
0.08186594,0.08837909,0.018134743,0.083491035,0.08779239,0.018782264,0.08404124,0.0885733,0.01973408,0.08396522,0.087489225,0.018945388
