class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-35.724415,-18.56585,14.236115,9.063881,4.2976913,-3.0874557,13.223625,6.953267,-3.7022917,20.911324,10.58845,-6.8568444
-40.882843,-20.928003,16.056356,6.4687605,3.7054176,-2.0845873,6.5888643,3.6804996,-2.6108887,-3.5614834,-1.7251357,2.6733546
-40.345154,-21.330986,15.610149,19.627392,9.052346,-6.150084,3.8891177,1.0457714,-0.7062989,2.484354,-1.755066,1.3499393
3.4023943,0.5732446,-0.24427766,27.052357,12.330155,-8.357563,4.2959247,2.117796,-0.8161951,-9.122707,-4.845974,4.033758
-12.96425,-3.796352,4.573526,6.1533604,3.2581391,-1.9126811,23.887106,11.144957,-7.7521253,19.914173,8.584969,-6.010694
3.9717236,0.716016,-0.47981828,19.06552,9.448327,-5.9285517,22.738197,11.248331,-7.21407,24.250078,11.384183,-7.7724032
-15.575829,-5.024933,4.9774528,34.14647,15.751535,-11.332824,-2.2538557,-2.8367324,1.6910605,-1.8952365,-1.3999971,2.6698322
-34.77188,-18.010426,13.725828,29.104916,13.140311,-9.124758,0.83993226,-1.3633634,1.3889855,6.3904037,3.2456717,-1.0707741
-29.634624,-15.700178,11.859115,32.623314,14.955905,-11.04091,12.226127,6.469613,-3.9639266,19.54736,5.9877343,-5.601732
-30.590149,-15.779161,11.982433,26.451555,11.907118,-8.63739,3.9614124,0.7427256,-0.48609906,30.061106,13.553843,-10.124351
-30.233461,-15.193788,12.423574,27.487911,12.778085,-9.140775,-21.937897,-10.501875,9.289965,3.200753,0.38098216,-0.11980182
-36.359722,-19.693665,14.742702,22.534866,10.307855,-6.886377,-0.7845196,-1.3678161,2.134929,2.4296596,0.15666747,0.18010056
-16.171844,-4.589177,5.0410314,13.618581,6.7410984,-4.125356,3.8712883,0.67129195,-0.4172142,20.37704,9.58619,-6.5711203
-1.609977,0.77102584,0.4961323,9.568529,5.496253,-3.0743122,13.492973,5.8545547,-2.9678514,3.9081392,2.6340714,-0.8680969
-40.44292,-21.941599,15.928877,4.970633,3.5195103,-1.5926423,16.51745,7.387373,-4.7890525,18.669376,8.777611,-5.3951855
-36.4083,-19.786583,15.009696,15.079172,7.354972,-4.4637375,19.758888,9.83728,-6.636684,32.5195,14.720974,-10.353819
2.7892692,0.20589918,0.048110723,19.870327,8.747615,-6.814342,-9.41292,-4.687309,4.1003604,3.96341,0.7432834,-0.48718554
