class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.8463642,1.0033247,-3.530888,11.360246,1.9169526,2.23496,-8.732294,2.1852245,-0.4710728,42.861275,2.74919,10.428185
-5.1360426,1.2296112,-2.8598852,16.439312,3.459902,8.839574,16.47069,2.0076137,4.83162,11.571679,1.3537245,-0.0015684366
-54.975437,-1.0968451,-8.347179,34.48888,2.4136367,8.033782,-57.974308,-1.6331604,-7.927807,33.25668,2.9032428,8.864044
-53.362347,-0.5835142,-3.7750282,0.2006461,1.4973645,0.034476995,-44.578842,-1.0425935,-8.297886,8.1971035,-0.01576376,4.618428
-35.555054,2.0033624,-1.6433986,37.2874,1.7010155,7.064934,-43.037964,-2.852648,-7.8577595,0.95210224,0.81088436,4.841277
-3.6410882,2.1926618,2.9232168,20.771772,2.6876574,6.7370386,38.824177,3.0346684,8.35704,17.036205,1.387366,6.0239043
-32.037796,2.4899151,-2.1979413,25.137781,1.7356408,4.696172,-55.27014,-1.7367818,-5.3216457,6.0333652,1.312007,0.033489585
-57.342266,-0.7632141,-6.8641148,38.911392,2.2181058,8.434412,-10.501763,1.2569188,-2.741715,33.16627,2.523906,6.8913784
-18.53656,2.287334,-0.56982434,35.965385,1.9506149,6.8868017,34.975143,3.1487024,10.117604,40.320545,3.0592327,9.581782
-60.820507,-1.3381965,-5.7515764,25.569715,2.244617,8.682213,33.927593,1.9925944,10.683382,19.841267,2.68004,6.339652
-4.0236073,2.671438,4.638438,-11.655632,2.803618,3.792513,32.266697,2.9067078,7.291669,11.059375,1.3540802,-0.14280522
-36.642086,2.5439296,-1.1964792,43.05961,1.9534848,8.359376,34.654743,2.378755,8.738453,48.27892,3.278179,10.849051
-33.45169,2.6622958,-1.6134874,47.759926,1.9962159,10.1746645,0.7468019,1.1023504,-2.6625385,9.432162,0.30668402,5.041562
-63.197502,-1.2955844,-5.056979,34.42351,1.9976145,7.7148376,8.101819,1.2809839,-0.46964252,18.752419,0.65883327,2.9879844
-53.62904,-1.9196527,-7.8173113,33.211563,3.327751,10.864131,31.91465,1.8214744,10.260982,46.59088,3.1487355,11.012464
-12.028366,1.1231132,-3.2055268,5.4783473,2.2610674,4.652787,-13.045947,1.8915865,-2.2975588,-58.0534,-1.5378895,-8.281722
-32.673695,2.5289726,-1.0863677,42.584393,1.9886601,8.860921,14.806181,2.1332843,5.231714,27.834227,1.2786479,7.7973194
-60.12983,-2.547109,-9.16059,46.295494,3.1012378,10.648394,17.47549,1.5292305,6.0655375,44.18998,2.819395,10.580638
-25.622,1.5511998,-5.2125826,20.893684,3.3468766,9.506942,-8.620558,1.6779666,-2.1932192,7.813417,2.133508,2.6509595
-56.662773,-1.3203156,-6.8901415,32.863457,2.0952034,7.1384907,9.369885,1.2718697,-0.8181597,31.45464,3.5912573,10.70982
9.6807995,1.2902119,-0.75765204,34.688683,2.489053,10.27169,-16.146412,0.954631,0.062298656,46.24685,2.2709165,9.420092
-30.414486,2.2563114,-0.6361315,33.540092,2.1096106,7.0240765,-9.19603,1.3084177,-3.7014904,36.616665,3.0484588,9.110563
-52.109367,-1.859514,-5.2686377,42.106266,2.5376465,8.168256,-40.88382,-1.4290612,-8.865064,-58.585846,-1.5046761,-8.580405
-64.48803,-2.1668804,-6.94788,11.1713705,2.2512455,4.8054996,40.552284,2.782107,12.047338,-65.76121,-0.83240867,-8.419837
-30.313976,2.4309964,-0.08709967,19.981937,3.0461588,8.155127,27.745012,1.2774413,6.4100003,48.25867,3.1704743,11.492138
-62.757782,-2.0703814,-7.9756136,30.829172,2.4693189,7.0506563,40.686584,2.7496848,8.625319,-12.440599,-0.71531093,3.5254807
-0.60244256,0.91303575,-2.7077804,44.121643,2.362822,11.3921,48.624756,3.0712519,11.413253,36.60472,3.0772152,8.249692
-33.78817,2.4533691,-1.1766444,46.0996,1.8528392,9.081874,3.9003859,1.1818337,-1.5590161,-28.372564,0.8958893,-5.9629874
-60.9084,-0.24591541,-3.402769,20.077501,2.9428093,8.857317,22.085693,1.5474203,8.167213,-20.541363,-1.3156967,-1.4375418
-28.761497,1.828221,-4.7318544,43.990643,2.708318,10.936954,-52.769413,-1.7170832,-5.03453,-10.294836,2.2180676,1.1170583
-15.654598,2.3695612,2.7650533,44.054302,2.6640997,9.394143,36.476055,1.5430235,8.975859,50.73282,3.0912828,12.150173
-47.079617,-0.48601484,0.23921382,8.134356,2.6076605,7.4076304,-17.32443,-1.0581267,2.171053,-10.4475565,1.860395,-2.3520422
-22.977951,1.9904515,-0.66005015,32.983704,1.8754313,6.478485,17.569136,1.7779696,4.43684,51.22174,2.6881633,11.210378
-8.579358,1.5747335,-0.9137746,7.4615226,1.3584595,-0.9494413,-43.31302,-1.6866763,-2.8295274,30.025906,2.8658543,10.656658
-27.263103,2.441883,0.31392896,28.099987,2.824234,8.829741,11.153188,-0.28208375,0.77955306,33.654522,1.726918,7.200798
-67.92982,-1.1949668,-5.553075,2.6209874,1.4641407,0.41008103,-41.94296,-2.594187,-5.1634517,48.285534,2.8539882,12.555632
-53.921715,-1.0945184,-4.1517887,31.736431,1.7186692,5.5302515,-46.983013,-1.5074747,-4.3239164,47.10181,2.7725933,11.238971
-55.086067,-0.9784105,-12.394601,35.40806,2.394428,7.551264,-53.79722,-1.5626435,-4.627885,2.472718,0.580872,4.2984467
-64.75196,-2.0825012,-9.133861,30.8792,1.8991495,6.905205,38.129303,2.3813767,9.335689,41.950157,3.078343,12.381407
-58.951942,-1.3124568,-4.5063562,30.109058,2.9363544,8.416926,26.577522,2.6431966,6.780772,28.229944,2.4983513,8.828661
-30.672588,2.5638113,0.4901408,46.914677,2.5148997,11.588407,34.182045,2.5844364,8.65728,49.482864,3.0080237,11.568141
-15.347059,1.8011646,-0.74271953,9.870915,1.2930495,-0.7093737,-22.33514,-2.7374666,-4.0605536,43.976357,2.8299053,10.188207
-54.00681,-2.5985174,-11.840077,43.155643,1.9674679,8.851953,13.068098,2.24992,6.9057198,28.152443,2.0642138,6.227005
-31.49961,2.048276,-1.2743021,10.944863,1.3331742,-0.30799067,-56.113842,-0.26940846,-7.0606833,17.84766,1.7872841,5.650198
-62.718086,-2.019831,-8.403859,28.707098,2.2066934,7.2722073,-18.007473,-0.8172109,-3.2011728,50.00888,2.9868999,12.870553
-37.003227,-2.1763642,-4.606659,45.46925,2.4402711,10.595144,-1.9036212,1.1091408,-2.861012,32.362206,2.5524726,6.9686136
10.5638685,1.3290342,-0.4217453,7.975743,2.1656327,3.8662167,-30.486416,-0.08129442,-5.7745686,22.913725,2.4002824,5.4999676
-46.53941,0.28473353,-7.9800158,33.107414,2.685985,8.5087185,12.752427,0.93568027,3.9057155,47.926353,3.0265436,11.24092
-25.00522,1.5675825,-2.2013192,28.300997,2.2342358,7.8445735,-49.573597,-1.3948581,-5.98454,30.425278,2.7364416,7.5798864
