class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-1.3861067,1.2442825,1.1907806,0.05131656,-0.0874058,-0.09547466,-0.10350412,0.055599928,0.041846395,0.4697017,-0.47519124,-0.4728449
-1.6195991,1.4564816,1.3980064,0.39365214,-0.4047867,-0.40455294,-0.17827457,0.12703967,0.114078104,-0.11533368,0.06766492,0.055431306
-1.1822709,1.0496947,1.001292,0.37180847,-0.38584483,-0.3859691,-0.0845716,0.03896463,0.027337372,0.30443949,-0.3215636,-0.32317853
-0.23138452,0.17566448,0.16040838,0.23355895,-0.25655222,-0.26085085,0.4102494,-0.42126238,-0.42074782,0.34410793,-0.3592993,-0.3597331
-0.11488181,0.06711942,0.054891527,0.3363164,-0.35216445,-0.35352045,-0.111532986,0.06646967,0.055694878,0.46772128,-0.47349346,-0.47113758
-0.030467033,-0.010419369,-0.020694792,0.448685,-0.45596743,-0.454202,-0.07238221,0.02751565,0.016105354,0.42682272,-0.435655,-0.43444067
-0.8076326,0.7075895,0.6769842,0.340007,-0.35450613,-0.3551153,0.5062613,-0.5094378,-0.50621265,0.43265635,-0.4409423,-0.43953937
-0.27932772,0.22046185,0.20485428,0.49220985,-0.4962927,-0.4936152,0.44131964,-0.4494716,-0.4482934,0.3471504,-0.36273098,-0.36411357
-1.2782261,1.1376171,1.0889432,0.40872508,-0.41901624,-0.417899,0.042337954,-0.07634407,-0.08227265,0.5128668,-0.5154313,-0.5120421
-1.0956851,0.97878337,0.94397455,0.36444443,-0.37778795,-0.37790436,-0.13125265,0.08242166,0.069779634,0.37309128,-0.38519603,-0.38565212
-0.17463338,0.122870594,0.10942447,0.15183634,-0.18089151,-0.18629962,0.45021623,-0.4571451,-0.45536405,-0.10557604,0.05841136,0.046349347
-0.082434595,0.036570787,0.024861157,-0.048986614,0.005962372,-0.0048744082,0.43514603,-0.44346118,-0.44192785,0.24728292,-0.26808774,-0.2705894
-0.22719502,0.16730124,0.15037194,0.16769886,-0.19520926,-0.20175844,0.17459899,-0.20129812,-0.20532697,-0.1970861,0.14144081,0.12593612
0.1340918,-0.16341186,-0.16974777,0.27511197,-0.2942717,-0.29694158,0.04199481,-0.07907838,-0.08825308,0.45917982,-0.4660846,-0.46423155
-0.45337307,0.37821782,0.35133946,0.4117388,-0.42166972,-0.42126304,0.27706152,-0.2966677,-0.29962474,0.4436416,-0.45115423,-0.44949967
-0.9099888,0.8031399,0.7691555,0.43348163,-0.44157922,-0.440255,0.4980523,-0.5020844,-0.49923378,0.45484108,-0.46158242,-0.4599915
-0.89580464,0.7874429,0.754272,0.4533412,-0.4599018,-0.45787424,0.39445454,-0.40518153,-0.40470976,0.38532203,-0.39712882,-0.3968991
0.047367394,-0.08404589,-0.09265596,0.43967623,-0.44743574,-0.44589788,0.46724695,-0.47352612,-0.4712122,0.5060901,-0.50924265,-0.5060759
-0.5933847,0.50666004,0.48265606,-0.07471436,0.029896617,0.018989205,0.5144052,-0.5168824,-0.5134414,0.33419222,-0.349396,-0.35037023
-1.9069192,1.7304155,1.6749597,0.44098896,-0.44913447,-0.44789976,0.4898283,-0.49406087,-0.49134654,0.508851,-0.511768,-0.5084563
-1.0719912,0.9552799,0.9179706,0.3573385,-0.37112063,-0.3721785,-0.121098936,0.07332003,0.059344232,0.4671263,-0.473202,-0.47141725
-0.101863325,0.05514252,0.04311967,0.39128238,-0.40254748,-0.402215,0.5122314,-0.51489246,-0.5115326,0.4831578,-0.48770213,-0.48504812
-1.922334,1.742211,1.6762471,-0.10852587,0.061395288,0.049405396,0.34615391,-0.36095923,-0.361741,-0.14431894,0.09474349,0.08187008
0.03504342,-0.071878195,-0.0804199,0.4837454,-0.48848176,-0.4860155,0.25676686,-0.27931952,-0.2816729,0.4886579,-0.4929837,-0.4904409
0.019285858,-0.057797194,-0.06629336,0.27857614,-0.29802716,-0.30067664,0.5119936,-0.51469254,-0.5113104,-0.14754933,0.09769726,0.08462006
0.34766835,-0.36325973,-0.36438674,0.17083114,-0.1975882,-0.20277053,0.2939592,-0.31247985,-0.31524807,0.48639005,-0.49086022,-0.4881025
