class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.07820949,0.06448716,0.025072575,-1.2850343,-0.4800312,-1.5939053,-0.03839895,0.025830269,-0.116583705,0.18427101,0.10513812,0.15133119
-0.33587554,-0.09869373,-0.46786797,-0.18018487,-0.037503123,-0.28224754,1.3194228,0.57207954,1.4960687,-0.38703188,-0.12009263,-0.5283674
-0.117452055,-0.0076180696,-0.21022487,-1.123732,-0.4179024,-1.4037038,-0.7606524,-0.27488953,-0.96999955,-0.14946052,-0.021972,-0.24737203
0.08247146,0.06541082,0.030743241,-0.103345186,-0.005615592,-0.19175386,-0.3604348,-0.11001474,-0.49668455,-1.3490186,-0.50995725,-1.6710196
1.1855679,0.51393235,1.3385513,-0.5233034,-0.18270433,-0.686952,-0.9069663,-0.33029592,-1.1454058,-0.74354017,-0.27429688,-0.9467759
0.42521533,0.20712143,0.43529725,-0.3969026,-0.123652935,-0.5402067,-0.8675033,-0.32163757,-1.0958095,-0.94304645,-0.3468433,-1.1876259
2.7287736,1.1294172,3.175085,-0.6490785,-0.22599751,-0.8399706,-1.4190617,-0.53796434,-1.7533171,-0.53481305,-0.18184268,-0.7008773
0.59504116,0.2642047,0.6430199,-0.4199423,-0.13333768,-0.56715155,0.54717326,0.25782618,0.5802412,-1.0682961,-0.39739954,-1.3371708
0.6733625,0.30606252,0.73124737,0.4655907,0.2165638,0.48705232,-1.3957305,-0.5288644,-1.7264833,-1.3424298,-0.50442106,-1.6630077
0.01919064,0.047292322,-0.048208475,-1.5757809,-0.5990831,-1.9401131,-0.5084683,-0.17355257,-0.6707585,-1.5130519,-0.5732673,-1.8658957
0.4876183,0.22951777,0.5124037,0.62997615,0.28524908,0.68144804,-0.12281236,-0.013715923,-0.21429789,-0.19090691,-0.041177273,-0.29523468
1.3023158,0.55038315,1.479714,-0.9802512,-0.3643384,-1.2299759,2.1225145,0.8839185,2.4529567,-0.77980375,-0.27886814,-0.9949367
5.5675383,2.2790546,6.5450177,0.0073724687,0.04031214,-0.061120033,-0.1837165,-0.031960487,-0.28918266,2.634488,1.0959496,3.060241
-0.13579246,-0.021652907,-0.22944391,-1.6974391,-0.64806205,-2.0850854,0.40134498,0.1944825,0.41068208,-1.3245708,-0.498841,-1.6406889
4.247336,1.7374897,4.977502,-0.037925094,0.013561636,-0.11201978,-1.5259093,-0.578453,-1.881552,-0.46670553,-0.14290142,-0.6271405
