class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.034975115,0.043567024,0.13023491,-0.030743573,0.042771738,0.13446367,-0.030563975,0.041500397,0.14098369,-0.03124459,0.041081395,0.14063524
-0.029189534,0.041062694,0.13607508,-0.040995862,0.048986133,0.12565643,-0.031882294,0.04463817,0.13746037,-0.041479558,0.048812307,0.12490841
-0.04339692,0.052069526,0.13266614,-0.02941696,0.039267264,0.13656986,-0.028658256,0.040729024,0.14124216,-0.044639334,0.05002023,0.128863
-0.02905987,0.042755097,0.1405813,-0.04565917,0.05063347,0.12736474,-0.04128765,0.0482273,0.12431961,-0.04391614,0.048295297,0.12471437
-0.036142476,0.04935937,0.1365518,-0.03666114,0.04437865,0.12777033,-0.032980885,0.04473772,0.12970263,-0.028541239,0.04215898,0.1381954
-0.028433952,0.04155885,0.13980475,-0.043184176,0.052953962,0.13353866,-0.04419391,0.054391958,0.12996079,-0.04477203,0.049392622,0.12422504
-0.042385664,0.046750665,0.12473521,-0.032595806,0.044051256,0.13086197,-0.031593673,0.044231486,0.1332298,-0.0454632,0.04752605,0.12743182
-0.039767154,0.045770373,0.1260284,-0.03828107,0.046072934,0.12723683,-0.029112032,0.03984219,0.13803133,-0.03763871,0.0505267,0.13612436
-0.034374803,0.043211266,0.13018075,-0.032562897,0.044383142,0.13090074,-0.028247714,0.043732177,0.14101602,-0.03669763,0.044191808,0.12611073
-0.034401674,0.048782915,0.13714346,-0.03663549,0.045012172,0.12801112,-0.042599462,0.05378474,0.13233408,-0.037250802,0.04988666,0.13643798
-0.043128576,0.052613817,0.13294376,-0.037377626,0.05016342,0.13592796,-0.03098752,0.043632727,0.13308744,-0.029532831,0.043164894,0.13610847
-0.03882109,0.050914235,0.1356369,-0.037554204,0.050533533,0.13692917,-0.030788565,0.041708287,0.1408515,-0.03508234,0.048340596,0.13612671
-0.044924643,0.05333203,0.13162799,-0.035514213,0.044256378,0.1285582,-0.030589491,0.043242667,0.13569197,-0.039583363,0.05237905,0.1338786
-0.030230463,0.042440463,0.14084741,-0.027645752,0.04546151,0.14014746,-0.031100634,0.040803224,0.14068332,-0.045621235,0.05443048,0.12967786
-0.043591157,0.04799745,0.12691525,-0.044464618,0.054456785,0.13055897,-0.04526891,0.053521298,0.13108127,-0.035761304,0.048665386,0.13651596
-0.02991816,0.0445186,0.13904224,-0.04139684,0.04814005,0.12561135,-0.04453576,0.054234445,0.13019653,-0.04283439,0.053337555,0.13092159
-0.044496227,0.048769303,0.12687033,-0.04206383,0.048293628,0.124478914,-0.044908654,0.050188642,0.12398487,-0.033922967,0.046105623,0.13686502
