class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
15.971956,7.649192,-7.78311,-16.289042,-9.050309,6.155601,24.125149,15.866206,-9.75408,2.1477375,1.0125269,-0.8408073
1.5299848,-1.7118464,1.0761776,-15.078829,-8.889723,4.0416384,-12.896053,-5.136585,2.6977057,3.7110162,1.0323625,0.061930656
15.951595,9.897958,-5.673247,-20.188288,-11.964715,5.5391774,17.41905,9.870499,-6.01808,-11.1203785,-6.4691916,2.3462725
9.910831,4.2623672,-3.5429084,-12.788061,-8.865292,4.97243,-19.068346,-9.609725,3.908423,-8.914278,-4.0439076,-0.3250115
18.410645,12.6868925,-7.738676,-15.414782,-8.835428,2.7673166,11.502985,5.14279,-7.1137977,-18.522892,-10.830613,4.1811514
6.800284,1.9489038,-1.5556043,-15.396309,-9.3257265,4.3770022,-15.047884,-9.38174,4.203843,3.5436106,3.0257587,-1.8342292
23.832312,12.902282,-7.6498547,-15.311413,-8.722312,4.804535,-13.186602,-7.048787,3.503539,-16.65556,-8.945329,2.9787838
7.872,7.3642054,-4.6525917,-16.979464,-10.473922,3.6897974,15.957876,9.163063,-3.259111,-22.858053,-12.653176,4.9202504
7.032396,2.7904763,-0.07837266,-14.37759,-9.5950575,5.181455,-20.486597,-12.466439,4.0083275,-10.641493,-8.02625,2.3549428
14.351318,6.058893,-5.2009892,-16.843714,-8.275661,3.742136,12.167414,6.6063466,-2.689485,2.7573833,1.5602067,-3.1521258
17.856981,11.277676,-5.573752,-11.497612,-7.0980577,1.7001061,15.2087555,9.634893,-4.375102,-20.150917,-12.320912,5.240685
23.007181,15.872604,-6.82712,-10.411573,-4.719289,1.6560404,13.115955,3.5864453,-4.2155952,0.97613144,0.34224498,-1.0554986
14.829435,7.7484474,-7.18038,-23.678968,-13.86147,7.509235,9.105026,1.852777,-4.2651167,13.04966,6.6369433,-2.8182254
16.572094,10.863439,-6.777811,-19.467154,-10.981881,4.2690396,-14.677574,-7.558531,4.070578,-16.998947,-9.150092,4.2084723
20.580393,14.590844,-6.7345815,-23.798788,-13.533271,7.73035,17.575489,9.875915,-6.380689,9.297498,6.2344146,-3.0155575
-9.246059,-7.576769,4.911843,-15.073023,-9.446759,3.7769608,-17.51838,-7.1358795,4.8977995,2.144005,-0.66203165,0.84142375
16.046255,10.094146,-5.398501,-9.14221,-7.1562777,3.6709485,16.120844,12.056113,-5.4582067,7.5150247,5.1977086,-0.40664017
25.72336,14.052324,-6.2611547,-13.659346,-8.378636,2.6569204,17.582714,8.43133,-5.711955,-20.15809,-9.797517,4.1744227
19.388985,11.798093,-5.914325,-12.484768,-4.894927,3.1050782,-8.674828,-4.8681693,0.45324266,-24.998983,-12.847792,6.787729
16.6715,10.765172,-5.3114405,-21.638824,-10.665607,4.1187224,11.049337,6.964672,-3.7981882,-7.3840995,-3.468997,3.154148
