class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.19203877,-7.473131,-0.6224734,-1.1882901,-50.212204,1.0531193,-1.5422561,-48.95478,-0.13333738,-0.5195911,-59.015923,0.23926246
2.1515648,2.5712528,-1.6483675,0.0645535,-57.31228,0.30750906,-0.7165494,-48.690956,1.0707458,-1.0648715,-58.022903,1.2210101
0.48569238,-2.005876,-1.4744987,-1.2662477,-61.068687,1.8664411,0.37342668,-47.974823,-0.14783585,-0.44392586,-55.159897,-0.5028213
1.2152997,16.54143,-1.9845135,-1.2549253,-59.103264,1.1549784,-0.7177305,-56.596497,0.38442504,-1.5811703,-69.80219,1.2413012
1.6040785,23.93022,-1.9796336,-2.7644732,-59.295204,1.57438,-0.7050803,-44.962173,0.7860681,-1.4709194,-61.21615,1.1428806
1.0193744,-8.486132,-0.8173871,-0.83474493,-55.43737,1.2008945,-1.4526265,-40.666183,0.25923622,-2.4821775,-71.65058,0.85278594
0.60469365,1.8863559,-1.1223025,-0.8362529,-63.69837,0.4697982,-1.8188455,-58.982643,0.31184638,-2.0289023,-47.98565,1.4697169
0.76838243,-7.574835,-0.8528584,-0.66011596,-43.436928,0.33821952,-1.1076102,-31.424452,-0.6257278,-0.26428986,-58.931747,0.40266
0.6304939,5.0153766,-0.59908307,-2.4849637,-51.91823,1.4409405,-1.4008713,-41.646515,0.62863624,-2.1120903,-49.97055,-0.15391648
1.61461,-3.367813,-1.6253892,-0.86862016,-55.064377,0.9045061,-1.0045855,-44.8301,0.67229164,-2.3259976,-60.06015,-0.010531068
0.800099,8.341578,-1.541101,-2.0686834,-66.00467,0.07350695,-1.476074,-57.289543,-0.046821952,-2.0776656,-57.926888,0.36239946
0.74411297,-4.7696133,-0.65025496,-1.362215,-57.441193,0.7662481,-1.4798863,-37.91059,-0.8071455,-2.3980925,-74.22372,0.55261576
0.09100652,-18.956558,-0.33954823,-1.143367,-66.139366,1.7231866,-1.4405081,-37.539124,-0.88426006,-0.92860556,-60.08851,0.98653376
-0.051716566,-3.245492,-1.2156329,-1.6080885,-64.25916,2.040193,-0.98217106,-32.314888,1.0987488,-1.6784565,-51.7229,1.5051359
0.6951225,-0.91090584,-1.0733513,-0.4863658,-47.389503,0.17968118,-1.7803452,-55.403427,1.5324503,-1.867512,-52.873978,1.1355234
0.24881995,-10.6775,-1.4228795,-0.7484672,-59.57982,0.8867475,-0.5026157,-51.574303,0.93732774,-2.049297,-70.43569,0.026286721
0.20660079,-0.49390602,-1.3492928,-0.38757133,-61.224754,0.32945144,-2.0324361,-54.257965,-0.17049706,-1.5983145,-51.597466,1.6431571
0.9365001,-2.7107458,-1.1034558,-2.3073018,-49.866257,0.31253254,0.21613431,-25.268612,-0.73413074,-0.88373923,-64.99636,0.34382284
0.4311086,5.9789157,-1.5524888,-0.67173886,-62.52169,0.52533686,-1.8140833,-52.342735,1.605873,-0.85009,-51.643433,1.0591384
1.6928349,23.882807,-1.4163637,-0.69497824,-65.050865,0.6094085,-1.7424777,-36.040024,0.043183446,-1.9324224,-68.70542,1.8937293
1.3032203,12.567644,-1.3201379,-1.3122251,-67.62835,1.338308,-2.1805813,-62.832054,0.42251122,-1.2944632,-63.673683,1.6622683
1.4123802,3.3920453,-1.6672218,-1.174892,-60.316673,0.7502748,1.1967747,10.917595,-1.7253394,-0.5087187,-48.45626,0.8148705
0.4295801,-2.1072693,-0.6782615,-2.263224,-65.21694,1.831952,-0.998029,-46.691666,-0.29163802,-2.5293276,-73.242,0.76331437
1.1324394,-0.24013329,-1.39029,-2.4223964,-50.198746,1.5061444,-1.6273863,-31.290087,0.17788517,-0.5541868,-46.418556,0.73460495
0.7990867,0.06853533,-1.1636515,-0.45501852,-49.46038,0.18248475,0.08537412,-3.8087158,-1.6690688,-0.2509315,-64.79452,0.5948404
0.7480973,0.34452772,-1.0675164,-1.9612067,-62.67626,-0.28399956,-2.055343,-48.233223,0.7308904,-0.95648885,-77.16752,1.6776689
0.3439206,-9.967737,-0.20331383,-1.6418607,-61.88591,0.97725976,-1.9120495,-50.706024,1.1230541,-1.6148717,-55.4496,1.2039255
0.7945852,-1.1174736,-1.3291821,-1.0571969,-55.775032,1.6034385,-1.7183983,-40.79677,1.4287926,-2.3761504,-42.954994,0.69922745
0.7940569,1.1870737,-1.3428981,-1.4648674,-59.33988,-0.27242482,0.33379912,-44.978584,0.094907165,-1.7825484,-48.565575,0.702459
0.037946463,-10.804647,-0.895617,-1.0890367,-53.88675,0.72231615,-0.023673773,-27.392447,0.06549883,-2.3126376,-73.08141,0.7199956
1.3722031,8.025793,-1.8395507,-1.1956339,-64.64027,1.350376,-2.3662617,-57.92955,0.47236788,-2.3455493,-59.31237,0.51937044
0.68276167,-1.0291691,-1.1698606,-0.84183526,-64.783424,0.74508584,-0.7580452,-52.199165,0.9639505,-1.0215485,-64.14332,1.2993616
0.60369456,-5.192342,-0.35318363,-1.2437408,-63.38041,1.3213588,0.5249349,-24.440338,-0.9182836,-2.5833914,-58.751907,1.3980869
0.9318416,-2.5952144,-1.098345,-1.0434864,-52.573235,-0.16124642,-1.812742,-44.01442,0.8939506,-0.38675547,-49.06935,0.3705889
0.71192443,-5.513981,-1.4323107,-2.3372471,-49.069885,1.4277064,-0.46586037,-44.818687,0.6773368,-1.7954998,-60.51612,0.8130039
1.3087554,-7.51519,-1.3557897,-1.9621694,-62.193398,-0.21666706,-0.8563163,-59.562004,0.55138266,-0.45258737,-51.172043,0.8083736
-0.6774981,-9.88283,-0.61827385,-1.7644997,-62.43461,1.6268793,-0.74960923,-62.117043,0.71853673,-0.75317717,-58.316284,1.2245616
1.3215628,18.08051,-1.8712989,-0.46651173,-59.73832,-0.08576548,-1.0453846,-51.674362,0.47192132,-1.3148725,-62.90638,1.5739309
1.3864974,-12.203173,-1.5350943,-0.3034413,-46.485847,1.1926881,-1.3257987,-63.296585,1.6061188,-1.0182664,-28.33233,0.9165813
0.610095,9.469721,-1.9259622,-0.81133294,-52.541466,0.39193833,-0.02260995,-44.540558,-0.25391805,-2.356712,-57.67726,0.29350698
0.35450792,-14.254478,-1.142287,-1.9190905,-82.03193,1.813145,-1.2992318,-46.399452,-0.86502874,-0.3888917,-58.28801,0.9840826
0.15748286,-12.935631,-0.9567939,-2.0823185,-62.1017,0.41123784,0.33387113,-50.28138,-0.09849608,-2.2588313,-63.380516,-0.13237965
0.84210455,-5.905239,-1.0426022,-2.268862,-69.72148,0.83158433,-0.7948799,-27.402029,-0.7686919,-1.8863895,-49.02353,-0.40317857
1.560859,-3.5646248,-1.3700856,-1.0797465,-58.238297,1.0434526,-1.9615643,-75.2481,2.049343,-1.5971324,-55.564186,1.2472745
1.652168,25.765657,-2.060149,0.19502175,-53.415222,0.015170932,-1.7065527,-46.548515,0.3616823,-1.0320373,-50.01021,0.33324897
0.89115596,3.5199168,-0.7754325,0.033621073,-50.79142,0.21899688,-1.6221871,-54.287514,1.4756664,-0.78762746,-34.448677,0.49200833
-0.1165123,-23.691977,0.43604386,-0.74861956,-61.543587,0.32412875,1.3229833,11.90033,-1.5305133,-0.54520893,-55.584938,0.9626709
0.832392,1.7481649,-0.8506896,-1.9146597,-64.74197,-0.16897571,-2.2218344,-57.959213,0.042028308,-0.9243932,-59.375275,1.2514056
0.75488377,-7.132477,-1.5225111,-1.056829,-55.098434,1.0231498,-1.4498091,-53.652534,-0.18847382,-0.7235863,-50.90177,1.0387746
0.20539165,-5.8499126,-2.0811338,-0.789309,-42.4218,0.4288205,1.4779367,7.1019197,-1.3000717,-1.2989347,-57.39199,1.4622964
1.6693017,20.783926,-1.2409898,-1.1818421,-60.926857,1.9398433,-0.7674141,-57.30921,1.0390517,-2.3752463,-43.876312,1.0208813
0.98319125,13.252352,-1.9485779,-0.99237514,-67.72388,1.2619146,0.99849296,16.079414,-1.8131588,-1.615731,-47.64274,1.4464313
0.39983082,-1.3266416,-1.31741,-1.2585459,-54.617554,0.42006338,1.7841268,13.781883,-2.2327638,-0.7189176,-52.89653,1.1397644
