class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.11450675,0.5430529,5.12218,0.7334881,-1.6154054,-6.41918,1.985911,1.2810075,-0.5844935,4.363802,2.888165,-7.5456347
0.16111133,0.16422606,3.95524,2.8937314,0.7058486,-7.1249194,-0.20485005,0.78881913,5.6711164,2.0503314,0.8181159,-4.023544
0.78818715,0.5405873,-0.23737413,2.2346513,1.269944,-4.91212,2.2611628,1.11005,-5.134511,2.740123,0.60850465,-6.673146
-0.46187016,0.5219939,6.946182,0.90478504,0.08404565,-2.0503643,0.9425986,1.9681761,5.175957,0.8596838,0.9298246,0.9811034
0.1699577,-0.4132738,0.29841316,0.6887666,-1.3187081,-4.2829185,1.0083393,0.119219065,-2.9396296,1.8879346,0.5346148,-3.5394173
1.6222131,2.2124882,2.5728302,2.0578218,0.8865435,-3.7660832,0.9782931,1.7531581,2.2616818,3.9222658,1.2013239,-9.571905
0.9477807,1.3381091,2.255401,2.314929,1.325492,-3.2324953,0.16378593,-0.7511327,-1.106297,0.8626232,0.8093046,3.0778923
0.35152784,0.40960395,3.4520226,2.265188,-0.2613573,-8.099939,1.3588428,0.82799983,0.3328004,0.99021614,-0.51082325,-3.7297006
0.55662966,1.0785518,3.2885752,0.7970915,-0.30137396,-2.5219688,0.96679425,1.0849204,0.8021455,1.1209671,-1.4604703,-6.6609583
0.2174299,0.3261577,2.4741147,3.4115968,1.8494253,-6.6958585,1.8629342,1.8182938,0.3291123,1.3562438,0.7897634,-0.5359248
0.0839068,0.00733459,2.1862469,3.0294304,2.3894868,-4.0917926,1.1097456,1.989185,4.015331,3.0083013,0.8459246,-10.444401
0.7627872,0.97955817,1.5047884,1.915104,0.123220325,-7.0591054,2.0713649,1.1288136,-4.9300437,0.35868934,-0.848704,-1.5568478
