class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-8.690907,3.6430516,-3.0905743,10.79325,0.5061486,1.2805988,6.044923,-3.617683,2.8119555,9.174261,2.3975723,0.38876688
-10.751949,-0.079446316,-4.5119605,7.368473,-0.7817664,0.8951174,2.9296463,-2.011526,-0.3970077,3.115465,1.7571342,-1.0655822
0.5903814,-0.45473337,-0.4847504,13.378397,-0.7345605,6.0922246,3.510453,-2.8697991,0.5835637,16.81212,0.12820745,2.5971723
-5.888686,-3.4655042,-5.2942758,15.665899,-0.90989757,5.950972,-13.272415,0.9459169,-4.916496,7.178361,-3.8314052,-3.1724062
-13.720833,-2.8071861,-3.176766,20.506556,-0.5647161,5.1271906,6.2245016,-2.344042,3.3275795,9.825264,3.1329117,-3.5523424
-8.851026,-2.1848183,-1.6856886,6.9225082,1.1231604,-0.09777641,4.184272,-2.425965,-0.96970296,10.600702,-3.843779,-2.7643495
11.193005,-2.7118826,0.62119496,10.48496,0.2936387,1.1637222,7.291337,-0.3218099,0.7960807,3.3354657,-3.0390553,-4.9652987
0.59526634,-2.9161735,-1.9547019,15.976471,-3.8353944,-1.9924947,-8.604411,-3.9423532,-1.3659016,8.001728,-2.993473,0.7025739
-14.963588,-1.8917029,-3.2568693,18.249971,-0.019719124,4.872543,3.8273547,-3.6193814,2.2784758,6.0343122,0.2665968,3.7541142
2.4053304,-3.894525,2.3658051,17.404415,-2.196311,2.3478966,6.3161354,-0.023035288,4.0431924,13.775213,-3.1168256,-3.2614846
-8.808457,-2.2419298,-1.434265,22.38723,3.0418804,3.3966804,-1.6061819,-1.4737828,0.25434124,26.074812,3.9693832,3.3960667
-5.7404013,-3.054709,-0.2661996,16.34443,-2.9924035,4.44642,9.487566,-2.0492103,2.4869204,24.605524,-3.1132736,4.349599
2.644441,-3.3019886,-1.5470537,8.581206,1.3604147,2.525639,-10.411722,-1.6317489,-4.4044065,4.9998865,-3.7372766,3.255013
1.6363661,-0.6032449,-1.1581364,24.461058,-3.1386576,4.7157702,3.657529,-0.31090677,0.80065835,18.83575,3.914207,1.620804
-1.3729959,-1.8736718,-0.3451901,10.378389,-3.8246188,-2.8303084,8.510443,-1.8767371,2.704926,9.196729,-1.8322396,0.4389466
-16.033564,0.1536411,-4.8374586,18.69372,-3.2100387,-0.7918078,1.0456829,2.1378868,1.2406012,14.166386,-1.3612566,0.15953434
-6.591235,-2.9821258,-5.373738,12.899253,-0.34303653,5.1319666,-2.0326853,-2.2777414,-2.1444483,18.538813,1.1500514,2.7218738
6.428485,-1.7273283,0.21126056,20.031948,-2.7654262,5.4258814,-4.3454704,-3.5467753,-6.4151034,13.757526,-0.13772178,-0.47552776
