class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.041040365,0.019006103,0.05355974,0.043423306,0.024546131,0.05519598,0.046020616,0.018532522,0.060995378,0.04097865,0.02702345,0.051597685
0.04015215,0.017631078,0.05093558,0.03982794,0.023217127,0.05024307,0.046447966,0.02890655,0.051837012,0.043607466,0.017236095,0.060713656
0.040498648,0.025332049,0.049883302,0.039947398,0.02589847,0.04914402,0.044339,0.024679672,0.05448353,0.041715585,0.021706112,0.058295738
0.040618908,0.01920103,0.059494928,0.044312168,0.029042093,0.051253505,0.04156819,0.02173778,0.05258735,0.04570897,0.026484482,0.053666383
0.045511372,0.028949706,0.051204883,0.04127537,0.022074519,0.059784018,0.04084561,0.025023792,0.052290916,0.044762425,0.026190082,0.056227542
0.046673115,0.030209562,0.052613147,0.042281657,0.019647844,0.059061296,0.045560937,0.026053179,0.053686716,0.043847088,0.026257798,0.054886628
0.04121822,0.017861087,0.051313203,0.03830942,0.026731383,0.06400335,0.045967244,0.026533764,0.053710632,0.04093419,0.026349343,0.051370557
0.04423339,0.024763938,0.057505354,0.039575346,0.023194913,0.050340235,0.039577402,0.024073113,0.061441056,0.041150667,0.025143139,0.052525796
0.044561107,0.027050221,0.055040173,0.04013151,0.019912561,0.056353197,0.043600485,0.024126198,0.053918682,0.0429863,0.028175268,0.05033685
0.04116033,0.022212354,0.05876971,0.048005003,0.031052925,0.055014465,0.046336483,0.02653334,0.05315495,0.042043503,0.022901464,0.05347474
0.039925784,0.016451348,0.056016415,0.04224596,0.023619654,0.057120994,0.04504167,0.01731619,0.059588604,0.04808539,0.027847944,0.05676931
0.043712653,0.023236679,0.054418202,0.046795398,0.0282077,0.053375013,0.041983083,0.025171023,0.053492382,0.043091614,0.028320579,0.050332103
0.040218126,0.0236218,0.060889523,0.041103914,0.021910045,0.05758862,0.041425467,0.022754882,0.05293311,0.043610647,0.028822321,0.050964147
0.041205894,0.02397712,0.051986583,0.038700473,0.016500331,0.058044992,0.039084308,0.027152501,0.061744176,0.039552733,0.026874062,0.061448187
0.04168812,0.02354134,0.05821905,0.045904603,0.029547738,0.051623978,0.04421161,0.02563089,0.054909337,0.041437585,0.025038086,0.052530542
0.04071178,0.024021737,0.050356556,0.040274575,0.025219511,0.048759222,0.040785175,0.021994065,0.050853092,0.040869433,0.026241496,0.056130704
0.042711988,0.018353667,0.058271836,0.03963753,0.020897768,0.059534352,0.04804048,0.030000549,0.054151714,0.039604135,0.020418525,0.06019791
0.040844344,0.021045271,0.05980429,0.042204767,0.022734737,0.053252846,0.045089584,0.02791451,0.051061586,0.046167042,0.025927993,0.050920166
0.043739043,0.024513502,0.05751117,0.0399952,0.023252785,0.059072703,0.047485054,0.030160854,0.055015422,0.04334115,0.017527658,0.060846727
0.040210072,0.019010905,0.059498765,0.035953447,0.025499362,0.06022422,0.038185555,0.026546713,0.057392456,0.04325176,0.019143619,0.058746338
0.047371715,0.028713759,0.05592127,0.041259512,0.02244122,0.0570385,0.04462734,0.027707491,0.050608106,0.03857218,0.0164506,0.050838176
0.040619235,0.025480118,0.04948332,0.04055187,0.021257125,0.055982754,0.04459173,0.025591131,0.055185758,0.038675528,0.026493825,0.06213574
0.04572526,0.028781949,0.054223582,0.047276113,0.031083994,0.052127525,0.048340738,0.02923638,0.05261706,0.042168584,0.021131352,0.058763772
0.045136258,0.026201934,0.056412887,0.041965082,0.020562885,0.057755843,0.037980232,0.025239505,0.059400577,0.043067876,0.022006325,0.058211252
0.0420178,0.018918857,0.05883172,0.04640068,0.026449773,0.056821384,0.047343835,0.029780662,0.055058897,0.042650953,0.024407595,0.057005055
0.043117464,0.023808617,0.05448585,0.0414119,0.018529182,0.05081931,0.046013348,0.02581093,0.051124167,0.044892,0.028725047,0.050763264
0.044459887,0.02367641,0.053313702,0.04274497,0.023294553,0.055447493,0.037878063,0.016784139,0.05417305,0.03943854,0.021478418,0.054699704
0.04046397,0.018019553,0.05410666,0.042603295,0.021347972,0.056879453,0.038061857,0.017139215,0.05361975,0.04347772,0.020150214,0.058703814
0.0423318,0.023194108,0.05459141,0.0444493,0.023967434,0.052658807,0.040001586,0.023158919,0.05132269,0.037318166,0.015469382,0.056171697
0.038651504,0.02420729,0.059073143,0.039663374,0.02036856,0.05193659,0.046132606,0.026455676,0.05118781,0.04721291,0.029462788,0.055919524
0.047692977,0.030624522,0.051943123,0.042740986,0.017766414,0.057240248,0.038602855,0.021385293,0.052206405,0.042027533,0.025018357,0.058238827
0.04216888,0.023439635,0.053698562,0.04719785,0.03104988,0.05226829,0.04187444,0.027854163,0.050256535,0.04525814,0.028362615,0.05076643
0.04038746,0.026135093,0.061695084,0.03918907,0.022695987,0.06171394,0.04243189,0.022846948,0.056710854,0.04305609,0.028238276,0.050348096
0.047777317,0.030312277,0.05222934,0.0402975,0.025996812,0.049756113,0.043599546,0.018926457,0.06044153,0.039935343,0.01652981,0.053234503
0.039850287,0.01769497,0.055328168,0.04370459,0.025032109,0.055552147,0.040000435,0.017082997,0.0515351,0.044368714,0.024535615,0.053022858
0.040670305,0.024609316,0.049465626,0.04394626,0.026286291,0.054545566,0.04560237,0.026604218,0.052661378,0.037867364,0.016187223,0.057899598
0.043886885,0.029282283,0.050962295,0.047415074,0.028606012,0.051683392,0.044397503,0.019103188,0.059007652,0.041115124,0.026946034,0.0503845
0.046910867,0.027251627,0.05124966,0.04637307,0.028320469,0.05138236,0.040763844,0.021027304,0.053656414,0.04034992,0.026849002,0.051243074
0.040845796,0.026792902,0.04929487,0.042344317,0.018885178,0.056423414,0.043307763,0.02180998,0.057939567,0.04862409,0.030645665,0.05315105
0.04381842,0.024741452,0.05734452,0.04817331,0.030308327,0.05125681,0.03961532,0.016385056,0.058013342,0.042423043,0.020260446,0.050761797
0.04669349,0.027380243,0.051561553,0.045945503,0.025216348,0.058370203,0.0431403,0.018552503,0.057829466,0.043371588,0.017315678,0.06043958
0.040683605,0.019688403,0.05767373,0.040422734,0.025326533,0.05845073,0.038595237,0.015661035,0.058535334,0.038134187,0.021838969,0.061134577
0.04585049,0.026029972,0.057446525,0.047869567,0.02796119,0.056585208,0.043450546,0.020276383,0.058609907,0.042691723,0.019406939,0.059839778
0.043423183,0.024539672,0.056984298,0.04107331,0.024301022,0.052351184,0.04439398,0.029741239,0.051309746,0.04233177,0.019670889,0.059315383
0.045107078,0.028418899,0.053299814,0.036535293,0.026883837,0.06261872,0.040237427,0.0223004,0.053632684,0.04512115,0.025294892,0.053852968
0.040618613,0.02470333,0.058740765,0.03995547,0.022345876,0.058975644,0.038565595,0.0277503,0.0603118,0.039651122,0.025774907,0.059393153
0.045341775,0.029079381,0.051569544,0.03969522,0.021700965,0.05882496,0.043626226,0.024781674,0.055057306,0.047089815,0.031245979,0.055061933
0.039044444,0.024328908,0.058519296,0.0405564,0.022695841,0.05138686,0.04523277,0.02823314,0.049345814,0.04113017,0.021501198,0.05617937
0.046784148,0.030352622,0.051854197,0.04674474,0.027604781,0.052501127,0.046154864,0.026462134,0.05379039,0.044715595,0.023962118,0.056663282
0.047466043,0.030861301,0.051832754,0.040762737,0.017921772,0.05897217,0.03641495,0.026715549,0.059598155,0.03852914,0.022451676,0.0617551
0.03991426,0.025450703,0.048685707,0.040309437,0.025936773,0.049028203,0.041789398,0.021153877,0.052303154,0.038795397,0.019455105,0.05174102
0.047513414,0.028842654,0.055304512,0.04302127,0.019560797,0.05888238,0.048448015,0.029035475,0.052542906,0.043201715,0.024060313,0.054600224
0.044954106,0.02818666,0.053868193,0.039366376,0.017134948,0.058421973,0.04441624,0.027994882,0.04916186,0.04168663,0.025069956,0.05250654
0.045957394,0.026695136,0.056840852,0.047372185,0.02737302,0.056884583,0.043655448,0.02024197,0.059481993,0.045228902,0.025387496,0.056007598
0.04646804,0.027887646,0.05052779,0.046515018,0.027703382,0.05235424,0.038362555,0.02353497,0.06100616,0.048937067,0.029933903,0.053016625
0.039913863,0.019024184,0.0596117,0.040313885,0.02121583,0.055251725,0.039512,0.023775062,0.059632353,0.04123168,0.022055946,0.06086269
0.047160506,0.028098222,0.055171017,0.040575095,0.022413492,0.052319266,0.04287086,0.0245897,0.057344146,0.04096895,0.019409418,0.056099482
0.03820956,0.024690796,0.058826275,0.046190396,0.029270746,0.053890944,0.042123348,0.02768527,0.049813624,0.045666564,0.026747968,0.050648168
0.044583384,0.025274795,0.057049926,0.042722143,0.017727137,0.057418853,0.043645266,0.028770125,0.050490472,0.040209237,0.016842693,0.056773257
0.04751812,0.02908485,0.053374883,0.040120915,0.025264803,0.049354713,0.039765526,0.024073962,0.04994229,0.049004402,0.031050583,0.05522509
0.04303898,0.023680218,0.058007937,0.04659594,0.029260801,0.05492354,0.04516093,0.027811369,0.05110401,0.044302195,0.025391093,0.055441964
0.038000487,0.022410035,0.053455885,0.04314509,0.02534919,0.05454994,0.04018855,0.022180084,0.0529437,0.048248723,0.030296765,0.052278243
0.03969974,0.024249583,0.061672583,0.043919507,0.01726734,0.058057193,0.047539834,0.031500533,0.051862005,0.042179678,0.024832347,0.058458753
0.045156483,0.029596671,0.051338874,0.04680501,0.028797705,0.054463133,0.044523954,0.027152399,0.051927812,0.038853873,0.01694711,0.056782153
0.04019558,0.02136427,0.05620405,0.04320454,0.027933765,0.04920537,0.038854327,0.016761824,0.05678697,0.040224873,0.02373688,0.05150665
0.03929857,0.024869202,0.058647513,0.043345094,0.018580122,0.05736241,0.038565826,0.025587814,0.062091503,0.043575987,0.023396224,0.05701236
0.043776713,0.025628313,0.05512297,0.040378794,0.024390992,0.058309652,0.04139082,0.027800078,0.05020597,0.048817977,0.031318963,0.05380298
0.04180614,0.019958366,0.059470452,0.040963154,0.019229852,0.059430495,0.04738227,0.027717525,0.051197253,0.039664652,0.02123186,0.059379607
0.04284136,0.02344088,0.054544464,0.042022374,0.021821197,0.058915466,0.04452202,0.02664543,0.054823376,0.041012827,0.026961844,0.0516943
0.037969477,0.028459035,0.062294494,0.040091645,0.02366354,0.05017192,0.044565354,0.026440725,0.05515534,0.04710664,0.028151471,0.0514161
0.04697838,0.027472038,0.05691168,0.04780693,0.029485412,0.05162865,0.04868079,0.032094296,0.055526886,0.043566376,0.018379841,0.05738575
0.039164405,0.026556507,0.063417435,0.038381513,0.025262114,0.06294721,0.039361376,0.024869015,0.0619777,0.03804387,0.016035473,0.05766759
0.038083114,0.022322405,0.05400616,0.043027483,0.019739654,0.06032089,0.048380163,0.030680574,0.052205846,0.03812653,0.027278244,0.06499572
0.045990624,0.026051164,0.051023267,0.047837805,0.027974367,0.05105682,0.03816211,0.017162342,0.052834287,0.040981777,0.02706829,0.050159924
0.03976781,0.018529218,0.059016608,0.04807833,0.031274993,0.054998733,0.036932148,0.026913662,0.06056246,0.041077375,0.018662665,0.04962441
0.041504387,0.02426095,0.052622538,0.040875375,0.017895874,0.049569253,0.044215817,0.024814472,0.054380562,0.039333157,0.024046747,0.050348822
0.03994174,0.019034475,0.0528393,0.03961302,0.024917336,0.050614562,0.046236802,0.026684102,0.052972004,0.042115163,0.02574484,0.056968223
0.03728917,0.028471498,0.06317629,0.041907493,0.024071774,0.057932135,0.044150226,0.024323072,0.05346527,0.044433907,0.024967888,0.054197013
0.040548965,0.01807307,0.05169298,0.045468025,0.026953746,0.05592946,0.040472172,0.026582584,0.05103214,0.045994665,0.026234943,0.05101775
0.040438276,0.02082863,0.0601367,0.039292343,0.022529444,0.05972757,0.04451491,0.017498642,0.060175285,0.048387066,0.029986406,0.052129135
0.039610676,0.018576425,0.059237532,0.037919406,0.01673592,0.057697203,0.040021047,0.024227012,0.062181257,0.044292964,0.024337094,0.05386022
0.04719616,0.029034074,0.054666262,0.043827675,0.026319874,0.054680876,0.036154393,0.026727704,0.059322786,0.0458042,0.026220318,0.051607728
0.047538966,0.030477399,0.052735385,0.040523157,0.027761646,0.04916072,0.04485232,0.02808052,0.049344786,0.04043672,0.020889323,0.056430172
0.039884847,0.02111531,0.05826299,0.046864934,0.027739441,0.052254364,0.04423322,0.024880912,0.055373654,0.03870633,0.025716169,0.061271023
0.040056933,0.01890415,0.060061444,0.03997667,0.020860305,0.051766053,0.047969237,0.029081797,0.05256752,0.0392313,0.025723305,0.058721904
0.04089447,0.018986098,0.053553067,0.047661774,0.02748845,0.05684137,0.04696365,0.030856516,0.052843306,0.038627867,0.017273378,0.05395566
0.046984244,0.028402109,0.054731004,0.034373242,0.025845036,0.06128965,0.038496308,0.022844054,0.052640446,0.042509433,0.028085489,0.050183337
0.041957926,0.027468514,0.049152818,0.03828342,0.017091967,0.05697532,0.04011154,0.02515303,0.048859365,0.042228304,0.023783967,0.057360366
0.03973791,0.019016804,0.05875504,0.04556791,0.028738882,0.050952483,0.042504612,0.0274318,0.04991721,0.038030997,0.027555434,0.058747273
0.047769643,0.03074208,0.05174122,0.042368665,0.020429073,0.05990379,0.04468948,0.026774859,0.0548143,0.038297944,0.026228229,0.05754394
0.03674917,0.027920224,0.05902581,0.043875143,0.02449243,0.058334786,0.04640249,0.028797802,0.05544394,0.041682646,0.024798412,0.057446793
0.04178637,0.019966725,0.05968431,0.040899225,0.024893746,0.05179283,0.0457628,0.027600538,0.054933164,0.044647805,0.026331624,0.05568833
0.041678388,0.020195644,0.056963716,0.041424416,0.019089904,0.06049029,0.040109873,0.017149646,0.057243392,0.047041632,0.028017888,0.051275134
0.041928027,0.019188266,0.05936504,0.045641087,0.028906103,0.051438823,0.040833995,0.018513635,0.049578235,0.040992737,0.018965758,0.050035436
0.03994388,0.017288668,0.055348538,0.046212893,0.029832909,0.051382355,0.042807184,0.027673297,0.05002218,0.039314218,0.01716098,0.050973177
0.043076105,0.02370488,0.05457957,0.040316325,0.027128432,0.049127594,0.043728154,0.020510534,0.058697686,0.047092624,0.031203397,0.05508773
0.03964903,0.024020066,0.061428204,0.040087994,0.025821432,0.04947681,0.038220756,0.022794988,0.05205272,0.040438473,0.02679713,0.04926756
0.04749753,0.02808589,0.050384123,0.047195595,0.028354226,0.052567195,0.03843832,0.016540293,0.05795705,0.040177803,0.02534287,0.04869754
0.040508807,0.024581647,0.049144372,0.047803864,0.030614337,0.051121987,0.048800163,0.030597663,0.05521649,0.04785614,0.028945671,0.05371317
0.039844368,0.018320289,0.058773667,0.041595265,0.021393433,0.055975858,0.042858787,0.020162525,0.058010682,0.043638565,0.0261726,0.05561437
0.04085899,0.020745642,0.05773078,0.035856504,0.026692744,0.05990229,0.040825173,0.018977731,0.056128055,0.048077315,0.028244557,0.056602273
0.04545133,0.028727174,0.05123806,0.044280738,0.023751099,0.053593006,0.045570005,0.02645947,0.050697796,0.039308313,0.025159085,0.057464566
0.03926785,0.020853147,0.05252025,0.039073415,0.017918875,0.049006067,0.045377918,0.028185878,0.049922936,0.043007974,0.019042851,0.05981095
0.039102115,0.024153408,0.058641516,0.044527613,0.024878453,0.054999642,0.039972726,0.021539565,0.05739105,0.040754847,0.022931391,0.052350465
0.047304712,0.028764537,0.053457685,0.04041379,0.02603892,0.04958929,0.041826777,0.021433728,0.0572687,0.045304447,0.028380398,0.05161834
0.041515037,0.023496738,0.057062276,0.047366768,0.029430686,0.05184161,0.040474284,0.016407436,0.058137495,0.039589003,0.026988043,0.061412234
0.040099666,0.02017435,0.057825297,0.039683428,0.017656501,0.05058971,0.041278988,0.021657623,0.05194772,0.03893865,0.025698684,0.06131623
0.048042893,0.030089203,0.053357,0.04590985,0.025633663,0.058218747,0.044447087,0.027403211,0.05490434,0.041536983,0.020705564,0.05742895
0.045869984,0.029163508,0.05401843,0.043875277,0.029115219,0.051735424,0.045761928,0.025937688,0.05171115,0.043032117,0.027653255,0.049373616
0.044725828,0.029173084,0.050975885,0.04217323,0.019314982,0.05874635,0.037942365,0.021745592,0.061033912,0.047375303,0.028243612,0.052788414
0.047562763,0.02937293,0.053554907,0.039697085,0.018837579,0.057541568,0.04761009,0.028432831,0.050796796,0.047624785,0.03199465,0.055100836
0.040417746,0.020924294,0.05915148,0.048152864,0.030118305,0.053257294,0.046431508,0.026677236,0.053074103,0.041333072,0.02611176,0.052181013
0.046541825,0.026701849,0.051106967,0.04209812,0.023782942,0.057526994,0.03890921,0.024928307,0.061750885,0.042816095,0.019406449,0.059916437
0.04755674,0.029987779,0.052211635,0.047953583,0.029194057,0.052043706,0.04509639,0.02842638,0.049870875,0.04623242,0.026203953,0.050807178
0.04702952,0.027007041,0.05140901,0.043332003,0.023727313,0.054859802,0.049044706,0.030529037,0.054033294,0.048893142,0.03213218,0.054561444
0.04064679,0.023773588,0.050678022,0.045841537,0.02838503,0.05115643,0.04163942,0.024802074,0.05303386,0.039267305,0.024919694,0.061484806
0.042195264,0.018909194,0.058981873,0.042808987,0.01897263,0.058844935,0.048867654,0.032019123,0.055287015,0.04321829,0.028801028,0.050954025
0.04330948,0.028051317,0.04938115,0.040378526,0.018964564,0.059432507,0.045295186,0.026510233,0.053653587,0.039395217,0.024987936,0.06274692
0.041508544,0.02675941,0.059096172,0.04626152,0.027229398,0.051919974,0.042907447,0.02789751,0.04991379,0.039761975,0.022456761,0.057028905
0.04781633,0.030138275,0.055189334,0.038537856,0.021784564,0.05356424,0.04627279,0.026515746,0.05358687,0.043490786,0.01782298,0.060617484
0.041685857,0.023660796,0.0529748,0.047761243,0.027874704,0.056592792,0.044568658,0.02714586,0.05508604,0.041267566,0.022308348,0.060750835
0.038410176,0.021470748,0.052877188,0.04297174,0.029211756,0.051769108,0.04153214,0.020066498,0.05990738,0.037148435,0.023208972,0.060360875
0.048148617,0.028110655,0.050325993,0.04749713,0.027791109,0.056306403,0.048559144,0.032696664,0.055001374,0.043414086,0.026033185,0.055288047
0.039679714,0.024778292,0.062187925,0.043417506,0.026060885,0.05432552,0.04764632,0.028263327,0.05065927,0.044646326,0.025146611,0.054737262
0.04027864,0.01856004,0.05268805,0.041869756,0.019097732,0.057322446,0.045410916,0.026681872,0.053862974,0.04468456,0.02814854,0.049056336
0.04190473,0.020669695,0.056893457,0.04880711,0.030410128,0.05161536,0.03979352,0.017131906,0.05185915,0.038986653,0.01822133,0.05149585
0.03982945,0.019928636,0.052659657,0.04619118,0.028197039,0.05089672,0.04312229,0.019083103,0.059762172,0.045076206,0.026550658,0.05611102
0.039528154,0.02623032,0.06282233,0.04229742,0.02154845,0.057107937,0.038768444,0.016954081,0.05104033,0.04603198,0.028262947,0.051367853
0.040650833,0.017996,0.050769463,0.042953126,0.023956727,0.05500644,0.040144213,0.021281037,0.05049589,0.04072972,0.026738029,0.056565464
0.041706827,0.019308172,0.05885768,0.044000525,0.0192807,0.059614055,0.039514843,0.024251122,0.0583368,0.04034523,0.023050439,0.052018434
0.04102192,0.019298248,0.053613227,0.040405788,0.01936264,0.056588944,0.044084854,0.024571981,0.05543369,0.04139648,0.02183693,0.052421294
0.03988222,0.026016815,0.05912613,0.04438699,0.024119236,0.054462444,0.039950773,0.024150468,0.061846163,0.04463271,0.029131753,0.051877268
0.039154135,0.025253162,0.058470514,0.039560445,0.021162946,0.053224523,0.038189515,0.015108699,0.05858734,0.04228588,0.025597993,0.053774755
0.040017966,0.024985988,0.05777211,0.046017572,0.02933607,0.051889442,0.03706097,0.026662031,0.05857932,0.0467722,0.03048952,0.05256798
0.03976413,0.019245518,0.05751612,0.041128952,0.018476235,0.05034719,0.03954637,0.021894583,0.05977919,0.0408442,0.026705064,0.05009436
0.041200258,0.022357648,0.058958426,0.046656415,0.026718846,0.052443616,0.047721826,0.028443482,0.054900073,0.039673667,0.021316508,0.059718195
0.04614511,0.027008291,0.05719456,0.041108277,0.02245756,0.058162794,0.039445497,0.017479617,0.048869547,0.04745616,0.028400246,0.0542044
0.041333467,0.023687152,0.056910284,0.047242243,0.031289324,0.052287646,0.040742632,0.022306507,0.052764118,0.039455805,0.026397899,0.059417613
0.03946455,0.019091804,0.059405908,0.039831445,0.02136661,0.055156153,0.045036107,0.028531723,0.05008821,0.0406923,0.021181986,0.057555743
0.04031293,0.024738295,0.057399925,0.04226175,0.019510716,0.058581106,0.039802983,0.017972473,0.049871035,0.038926613,0.02234346,0.052954733
0.0408848,0.021062333,0.057516187,0.0443462,0.023732081,0.05388733,0.039158277,0.025420807,0.062060565,0.038324993,0.021848155,0.061619774
0.043802418,0.024487153,0.057394825,0.040216103,0.018684471,0.05666498,0.040174898,0.021114105,0.05613814,0.04140125,0.020613562,0.05895908
0.043492153,0.023788083,0.0545443,0.04778853,0.029619556,0.05515956,0.03944547,0.016832177,0.05213604,0.047980618,0.032378495,0.055220194
0.046825785,0.028395936,0.054048147,0.03905525,0.023024457,0.058170833,0.037679374,0.02681086,0.0584633,0.04749816,0.028873764,0.054172657
0.046323255,0.025819864,0.051241547,0.045540795,0.02588421,0.05628612,0.038849004,0.01757593,0.0514162,0.041995846,0.024446718,0.05823263
0.04733007,0.028503872,0.05059137,0.040098622,0.022807542,0.050873607,0.04729739,0.031194251,0.05262763,0.04767456,0.027986517,0.056395106
0.040129125,0.022485403,0.058868036,0.042662468,0.02425515,0.05402478,0.03830475,0.02247594,0.052973002,0.04006993,0.02529804,0.062171362
0.04155213,0.019856643,0.059456095,0.03984649,0.022139853,0.051352724,0.04028681,0.02275477,0.05319333,0.04708092,0.029007569,0.05440128
0.04015881,0.02548943,0.058389336,0.047327723,0.028851118,0.051803447,0.041695416,0.022906037,0.056096222,0.041223083,0.017913118,0.05900086
0.041429926,0.023344293,0.05258339,0.04688081,0.02741146,0.051295005,0.04423798,0.02659275,0.05284515,0.04507823,0.02564835,0.054047354
0.041453462,0.023894634,0.052463308,0.036244787,0.026536679,0.05852715,0.038723975,0.029118953,0.0632561,0.039790887,0.020422619,0.06011916
0.04782138,0.029993344,0.05540626,0.04187917,0.019462647,0.051881492,0.040915217,0.018692687,0.04942658,0.038227297,0.026274724,0.063198656
0.03957367,0.018118158,0.057531174,0.04132073,0.018833596,0.05785463,0.04107357,0.021516599,0.05316959,0.044548746,0.025908472,0.05562597
0.04189162,0.019875212,0.059581615,0.044295043,0.017463269,0.058621086,0.046203367,0.028210323,0.051177423,0.048501767,0.030590422,0.053599868
0.03677252,0.02781116,0.06224246,0.040615104,0.026136208,0.049511444,0.039076872,0.018666321,0.057139244,0.041848212,0.019827746,0.059573155
0.04170773,0.027926143,0.049258508,0.04395627,0.024389826,0.054865517,0.044391118,0.027935207,0.050687075,0.04449492,0.028131802,0.049449034
0.040364295,0.017842725,0.050492685,0.04006144,0.018316953,0.05010363,0.044558965,0.024374174,0.05214686,0.044311706,0.026561026,0.05170094
0.038037,0.028867539,0.062530115,0.04464948,0.024697822,0.053882927,0.047123432,0.031040035,0.052613884,0.0377875,0.022575734,0.060783077
0.037935764,0.02214666,0.05323763,0.043858435,0.02504056,0.05553414,0.044943996,0.02771857,0.050888285,0.04043773,0.021952122,0.056755014
0.04084992,0.01774777,0.053027112,0.038969666,0.022740616,0.058876883,0.040789656,0.026283188,0.049126215,0.045551453,0.028125757,0.051189788
0.04257517,0.019197898,0.058245778,0.047845103,0.028520565,0.056336943,0.048637733,0.032287605,0.055482402,0.04164788,0.020076687,0.05927469
0.042056195,0.018774845,0.0591764,0.03989768,0.017536055,0.054490678,0.04964434,0.03130698,0.055562444,0.0432559,0.01842134,0.058713533
0.040421925,0.025208388,0.049325973,0.047700144,0.026829146,0.057352837,0.04378668,0.025244657,0.05463271,0.037334964,0.02728587,0.056344066
0.044766,0.024464183,0.05294498,0.044690486,0.024743274,0.052793834,0.04076807,0.023566704,0.05877618,0.0358051,0.02492484,0.061116084
0.042433113,0.02803263,0.04909187,0.04049537,0.017356677,0.04911704,0.03986542,0.019187193,0.0562214,0.03854035,0.016567731,0.051219665
