class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-2.7042515,-1.1953716,0.581291,1.8843933,-10.060268,0.8339525,-2.6295266,0.815964,3.0148265,0.6621727,-7.5232434,-1.0033071
-3.0973487,-0.54007316,1.4402046,-0.5658077,-9.413675,-2.2424204,-1.6170561,-4.798468,0.49504548,2.4313936,-16.06525,-5.0001955
-3.6699367,2.1246266,2.9094343,0.072125316,-9.324009,-1.9103451,-1.9925252,1.9427483,5.205391,-1.3375795,-6.1682706,-0.78535694
-2.6512282,-1.5449543,-0.38183898,-0.9623605,-11.747314,-6.167064,-0.5679952,-5.1506886,2.163835,1.2515067,-10.349913,-1.1569686
-2.525985,-2.9537225,-0.6429691,-1.3394511,-7.5524335,-2.574224,2.347365,-6.033135,3.3299265,-0.097990155,-8.219833,-1.3278399
-0.5952893,1.1430185,5.025232,0.78431785,-8.615658,-0.94158,-2.2244883,-4.0451245,-1.874793,1.3386236,-12.522753,-4.1485195
-5.019378,10.740732,7.4910913,0.9302459,-10.02508,-2.2113466,-5.9351106,3.4314637,0.0928812,-1.687641,-7.470609,-1.371119
-4.616501,4.9106016,4.6649556,-0.63146675,-8.912062,-3.0664306,-2.4994597,0.3512044,2.1905735,1.0168598,-13.407215,-4.2002134
-3.5079832,-1.9900627,0.6123592,-2.67051,-7.0442033,-2.513482,0.24188328,-2.4923034,2.5671563,1.3544627,-7.945805,0.46624762
-4.9846444,10.338924,7.991611,-0.472996,-11.204784,-4.1128526,-3.5216393,0.7507889,-0.2128101,1.2746803,-14.879463,-5.5437202
-0.09842086,-4.431258,0.8937867,-0.12793696,-8.009649,-1.8328898,-1.7513902,-3.839682,-0.91475624,0.20620108,-8.89743,-1.8569732
-3.8122234,2.073844,1.6182587,-2.9215078,-5.857243,-1.4119151,-4.9125953,8.316982,6.529129,1.0705963,-13.304676,-4.6932187
-3.4877667,6.1394167,5.6964936,1.0081544,-9.372524,-1.248663,-2.572118,-2.061707,-0.06918359,-2.6526184,-1.4608512,-1.03754
-2.9017153,-2.5101523,1.1256206,-0.8248249,-11.047539,-5.291787,-3.672647,0.2777388,-0.12378329,-2.5851917,-1.4450183,2.225269
-5.270671,8.494181,7.2548428,-1.0606803,-10.302597,-5.1280284,-1.4207065,-5.536592,0.22088295,-3.8972874,2.1163,2.4876976
-4.7614865,6.813336,5.1555204,-1.4489497,-9.628757,-4.943713,-2.7856224,-3.0399432,-3.1642957,-3.9320345,-0.6681421,1.4003146
-3.9966502,2.4947984,1.9180839,-2.1723323,-7.535707,-2.3389845,-0.49789315,-5.7736955,-0.0031966567,-1.8116536,-5.216582,-0.46792084
-3.4188032,0.7788024,0.98128945,-1.3776433,-9.19132,-5.4829283,-4.856206,0.241323,0.19352514,0.4715401,-8.170618,-1.0247631
-2.38017,-0.5136986,1.3982682,-1.8566263,-9.001989,-2.8940775,-2.6031818,0.5699773,2.6467323,1.9337465,-10.875555,-2.213132
-3.4690313,2.1284637,4.1709714,2.9369311,-13.993944,-0.27737278,-0.4176545,-5.362064,0.42038304,-0.20841128,-2.2801085,3.3550255
-2.053388,2.2125087,4.608394,0.9054326,-6.9758945,0.8443602,-1.4848146,-3.4846458,-0.21920532,-0.59084404,-6.7677426,-1.4858928
-5.417815,5.6372476,2.6432889,-0.50903106,-7.462109,-2.4672666,-2.5655472,5.726419,5.427321,0.28191066,-6.491635,1.3672056
-2.0527315,3.055646,4.3079257,1.7100514,-14.292246,-4.2245455,-1.8748682,-5.1360536,-3.8434315,-0.48695147,-10.27446,-6.302157
-1.6197776,-0.44160604,2.5796115,1.7146293,-11.794558,-1.3838925,-0.8436024,-2.1531782,3.48109,-3.3901505,-4.958635,-2.1319818
-3.9786258,5.5674644,3.6589293,2.1779776,-8.244976,1.4303701,-2.1700482,-2.3410401,0.6170314,0.24329758,-7.345181,1.510978
-1.5301801,-0.24392986,3.1676726,-1.8342096,-3.7811418,0.22828346,-1.2691708,-1.2978573,1.844738,-2.6065943,-10.084131,-5.024784
-2.6655416,-2.4253407,-0.9954671,-0.09810436,-11.143578,-2.8538675,0.11688435,-11.546146,-4.326454,-4.2664146,-3.583507,-2.3001046
-2.6901746,-1.2479486,0.8011773,0.615235,-8.512205,-1.415945,0.2772205,-2.8602786,2.1698232,-3.0225267,-0.7375345,2.765739
-1.5650791,-3.7541423,-0.3074302,-0.7606683,-9.813112,-5.802466,-1.0159736,-2.3348455,2.3951764,-0.8127898,-5.776797,-0.9336081
-2.0173588,-3.518859,-1.1959224,0.7405181,-3.8937016,2.9649885,-4.8742957,3.8522215,3.0066075,-1.3050859,-6.1640296,-0.57221574
-3.8068962,0.8206767,-1.2504663,0.9008653,-12.995329,-5.036984,-0.84687746,-5.066944,0.8555754,-0.97250974,-4.8425584,1.0999377
-1.1678888,-7.3577113,-1.7220364,-0.5905007,-7.255132,-0.814207,-3.1669436,0.6919296,1.981648,-1.8570405,-5.180283,1.2806578
-4.8267126,10.42651,8.192002,-1.3864384,-6.1669965,-1.8194597,-1.9385241,1.6261544,4.3903823,-0.2164855,-7.7366633,-1.154046
-1.3784901,-1.3104935,2.5684414,2.5006824,-10.648544,0.11686736,-2.0861588,-6.5613074,-4.976448,3.6987023,-11.130638,0.9484766
-1.2280813,-0.0009942055,2.8035617,-0.7591438,-7.5263677,-1.8392835,-2.9825087,-2.7777638,-2.6949522,-0.33230358,-0.949059,4.7599473
-1.1713499,-0.42592955,3.9160004,-1.0307335,-7.2870784,-1.4340391,-4.813318,7.556745,4.9381022,-0.10701764,-10.433235,-4.9538236
-2.837289,-2.9866714,-1.0839095,1.442505,-6.202001,2.224437,-1.987817,-2.649722,0.71024543,-0.068454504,-7.963405,-2.4934647
-2.4655414,7.2871,7.2513676,0.34095538,-10.399149,-2.235394,-0.092152834,-10.181732,-4.681256,2.5954447,-16.326504,-3.8360386
-1.4341655,-0.60955524,3.084066,-1.8969781,-10.031065,-5.4017563,-5.6815763,5.7582035,3.6766136,-0.021643758,-8.318457,-1.8214989
-2.6705637,-0.84194064,1.1986766,-0.29089832,-7.964804,-0.7670781,-1.2322019,-8.563255,-5.6614704,0.13858676,-7.4253783,-0.71042246
-3.5070324,1.4081964,3.9336545,-0.4692999,-11.108551,-4.5689893,-2.682677,-0.51929235,1.1470981,-1.0473155,-7.7228904,0.34557468
-4.304919,3.974821,3.2428203,-0.3138697,-5.11321,0.051778376,-4.4166913,3.5046787,2.2937052,2.8272939,-16.033243,-4.8600454
-5.7673993,6.955363,5.147745,1.539812,-8.35178,0.6347545,-3.806264,1.3585668,0.3495497,-1.5576411,-1.4437995,2.8986793
-4.6299877,-1.4006958,-1.7685099,0.17835093,-11.4352665,-5.3976974,-3.7590156,-0.29203486,-0.24913794,0.8667177,-8.694094,-1.5642238
-3.4086351,0.90544534,1.2472446,0.18645,-6.020468,0.07728273,-4.07727,-3.690639,-2.1041746,1.2720853,-9.156652,-1.3146539
-2.5545297,0.8996259,3.605389,-1.8420174,-7.7792478,-6.2295756,-2.2682176,-1.8250384,0.8355908,0.34151435,-7.168534,-1.1636598
-4.442378,3.7056088,3.1371608,0.6616255,-12.095306,-3.3379164,-2.3082623,-5.8551917,-0.7738604,-1.4179491,-7.7194057,-4.858573
-2.1233582,-2.703814,-0.47466618,-2.3100433,-8.80106,-5.266888,-2.4657598,-2.7415738,1.665062,0.8639219,-6.194473,0.6528693
-3.7001624,1.7692571,3.098464,-0.77380323,-7.7351336,-0.90696377,-0.55710125,-5.286158,-1.0831199,0.9069861,-11.085733,-2.9401264
-4.3060784,6.531209,5.4042177,-0.02764064,-5.320534,0.97130376,-2.6582801,-0.28311038,2.506292,-0.9940481,-6.0867724,0.15131241
-2.859726,-2.1074395,0.42434174,-0.27822137,-8.817398,-2.6233835,-0.3213855,-10.77507,-3.1976213,-0.023950934,-11.283182,-2.8817616
-3.115501,8.01828,7.0091677,-2.2859259,-7.1170545,-3.670278,-3.3132563,0.9662969,1.9464118,-5.4564705,0.20907164,-0.9756803
-3.8434305,5.8570113,5.539066,3.9697418,-15.9359455,-0.5729322,-3.617166,6.5015497,5.923933,-2.69261,-4.585842,-1.3489587
-1.4664863,-3.4027395,0.05491811,0.6783651,-7.355581,-0.007986009,0.09132552,-11.38942,-4.344761,-0.24434799,-3.8406034,2.0602963
-0.7593276,-3.2179995,2.2080276,-1.0766321,-5.335995,-0.20778435,-3.4635983,4.4751177,4.6532664,1.1086323,-12.570272,-3.7180738
-3.0722456,5.654778,5.8992014,-1.6729908,-7.182965,-2.5323753,-1.962859,1.2347383,3.879981,-0.06015432,-10.034294,-1.990521
-4.7123055,9.410332,6.727619,0.12112069,-5.4468045,0.48250252,-4.106945,-0.8019519,0.96488625,0.35689247,-13.852707,-4.317271
-4.3571877,2.7496786,2.9939795,-0.9659747,-7.0512424,-3.0388126,-3.9711285,4.0876284,2.8772433,-2.5694785,4.526594,6.1029797
-1.2692056,1.6515971,4.6452155,0.43387187,-10.029753,-2.3410602,1.7683288,-11.96875,-2.3490355,-2.1571913,-0.6627612,1.1939108
-3.758883,3.7312706,4.6157193,-1.0579226,-0.24498749,3.1631517,0.003591895,-11.70319,-4.5594587,-1.6097382,-4.504638,0.00025171041
-2.4588385,-2.3138065,-0.31048816,1.5910312,-8.488853,0.46465594,-3.7012777,5.6867437,4.172812,0.39962113,-8.214453,-1.3077743
-3.0942316,-1.4935102,0.520353,-0.6886226,-4.3572626,1.1690466,-4.5454607,5.341696,3.9044604,1.0050042,-8.960964,0.4221738
-3.0139203,-1.2509255,0.35196382,0.77109015,-11.201586,-2.4658709,-4.1482162,0.3905568,-1.7374415,0.28623843,-7.254379,-0.552576
-3.8364682,3.4734766,3.5663133,0.21628022,-13.285082,-5.59364,-4.3489466,-1.2961926,-2.1037877,-1.2760649,-8.071051,-1.906971
-3.966403,3.4661708,3.5947428,-0.56871176,-6.412871,0.56279975,0.72379863,-4.611022,3.2248867,0.48048759,-5.126565,1.6274202
-3.8150735,2.9082546,3.3070345,-0.40219557,-11.743982,-5.238038,-1.6320763,2.0298035,3.9475315,-1.1643026,-9.149639,-3.882235
