class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
7.301162,-18.699617,-3.8538177,0.9876106,7.744925,-9.85111,7.732476,-19.900206,-2.3365605,-5.1695633,23.469353,-1.436684
4.077054,-0.9110744,0.60049045,4.750759,12.088127,-8.859563,-0.44730687,4.980148,-6.052146,5.3931284,3.4416633,-7.339851
10.586912,-19.412466,-0.38535157,-1.1809692,23.394375,-2.025411,4.868038,-2.626229,0.84540236,1.1791718,2.5537276,-5.6891756
3.6549733,1.4488511,1.4860675,1.1447983,20.945452,-6.533614,3.5611517,4.159827,-4.5684824,1.3542161,7.3147807,-0.9021807
12.473473,-19.321554,-0.062330276,-5.041847,18.26854,-1.601417,4.8655863,-7.3401675,1.1782604,-0.3757577,10.945749,-0.42795697
4.2293797,-15.306139,1.5917059,-1.4583604,12.462158,-8.23474,10.32304,-19.453184,-4.457135,-1.8935213,6.833305,-6.0173473
0.92102766,2.650723,-0.2724106,-1.117933,16.561436,-9.723744,10.737152,-17.564598,-1.2249814,1.5307517,12.163906,1.1247249
1.2197977,4.017957,-0.40794823,-9.551455,26.97626,-4.1857634,0.43717122,9.360975,-1.3984739,6.455572,-4.026085,-11.936099
7.027919,-11.422806,3.1279163,2.5233018,4.514873,0.67612076,5.949685,0.64632463,-6.9897466,3.905399,9.017361,-9.940064
5.338749,-16.121922,3.0411646,0.16368747,19.977215,-4.969206,1.3949969,-7.527184,0.20012382,0.5030012,20.31992,-6.9144278
-0.6495011,-10.228012,-3.532914,-1.2315528,21.980522,-4.420368,4.2008924,-2.3502269,-7.1995425,4.567089,0.24018335,-4.9650707
7.110015,-12.244669,2.7210562,3.463823,13.051308,-9.191305,-2.553661,20.64724,-0.45887282,2.394831,11.880413,-10.134214
0.38029706,0.2626295,-4.958008,0.44357133,13.289164,-14.26078,6.834754,-13.569181,1.5567641,4.669219,-11.731764,-5.4074907
9.543467,-9.527367,-4.053053,0.39933372,19.405685,-3.9738925,8.828951,-14.876207,-1.8640362,-4.41753,27.493916,0.2317954
10.418064,-15.615469,-0.014644951,0.660058,13.766129,-14.441576,10.383851,-21.160467,-6.007329,1.9784777,18.43499,-10.601229
1.7756686,6.9020514,1.8739183,0.0024540424,15.638336,-3.2535467,4.364936,3.839201,-6.383924,5.061673,2.8902316,-9.204314
4.97346,-14.291737,-4.7737107,3.137111,18.34933,-8.718501,0.9208789,-7.9328675,0.19126514,-1.7184727,5.8297963,-0.26389572
7.4976254,-15.036036,-10.354779,-0.68059707,17.24118,-0.12955311,4.435643,-3.3488116,-7.414574,1.3042214,16.316227,-5.0562816
-1.9383123,8.776871,-1.0619794,-0.60686016,15.101337,-15.682977,3.6589253,9.718468,-8.621397,-3.110716,25.028622,0.07607171
6.4353676,-11.263489,-4.804782,-0.5656707,22.758564,-0.8894789,-2.7594543,18.85176,-1.3360667,4.0352764,4.225101,-9.023177
5.044737,-17.89802,0.40985075,0.6122732,17.065195,-6.9797597,2.9345949,10.391373,-4.1923523,3.7537677,6.39562,-3.3338883
7.35476,-16.140642,-0.9448894,-1.3407984,21.204702,-12.199288,9.351841,-27.331186,-4.6592207,-2.3650334,21.053514,-1.0156707
7.0627146,-14.658794,-2.2440844,5.5232124,8.965925,-6.4653974,3.4800038,10.004494,-4.8005085,1.239364,5.5615363,-0.6323385
12.131257,-25.509764,-3.4854536,0.07617283,11.741409,-14.045018,10.220124,-19.276417,-4.588088,2.2223737,9.168375,1.148343
