class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.011378152,0.10800181,0.045239158,0.011659043,0.10808857,0.045032524,0.011569135,0.10814037,0.04528143,0.011647899,0.10820377,0.04518555
0.011559768,0.108063504,0.045072798,0.011646235,0.10804793,0.04525566,0.01164085,0.10818044,0.045019757,0.011622081,0.10820381,0.04522889
0.011482047,0.108139716,0.045088597,0.011566728,0.10808107,0.045295972,0.011425711,0.10809642,0.04519881,0.011649519,0.108142726,0.044985533
0.011647472,0.10809135,0.04526341,0.011416422,0.10809912,0.045121875,0.011512179,0.108164996,0.045089662,0.011367269,0.108004875,0.04528144
0.011388602,0.10801609,0.045248006,0.011445459,0.10810331,0.045145694,0.011718899,0.108147874,0.044992514,0.01135833,0.10801605,0.045313343
0.011599228,0.10806178,0.044991087,0.011644622,0.10821109,0.045240812,0.011735318,0.108092085,0.0450252,0.0117493905,0.10813852,0.04499732
0.011627112,0.10817991,0.045203198,0.01163421,0.10809646,0.044991568,0.011552835,0.108058356,0.045248117,0.011635309,0.10810167,0.045041848
0.01163242,0.10813454,0.045240097,0.011426469,0.1080961,0.04511792,0.011550633,0.1080835,0.04507898,0.011460703,0.10813791,0.04508785
0.011637164,0.10819548,0.04521296,0.011634024,0.10813495,0.04498855,0.011427473,0.10805589,0.045301404,0.011614814,0.108091526,0.045052677
0.011618277,0.10813385,0.04523946,0.01145401,0.10814233,0.04507082,0.011634707,0.10806178,0.04505381,0.011400092,0.108108,0.045109577
0.011624265,0.10805611,0.04528607,0.011606874,0.10807342,0.045019794,0.01137547,0.1080373,0.045320578,0.011637611,0.10820392,0.04521909
0.011406181,0.10803814,0.045255646,0.011612201,0.108192556,0.045217205,0.011546465,0.108035415,0.045020353,0.011455985,0.108144164,0.045097522
0.011564737,0.10807519,0.045062866,0.011612898,0.10818816,0.045043565,0.01158458,0.10805775,0.045055944,0.01166258,0.10812609,0.04505037
0.011564236,0.10806025,0.04505907,0.011552941,0.10807948,0.045037434,0.011410752,0.10804626,0.045200307,0.011733765,0.108123496,0.045021735
0.011647705,0.108106114,0.04500863,0.011429412,0.108111605,0.045199994,0.011666851,0.1081183,0.045209177,0.0115487855,0.108046085,0.045311883
0.011624375,0.10819245,0.045210958,0.011436053,0.10810829,0.045150936,0.011619059,0.10814556,0.04512286,0.011638628,0.1081357,0.045074385
0.011716649,0.108132295,0.045031544,0.011383388,0.10802809,0.045281492,0.011542281,0.10809679,0.045050107,0.011671243,0.10811174,0.04503823
0.011593871,0.108104706,0.045060247,0.011441387,0.108118765,0.045096755,0.011411261,0.10806119,0.045182776,0.011544714,0.10809321,0.045053937
0.011688678,0.108183,0.04503188,0.011433041,0.1081128,0.04514398,0.01168794,0.10807476,0.045038298,0.0116407275,0.10820807,0.045233402
0.011623116,0.10819447,0.045208648,0.011572018,0.10810625,0.045293547,0.011563953,0.10807904,0.045050777,0.011754554,0.10810669,0.045022383
0.011587448,0.10808516,0.04505583,0.011716973,0.10800893,0.045097668,0.01140132,0.10800759,0.045286678,0.011595549,0.10805223,0.04500901
0.011651903,0.10814346,0.045060486,0.011591738,0.10803274,0.045296233,0.0115698185,0.10821921,0.045306183,0.011683887,0.108090356,0.045043673
0.01161032,0.10816998,0.045030054,0.011568425,0.10806031,0.0450416,0.01161197,0.10804772,0.044970956,0.011548007,0.108093135,0.04501753
0.011541013,0.108043216,0.045031093,0.011641907,0.108048916,0.0452732,0.011674153,0.1081867,0.045193225,0.011547541,0.108180776,0.04506227
0.011650516,0.10808379,0.045263685,0.011669837,0.10816569,0.04503473,0.011665704,0.10811929,0.045224637,0.011557177,0.10810692,0.045066305
0.011438023,0.108103536,0.04513623,0.011739492,0.10812826,0.04501345,0.011685159,0.10814707,0.04498499,0.011601796,0.10805668,0.0453144
0.011397876,0.10804573,0.04529386,0.011388646,0.108067766,0.04524514,0.011616282,0.10821379,0.045223136,0.011546927,0.10805839,0.04502672
0.011572139,0.10806422,0.045075424,0.011620006,0.10812992,0.045270365,0.011587435,0.10803287,0.04502338,0.011632511,0.10815286,0.044982333
0.011672992,0.10817413,0.04504498,0.011740096,0.10813165,0.045008175,0.01155078,0.10817824,0.045082144,0.011546457,0.10806534,0.045038898
0.011631792,0.10817104,0.0452434,0.011349125,0.10800769,0.04526494,0.011512728,0.10806364,0.045265384,0.011646161,0.10811399,0.045085534
0.011673821,0.108191624,0.045052875,0.011635529,0.10812334,0.045087967,0.011610772,0.10803284,0.045213386,0.01167717,0.1081573,0.045216497
0.0116405785,0.108117774,0.045061447,0.011587845,0.10805817,0.04499401,0.011626285,0.10814711,0.045084678,0.011623416,0.10809809,0.045045596
0.011392234,0.10802011,0.04527349,0.01165659,0.10817404,0.045211498,0.01161167,0.10814008,0.045249965,0.01165529,0.10810617,0.045075793
0.011608722,0.10819194,0.045258317,0.011391345,0.108072,0.0452521,0.011670671,0.10818012,0.04503382,0.011556262,0.10801318,0.0449866
0.011560136,0.108043954,0.04504814,0.011349095,0.10799503,0.04527629,0.011712484,0.10816605,0.04500044,0.011397364,0.10808351,0.045201633
0.0114163235,0.108036496,0.045257404,0.011530468,0.108179905,0.045034096,0.011592075,0.108018026,0.04522929,0.011365114,0.107980974,0.045269392
0.011570565,0.1081818,0.045049347,0.01141132,0.10808849,0.045205966,0.011599436,0.10807811,0.045065094,0.011630282,0.108191594,0.045279354
0.011561522,0.10807617,0.045055382,0.011429913,0.108107336,0.04519776,0.0115726385,0.1081843,0.04507848,0.011357188,0.10810602,0.045089386
0.011626011,0.108190864,0.04520068,0.011608241,0.10818535,0.045219008,0.011420572,0.108021855,0.045261353,0.011557074,0.10803089,0.045310047
0.011617467,0.10817824,0.04520133,0.011635298,0.10813833,0.045265578,0.011617236,0.10815978,0.04498109,0.011618011,0.10812755,0.044960164
0.011604859,0.10818916,0.045209087,0.0116454605,0.108132005,0.045056492,0.01152695,0.10810401,0.04527507,0.011372188,0.10802011,0.045289245
0.011601945,0.10821821,0.04524672,0.011427429,0.10811052,0.045150515,0.011411706,0.10805954,0.045319784,0.011586351,0.10817662,0.04504273
0.011567906,0.1080755,0.045265384,0.011535188,0.1080504,0.044993155,0.0115567,0.10809385,0.045038775,0.011494458,0.10805922,0.045304604
0.011533298,0.10818174,0.045065936,0.011660973,0.108089045,0.04522597,0.011661269,0.1081919,0.045189686,0.011632353,0.108184144,0.044997334
0.011401895,0.108012564,0.04525093,0.011454174,0.10812418,0.04512519,0.011686707,0.10817465,0.045228634,0.011645539,0.10807681,0.04504171
0.011572719,0.10805762,0.045066632,0.011426074,0.108090654,0.045137413,0.0115689635,0.108107015,0.04533882,0.011377577,0.1080397,0.04526047
0.011447962,0.10812377,0.045103315,0.011549715,0.108078554,0.045334227,0.011614531,0.10803389,0.0452268,0.011693981,0.10817206,0.045247287
0.011535231,0.10805412,0.045262396,0.011582429,0.10813419,0.045293942,0.011567991,0.108066596,0.045055397,0.011728305,0.10812382,0.045018017
0.011629572,0.1081944,0.045198604,0.011566691,0.108131394,0.045285407,0.011656908,0.10813186,0.045211293,0.011621224,0.108046785,0.04530005
0.011397097,0.10800182,0.0452578,0.011736108,0.108128116,0.045015097,0.011408893,0.108036645,0.045296237,0.011649381,0.10819455,0.04518734
0.01154626,0.10808,0.04528497,0.011653332,0.10817359,0.04521899,0.011567075,0.10808067,0.045054752,0.01164585,0.108122654,0.045117658
0.011671847,0.1081734,0.045048103,0.011398558,0.108061165,0.045218542,0.011413546,0.1080209,0.0452258,0.011631839,0.10814134,0.045120165
0.011557592,0.10806258,0.045302242,0.0115702655,0.10816633,0.045004707,0.011592681,0.1080252,0.045010008,0.011628848,0.10808107,0.04504776
0.011447702,0.10811058,0.04509862,0.011645,0.10812388,0.045045704,0.011615384,0.10810781,0.0450792,0.011547722,0.108082905,0.045062024
0.011679392,0.10812681,0.04506121,0.011664651,0.10808378,0.045241065,0.011562062,0.108064726,0.045058724,0.011464732,0.10814365,0.045102812
0.011417119,0.10805748,0.045233563,0.011509538,0.10804817,0.045280967,0.011581048,0.10802589,0.045282513,0.011372978,0.10802396,0.045284726
0.01164796,0.10811961,0.045012556,0.011618314,0.10809718,0.045034703,0.011590671,0.10819416,0.045234773,0.011351781,0.10802159,0.04527766
0.0115589425,0.10803014,0.045003794,0.011545209,0.10817778,0.045074947,0.011578849,0.10809526,0.045151774,0.011385623,0.108053766,0.04532583
0.011542393,0.10812106,0.04526754,0.01154484,0.10807744,0.045313098,0.011642305,0.10819431,0.045212477,0.011590328,0.10802319,0.04527987
0.011701286,0.10814541,0.04503346,0.011679793,0.10816886,0.04502378,0.011635574,0.10815205,0.045104213,0.011569142,0.108004674,0.04496831
0.011613946,0.1081157,0.045230813,0.011645293,0.108193554,0.04521693,0.011574646,0.10807997,0.045242842,0.011661153,0.108107924,0.04523215
0.011585157,0.10804862,0.04501954,0.011611383,0.10817901,0.04501029,0.011566432,0.108067974,0.045068156,0.011539545,0.10808271,0.04505925
0.011628812,0.108142935,0.045233082,0.01156324,0.1080587,0.045313016,0.011701491,0.108157486,0.045010883,0.011562191,0.1080744,0.045036778
0.011593321,0.10819202,0.045040794,0.0116232615,0.10809962,0.045043103,0.011659732,0.10806581,0.045284264,0.011640023,0.10814957,0.04508113
0.0115900505,0.10809126,0.045077775,0.011710739,0.10815829,0.04501553,0.0116654895,0.10807968,0.04504267,0.011572659,0.1080096,0.04501126
0.011578817,0.10807252,0.045058556,0.011423562,0.10809445,0.04514557,0.011555497,0.108085014,0.045318726,0.011627326,0.10814491,0.044953212
0.011416072,0.10809222,0.0452048,0.0116516035,0.10818008,0.045254625,0.011627493,0.10819057,0.045264024,0.011621434,0.10810872,0.045274653
0.011640321,0.108134106,0.045153804,0.011663241,0.108090706,0.04522646,0.011408975,0.10803799,0.04520408,0.011545755,0.10806452,0.04531691
0.01154221,0.10803918,0.04504267,0.0116313845,0.108188495,0.045228556,0.011667004,0.10819719,0.045199055,0.011612153,0.10817197,0.045010526
0.011548936,0.10810611,0.045273006,0.01142706,0.10810138,0.045085564,0.011619801,0.10818868,0.04523119,0.011536213,0.10805929,0.04503583
0.011588426,0.10807553,0.045060888,0.011572788,0.10804524,0.045295954,0.011621889,0.10819099,0.0452101,0.011543389,0.10809056,0.04505755
0.011642577,0.10805875,0.045281846,0.011634048,0.10814072,0.0449953,0.011640336,0.10812223,0.04511448,0.011568351,0.10801585,0.044965513
0.011561971,0.1081458,0.04529476,0.011578718,0.10807804,0.045052804,0.011410389,0.10803932,0.04529824,0.011383811,0.10801975,0.045260906
0.011611186,0.1080572,0.045288663,0.011473754,0.1081774,0.045068942,0.011450579,0.108067006,0.045331765,0.0115512535,0.10805513,0.045310006
0.011633454,0.10805086,0.0452782,0.01160769,0.10807485,0.04498258,0.011645535,0.10805551,0.045285612,0.0117266625,0.10808868,0.04502868
0.011496225,0.10816294,0.04507341,0.011639141,0.10812604,0.0449849,0.011557281,0.10808774,0.045072988,0.0113905,0.10808269,0.045189656
0.0116198305,0.10808675,0.045003537,0.011593768,0.108079135,0.04502766,0.011428447,0.108126745,0.04512532,0.011538582,0.10809363,0.045030892
0.011632139,0.10807166,0.045015894,0.0116339475,0.108124785,0.04508716,0.011599045,0.10819646,0.04522478,0.0114296,0.10808609,0.045155067
0.01155743,0.10805331,0.045056697,0.011555713,0.108067304,0.045051243,0.0113846995,0.10808126,0.04534965,0.011663372,0.108141184,0.04504039
0.011630984,0.10808386,0.045009807,0.011723099,0.108131915,0.04501243,0.011553068,0.108122945,0.045278154,0.011635238,0.10814638,0.045122948
0.011583384,0.10816912,0.04503643,0.011577111,0.10807788,0.045026883,0.011474675,0.108049355,0.045266397,0.011656078,0.108117424,0.04506399
0.011619667,0.10820779,0.04524588,0.011627244,0.1081677,0.045251455,0.011563152,0.10808378,0.04506234,0.011616854,0.10815331,0.045144416
0.011679063,0.10817867,0.04505325,0.011618618,0.10815253,0.044995118,0.011636553,0.10813721,0.045218185,0.011702467,0.10809937,0.045017164
0.011654966,0.10813307,0.045018032,0.011538314,0.108053185,0.04527444,0.011563243,0.10802985,0.045309,0.01160319,0.10802984,0.045279227
0.011629444,0.108190484,0.0451929,0.011664903,0.108137876,0.04518437,0.011616765,0.10812484,0.044970635,0.01167067,0.10811826,0.045047708
0.011568839,0.10806349,0.045062527,0.0116250105,0.10819027,0.045221213,0.011553815,0.10809247,0.045328364,0.011532603,0.10809846,0.045032524
0.011670383,0.108173445,0.045064576,0.011648385,0.10811798,0.044982474,0.0116263665,0.10814397,0.04514281,0.011587076,0.10808495,0.044911645
0.011585772,0.10807881,0.045065083,0.01162813,0.10819829,0.045232147,0.0116142575,0.10821137,0.04521061,0.011370722,0.10806496,0.04525031
0.0115445405,0.108060814,0.045292154,0.011579713,0.10806988,0.045044467,0.011589613,0.108077824,0.045049742,0.011569921,0.10805816,0.045044642
0.011565972,0.10815265,0.04528949,0.011632526,0.10814259,0.044997565,0.011425726,0.10806505,0.045322087,0.011676317,0.10807515,0.04503036
0.011623474,0.10819677,0.045200154,0.011544788,0.10804007,0.045021147,0.01170327,0.10814534,0.045031108,0.011696447,0.10818149,0.045200706
0.011614781,0.1081898,0.04528843,0.011556568,0.10809638,0.045047197,0.0115515515,0.1080171,0.044997096,0.011562556,0.108069874,0.045321096
0.011633394,0.10819079,0.04520574,0.011424143,0.10805067,0.045288946,0.011397138,0.108006656,0.045305144,0.011626938,0.108189166,0.045005158
0.011530809,0.1080802,0.045290284,0.011641486,0.10806272,0.045257896,0.011555275,0.10807878,0.04524449,0.011580894,0.10817204,0.04507513
0.011639815,0.108106375,0.04501366,0.011628574,0.10810656,0.044980317,0.011696061,0.10817757,0.04524795,0.011558974,0.10808544,0.045040738
0.01158699,0.1080942,0.045250684,0.0113586,0.10802105,0.045244,0.011397345,0.10801885,0.045243047,0.011632362,0.10812554,0.04503329
0.01159722,0.10809711,0.0450693,0.011608617,0.10818896,0.04522026,0.011436947,0.10806796,0.045317557,0.011650873,0.10813562,0.04525917
0.0115907695,0.10818855,0.04526155,0.011420265,0.108084746,0.045187447,0.011654809,0.10813188,0.045217205,0.011630967,0.108149804,0.045116954
0.011401903,0.10803704,0.045234233,0.011587461,0.10811563,0.045290355,0.011399377,0.10805062,0.04523186,0.011582937,0.10808964,0.045068353
0.0116712935,0.10817049,0.045069925,0.011631563,0.10820098,0.045191176,0.011436563,0.108005576,0.045206383,0.011661954,0.1081298,0.045189787
0.0115297865,0.10806093,0.045258544,0.011619905,0.108141206,0.044997085,0.0116468705,0.108050466,0.04525443,0.011601573,0.108198576,0.045354135
0.011672979,0.108186245,0.045056976,0.011583472,0.10805682,0.0449998,0.01156305,0.10807637,0.045310505,0.011570873,0.10802615,0.045291338
0.011484688,0.108137935,0.045082636,0.011547271,0.10804449,0.044992868,0.0116800405,0.108158916,0.045246996,0.011583028,0.108165674,0.045301005
0.011542769,0.10807903,0.0452977,0.011427643,0.10812967,0.045098346,0.011422761,0.10806172,0.045322705,0.011573957,0.108065784,0.045363925
0.011669243,0.10814685,0.04500709,0.011652833,0.10811736,0.044982746,0.011606101,0.10818346,0.045036916,0.0113933105,0.10805216,0.04532558
0.011449361,0.10811728,0.045148604,0.011668995,0.1081033,0.04521791,0.011575453,0.10805903,0.045056414,0.01146891,0.10805967,0.04533569
