class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.062741615,0.07537079,-0.02892837,-0.06265666,0.07529533,-0.02876721,-0.06303677,0.07548684,-0.029010717,-0.06294536,0.075371906,-0.028969985
-0.06293856,0.075299054,-0.028923629,-0.06293896,0.07535713,-0.028940778,-0.06266543,0.07532298,-0.028790098,-0.06264225,0.07533307,-0.028889965
-0.062787175,0.07536242,-0.028949004,-0.06301654,0.07539527,-0.028998401,-0.06291579,0.075282805,-0.028921142,-0.062725134,0.0753343,-0.028911043
-0.06293298,0.07530307,-0.028923396,-0.062886216,0.07540793,-0.029031849,-0.06271662,0.07536174,-0.028939828,-0.06264153,0.075314105,-0.028764797
-0.06294086,0.07531271,-0.0289483,-0.063021414,0.075438544,-0.029006392,-0.06291985,0.075246945,-0.028895922,-0.06297203,0.07539699,-0.028993811
-0.063022524,0.07541766,-0.028987138,-0.0626743,0.07530716,-0.028867587,-0.06275882,0.07535683,-0.028914496,-0.062656954,0.0753844,-0.028900556
-0.06271852,0.07534157,-0.028922183,-0.06272571,0.07531679,-0.02889507,-0.06275554,0.07534454,-0.02893902,-0.06283596,0.075408064,-0.029033143
-0.06290887,0.07542006,-0.028999552,-0.062987186,0.07542871,-0.028976962,-0.062719285,0.07519936,-0.0288498,-0.06268013,0.07523333,-0.028835192
-0.06277495,0.07535548,-0.02892576,-0.06267942,0.07527286,-0.028805539,-0.06281871,0.075300395,-0.028899394,-0.063006714,0.0754512,-0.02903411
-0.06299095,0.07535175,-0.028971396,-0.06267029,0.07527241,-0.028850656,-0.062726036,0.07533467,-0.028831163,-0.06298322,0.07543555,-0.028969098
-0.06293651,0.07527157,-0.028899949,-0.06292428,0.07533226,-0.028913772,-0.06284809,0.07531861,-0.028859558,-0.06297749,0.07529651,-0.028975094
-0.062993325,0.07539472,-0.02898055,-0.06303228,0.0754205,-0.028996069,-0.06303181,0.07544245,-0.028990544,-0.062718645,0.07535513,-0.028932191
-0.06268723,0.075282164,-0.028809294,-0.062708616,0.07531973,-0.02888852,-0.062886536,0.075329885,-0.028934494,-0.06301237,0.075471774,-0.02899822
-0.06268099,0.07529542,-0.028804874,-0.062967435,0.07532908,-0.028951619,-0.0626789,0.075323105,-0.028795637,-0.06292413,0.07534784,-0.02890755
-0.062928416,0.075346895,-0.028954774,-0.063062616,0.07548239,-0.02901937,-0.06276866,0.07535959,-0.028925437,-0.06290037,0.075353585,-0.028895235
-0.06296125,0.07542667,-0.028989885,-0.0626758,0.07525012,-0.02883557,-0.06294161,0.075403854,-0.029029774,-0.06264871,0.07534907,-0.02887938
-0.06277517,0.07534929,-0.028932557,-0.06272513,0.07534557,-0.028919708,-0.06296982,0.07530983,-0.028975215,-0.06297105,0.07524468,-0.02890941
-0.06290366,0.07530066,-0.028912049,-0.06294864,0.075353175,-0.028956223,-0.06301803,0.07545734,-0.02900595,-0.062624454,0.07533153,-0.028871406
-0.06269858,0.075235054,-0.028865669,-0.062896915,0.07543822,-0.029038934,-0.0627545,0.07535146,-0.028937373,-0.062987894,0.075317405,-0.028942196
-0.062689915,0.075337715,-0.028899591,-0.06304735,0.07546927,-0.0290173,-0.06271959,0.07519171,-0.0288443,-0.06271993,0.07535024,-0.028933054
-0.062692165,0.075299785,-0.028807763,-0.062981896,0.07543255,-0.029019482,-0.06271817,0.07536834,-0.028921062,-0.06299447,0.0754574,-0.029008538
-0.062675446,0.07526381,-0.02883451,-0.062686786,0.075293206,-0.02887257,-0.0626352,0.07535398,-0.028868858,-0.06269582,0.075324394,-0.028886702
-0.06267545,0.07527797,-0.028816074,-0.06268537,0.07528495,-0.028817173,-0.06294887,0.07528703,-0.028903134,-0.06294258,0.0754507,-0.029014405
-0.06297989,0.07544628,-0.028986543,-0.062741436,0.075348265,-0.028881771,-0.062887736,0.07526154,-0.028882504,-0.062735274,0.07534442,-0.028932095
-0.06277178,0.07536571,-0.028937556,-0.06269986,0.07532273,-0.028900113,-0.06273231,0.075242676,-0.028887007,-0.06266496,0.07533699,-0.028788952
-0.062665574,0.0753274,-0.028888043,-0.06294183,0.075443976,-0.029024705,-0.062660515,0.07528395,-0.02878702,-0.06304256,0.07548628,-0.029028147
-0.06301207,0.075390734,-0.028987028,-0.06274649,0.075358555,-0.02891456,-0.06275825,0.07535299,-0.028891094,-0.062672615,0.07530515,-0.028778404
-0.06294274,0.075291745,-0.028911514,-0.06295471,0.07543382,-0.029013146,-0.06270976,0.07531461,-0.028869176,-0.062713206,0.07532944,-0.028904792
-0.06294218,0.07531151,-0.02894552,-0.06267135,0.07526031,-0.028827764,-0.06273406,0.07529284,-0.028894937,-0.06273507,0.07532992,-0.028869858
-0.063043974,0.07544191,-0.028996045,-0.06295837,0.07527458,-0.028884588,-0.062661044,0.07532847,-0.028886348,-0.06260634,0.07532841,-0.02885918
-0.06275098,0.07534613,-0.028914671,-0.062671535,0.075264245,-0.028810149,-0.062765114,0.07533674,-0.028945083,-0.06299894,0.07525648,-0.028952276
-0.062698066,0.07529788,-0.028812867,-0.06274675,0.07533239,-0.02890344,-0.062608525,0.07534144,-0.028856896,-0.06295797,0.075278,-0.028965965
-0.06269827,0.075331174,-0.02890418,-0.062706046,0.07531908,-0.028898679,-0.06284258,0.07539491,-0.028998388,-0.06262009,0.07533661,-0.028896593
-0.06275705,0.07535665,-0.028931301,-0.062879115,0.07541784,-0.029033296,-0.06302853,0.07544226,-0.028991118,-0.06267999,0.07533378,-0.028804414
-0.06293584,0.07525027,-0.028907448,-0.06267052,0.075313255,-0.028786419,-0.0629137,0.07528032,-0.028924245,-0.06301373,0.075254194,-0.028953021
-0.06272057,0.07535264,-0.028913736,-0.06285856,0.07540049,-0.029017888,-0.06302817,0.075336665,-0.029027738,-0.062724814,0.07535663,-0.028935187
-0.06274388,0.07532902,-0.028855065,-0.06297663,0.075285956,-0.028920963,-0.0628571,0.075406305,-0.02900847,-0.0629974,0.07528958,-0.028985456
-0.06278367,0.07535506,-0.028932204,-0.06266169,0.07523078,-0.028836379,-0.06300422,0.07536247,-0.02897902,-0.06295683,0.0752735,-0.028936915
-0.06270893,0.075314954,-0.028810352,-0.0629285,0.075328514,-0.028947758,-0.06290897,0.07529318,-0.0289189,-0.06267431,0.075226635,-0.028830511
-0.06291604,0.0752994,-0.02889914,-0.06269078,0.075250015,-0.028867636,-0.06304168,0.07534359,-0.029024232,-0.06293967,0.07536656,-0.028920636
-0.062660284,0.07523929,-0.028851338,-0.06296529,0.07529209,-0.028910002,-0.063003525,0.07543516,-0.028996056,-0.06269023,0.07534001,-0.028911507
-0.06304203,0.07545638,-0.029001363,-0.06271911,0.07533901,-0.028921759,-0.0627407,0.075329036,-0.02893189,-0.06296934,0.07530992,-0.028940693
-0.062931575,0.07527508,-0.028923405,-0.0626225,0.07533006,-0.028868528,-0.06295517,0.0753627,-0.028969973,-0.06296457,0.07527116,-0.028936349
-0.06288919,0.07541853,-0.029009769,-0.06299941,0.07536566,-0.028994624,-0.062676415,0.07535817,-0.028801857,-0.062777296,0.075406924,-0.02896795
-0.06267476,0.07524291,-0.028844934,-0.062939756,0.075289756,-0.028904436,-0.06271745,0.07535462,-0.028939627,-0.06278029,0.075298026,-0.028849274
-0.06265574,0.07523473,-0.028849011,-0.062898345,0.07542996,-0.02903194,-0.06268393,0.07523626,-0.028851217,-0.06272484,0.07532842,-0.028933577
-0.06272895,0.07535912,-0.028931435,-0.062991634,0.07536525,-0.028987532,-0.062696084,0.07528646,-0.028810656,-0.06290235,0.075289614,-0.028943468
-0.062939666,0.075355954,-0.028939756,-0.06293889,0.075280115,-0.028918583,-0.06266052,0.07532059,-0.028779801,-0.062657125,0.07525035,-0.028820638
-0.06299749,0.075429596,-0.028980056,-0.062959224,0.07528725,-0.028894179,-0.06301876,0.07543071,-0.028997568,-0.062972605,0.07534596,-0.028984163
-0.06304164,0.075436264,-0.028992008,-0.06268492,0.075368874,-0.028903574,-0.062966995,0.0753195,-0.028969267,-0.06260253,0.075336374,-0.02885915
-0.06272969,0.07535904,-0.02891999,-0.06296977,0.07538623,-0.028984308,-0.06300524,0.07525392,-0.028953008,-0.0629533,0.07533799,-0.028913733
-0.0626709,0.075276546,-0.02881415,-0.062723145,0.07523877,-0.02888507,-0.06276007,0.07536352,-0.028903853,-0.06266849,0.07531582,-0.02878207
-0.06293567,0.07536206,-0.028954774,-0.06304279,0.07544596,-0.028998077,-0.06295912,0.07529023,-0.02890914,-0.062712744,0.07531868,-0.028814312
-0.06302966,0.07543984,-0.02899542,-0.062941805,0.07541798,-0.029019391,-0.06272215,0.07537027,-0.028923538,-0.062950626,0.075318694,-0.028961381
-0.06267002,0.075292885,-0.028817046,-0.06267648,0.07526634,-0.028817445,-0.062853135,0.07526899,-0.028841892,-0.062703915,0.07535343,-0.028939383
-0.06292248,0.07527008,-0.02891418,-0.06269846,0.075309604,-0.028889582,-0.062836885,0.07533934,-0.028900577,-0.0626988,0.07534838,-0.028929051
-0.0629317,0.07529574,-0.028907826,-0.062704705,0.07528579,-0.028794669,-0.06266776,0.07526607,-0.028776182,-0.06294129,0.07540169,-0.029019324
-0.06266202,0.0752383,-0.028854765,-0.06295993,0.07536328,-0.028946526,-0.06291223,0.07535752,-0.028922325,-0.06273871,0.07534359,-0.028923512
-0.062944725,0.075254224,-0.028912105,-0.06285981,0.07539919,-0.029012524,-0.062707536,0.075364,-0.028927103,-0.063004464,0.07537416,-0.028997697
-0.062920876,0.07530009,-0.028926719,-0.06295045,0.07536783,-0.028958928,-0.06302008,0.0754734,-0.028994318,-0.06295554,0.07536981,-0.028964356
-0.06268202,0.07533847,-0.028895423,-0.06296065,0.07525943,-0.028897703,-0.06303328,0.075361416,-0.029016137,-0.0630326,0.07532874,-0.029022679
-0.06300469,0.07542577,-0.028996311,-0.06279698,0.0753341,-0.028855337,-0.06278492,0.075339034,-0.028877484,-0.06298638,0.07526338,-0.028922666
-0.06290538,0.07528745,-0.028894268,-0.06267587,0.07530977,-0.02879656,-0.06268789,0.07534307,-0.028902166,-0.062717654,0.07525177,-0.028885748
-0.06266561,0.07526468,-0.028842146,-0.06296639,0.07527754,-0.0289316,-0.06275802,0.07533887,-0.028859505,-0.062728494,0.0753507,-0.028942391
-0.06271635,0.07528423,-0.028889332,-0.062720716,0.07533951,-0.028903019,-0.06261505,0.07533514,-0.028861769,-0.0628863,0.07539915,-0.029026706
-0.062694415,0.0752894,-0.02882835,-0.06267916,0.075296275,-0.028795648,-0.06292528,0.07533475,-0.028934838,-0.06289723,0.075252965,-0.028870054
-0.0626803,0.07532595,-0.028904036,-0.06301336,0.075377904,-0.028998887,-0.06301037,0.075487226,-0.028999697,-0.06301887,0.07536165,-0.028997324
-0.06268268,0.075167656,-0.028790412,-0.06271962,0.07533697,-0.028928999,-0.06269032,0.07524003,-0.028855512,-0.06300165,0.07536201,-0.028970957
-0.06277072,0.07536572,-0.028915524,-0.06302251,0.07545306,-0.0290122,-0.06267877,0.07532911,-0.028893504,-0.06291604,0.075293675,-0.028956817
-0.062731035,0.07532944,-0.02890006,-0.06273586,0.07534767,-0.028920144,-0.062729254,0.075208984,-0.02885956,-0.06297529,0.075424775,-0.028963257
-0.0627796,0.07536144,-0.028923754,-0.06298932,0.075449005,-0.029002344,-0.062964484,0.075321324,-0.028964754,-0.06270709,0.07533001,-0.028891815
-0.0626732,0.07527295,-0.028822817,-0.06272064,0.07532932,-0.0289017,-0.06301317,0.075455494,-0.029035963,-0.06275516,0.075379446,-0.028935159
