class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.26118296,-0.014343977,0.28908455,-0.26117867,-0.014344484,0.28907865,-0.2612055,-0.014343128,0.28909338,-0.26118758,-0.014342755,0.28907946
-0.2611926,-0.014342919,0.28908527,-0.26120025,-0.014342979,0.28908986,-0.26117024,-0.014344707,0.28908297,-0.26120245,-0.014342904,0.28909186
-0.26118097,-0.014343351,0.28907564,-0.26121554,-0.014344767,0.2891012,-0.26117685,-0.014344707,0.289076,-0.2611827,-0.01434584,0.2890785
-0.26120383,-0.014341891,0.28908804,-0.26120195,-0.014343232,0.28909168,-0.26119372,-0.014344096,0.28908777,-0.261196,-0.014343724,0.2890831
-0.2611847,-0.014343947,0.2890779,-0.26120317,-0.014342189,0.28908616,-0.26118037,-0.014342368,0.28908557,-0.26118046,-0.014345422,0.28907466
-0.26120627,-0.014343321,0.28909785,-0.261185,-0.014343426,0.28908762,-0.26117906,-0.014344126,0.2890833,-0.2611753,-0.014343381,0.2890698
-0.2612114,-0.014343277,0.28909805,-0.26117456,-0.014344037,0.28908172,-0.26116723,-0.014344573,0.28906587,-0.26119936,-0.014344335,0.28909442
-0.26120305,-0.014343768,0.28909603,-0.26120296,-0.014344275,0.28909847,-0.26119915,-0.0143426955,0.28908858,-0.2611684,-0.014345184,0.2890804
-0.26119867,-0.01434347,0.2890841,-0.26117328,-0.014343724,0.28907043,-0.26120266,-0.014344305,0.28909498,-0.26119375,-0.01434502,0.28909108
-0.26117095,-0.014344797,0.28906837,-0.26120478,-0.014343098,0.2890925,-0.26118276,-0.014342859,0.28908613,-0.26120275,-0.0143416375,0.28908625
-0.26118723,-0.014341861,0.28908846,-0.26121885,-0.014343366,0.2891001,-0.26118866,-0.014342532,0.28908023,-0.26118428,-0.014343187,0.28907785
-0.2611809,-0.014344126,0.28907615,-0.26118228,-0.014343426,0.28907284,-0.2611783,-0.014343038,0.28907287,-0.26120856,-0.014344022,0.28909895
-0.26120228,-0.014342383,0.28909567,-0.26120508,-0.01434204,0.2890851,-0.26117957,-0.01434283,0.28907177,-0.26118118,-0.014345959,0.28907827
-0.26118755,-0.014343962,0.28908506,-0.26116732,-0.01434432,0.28908053,-0.2611939,-0.014341891,0.2890843,-0.261195,-0.014344841,0.28909364
-0.26120067,-0.014343217,0.2890848,-0.26120532,-0.014341429,0.28908962,-0.26117718,-0.014344007,0.28907394,-0.26119253,-0.014342338,0.28909057
-0.26119635,-0.014344111,0.28908196,-0.26119035,-0.014342919,0.2890859,-0.26120612,-0.014344186,0.2890976,-0.26117024,-0.014344797,0.28908125
-0.26118648,-0.01434277,0.28907982,-0.26119787,-0.014344826,0.28909346,-0.26120266,-0.014345989,0.2890931,-0.26120493,-0.014343828,0.2890938
-0.26119143,-0.014342546,0.2890865,-0.26118922,-0.014341399,0.28907928,-0.26118803,-0.014341772,0.28907925,-0.26119882,-0.014344811,0.2890955
-0.2612003,-0.014343455,0.28908402,-0.26118442,-0.014345288,0.28908238,-0.26116458,-0.014345109,0.28906545,-0.2612122,-0.014345005,0.28909945
-0.2611743,-0.01434353,0.28906927,-0.26119542,-0.0143426955,0.28908256,-0.26116607,-0.01434423,0.28906402,-0.26117837,-0.014343694,0.28908706
-0.26121128,-0.014343128,0.28909937,-0.2611706,-0.014346689,0.28907478,-0.2612021,-0.014343202,0.2890859,-0.2611958,-0.01434274,0.2890893
-0.26121098,-0.014343709,0.28909513,-0.26118743,-0.014342383,0.28907838,-0.2611909,-0.014342472,0.28908387,-0.2611942,-0.014343366,0.28908333
-0.26117915,-0.01434502,0.28908458,-0.26118568,-0.014342859,0.28907475,-0.26117545,-0.014343753,0.2890717,-0.26121485,-0.014340982,0.28910506
-0.2612121,-0.014343739,0.28909948,-0.2611967,-0.014342621,0.28908327,-0.2611655,-0.014344662,0.28906468,-0.26118958,-0.014343396,0.28908783
-0.2612074,-0.014344543,0.28909454,-0.26118407,-0.01434283,0.2890764,-0.26116335,-0.014344797,0.28906366,-0.26118627,-0.014344096,0.2890807
-0.2611787,-0.014345735,0.28907457,-0.26117516,-0.014344782,0.28908262,-0.26120108,-0.014344946,0.28909504,-0.26120314,-0.014345616,0.2890947
-0.26120713,-0.014344707,0.28909287,-0.26120806,-0.014341965,0.2890907,-0.2611902,-0.014342219,0.28908196,-0.26118597,-0.014341712,0.2890787
-0.26118338,-0.0143428,0.28908905,-0.26117083,-0.014343619,0.28908157,-0.261188,-0.014342606,0.2890807,-0.2611785,-0.014344111,0.2890736
