class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.24573949,1.5178752,0.817178,0.24571642,1.5178686,0.81716347,0.24572432,1.5178226,0.8171612,0.24571505,1.5179235,0.81717753
0.24570134,1.5178323,0.81715035,0.24568269,1.5177375,0.8171252,0.24569261,1.517779,0.8171367,0.24569127,1.517796,0.81713676
0.2456936,1.5177941,0.8171386,0.24567133,1.5177584,0.8171258,0.24567163,1.517822,0.81713665,0.24569958,1.5178843,0.8171562
0.24571985,1.5178956,0.8171743,0.24567628,1.5176992,0.8171142,0.24569365,1.5177974,0.8171409,0.24567091,1.517726,0.8171153
0.24576053,1.5179346,0.81719875,0.24572507,1.5178614,0.8171686,0.24571809,1.5179011,0.8171706,0.24564895,1.5173504,0.81708616
0.24568945,1.5178299,0.81714565,0.24571565,1.5178635,0.817164,0.24569729,1.517817,0.8171454,0.24566391,1.5177515,0.8171116
0.24569288,1.5177938,0.8171351,0.24570057,1.5178181,0.8171462,0.24568424,1.517761,0.81713134,0.24568516,1.517807,0.81713593
0.24571478,1.5178531,0.8171612,0.24569353,1.5177718,0.8171421,0.24570605,1.5178341,0.8171555,0.24569732,1.5177845,0.8171408
0.24568084,1.5178224,0.8171423,0.24570331,1.5178466,0.81715286,0.24573427,1.517885,0.8171768,0.24569488,1.5178764,0.8171557
0.2456891,1.517789,0.81713504,0.24568084,1.5176958,0.8171141,0.245693,1.5177693,0.81713414,0.24572003,1.5178618,0.817165
0.2456947,1.5177991,0.81713814,0.24567932,1.5177516,0.817126,0.24569795,1.5177983,0.8171434,0.24567795,1.51778,0.81712925
0.24569964,1.5178325,0.8171507,0.24571207,1.5178552,0.8171576,0.24566862,1.5178533,0.8171449,0.24570245,1.5178097,0.81714505
0.24569482,1.5178183,0.8171412,0.24566126,1.5177351,0.8171171,0.24568492,1.5177966,0.8171369,0.24569869,1.5178504,0.817152
0.24574482,1.5178924,0.81718606,0.24571407,1.5178688,0.8171592,0.2456837,1.517748,0.81712854,0.24567589,1.5177796,0.81712824
0.2456969,1.5178187,0.81714463,0.24574578,1.5179039,0.81718504,0.24571231,1.5178283,0.81715834,0.24570134,1.5178,0.81714296
0.24569508,1.5178362,0.8171506,0.24573404,1.5178777,0.8171754,0.24566972,1.5178177,0.8171331,0.24571931,1.5178076,0.81715345
0.24573708,1.5178742,0.81717736,0.24572775,1.5178835,0.81716776,0.24574128,1.5178932,0.81718206,0.24571541,1.5178949,0.8171656
0.24569699,1.5178517,0.8171531,0.24569231,1.5178753,0.8171551,0.24571362,1.51785,0.8171567,0.24565917,1.5176193,0.8170862
0.24574214,1.5178844,0.8171816,0.24570972,1.5178324,0.8171568,0.24569005,1.517811,0.8171398,0.24569866,1.5178391,0.8171493
0.24575043,1.5179131,0.8171904,0.24570328,1.5178492,0.81716025,0.24567994,1.5178603,0.8171469,0.24571747,1.5179265,0.8171798
0.24570939,1.5178635,0.8171638,0.2457026,1.5178677,0.8171589,0.24570212,1.5178379,0.8171538,0.24568301,1.5178349,0.8171426
0.2456648,1.5178068,0.8171356,0.24571368,1.5178561,0.81716144,0.24570054,1.5178261,0.81715167,0.24569938,1.5177891,0.81714016
0.24571955,1.5178627,0.81716365,0.2456727,1.5178206,0.8171305,0.24573061,1.5178719,0.81717396,0.24570447,1.5178183,0.8171528
0.24571186,1.5178264,0.81715643,0.24572152,1.5178522,0.81716764,0.2456572,1.5176514,0.81709397,0.24568483,1.5177265,0.8171241
0.24569687,1.5178496,0.8171564,0.24569535,1.5178659,0.8171554,0.24571818,1.5178326,0.8171599,0.24573386,1.5178663,0.81717825
0.24573943,1.5178914,0.81718075,0.24569845,1.5179008,0.81715953,0.24567798,1.517767,0.81712717,0.24574631,1.5179173,0.8171846
0.24568424,1.5178026,0.8171374,0.24572906,1.5179012,0.8171737,0.24570218,1.5178226,0.81715286,0.24571592,1.5178874,0.8171712
0.24570832,1.5178325,0.81715596,0.24569231,1.5178074,0.81713784,0.24568278,1.5177232,0.8171207,0.24572,1.5178257,0.8171607
0.2457146,1.5178342,0.8171563,0.24574578,1.5179039,0.81718504,0.24569866,1.5178248,0.81714547,0.24573144,1.5178728,0.8171764
0.2456989,1.5178,0.81715024,0.24573028,1.5178963,0.8171729,0.24570316,1.5177547,0.81713784,0.24569288,1.5178057,0.8171437
0.24568161,1.5177625,0.8171252,0.24573591,1.5178672,0.8171751,0.24572077,1.5178877,0.81717014,0.24568164,1.5178255,0.81713647
0.2457014,1.5178717,0.81716,0.24573177,1.5178853,0.81717604,0.24571931,1.517851,0.8171608,0.24570441,1.517799,0.81714666
0.24566418,1.5177186,0.81710684,0.24569768,1.5178494,0.8171567,0.2457104,1.5178002,0.8171526,0.24573886,1.5178674,0.8171764
0.24568716,1.5177985,0.8171375,0.24570239,1.5178384,0.81715155,0.2456879,1.5178076,0.8171408,0.24571902,1.5178126,0.81715715
0.24572209,1.5178803,0.8171727,0.24571991,1.5178492,0.81716394,0.2456941,1.5177637,0.81713617,0.24571598,1.5178773,0.8171717
0.24569982,1.5178192,0.8171427,0.2457343,1.5178801,0.8171736,0.24565852,1.5176774,0.8171031,0.24572927,1.5178616,0.81717014
0.24571767,1.5178571,0.8171604,0.24572721,1.5178418,0.8171671,0.24568805,1.5178257,0.8171459,0.24572316,1.5178741,0.81716996
0.24570984,1.5178431,0.817156,0.24567837,1.5177239,0.8171157,0.24572372,1.5178572,0.8171654,0.24567434,1.5178299,0.8171421
0.24571463,1.5178609,0.8171664,0.24571115,1.5178647,0.8171598,0.24570352,1.5178055,0.8171446,0.24573395,1.5179069,0.81717646
0.24571696,1.5178252,0.8171541,0.24565426,1.5176855,0.8171002,0.24568278,1.5177988,0.81713444,0.24572253,1.5179359,0.81718314
0.24570975,1.5178378,0.81715727,0.24574149,1.5178846,0.81718147,0.24568269,1.5178123,0.81713706,0.24571979,1.517882,0.81716835
0.24567357,1.5177786,0.8171253,0.24569067,1.5178149,0.8171465,0.24573258,1.5179108,0.8171779,0.24567887,1.5177284,0.8171242
0.24570248,1.5178257,0.81715035,0.24565783,1.517753,0.8171184,0.24565265,1.517764,0.817114,0.24572012,1.5178618,0.8171637
0.24569601,1.5178494,0.8171543,0.24567267,1.5178257,0.8171286,0.24572739,1.5178506,0.8171672,0.24567527,1.5178635,0.8171439
0.2456766,1.5177845,0.8171242,0.24567163,1.5177056,0.8171135,0.2456941,1.5177382,0.81713,0.24569374,1.5178363,0.8171504
0.24571002,1.517882,0.81716526,0.24568349,1.5177906,0.81713134,0.2457115,1.5178611,0.81716084,0.2457006,1.5178025,0.81714404
0.24571884,1.5178462,0.8171694,0.24568221,1.5177134,0.8171202,0.24570793,1.5178511,0.8171578,0.24568507,1.5178066,0.8171356
0.24572855,1.517905,0.8171758,0.24572816,1.517913,0.81718063,0.24569225,1.5177838,0.81713563,0.24573475,1.517841,0.81716776
0.24571174,1.5178604,0.81715786,0.24575481,1.5179251,0.81719387,0.24572608,1.5178727,0.81717026,0.24570236,1.5177661,0.81714153
0.24573642,1.5178657,0.8171759,0.2457152,1.517836,0.81715924,0.24571127,1.5178384,0.81715584,0.24566054,1.5178049,0.81711817
0.24567834,1.5177355,0.8171207,0.24565232,1.5177189,0.81710374,0.24571258,1.5178505,0.81716025,0.24567708,1.5177103,0.8171153
0.24570066,1.5177853,0.81714296,0.24568877,1.5178299,0.81714463,0.24568549,1.5177605,0.8171283,0.24570784,1.5178478,0.8171569
