class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
5.056481,-2.4375677,-11.664735,-2.706731,3.1259665,2.6337848,-3.0275562,1.926058,3.380509,0.9524223,0.3574716,-3.516495
2.7104657,-0.93204296,-7.655751,-1.8037221,1.4175833,0.91506386,-1.0225137,0.098878264,1.4636087,-0.8908472,2.1175861,-1.3434458
6.1396184,-3.108943,-13.627549,-1.6811223,3.1757417,2.6733828,-0.0117403865,0.73360556,-1.4018469,1.1161511,-1.0436927,-2.4064412
-1.0507416,0.807831,0.31822157,-0.84353226,0.6280494,-0.5638772,-1.018627,1.8489397,0.39774895,-0.5502689,2.6025844,0.19957387
4.9161496,-2.4555159,-11.424411,-2.5675955,1.3430793,4.588666,0.4065655,1.9906399,-1.6358802,1.1914625,-0.2670951,-3.0864341
5.19513,-2.4241667,-12.483058,-4.597642,3.2452292,6.049486,0.95160466,-0.6721562,-2.7474487,-1.3149464,3.1037598,1.7421739
0.62109584,-1.1689714,-1.7364786,-2.5918562,1.7843258,2.7526274,-2.5226219,1.0225632,3.3649175,-2.0173144,0.88870966,3.5348718
2.2123392,0.2571023,-5.06266,-2.5154092,2.6817398,3.4185963,-2.5647128,0.44883907,4.8637104,-2.570661,1.202673,3.3085063
5.006589,-1.3882326,-10.877834,-1.0452176,1.2046646,-0.7121873,-0.94435334,1.7775687,-0.5180807,-2.193187,-0.2625997,4.5024624
3.6845615,-0.966807,-9.518005,-2.3260343,1.6517966,2.0379047,-0.33256,0.40443766,-1.4269502,-2.707615,2.3659506,4.8781595
3.5096438,-1.2195741,-8.599341,-0.6107936,-0.6205789,0.9926355,-3.8461173,2.6436443,4.5576854,-3.877177,2.0245085,5.881688
3.4321473,-2.36026,-7.5362005,-1.0482516,1.5395046,0.55517334,-0.93256223,2.1240659,-0.82415795,-2.9819758,2.9447591,4.385034
7.1142583,-3.195746,-15.621282,-2.8589072,1.3401785,3.877251,-1.6388462,1.8184913,2.5774145,-1.3665297,1.5534374,-0.09618354
2.141548,-0.53974974,-5.6997175,-1.7507992,0.8223262,1.7300348,-1.2028176,1.3882737,0.9447566,-0.69784176,1.6960838,-1.6354911
3.0460687,-1.3611201,-8.410412,-2.375127,1.1724304,2.900472,-0.4528427,2.387939,-0.6969521,-0.70814586,0.088430166,0.6187452
3.9307983,-2.5161276,-8.271609,-0.97977036,1.6543572,0.5266986,1.6506677,-0.91120136,-4.9929533,-1.753016,3.2473755,2.839942
