class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.21595532,-1.8467153,-3.2008374,-0.2159645,-1.8467436,-3.2008789,-0.21596318,-1.8467476,-3.2008688,-0.21596736,-1.8467529,-3.2008934
-0.21597281,-1.8467755,-3.2009177,-0.21596932,-1.8467572,-3.2009106,-0.21595657,-1.8467257,-3.2008517,-0.21596491,-1.8467551,-3.2008886
-0.21595788,-1.8467216,-3.2008433,-0.21596214,-1.8467354,-3.2009058,-0.2159583,-1.8467175,-3.2008748,-0.2159614,-1.8467336,-3.2008703
-0.2159631,-1.8467469,-3.2008727,-0.21596622,-1.8467557,-3.2009003,-0.21595955,-1.8467225,-3.2008715,-0.21597195,-1.8467723,-3.2009003
-0.21596104,-1.8467336,-3.2008657,-0.21597865,-1.8467983,-3.2009256,-0.21596783,-1.8467585,-3.2009184,-0.2159634,-1.8467338,-3.2009149
-0.2159673,-1.846761,-3.2008939,-0.21595854,-1.8467231,-3.2008817,-0.21595281,-1.8467014,-3.2008417,-0.21597564,-1.8467909,-3.200918
-0.21596095,-1.8467407,-3.2008617,-0.21596003,-1.8467383,-3.2008502,-0.21596003,-1.8467251,-3.2008877,-0.21596661,-1.8467551,-3.2008991
-0.21596676,-1.8467541,-3.2008774,-0.21596831,-1.8467605,-3.2009203,-0.21596688,-1.8467474,-3.200886,-0.21596411,-1.8467441,-3.2008934
-0.21596387,-1.8467438,-3.2008893,-0.21596196,-1.8467355,-3.2008612,-0.21596253,-1.8467388,-3.2008686,-0.2159658,-1.8467559,-3.2008772
-0.2159721,-1.8467734,-3.200908,-0.21596843,-1.8467594,-3.2008975,-0.21596295,-1.8467554,-3.2009044,-0.21595943,-1.8467282,-3.2008655
-0.21595967,-1.8467162,-3.2008507,-0.21596926,-1.8467612,-3.2009082,-0.21596047,-1.8467226,-3.2008858,-0.21596354,-1.8467387,-3.2008808
-0.21596724,-1.84675,-3.2008867,-0.21596253,-1.8467362,-3.2008805,-0.21595523,-1.846723,-3.2008445,-0.21596736,-1.8467648,-3.2009017
-0.21596316,-1.8467333,-3.2008746,-0.21596593,-1.8467356,-3.2008848,-0.21596828,-1.8467538,-3.2008803,-0.21597442,-1.8467877,-3.2009208
-0.21596277,-1.8467484,-3.2008746,-0.21595702,-1.8467201,-3.2008603,-0.21596736,-1.846757,-3.2009137,-0.21597052,-1.8467648,-3.200905
-0.21596432,-1.8467412,-3.2008862,-0.21595612,-1.84671,-3.2008607,-0.21596044,-1.8467367,-3.2008746,-0.21597114,-1.8467689,-3.2009008
-0.21597162,-1.8467703,-3.2009122,-0.21597195,-1.846781,-3.2009072,-0.2159698,-1.846767,-3.2009053,-0.21596602,-1.846755,-3.2009113
-0.21595967,-1.8467189,-3.2008743,-0.21597251,-1.8467803,-3.2009165,-0.21596757,-1.8467606,-3.2009,-0.21596092,-1.8467349,-3.2008727
-0.21596974,-1.8467563,-3.200903,-0.21596462,-1.8467516,-3.2008631,-0.21596122,-1.8467488,-3.200868,-0.21596992,-1.8467612,-3.2008946
-0.21597105,-1.8467712,-3.2009006,-0.21596575,-1.8467613,-3.2009046,-0.21596122,-1.8467293,-3.2008836,-0.21596065,-1.8467366,-3.2008731
-0.21596837,-1.8467631,-3.2008984,-0.21597409,-1.8467872,-3.200918,-0.21596521,-1.8467464,-3.2008736,-0.21596956,-1.8467666,-3.2009077
-0.2159763,-1.8467839,-3.2009408,-0.21597865,-1.8467983,-3.2009256,-0.2159684,-1.8467551,-3.200899,-0.21595976,-1.8467327,-3.2008655
-0.2159738,-1.8467807,-3.2009249,-0.2159692,-1.8467648,-3.2009137,-0.21595246,-1.846699,-3.2008607,-0.21595848,-1.8467283,-3.2008567
-0.21597269,-1.8467741,-3.2009065,-0.21595716,-1.846717,-3.2008815,-0.21596175,-1.8467507,-3.2008712,-0.21596068,-1.8467281,-3.200896
-0.21597469,-1.8467789,-3.2009223,-0.21595597,-1.8467133,-3.200847,-0.21596679,-1.8467629,-3.2008886,-0.21596286,-1.8467405,-3.2008889
-0.21597457,-1.8467945,-3.2009165,-0.21597031,-1.8467664,-3.2008924,-0.21597183,-1.8467737,-3.2009118,-0.215965,-1.8467485,-3.2008955
-0.2159642,-1.846742,-3.2008915,-0.21595627,-1.8467317,-3.2008467,-0.2159617,-1.8467363,-3.2008958,-0.21596771,-1.8467618,-3.2009084
-0.2159628,-1.8467325,-3.2008865,-0.21596032,-1.8467381,-3.200875,-0.21595997,-1.8467251,-3.2008865,-0.21596587,-1.8467485,-3.2009182
-0.21596807,-1.8467594,-3.2009075,-0.21596119,-1.8467224,-3.2009103,-0.21596295,-1.8467474,-3.2008746,-0.21596807,-1.8467646,-3.2008991
-0.21596748,-1.84675,-3.2009213,-0.21596521,-1.8467544,-3.200906,-0.21596181,-1.8467338,-3.2008984,-0.21596256,-1.8467288,-3.200894
-0.21596414,-1.8467438,-3.2008903,-0.2159594,-1.8467255,-3.2008803,-0.21596995,-1.8467686,-3.2008955,-0.2159658,-1.8467585,-3.2008805
-0.21596074,-1.8467375,-3.2009,-0.2159599,-1.8467281,-3.200865,-0.2159631,-1.8467376,-3.2008827,-0.21597219,-1.8467762,-3.2009022
-0.21596527,-1.8467511,-3.2008824,-0.21596009,-1.8467264,-3.2008684,-0.21596599,-1.8467577,-3.2008917,-0.21597195,-1.8467627,-3.200907
-0.21597242,-1.8467785,-3.2009254,-0.21594948,-1.8466974,-3.2008066,-0.21595469,-1.8467093,-3.2008498,-0.2159633,-1.8467375,-3.2008822
-0.2159673,-1.8467718,-3.2009053,-0.21596164,-1.8467269,-3.2008784,-0.21596566,-1.8467573,-3.2008832,-0.21596706,-1.846749,-3.200895
-0.21597022,-1.846767,-3.200896,-0.21596676,-1.846749,-3.2009,-0.21596459,-1.8467368,-3.2009099,-0.2159642,-1.8467393,-3.2008865
-0.2159695,-1.8467623,-3.2008946,-0.21596295,-1.8467313,-3.2008593,-0.21596962,-1.8467702,-3.2009041,-0.21596563,-1.8467553,-3.200889
-0.21597591,-1.8467795,-3.2009332,-0.21595857,-1.8467151,-3.2008512,-0.2159658,-1.8467553,-3.2009115,-0.21596766,-1.846761,-3.2008848
-0.21595657,-1.8467233,-3.2008412,-0.21596387,-1.8467436,-3.2008865,-0.21595964,-1.8467234,-3.2008924,-0.2159594,-1.8467346,-3.2008622
-0.21596968,-1.8467662,-3.200916,-0.21595934,-1.8467252,-3.2008815,-0.21596736,-1.846761,-3.2008991,-0.21596104,-1.8467326,-3.200864
-0.21595818,-1.8467143,-3.200865,-0.21595779,-1.8467216,-3.2008545,-0.21596324,-1.846755,-3.2008712,-0.21596593,-1.8467525,-3.2009027
-0.21597123,-1.8467768,-3.2009137,-0.21596146,-1.846739,-3.200876,-0.21596259,-1.8467329,-3.2008774,-0.21596503,-1.8467408,-3.2008932
-0.21596056,-1.8467361,-3.2008498,-0.21595997,-1.8467262,-3.2008872,-0.21596622,-1.8467484,-3.2009082,-0.21596071,-1.8467388,-3.2008328
-0.21597117,-1.8467715,-3.2009008,-0.21596089,-1.8467363,-3.2008665,-0.21595293,-1.846723,-3.2008433,-0.2159783,-1.8467969,-3.2009227
-0.21596962,-1.8467633,-3.200901,-0.21595442,-1.8467131,-3.200864,-0.2159647,-1.8467505,-3.200895,-0.21596646,-1.8467588,-3.2008893
-0.21595782,-1.8467318,-3.2008665,-0.21596602,-1.8467506,-3.200899,-0.21596903,-1.8467581,-3.200916,-0.21597472,-1.8467968,-3.2009156
-0.21597627,-1.8467832,-3.2009332,-0.21595508,-1.8467085,-3.2008607,-0.21596146,-1.846732,-3.2008905,-0.21597487,-1.846781,-3.2009416
-0.21596062,-1.8467277,-3.2008739,-0.21597865,-1.8467983,-3.2009256,-0.21597338,-1.8467827,-3.2009182,-0.21596456,-1.8467551,-3.2008824
-0.21597624,-1.8467872,-3.2009265,-0.21596947,-1.8467767,-3.2008946,-0.21596771,-1.846768,-3.200907,-0.21596527,-1.846745,-3.2008808
-0.21596617,-1.8467432,-3.2008913,-0.21596962,-1.84676,-3.2009141,-0.21597123,-1.8467728,-3.2009225,-0.21595845,-1.8467255,-3.2008631
-0.21596235,-1.8467402,-3.2008665,-0.21595645,-1.8467188,-3.2008781,-0.21595114,-1.8467059,-3.2008297,-0.21597716,-1.8467981,-3.2009351
-0.21596909,-1.8467655,-3.2008965,-0.21596593,-1.8467544,-3.2008836,-0.21596652,-1.8467581,-3.20089,-0.21597335,-1.8467827,-3.2009137
-0.21597469,-1.8467966,-3.200915,-0.21597743,-1.8468025,-3.200939,-0.21597087,-1.8467607,-3.2009065,-0.21596512,-1.8467599,-3.2008605
-0.21597046,-1.8467691,-3.2008936,-0.21597284,-1.8467785,-3.200916,-0.21596488,-1.8467424,-3.2009013,-0.21596813,-1.8467603,-3.200875
-0.21596879,-1.8467625,-3.2009082,-0.21596694,-1.846761,-3.2009048,-0.21595559,-1.8467028,-3.2008765,-0.21596491,-1.8467466,-3.2008874
-0.21596232,-1.8467296,-3.2008746,-0.21596444,-1.8467475,-3.2008908,-0.21595663,-1.8467212,-3.200859,-0.21596295,-1.8467472,-3.2008817
-0.21596682,-1.8467641,-3.2009013,-0.21596298,-1.8467522,-3.200876,-0.21596313,-1.8467389,-3.2008717,-0.21596435,-1.846737,-3.2008803
-0.21596071,-1.8467246,-3.2008827,-0.2159619,-1.8467314,-3.2008657,-0.21595371,-1.8467014,-3.2008574,-0.21596557,-1.8467435,-3.2009017
-0.21596509,-1.8467426,-3.200869,-0.21596938,-1.8467684,-3.20089,-0.2159695,-1.8467658,-3.2009027,-0.21596247,-1.8467414,-3.2008817
-0.21596676,-1.8467577,-3.20088,-0.21595287,-1.8467107,-3.2008288,-0.2159665,-1.846748,-3.2008865,-0.21596193,-1.8467348,-3.2008762
-0.21596658,-1.8467591,-3.2009008,-0.21595842,-1.8467289,-3.2008877,-0.21596551,-1.8467488,-3.2008843,-0.21597469,-1.8467798,-3.2009158
-0.2159712,-1.8467805,-3.2008836,-0.21596521,-1.8467543,-3.2008977,-0.21596026,-1.8467234,-3.2008855,-0.21595901,-1.8467325,-3.2008784
-0.21596724,-1.8467491,-3.2008903,-0.21595791,-1.8467267,-3.2008507,-0.21596304,-1.8467343,-3.2009037,-0.21596807,-1.8467548,-3.2009034
-0.2159622,-1.84674,-3.2008924,-0.2159673,-1.8467584,-3.2008986,-0.21597141,-1.8467777,-3.2009106,-0.21597907,-1.8468003,-3.2009413
-0.21596274,-1.8467448,-3.2008662,-0.21595806,-1.8467183,-3.2008617,-0.21596128,-1.8467333,-3.200878,-0.21597052,-1.8467731,-3.2009125
-0.2159723,-1.846771,-3.2009056,-0.2159636,-1.8467481,-3.2008684,-0.21596408,-1.8467449,-3.2008822,-0.21597397,-1.846774,-3.2009141
-0.215963,-1.8467504,-3.200868,-0.2159692,-1.8467655,-3.2009094,-0.21597207,-1.8467686,-3.2009087,-0.21596462,-1.8467468,-3.200878
-0.21595716,-1.8467231,-3.2008548,-0.21596333,-1.8467559,-3.2008698,-0.21595824,-1.8467276,-3.2008584,-0.21596768,-1.8467557,-3.2009037
-0.2159611,-1.846736,-3.2008865,-0.21597525,-1.8467777,-3.2009265,-0.21595603,-1.8467078,-3.2008622,-0.2159738,-1.846773,-3.2009032
-0.2159613,-1.8467247,-3.2008784,-0.21596146,-1.8467308,-3.2009056,-0.21596143,-1.846734,-3.2008786,-0.21597052,-1.8467641,-3.2009025
