class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.0113120265,-0.077677615,-0.041922823,-0.014445402,-0.078120016,-0.039125603,-0.010181782,-0.07811604,-0.043352805,-0.010111078,-0.078948386,-0.043543912
-0.013551669,-0.07665015,-0.038783595,-0.01419637,-0.0747522,-0.037531506,-0.011193926,-0.07708898,-0.043362692,-0.010510242,-0.076594464,-0.038567193
-0.009182109,-0.076418675,-0.043000378,-0.010500713,-0.076865755,-0.04278479,-0.012697198,-0.07587028,-0.0424314,-0.0096081,-0.078504965,-0.042420916
-0.009489036,-0.077361666,-0.04281483,-0.007961617,-0.07538143,-0.042874537,-0.012524325,-0.07762676,-0.04230241,-0.012398429,-0.07754409,-0.038949024
-0.012462409,-0.07614813,-0.03631044,-0.008720996,-0.075241245,-0.04284548,-0.010773332,-0.07561735,-0.036104884,-0.011982546,-0.07752053,-0.044265483
-0.014680529,-0.0741536,-0.037538346,-0.0103486385,-0.07606595,-0.042212494,-0.012484632,-0.07611269,-0.039944254,-0.01085043,-0.07683816,-0.043132607
-0.01458267,-0.074538074,-0.038539104,-0.012338003,-0.0746096,-0.036848817,-0.011706021,-0.07532755,-0.035131,-0.012181735,-0.07641068,-0.03944454
-0.0117878895,-0.07882373,-0.043951035,-0.009135708,-0.07591379,-0.043762706,-0.012363689,-0.07842003,-0.042303085,-0.01108852,-0.07875531,-0.040719863
-0.012650156,-0.074785054,-0.037101626,-0.009640065,-0.07747034,-0.038202673,-0.014171533,-0.07673787,-0.039058562,-0.008593476,-0.07542394,-0.042177863
-0.010823352,-0.0753115,-0.03685276,-0.014818139,-0.075024,-0.0381685,-0.010769975,-0.07867176,-0.041684356,-0.011132784,-0.078414485,-0.043023285
-0.0102395415,-0.07780401,-0.04113222,-0.011538913,-0.075077794,-0.036916822,-0.010711918,-0.0771931,-0.043365378,-0.01105728,-0.07815122,-0.044532724
