class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.0053172708,-0.0003554076,0.0011304468,0.0053181946,-0.0003541708,0.0011292845,0.005317256,-0.0003554076,0.0011304468,0.005317256,-0.0003554374,0.0011304766
0.0053174794,-0.0003555119,0.0011300892,0.005317971,-0.00035521388,0.0011293143,0.005317703,-0.00035464764,0.001130119,0.005317256,-0.0003554076,0.0011304468
0.005317658,-0.00035461783,0.0011301488,0.005317256,-0.0003554672,0.0011304468,0.005317256,-0.0003554374,0.0011304766,0.0053180754,-0.0003528595,0.0011300892
0.0053172708,-0.0003554374,0.0011304468,0.005317256,-0.0003554076,0.0011304468,0.005317256,-0.0003554076,0.0011304468,0.005317256,-0.0003554076,0.0011304468
0.0053172708,-0.0003554076,0.0011304468,0.0053172857,-0.0003554076,0.0011304468,0.0053172857,-0.0003554225,0.0011304468,0.0053171366,-0.0003553331,0.0011312515
0.005317554,-0.00035449862,0.001130119,0.005317688,-0.00035217404,0.0011309534,0.005317256,-0.0003554076,0.0011304468,0.005316794,-0.00035353005,0.0011314601
0.005317256,-0.0003554076,0.0011304468,0.005316749,-0.00035378337,0.0011320263,0.005317256,-0.0003554374,0.0011304766,0.0053171813,-0.0003542006,0.0011304766
0.0053173155,-0.0003554821,0.0011303574,0.0053171813,-0.00035390258,0.0011309236,0.0053180903,-0.00035473704,0.0011292249,0.005317256,-0.0003554076,0.0011304468
0.005317852,-0.0003553629,0.0011295825,0.0053173155,-0.0003554523,0.0011303574,0.005317256,-0.0003554672,0.0011304766,0.0053174347,-0.0003553629,0.0011303574
0.005317256,-0.0003554076,0.0011304468,0.0053183883,-0.00035464764,0.0011291057,0.0053172857,-0.0003554672,0.0011304468,0.005317807,-0.0003530383,0.0011306554
0.005317867,-0.00035518408,0.0011296421,0.0053174347,-0.0003554821,0.0011301488,0.005317569,-0.0003529489,0.0011309236,0.005317837,-0.0003553629,0.0011296719
0.005317256,-0.0003554076,0.0011304468,0.005316943,-0.00035393238,0.0011313707,0.005317256,-0.0003554374,0.0011304766,0.0053170025,-0.00035497546,0.0011299402
0.0053174347,-0.00035496056,0.0011302084,0.005316764,-0.00035636127,0.001131013,0.0053171813,-0.00035446882,0.001129821,0.005317256,-0.0003540516,0.0011308044
0.005317256,-0.0003554076,0.0011304468,0.005317673,-0.0003556162,0.001129821,0.005317256,-0.0003554374,0.0011304766,0.0053172857,-0.0003554672,0.0011304468
0.0053177774,-0.000355497,0.001129821,0.0053170472,-0.00035366416,0.0011300892,0.005317256,-0.00035370886,0.0011312813,0.005317107,-0.0003543645,0.0011312813
0.0053169876,-0.00035598874,0.0011311024,0.0053168237,-0.00035607815,0.0011314303,0.005316779,-0.00035388768,0.0011316687,0.0053165555,-0.00035324693,0.0011325032
0.0053172708,-0.0003554076,0.0011304468,0.0053173006,-0.0003555715,0.0011304766,0.005316928,-0.00035469234,0.0011299103,0.0053174496,-0.00035500526,0.0011302978
0.0053170472,-0.00035387278,0.0011307448,0.005317986,-0.000354141,0.0011295229,0.0053172857,-0.0003554076,0.0011304468,0.0053172857,-0.0003554225,0.0011304468
0.0053172708,-0.0003542453,0.0011300594,0.0053171813,-0.00035372376,0.0011310428,0.005317256,-0.0003554076,0.0011304468,0.005316764,-0.00035390258,0.0011320263
0.0053173453,-0.00035443902,0.0011299402,0.005317092,-0.00035375357,0.0011298805,0.005317256,-0.0003554076,0.0011304766,0.0053167194,-0.00035324693,0.0011316985
0.005317256,-0.0003554076,0.0011304468,0.005317077,-0.00035344064,0.0011302084,0.0053172857,-0.0003554672,0.0011304468,0.005317226,-0.00035393238,0.0011300296
0.005317107,-0.00035506487,0.001131013,0.005317256,-0.0003554672,0.0011304468,0.0053172708,-0.0003554076,0.0011304468,0.005317256,-0.0003554076,0.0011304468
0.005317092,-0.00035497546,0.0011301786,0.005317256,-0.00035348535,0.0011294633,0.005317256,-0.0003554076,0.0011304468,0.005317256,-0.0003554076,0.0011304468
0.0053172708,-0.00035478175,0.0011299998,0.005317688,-0.00035455823,0.001130119,0.005317822,-0.0003555715,0.0011295825,0.005317256,-0.0003554076,0.0011304468
0.005317539,-0.00035488605,0.0011300296,0.005317256,-0.0003554076,0.0011304468,0.0053177327,-0.00035244226,0.0011310726,0.005317256,-0.0003554076,0.0011304468
0.0053173304,-0.0003542453,0.0011308044,0.005317256,-0.0003554374,0.0011304766,0.005317256,-0.0003554672,0.0011304468,0.005316779,-0.00035360456,0.0011316091
0.005317256,-0.0003554076,0.0011304468,0.0053172708,-0.00035384297,0.0011297911,0.005317554,-0.0003543198,0.0011300892,0.005317256,-0.0003554076,0.0011304468
0.0053172857,-0.0003554672,0.0011304468,0.005317509,-0.0003528893,0.0011314303,0.0053172857,-0.0003554672,0.0011304468,0.005316958,-0.0003555119,0.0011303276
0.0053171962,-0.00035512447,0.001130715,0.005317837,-0.00035336614,0.0011303872,0.005317256,-0.0003554076,0.0011304468,0.0053174794,-0.00035497546,0.0011303276
0.0053173155,-0.0003554523,0.0011303574,0.0053173155,-0.0003554672,0.0011303276,0.005317837,-0.0003553927,0.0011295825,0.0053172708,-0.0003554821,0.0011304766
0.0053171366,-0.0003554672,0.001131013,0.005317256,-0.0003554076,0.0011304468,0.0053169876,-0.00035496056,0.0011300892,0.0053173155,-0.0003554225,0.0011304766
0.005317852,-0.0003543496,0.0011296719,0.0053171813,-0.00035329163,0.0011299103,0.005318016,-0.00035442412,0.0011297911,0.0053171217,-0.00035269558,0.0011304766
0.0053168833,-0.00035607815,0.0011306554,0.005317256,-0.0003554076,0.0011304468,0.0053172857,-0.0003554672,0.0011304468,0.0053185523,-0.00035503507,0.0011285692
0.005317256,-0.0003554076,0.0011304468,0.0053173006,-0.00035342574,0.0011295527,0.005317256,-0.0003554076,0.0011304468,0.0053173453,-0.00035348535,0.0011313111
0.0053173006,-0.00035467744,0.0011303276,0.005317256,-0.0003554076,0.0011304468,0.005316958,-0.0003529489,0.0011309534,0.005317256,-0.0003554672,0.0011304766
0.0053171366,-0.00035488605,0.0011309534,0.005316809,-0.00035357475,0.0011314601,0.005317256,-0.0003554076,0.0011304468,0.005317688,-0.00035339594,0.0011306852
0.005317658,-0.00035446882,0.0011301488,0.0053166896,-0.00035363436,0.0011319369,0.0053168684,-0.0003530681,0.0011312217,0.005317256,-0.0003554374,0.0011304766
0.0053168833,-0.00035569072,0.0011302978,0.0053167045,-0.00035384297,0.0011321455,0.0053172857,-0.0003554672,0.0011304468,0.0053170472,-0.00035515428,0.001130268
0.005317256,-0.0003554672,0.0011304766,0.0053173006,-0.00035321712,0.0011316091,0.005316928,-0.00035268068,0.0011311024,0.005317256,-0.0003554374,0.0011304766
0.0053179115,-0.00035527349,0.0011296123,0.0053177923,-0.0003553033,0.0011297017,0.005317256,-0.0003554076,0.0011304468,0.005316481,-0.00035242736,0.0011323541
0.0053177476,-0.00035350025,0.0011303872,0.005317703,-0.0003553629,0.0011298507,0.005317092,-0.00035379827,0.0011300296,0.0053174645,-0.0003555119,0.0011301786
0.005317226,-0.00035384297,0.0011301786,0.0053177923,-0.0003553331,0.0011297017,0.0053172857,-0.0003554374,0.0011304468,0.0053180456,-0.00035527349,0.0011292547
0.005317256,-0.0003554076,0.0011304468,0.005317241,-0.00035366416,0.0011313111,0.005316481,-0.0003529936,0.0011323541,0.005317509,-0.00035449862,0.0011305362
0.005316809,-0.0003540963,0.0011314303,0.005316958,-0.00035446882,0.0011312515,0.0053173155,-0.00035375357,0.0011300296,0.005317256,-0.0003554076,0.0011304766
