class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
5.106732,8.784203,-0.96129847,-2.4667308,-2.7811718,1.3009189,2.0346029,-7.558149,1.5986199,-3.3418849,-3.580059,-0.23840782
2.6087964,17.161533,-4.359385,-0.30739492,-2.2098517,1.8355734,0.57521933,7.288081,-1.5101777,0.52238625,-6.179061,0.5864508
3.5494826,5.078609,-0.49573985,-5.78852,-9.427197,1.603554,-4.126315,-15.400048,6.6170473,2.1273382,-4.61296,3.0387113
2.7930372,14.561445,-3.01436,-3.8917172,-9.830628,3.7514868,4.856474,8.858085,-1.0882807,-5.6039567,-8.567288,1.3515246
3.2581904,17.141354,-4.491677,2.324664,-6.0666895,3.3270383,-0.7315633,-5.8053327,2.5705585,-1.8314104,-7.6368947,0.5667766
5.846612,19.204182,-4.053715,1.9552698,0.452605,0.13946143,-4.105996,-10.969849,4.5012054,3.532588,-4.185071,2.4309487
1.9717641,12.219656,-3.003735,-0.37824607,0.81879866,0.8360765,1.5081704,9.741524,-1.6573482,-1.8631263,-5.7605686,4.5822587
0.5107452,4.5477176,-0.431752,-2.7213123,-9.5475855,5.775706,-3.345154,-14.732274,7.19809,-4.531398,-14.966645,6.1733036
0.9135111,6.009588,-1.3437755,-2.6150427,-4.3372474,0.34614468,-4.385351,-10.682289,2.1610515,-5.1420083,-11.486575,2.9255815
3.1671684,21.202301,-5.3510222,-5.6314015,-7.364897,1.5235279,-3.4725752,-15.402011,7.401351,3.3965573,-5.3439336,2.8171148
3.848077,15.102963,-3.1896465,2.3788807,2.0824375,-0.25490263,-4.296981,-10.060884,4.0124793,2.4814794,-5.4845533,3.5729873
3.3083782,4.3028517,-0.37167844,-4.5691423,-11.913299,4.0469713,-3.053027,-7.119593,1.687224,0.6732853,-2.9786289,-0.29137883
1.6766503,7.3000984,-1.3013055,-0.7498151,3.434887,-0.343618,2.5161245,8.144084,-2.6979058,-4.4990253,-11.460957,3.932662
0.94640714,5.486247,-0.5193671,2.2467902,-0.3347448,-0.56738114,1.4277592,10.666259,-0.64685917,-0.638971,-6.588403,3.2343438
1.7462428,6.7465043,-0.48837265,2.928384,-3.226585,0.5757152,-0.24004391,-3.5612957,1.9579997,-2.187059,-7.4458003,5.1552024
4.3199253,11.239193,-1.7722533,-1.4856393,-0.01416564,-0.11206767,-2.9508438,-6.4847565,0.208772,-1.8952067,-9.60382,2.8364685
0.90390843,6.434069,-1.536855,2.183393,-8.040355,4.1899776,-0.15004009,9.833758,-2.998869,-6.501972,-10.589302,2.4592142
3.9284456,18.036304,-3.6397483,3.1464198,-2.7429435,2.2328312,1.585021,-10.306662,2.3591864,1.083039,-2.8898473,-0.21706292
3.9138129,0.51453304,-0.19060943,-4.149565,-9.638213,3.29392,4.4475727,7.389292,-0.7284336,-3.186579,-12.476414,6.135395
2.1851997,7.187728,-0.4579999,-3.281603,-7.175027,2.9431958,-6.847691,-13.286051,2.5220938,-4.3819747,-8.696056,2.1873827
3.415455,17.731812,-3.4868178,2.0577552,-5.426139,3.1071403,1.918925,9.709589,-1.3896513,2.0755007,-4.9543858,0.699748
3.6452284,9.128626,-0.6023215,-2.5570016,-3.5820336,2.6665907,-0.6268343,-5.725823,2.9249847,1.1518586,-7.9321213,1.2983066
4.6056476,20.17146,-4.152042,4.5398664,1.2785914,0.2943714,-6.5638943,-11.426558,2.833467,-3.4690368,-7.0490923,0.41572747
1.4195828,4.2118034,0.14484423,0.5611269,-0.90083003,-0.3804843,-1.6121254,-3.0404186,0.57971007,1.229346,-11.018138,4.6735325
0.8886084,5.7145977,-0.64668775,0.9208351,-9.241564,4.545132,-0.52703565,-0.40917242,-1.2434185,-4.035724,-5.387423,-0.3823221
0.48998004,5.528714,-0.85363364,-1.2534957,-2.411873,3.558436,0.5991491,5.728313,0.3007522,-1.1956427,-1.2633648,0.16028234
3.8331358,15.30206,-2.785766,1.8512623,-3.5705051,2.96071,4.9867377,7.871749,-0.9755368,-3.2417972,-13.463329,6.6937957
6.1931214,12.365458,-2.6936815,0.062115014,-8.4959755,4.0948863,-3.4928603,-4.804494,-0.7437365,2.064321,-7.8968506,4.2131467
0.33869314,6.5913305,-1.1216495,-2.7384205,1.3250542,-0.94593453,2.6040847,-6.8559294,1.7534869,3.0247545,-0.6563313,1.4993696
4.362214,15.182862,-2.3843424,3.1366713,-3.820015,2.466199,0.72300416,10.260094,-1.224894,-3.8317184,-10.369607,3.253744
0.38898224,13.000379,-3.5222843,-0.76759726,-4.3597493,2.0349226,-2.8101723,-3.5607865,-1.0376219,0.63148373,-9.94317,4.5431743
4.3249397,15.959352,-3.338195,-0.34685028,-12.77374,5.2604613,5.0720243,6.790552,-0.9236462,-3.0049012,-13.111972,6.773559
4.7002573,6.686415,-0.0028314888,2.6963081,-3.6200907,2.4405136,0.8738945,12.258211,-2.162819,-2.758734,-11.779761,4.0769777
