class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.036965556,0.006642648,0.0343429,0.039548516,0.0019297125,0.042491127,0.03738947,0.0070257476,0.044621237,0.036671825,0.010444484,0.037731756
0.03556244,0.011042206,0.03698729,0.037024274,0.011267701,0.03672283,0.04200587,0.0011915201,0.036960613,0.038541973,0.0013181288,0.040318742
0.03538773,0.01134983,0.03758057,0.03874574,0.00029571354,0.038888466,0.032459386,0.00962605,0.037562884,0.03694492,0.011254006,0.037413
0.035964865,0.010459972,0.03620519,0.032195177,0.0107212365,0.038005,0.03620032,0.010502052,0.036957424,0.040069096,0.0021291245,0.042883225
0.040045377,0.0023301095,0.042917956,0.03948754,0.0022925911,0.04282731,0.036704674,0.010435028,0.03613975,0.035969518,0.010688304,0.036648378
0.037081063,0.0054438375,0.043153103,0.03612462,0.010742355,0.036698025,0.03897545,0.0019439468,0.04307468,0.033926886,0.008034476,0.036102675
0.03176046,0.01124417,0.038606137,0.038415365,0.0011785179,0.04032942,0.036540024,0.011267444,0.03615202,0.039422784,0.0025072582,0.042013142
0.03925663,0.0022844654,0.042853028,0.03634058,0.010521864,0.037914485,0.032629386,0.011522327,0.038023293,0.036388736,0.011031285,0.03588281
0.036839977,0.010876866,0.03724554,0.040688425,0.0046003563,0.041617088,0.03664727,0.011665616,0.03708135,0.03911027,0.001810085,0.041842997
0.03956176,0.013250315,0.04026064,0.03394678,0.0071371626,0.03309062,0.03936461,0.00186281,0.042637452,0.0380171,0.011176596,0.038877305
0.038724072,0.002496249,0.042314854,0.039335053,0.0022001266,0.042224023,0.036466084,0.008833444,0.034480713,0.03758554,0.0035187844,0.04157763
0.03947032,0.0013423115,0.04250178,0.039321855,0.0015826719,0.0436243,0.03635241,0.009325728,0.037629608,0.0350161,0.008674424,0.03609109
0.03624984,0.010594855,0.037126325,0.03631526,0.010454029,0.036945686,0.03655956,0.012222883,0.036498163,0.039477147,0.003049031,0.04243197
0.041783333,0.0051042493,0.037558366,0.036110863,0.010280304,0.036989816,0.03394507,0.00792334,0.03587261,0.033471134,0.011769183,0.037297852
0.035308667,0.007439863,0.035512615,0.03296985,0.0093941055,0.037199758,0.036825735,0.00791215,0.034637775,0.032579627,0.009535974,0.03765455
0.038903113,0.00059651956,0.039033957,0.03527939,0.010946288,0.038372863,0.037119348,0.010142157,0.03598955,0.0393692,0.001914639,0.043170672
0.039834585,0.0026477985,0.043268062,0.036607705,0.011805559,0.037495427,0.039206654,0.002723244,0.04294306,0.03935822,0.0022742571,0.042841386
0.038112123,0.002100694,0.041734055,0.0389229,0.0016900804,0.04238644,0.04123662,0.007836033,0.03912219,0.039710782,0.0022003632,0.042448618
0.042126946,0.007202616,0.04446797,0.035616703,0.008655809,0.036667313,0.035740923,0.011694789,0.03647015,0.039670154,0.0015239613,0.043137677
0.03683507,0.011601453,0.037049323,0.036625493,0.010539774,0.037099853,0.039562922,0.0011204891,0.043443512,0.036205187,0.011357581,0.03774042
0.036359467,0.010218453,0.035776548,0.03502108,0.0105432635,0.037609212,0.033164825,0.009004835,0.036683775,0.032672483,0.00940897,0.037283655
0.03978091,0.0022935113,0.042884137,0.03582267,0.010225298,0.038181327,0.03156925,0.010762568,0.03785204,0.033355165,0.012274173,0.03871523
0.03952927,0.0015168004,0.04226866,0.041324176,-0.00021623075,0.037484977,0.03575961,0.010730656,0.037962053,0.03932012,0.0019762795,0.0423146
0.0367496,0.010112053,0.036443204,0.039060764,0.0023793858,0.04187745,0.038389113,0.0015659882,0.042210378,0.0396733,0.0019495878,0.04259886
0.039723687,0.0021406803,0.0431008,0.03917968,0.0003588274,0.038659796,0.032578558,0.009578938,0.03750411,0.03680241,0.011638421,0.037882954
0.037921645,0.010853959,0.036944255,0.039896324,0.0017948756,0.043395147,0.03594713,0.010508183,0.03735035,0.037353374,0.0110522015,0.03616565
0.038674943,0.0016738009,0.0404145,0.039311893,0.0011146367,0.042361684,0.036903024,0.012075831,0.037559677,0.039794106,0.0017707152,0.04235312
0.03745162,0.010834711,0.036090795,0.042144634,0.0019922229,0.03659696,0.03937477,0.0015376732,0.043165024,0.036760624,0.011610647,0.03740614
0.034915216,0.0074375235,0.035470407,0.03902392,0.0020633247,0.04267806,0.038782053,0.0016828869,0.042820457,0.039403427,0.0026065828,0.04237276
0.03628376,0.011647673,0.03681865,0.03879894,0.002246637,0.042140692,0.038136974,0.005957027,0.044318926,0.036467902,0.010811904,0.036987577
0.03653384,0.0102916,0.036638252,0.03591832,0.0069008665,0.035058554,0.039840236,0.002650925,0.04323812,0.03662974,0.010629855,0.03664527
0.036659043,0.007018964,0.034993548,0.033270154,0.011478367,0.037957814,0.038043577,0.0022324827,0.041011885,0.036662266,0.010794712,0.03721166
0.041332006,-0.0001690127,0.038387876,0.038651858,0.0010306621,0.03971172,0.03587566,0.010288984,0.03687553,0.04005102,0.002941045,0.04269363
0.03663245,0.011420081,0.03721017,0.036949232,0.010347461,0.036419764,0.036261193,0.011245323,0.03709934,0.036772937,0.011851577,0.035514764
0.036521282,0.010389368,0.03695443,0.036567293,0.010558917,0.037962727,0.036863126,0.010616028,0.036745302,0.037040092,0.011551305,0.037372425
0.03284458,0.0090496335,0.037132934,0.036305454,0.011269379,0.037260704,0.039292607,0.002759277,0.042617537,0.034678333,0.0072712796,0.035288494
0.0395905,0.0024279002,0.04211639,0.032710783,0.011209593,0.037954167,0.03810024,0.004852565,0.043560013,0.036536727,0.0035274792,0.036306344
0.032308675,0.009304384,0.031861562,0.03607356,0.011249404,0.036330573,0.03196315,0.01030812,0.03775341,0.039643943,0.0025722645,0.043382555
0.039318107,0.012190614,0.04147669,0.036847167,0.010188674,0.037218932,0.034723505,0.0073688887,0.035744265,0.038830478,0.0018105106,0.04304684
0.036141507,0.007110117,0.034659818,0.0385901,0.0025337879,0.041349404,0.03902243,0.00079788547,0.03920384,0.042220872,0.0027389564,0.03821669
0.039827745,0.0019290047,0.04305761,0.0404116,0.000374211,0.03876047,0.037381213,0.0060902433,0.044612657,0.038400628,0.0014741011,0.042310737
0.03630396,0.011418211,0.03659183,0.03630967,0.011555105,0.03842432,0.041558534,-0.00030920468,0.03784246,0.036215466,0.010680765,0.0377589
0.03697758,0.011938047,0.0370551,0.037450038,0.007085316,0.044586796,0.032573506,0.00952796,0.03749912,0.035384234,0.0074968357,0.03545515
0.04127117,0.00464252,0.0449903,0.038652144,0.0019840337,0.04162055,0.03609745,0.011452178,0.037416346,0.03935681,0.0021614945,0.042620625
0.039644975,0.0023835516,0.04277849,0.039580762,0.002071404,0.042179324,0.03242038,0.011707182,0.03885098,0.03928588,0.0028361613,0.04104486
0.03626495,0.010525536,0.03732469,0.0370946,0.011934185,0.03719029,0.03906603,0.00127503,0.042904764,0.039741196,0.0022877548,0.042844906
0.034561977,0.011626403,0.036647607,0.03998274,0.0020323144,0.042758305,0.035939198,0.011016017,0.034940902,0.03657097,0.010983308,0.037195902
0.042423114,0.0072301626,0.046486527,0.03662381,0.011056371,0.03665825,0.03894846,0.0014945762,0.042775624,0.03259398,0.009648571,0.037504748
0.036686223,0.011836611,0.035550617,0.03695543,0.01171107,0.036187995,0.037639577,0.011186088,0.036611795,0.038405992,0.00083416514,0.03984522
0.039424747,0.0025603035,0.04295494,0.03590741,0.010311464,0.038029995,0.039077356,0.0024830597,0.04238506,0.036535997,0.011294609,0.03625775
0.036430895,0.011167884,0.03577148,0.03467371,0.011277007,0.036275957,0.03730771,0.0109636765,0.03468762,0.040158186,0.0024777986,0.043377906
0.038772725,0.0014852239,0.04312928,0.036843654,0.009997297,0.036481805,0.036221407,0.010872651,0.037096877,0.036261875,0.010923686,0.036786113
0.039055515,0.0020485278,0.04273525,0.032315988,0.01139333,0.03812811,0.04016445,0.0020659864,0.042186223,0.03702113,0.006883014,0.033779588
0.036319517,0.010772779,0.037603088,0.04365002,0.007585274,0.04538858,0.038916614,0.0015120571,0.041897245,0.03591288,0.010689457,0.037360385
0.039089765,0.0019751564,0.04141452,0.038517315,0.0020728,0.042306256,0.039136223,0.0013818964,0.04245477,0.038750198,0.0015175613,0.043193668
0.031778973,0.010907319,0.038077455,0.038830947,0.0017174361,0.042738568,0.038819816,0.0015584836,0.04252536,0.036697228,0.011150738,0.038443398
0.03454563,0.007415155,0.03582292,0.036587905,0.010232039,0.03656727,0.039249837,0.0025649993,0.04251882,0.035460617,0.011090006,0.03592472
0.031830706,0.011534652,0.03836819,0.03194499,0.010671245,0.037995294,0.0357564,0.011229088,0.036339454,0.036622565,0.010919156,0.036931675
0.03677441,0.010453161,0.035176728,0.035848297,0.010179726,0.036979437,0.037996374,0.010370538,0.036847267,0.036939777,0.0053604003,0.042934295
0.03653595,0.0055632964,0.043632247,0.033656955,0.0077901306,0.03593121,0.04126633,-0.00032779947,0.037952926,0.039070014,0.0015954999,0.04326172
0.037174817,0.010300249,0.037906624,0.03194105,0.011795221,0.03861667,0.03907493,0.0012079738,0.04344536,0.03687742,0.01137428,0.03627967
0.036932927,0.011186817,0.037019208,0.03605763,0.0064565465,0.04416059,0.036087953,0.0066338954,0.035385046,0.03612793,0.0065487623,0.035447694
0.037120774,0.011109847,0.036645632,0.035981957,0.009825937,0.036726788,0.032580674,0.009002745,0.031718038,0.03751262,0.0036284272,0.041840136
