class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
2.01767,0.030341312,-3.4726794,1.9500588,-0.29897815,-3.052766,2.8065298,-0.69314027,-3.9577067,2.9773276,-0.023400798,-4.7645903
2.9584186,-0.048733547,-4.7400107,1.3746432,-0.9303756,-1.4214901,2.871354,-0.66043377,-4.0397425,1.7927386,-0.49942076,-3.049244
1.7729475,-0.046523586,-3.1229055,2.0857294,-0.23980795,-3.1433644,0.4154958,-0.89046526,-0.27689782,2.8627398,-0.021551087,-4.638589
1.4888067,-0.92665654,-1.61308,0.46038797,-0.8796134,-0.24231139,-0.6520002,-1.4355202,1.5356131,3.0131922,-0.6096193,-4.3055353
1.7378374,-0.5025375,-3.0006082,-0.63700986,-1.5083213,1.3851484,0.35238507,-0.89201146,-0.44875357,2.9257996,-0.66266155,-4.1405506
2.8286269,-0.6965172,-3.9799478,1.8317605,-0.84818155,-2.3221157,1.6209403,-0.94018734,-1.9569948,0.5886203,-0.85855734,-0.22297943
2.0902216,0.046758816,-3.669193,2.7648373,-0.70421666,-3.8858397,1.8110406,-0.4600237,-3.0142982,-0.36168262,-1.2988242,0.64224744
0.62854993,-0.6961964,-0.23671755,0.5616695,-0.72476274,-1.1195447,2.9655335,-0.015030459,-4.756535,3.0976727,-0.5531771,-4.461003
2.8575304,-0.6938524,-4.0169115,2.8392599,-0.6773802,-4.0059385,2.805608,-0.69084513,-3.9450767,3.1044922,-0.5582872,-4.461604
2.9752185,-0.051857308,-4.7525845,1.9059391,0.030178383,-3.333205,2.8467386,0.049062,-4.6493897,2.9914305,-0.07957722,-4.753936
3.019687,-0.6125277,-4.309717,1.8398024,-0.3185621,-2.8199587,2.9333713,-0.08536138,-4.5743523,0.4596086,-0.8802483,-0.24668097
1.7750804,-0.58054763,-3.1653378,2.6844184,-0.7477883,-3.7309594,2.5935385,0.05986242,-4.2826324,2.9228566,0.012643501,-4.716963
3.01928,-0.60541016,-4.316372,-0.19836561,-0.9090037,1.0703255,0.86207783,-0.6353633,-1.4945059,0.6492202,-0.8536111,-0.55846155
0.773358,-0.594706,-1.4664285,2.744241,-0.72205544,-3.8345377,3.105985,-0.5457552,-4.480289,0.42731753,-0.8824028,-0.30070308
0.6697976,-0.6687722,-1.2817242,2.8644774,-0.6846966,-4.0372114,0.36733633,-0.76410294,0.08967473,1.5157613,-0.5223203,-2.324434
1.764425,-0.540292,-3.0830967,2.8430173,0.008903071,-4.613559,3.1175845,-0.544414,-4.490334,2.0924435,-0.55472076,-3.0655153
2.4682772,-0.59355146,-3.5863454,2.9114354,0.003139004,-4.698363,0.25752607,-0.9350867,-0.4201322,2.9985697,-0.6114298,-4.2858505
2.7604508,0.11727516,-4.589182,2.92679,0.0090314,-4.7167234,2.9330242,0.019935057,-4.7308483,2.9773324,-0.05418785,-4.7541766
2.7638614,-0.6866064,-3.8917477,0.34891015,-0.8922768,-0.4956607,-0.033772167,-0.8836713,0.7946868,2.9762206,-0.06158866,-4.7491627
1.7932515,-0.5124821,-3.2338235,2.8128037,0.046962664,-4.5890493,2.7610688,0.051936373,-4.5188036,1.7634912,-0.5234887,-3.1657755
1.9656177,-0.23648815,-2.986025,2.9121478,0.028688595,-4.71657,0.2807586,-0.92769706,-0.45482138,2.9363592,0.007314071,-4.7291336
