class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.4461652,-0.35148746,-0.04806457,-0.40457618,-0.2757995,0.55430835,-0.31097645,-0.34895626,0.45618486,-0.36784476,-0.28917986,0.5245891
-0.32226056,-0.34160748,0.46830565,0.54555774,1.8936565,0.7380054,-0.38179606,-0.30873203,0.5205316,-0.2500282,-0.28548384,-0.3529206
-0.33966732,-0.3427836,0.47482234,-0.483532,-0.20622325,0.6206204,-0.4428649,-0.23071536,0.5976902,-0.5183843,-0.35938594,0.12593034
0.5353691,1.8653927,0.7137493,-0.31112874,-0.34902665,0.45618957,-0.32697886,-0.3463894,0.46599805,-0.38536966,-0.29834828,0.5300234
-0.52440435,-0.3598971,0.14429413,-0.5685858,-0.34090248,0.3912769,-0.56711304,-0.34935927,0.35573798,-0.23957938,-0.28744856,-0.3611623
0.3115274,1.1773912,0.20274323,-0.3814472,-0.3027749,0.52505666,-0.36423934,-0.32726032,0.498873,-0.44197696,-0.23206115,0.59651816
-0.53408605,-0.26448333,0.5361431,-0.031781048,-0.15011272,-0.53149223,0.047605783,0.06296105,-0.46346945,-0.4078353,-0.3266964,-0.11755374
-0.34927613,-0.3384048,0.48294377,-0.123826146,-0.23226511,-0.4869034,-0.33975834,-0.34277585,0.4748608,-0.34718335,-0.3395043,0.48103517
0.17692447,0.6258977,-0.14533907,0.5362097,1.8676379,0.71572036,-0.34778327,-0.33289897,0.48730212,-0.31874302,-0.3481688,0.46060914
-0.41980118,-0.25643125,0.57372385,-0.43910336,-0.22941828,0.59870106,-0.42067266,-0.34717116,-0.096491456,-0.3441754,-0.3348336,0.4842263
-0.5318882,-0.26104277,0.5429763,-0.33316666,-0.3447997,0.47017735,-0.4849044,-0.20717978,0.61980206,-0.5318548,-0.26138937,0.5415639
-0.2232055,-0.2752723,-0.38446513,0.543101,1.8875692,0.73233867,0.51206076,1.8022447,0.6592267,0.5482416,1.8999728,0.7441243
0.37578142,1.392033,0.34770563,0.026553452,-0.014777355,-0.49570188,0.073673785,0.15625054,-0.4151275,0.493108,1.7537851,0.6166917
-0.31135884,-0.34907752,0.45625716,-0.5094787,-0.21090144,0.617572,-0.3749175,-0.30982018,0.51691395,-0.32167572,-0.34416482,0.46581328
0.42815197,1.562696,0.4681278,-0.5573892,-0.29393044,0.51078105,0.33387673,1.2598109,0.2555532,-0.36706418,-0.3243851,0.50232154
0.01867792,-0.029861383,-0.5038003,-0.36589545,-0.32555902,0.50091237,-0.46450335,-0.32925338,0.004560154,-0.31318694,-0.34898552,0.4572332
-0.31802672,-0.34829426,0.46016055,0.11880003,0.35205114,-0.30834448,-0.41743672,-0.259483,0.57073206,0.3407006,1.2824554,0.27067307
-0.4866686,-0.20818159,0.61896145,-0.3312512,-0.3199178,-0.24095565,0.5460344,1.8939481,0.73886955,-0.37647098,-0.3144874,0.5139343
0.010728881,-0.050275348,-0.51075196,-0.54910725,-0.2942374,0.45873052,-0.34674287,-0.3162443,-0.22179577,0.4833828,1.7220238,0.5931166
0.12507768,0.38171998,-0.2947801,-1.3157725e-05,-0.07671153,-0.5190843,0.33877963,1.27579,0.26625866,-0.43364698,-0.24405682,0.58590204
-0.5310689,-0.3610582,0.16595735,-0.36039466,-0.32430518,0.49937356,-0.3647685,-0.32672983,0.49950856,0.5124203,1.8033818,0.6602381
0.20791653,0.7680873,-0.05750033,-0.42485422,-0.2562849,0.5746991,-0.55228245,-0.3616004,0.24965167,0.08116214,0.18746501,-0.39876392
-0.31774348,-0.3458265,0.46241063,0.54819655,1.9000343,0.7440639,-0.4909224,-0.19253528,0.6322595,-0.1891407,-0.2617259,-0.42206126
0.27071446,1.0277323,0.1055325,-0.5372006,-0.25259355,0.5725029,0.5455328,1.8923385,0.73757136,-0.46162784,-0.19615763,0.6265969
0.039046347,0.032611288,-0.4778095,-0.38241225,-0.30170768,0.52626795,-0.36139703,-0.32997948,0.495488,0.4022869,1.4822953,0.4095084
-0.3394801,-0.34286374,0.47466666,-0.35213178,-0.33027884,0.49120122,-0.31117865,-0.348893,0.45633906,-0.3250785,-0.3468547,0.46470857
-0.56783134,-0.34670943,0.36781788,-0.12561876,-0.24260318,-0.483866,0.37965357,1.4044551,0.3564572,-0.31119257,-0.34887713,0.4563604
0.17349783,0.6102675,-0.15944088,0.47444826,1.7006146,0.57379586,-0.31479153,-0.34712175,0.4597811,-0.37460476,-0.32212722,-0.17690656
-0.05365032,-0.18243939,-0.52952164,0.30335477,1.14851,0.18376222,-0.40054148,-0.28732976,0.54388493,-0.37547463,-0.3224083,-0.17555986
-0.33371335,-0.34464973,0.47055286,-0.40901667,-0.27694547,0.5545735,0.5102412,1.8011998,0.65624,-0.43745083,-0.23179844,0.5965785
-0.4256581,-0.25518897,0.57572514,0.5468942,1.8962752,0.7409105,-0.43551546,-0.24143103,0.58825994,-0.3126459,-0.3490339,0.45692706
-0.21294358,-0.27809858,-0.39271358,0.52722055,1.8435649,0.69468933,-0.21706736,-0.27959234,-0.38782442,-0.54539126,-0.2852131,0.48502737
0.5382314,1.87527,0.7210738,-0.3715865,-0.31335205,0.51276594,0.5483307,1.9003446,0.74436814,-0.459224,-0.32955706,-0.008600544
0.50127774,1.7765847,0.63551366,0.5434735,1.8884978,0.7331981,0.11731285,0.3452665,-0.3122186,0.38998914,1.4377115,0.3798642
-0.34891468,-0.33225074,0.4882956,-0.24617118,-0.28405315,-0.35757583,-0.38281703,-0.28305173,0.53465825,-0.19645452,-0.26466167,-0.41417557
-0.3629275,-0.32855737,0.49729133,0.09861775,0.26151696,-0.3593226,0.4526143,1.6318576,0.5225113,-0.17304224,-0.26354516,-0.43665096
0.40978903,1.5006335,0.42483377,0.039461315,0.034962334,-0.47642985,0.048979342,0.06897295,-0.46031323,-0.4990005,-0.19942713,0.62719756
-0.391097,-0.29833508,0.53210205,0.4742116,1.6999315,0.57325405,0.4961502,1.7623065,0.6237028,-0.31125677,-0.34883285,0.45643395
