class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.6914782,-0.7279458,0.15371983,0.18645726,-0.19576663,0.12773247,0.5327806,-0.95524406,0.17763802,0.18645293,-0.19576491,0.1277359
0.6991792,-0.6892184,0.15175462,0.6967318,-0.5761716,0.15048286,0.18486115,-0.19665429,0.12919593,0.68952256,-0.7333606,0.15397653
0.6967311,-0.57617295,0.1504836,0.18848443,-0.19455917,0.12585653,0.6944714,-0.55523694,0.14920752,0.1864705,-0.23283039,0.13116881
0.69557464,-0.56484884,0.1497979,0.18842469,-0.19465677,0.1259219,0.18645915,-0.19576265,0.12773031,0.695586,-0.56493783,0.14980221
0.6967339,-0.57615983,0.15048039,0.6955767,-0.5648687,0.1497993,0.6951087,-0.56068397,0.14954415,0.18646148,-0.1957586,0.12772769
0.6149613,-0.88143814,0.16404116,0.18842278,-0.19465165,0.12592298,0.69557697,-0.5648633,0.1497982,0.69557923,-0.5648753,0.14979857
0.1884339,-0.19465257,0.12591428,0.51693434,-0.9586646,0.17579737,0.69799143,-0.56744206,0.14847179,0.18574141,-0.19616555,0.12839009
0.63972175,-0.8358562,0.16938439,0.6959824,-0.56618243,0.1497072,0.6944597,-0.5551529,0.149203,0.18699655,-0.19802135,0.12763435
0.18645495,-0.19576399,0.12773398,0.18842238,-0.19465955,0.1259248,0.6951075,-0.56068385,0.14954448,0.18504924,-0.19654544,0.12902269
0.18842876,-0.19464955,0.12591782,0.18645938,-0.19576152,0.12773019,0.18573615,-0.19616643,0.12839355,0.6870282,-0.5787729,0.083233505
0.6955792,-0.564873,0.1497983,0.69673353,-0.5761825,0.15048318,0.18575883,-0.19615428,0.12837353,0.6939362,-0.65672207,0.15404676
0.18842924,-0.19464885,0.12591733,0.600703,-0.8958756,0.16650504,0.69558746,-0.56491756,0.14979862,0.69459707,-0.5563214,0.14927688
0.6955739,-0.5648502,0.1497985,0.5544447,-0.94495785,0.17626591,0.64124054,-0.8537277,0.15877235,0.6946304,-0.55637765,0.1492633
0.6917175,-0.72550535,0.15356405,0.6911638,-0.7277999,0.15368849,0.695582,-0.5648849,0.14979786,0.6951023,-0.5605887,0.14953479
0.18842906,-0.19465198,0.12591794,0.19012101,-0.18970966,0.12364364,0.18644994,-0.19576533,0.12773779,0.6950971,-0.56057024,0.14953555
0.6967335,-0.576164,0.15048099,0.6967283,-0.5761351,0.15048091,0.6951079,-0.56063527,0.14953783,0.598112,-0.89093757,0.16803902
0.1884253,-0.19465114,0.12592061,0.1864633,-0.19575574,0.12772615,0.18645346,-0.19576153,0.12773468,0.1857467,-0.19615659,0.12838358
0.696738,-0.57619774,0.15048179,0.1864626,-0.19575833,0.12772685,0.46487415,-0.4295386,-0.033342533,0.18646154,-0.1957647,0.12772891
0.58304447,-0.9145814,0.1691861,0.18646413,-0.19576062,0.12772627,0.18656252,-0.19586255,0.12765779,0.18503708,-0.19655876,0.12903497
0.21874318,-0.1429073,0.08967717,0.6041041,-0.8927314,0.16602266,0.52155566,-0.9581627,0.17682734,0.18645692,-0.19576715,0.12773287
0.57171947,-0.8864827,0.17080854,0.69673496,-0.57617533,0.15048164,0.60976523,-0.8872045,0.16494685,0.4943463,-0.7706802,0.049832903
0.18842533,-0.19465135,0.12592039,0.18647009,-0.1957529,0.12772045,0.35067335,-0.16430862,-0.015138164,0.6955778,-0.5648525,0.14979614
0.68546057,-0.7494178,0.15483104,0.69558877,-0.56492007,0.14979768,0.1857681,-0.19614081,0.12836367,0.6951023,-0.5606032,0.1495369
0.6955758,-0.5648509,0.14979722,0.18813758,-0.1929855,0.12586637,0.48603085,-0.8570716,0.1959668,0.69592565,-0.5604265,0.14896949
0.61663026,-0.8764829,0.16328914,0.61223805,-0.88001645,0.1645862,0.69152755,-0.6730968,0.15507224,0.52245677,-0.8669609,0.18223818
0.6956262,-0.5649984,0.14978416,0.69743043,-0.57091016,0.14934231,0.5619336,-0.8829764,0.17278495,0.1857304,-0.19617292,0.12840003
0.4692242,-0.90738827,0.20193338,0.61191386,-0.8849266,0.1645055,0.18486223,-0.19665553,0.12919591,0.18519022,-0.19671933,0.12893097
0.18656062,-0.19559166,0.12761818,0.18646356,-0.19576025,0.12772669,0.6957464,-0.5654005,0.14975865,0.20068642,-0.16851108,0.11047745
0.69735134,-0.57992923,0.15014762,0.18646336,-0.19575597,0.12772545,0.1859996,-0.19492014,0.12796924,0.6955802,-0.5648968,0.14980072
0.5222222,-0.95810467,0.17694096,0.18646227,-0.19576116,0.12772775,0.19503245,-0.1790377,0.11744261,0.69591874,-0.5659752,0.14972161
0.18841588,-0.19466285,0.12593068,0.18645658,-0.19576193,0.12773198,0.18486455,-0.19665027,0.12919334,0.18648863,-0.19572729,0.12770087
0.6260418,-0.8689283,0.1607207,0.18649206,-0.19572617,0.12769791,0.18584189,-0.19601102,0.12828024,0.18503162,-0.19656059,0.1290396
0.18862568,-0.19432338,0.12569958,0.18842563,-0.1946529,0.12592086,0.6566656,-0.82845354,0.1589422,0.1870018,-0.19488345,0.1271333
0.7014205,-0.67284083,0.15112935,0.69557816,-0.5648602,0.1497969,0.69510823,-0.560694,0.14954554,0.6945971,-0.5562912,0.14927281
0.6963422,-0.56927884,0.14944774,0.6955817,-0.5649047,0.149801,0.18574843,-0.19616443,0.1283839,0.694597,-0.5562933,0.14927314
0.18841916,-0.19466121,0.12592718,0.6955794,-0.5648822,0.1497993,0.6967707,-0.6026861,0.1507008,0.18574059,-0.19616209,0.1283893
0.6967297,-0.5761409,0.15048017,0.6955779,-0.5648638,0.14979783,0.6948487,-0.5572576,0.14927937,0.5641351,-0.9371054,0.1744772
0.69762146,-0.58248246,0.15007499,0.6955836,-0.5649174,0.14980122,0.6944884,-0.5552424,0.14919676,0.69510293,-0.5606171,0.14953838
0.46266565,-0.85172063,0.20604533,0.6967384,-0.5761428,0.15047476,0.69558376,-0.5648982,0.14979845,0.18502486,-0.19656813,0.12904668
0.18843263,-0.19464815,0.1259144,0.18841627,-0.19465278,0.12592864,0.6972713,-0.5703795,0.14938393,0.6955833,-0.56492096,0.14980173
0.18843311,-0.19465132,0.12591432,0.1864577,-0.19576211,0.12773144,0.69579047,-0.5655247,0.14974655,0.696814,-0.56882405,0.14949562
0.09154452,-0.5117086,0.25319368,0.18646939,-0.19575402,0.12772045,0.69510275,-0.56062686,0.14954056,0.6946283,-0.55637395,0.14924856
0.21301249,-0.15040028,0.09614071,0.69558275,-0.56489503,0.14979902,0.69510084,-0.5606467,0.14954425,0.18672538,-0.19454312,0.12730047
0.6967329,-0.5761528,0.15047982,0.6967305,-0.57615113,0.1504811,0.6944594,-0.55516607,0.14920495,0.18572639,-0.19617547,0.12840348
0.18842006,-0.19466119,0.12592676,0.6967324,-0.57616365,0.15048134,0.69510794,-0.56068766,0.14954475,0.6945972,-0.556322,0.149277
0.6953363,-0.6515458,0.15365075,0.6955808,-0.564898,0.14980051,0.4729376,-0.9208974,0.14322564,0.6945987,-0.5563072,0.14927377
0.54358524,-0.8415681,0.14941004,0.59444755,-0.8924539,0.16852833,0.61332923,-0.87915087,0.16427593,0.18504116,-0.19656122,0.12903237
0.6955768,-0.56485313,0.14979741,0.18843287,-0.19464561,0.1259139,0.18484698,-0.19667424,0.12921123,0.18574388,-0.19616301,0.12838694
0.5819196,-0.8904842,0.16925173,0.18646568,-0.19574805,0.12772283,0.6959085,-0.56518674,0.14919436,0.6951511,-0.5607177,0.14952126
0.18646541,-0.19575576,0.12772432,0.18646654,-0.19575725,0.12772354,0.1857414,-0.19616242,0.1283881,0.69501036,-0.5575739,0.1491834
0.6967296,-0.5761528,0.15048243,0.49567154,-0.70910347,0.026318863,0.6951006,-0.5606382,0.14954287,0.18573733,-0.1961682,0.12839349
0.6955794,-0.5648565,0.1497959,0.7024774,-0.6036378,0.14928678,0.19305985,-0.18370043,0.12004749,0.19571091,-0.17787836,0.116638914
0.1864602,-0.19576244,0.1277296,0.69557816,-0.56487566,0.14979905,0.6330008,-0.86284244,0.1591121,0.186468,-0.19575182,0.12772144
0.42510322,-0.31031802,-0.03592673,0.18841235,-0.19252178,0.12555763,0.46373197,-0.4258025,-0.033651553,0.18645155,-0.19576235,0.12773652
0.19272271,-0.18761708,0.12112597,0.1864848,-0.19574413,0.12770689,0.18576926,-0.19612686,0.12835974,0.18505019,-0.1965541,0.1290245
0.64718,-0.8454157,0.15891452,0.18646322,-0.19575347,0.127725,0.18487087,-0.19663633,0.12918472,0.60943896,-0.882267,0.1653544
0.6967272,-0.56854767,0.1495191,0.6986428,-0.5753039,0.14904493,0.58901495,-0.89331746,0.16882108,0.69509506,-0.560568,0.14953716
0.18645799,-0.19576305,0.12773168,0.69672734,-0.57611954,0.15048006,0.18485379,-0.19667456,0.1292052,0.58448195,-0.89167213,0.16902965
0.5157474,-0.87340343,0.1698388,0.49461123,-0.7208369,0.030514896,0.33532068,-0.14473903,-0.0072511733,0.18503448,-0.19655816,0.12903719
0.69557637,-0.56485915,0.14979795,0.18711007,-0.20406643,0.12843516,0.5876779,-0.90821517,0.16805136,0.69459915,-0.55631083,0.1492742
0.61344105,-0.87904596,0.16423707,0.6949044,-0.64727306,0.15346736,0.67302835,-0.74986964,0.16154002,0.18503232,-0.19656289,0.12903965
0.18645498,-0.19576026,0.12773332,0.21227962,-0.14880826,0.09627647,0.18485853,-0.196653,0.12919787,0.69509786,-0.5605968,0.14953926
0.6967322,-0.5761428,0.15047948,0.69557893,-0.5648937,0.14980093,0.51423866,-0.9586279,0.17494816,0.69484574,-0.5570543,0.14921841
0.59098905,-0.8930139,0.16873188,0.18842961,-0.1946497,0.125917,0.6295872,-0.8659364,0.15982147,0.18660963,-0.19551794,0.12756494
0.6955774,-0.5648485,0.14979596,0.18647,-0.19575785,0.12772134,0.18488494,-0.19661911,0.12917095,0.6950969,-0.560566,0.14953554
