class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.069783166,-0.010214863,0.09787538,-0.06978261,-0.010215238,0.09787578,-0.06281184,-0.004604859,0.08403813,-0.069782615,-0.010215092,0.09787534
-0.06279192,-0.0045822,0.08410582,-0.06281121,-0.004605282,0.08403872,-0.063212276,-0.004772214,0.08356186,-0.06486896,-0.0052612773,0.08199915
-0.06978315,-0.010214422,0.09787522,-0.06281185,-0.00460432,0.08403726,-0.06281133,-0.0046052095,0.08403871,-0.06978234,-0.010215661,0.0978758
-0.069782466,-0.010214996,0.09787578,-0.069782816,-0.010215256,0.09787561,-0.06978373,-0.010214912,0.09787562,-0.069783,-0.010214936,0.09787542
-0.0628581,-0.0046356022,0.08396873,-0.06281178,-0.004605084,0.084038734,-0.06516593,-0.0053066798,0.08179012,-0.06978373,-0.010214928,0.09787574
-0.06592879,-0.005531673,0.08148923,-0.0646331,-0.0052141426,0.0821799,-0.06978209,-0.010215288,0.0978757,-0.06290936,-0.004662211,0.083904706
-0.062812135,-0.004603963,0.08403609,-0.06978297,-0.010215801,0.097875856,-0.06545246,-0.00538498,0.08161824,-0.060945287,-0.0039003496,0.08772101
-0.069783196,-0.010215236,0.09787561,-0.06534164,-0.0053479276,0.081669286,-0.06978604,-0.010249745,0.09785695,-0.069782674,-0.010215767,0.097875714
-0.06281201,-0.0046056206,0.08403876,-0.06978315,-0.010214834,0.09787564,-0.0697831,-0.010215083,0.09787568,-0.06281211,-0.004605111,0.084038176
-0.06978335,-0.010215044,0.09787551,-0.06281178,-0.0046052486,0.0840385,-0.06978276,-0.010214938,0.0978756,-0.06281167,-0.004605114,0.08403802
-0.06978316,-0.010215204,0.09787599,-0.06141707,-0.004148645,0.086576395,-0.0628122,-0.004605401,0.08403816,-0.069857515,-0.009274829,0.09716855
-0.069783494,-0.010215223,0.097875305,-0.0607149,-0.0037606773,0.08847269,-0.066666745,-0.005762872,0.081411675,-0.06987848,-0.008281915,0.09657873
-0.0697836,-0.010215175,0.09787581,-0.06978279,-0.010212081,0.09787301,-0.06624141,-0.005618527,0.08145885,-0.069253005,-0.004920285,0.09529667
-0.06281165,-0.00460459,0.08403791,-0.06585634,-0.0055139386,0.0815022,-0.06358341,-0.0048939977,0.083133325,-0.06733073,-0.0061975936,0.08156017
-0.060380965,-0.0033317967,0.090951286,-0.069782555,-0.010214515,0.09787537,-0.0693878,-0.011782955,0.098794006,-0.06978322,-0.01021509,0.09787542
-0.069783024,-0.010215001,0.09787595,-0.069782816,-0.010215133,0.097875826,-0.060689826,-0.0037435698,0.08857362,-0.062867984,-0.0046415236,0.08395565
-0.0628115,-0.0046052816,0.08403834,-0.067024104,-0.005959162,0.08149516,-0.06281184,-0.004604859,0.08403813,-0.06978226,-0.010215584,0.09787613
-0.06281147,-0.0046054004,0.08403912,-0.06978312,-0.010211056,0.09787172,-0.06283549,-0.004632173,0.0840188,-0.06312777,-0.0047474816,0.08366033
-0.06323463,-0.0047790254,0.08353497,-0.06928429,-0.0049619926,0.09527599,-0.06281199,-0.0046050954,0.08403855,-0.07188316,-0.0078088325,0.09151785
-0.062811285,-0.0046050292,0.0840384,-0.0647506,-0.0052412166,0.082091585,-0.06271547,-0.004565013,0.08424309,-0.06281179,-0.004605459,0.08403904
-0.067228876,-0.0059945583,0.081388526,-0.06978341,-0.010214666,0.09787521,-0.06281132,-0.004604883,0.0840385,-0.069786735,-0.010226961,0.09786102
-0.063818745,-0.0049735894,0.08288512,-0.062811926,-0.0046050916,0.084038354,-0.063142836,-0.0028626965,0.08587844,-0.06435233,-0.0051442166,0.08240308
-0.069782674,-0.010215439,0.0978758,-0.060385693,-0.0033336752,0.09095659,-0.062811606,-0.004605029,0.08403834,-0.069782875,-0.01021512,0.09787585
-0.06281202,-0.0046047955,0.08403814,-0.06978276,-0.010214632,0.09787551,-0.069782354,-0.010215472,0.09787566,-0.06281228,-0.0046044886,0.08403751
-0.06281213,-0.0046049156,0.08403822,-0.06978264,-0.010215338,0.097876035,-0.06284924,-0.0046289903,0.08398177,-0.06281234,-0.004605477,0.08403897
-0.06281216,-0.0046054344,0.08403868,-0.06978299,-0.010215603,0.09787575,-0.06978172,-0.010215624,0.09787628,-0.06978345,-0.010214707,0.09787546
