class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.26625848,-0.008172832,-0.32340258,0.42585206,0.86419004,-1.7427415,-8.49504,-9.024107,11.425444,-5.0938377,-5.207434,7.2229743
2.4849787,2.2090726,-3.8215034,0.6922064,0.42353806,-0.4181703,0.6763209,0.46503,-1.5530272,3.1921034,3.0834265,-5.025888
4.773728,5.593954,-7.9287887,-0.38597685,0.04797957,-0.30517775,-5.951862,-6.435178,7.995089,-2.803844,-3.5834713,3.7768693
3.3759475,3.3915992,-5.358644,-0.38278913,-0.25495595,-0.13348478,-7.248656,-7.817001,10.077931,-5.251227,-5.8790507,7.580322
1.3517182,1.280338,-2.6351175,-2.6380444,-3.2081943,3.4143543,-7.2343254,-7.576741,9.799228,-8.031803,-8.504062,11.195995
3.6730113,3.7950983,-5.791723,-0.29820597,-0.09247621,-0.2611755,-4.9234805,-5.97309,7.181868,-0.18469101,0.056242682,-0.47066194
-0.4262063,-0.18117577,-0.13066745,-0.032823145,-0.33880886,-0.22783077,-7.610126,-8.154041,10.912125,-5.7198606,-5.9912453,8.088653
0.56851137,0.22868612,-0.72873825,-7.064621,-7.723906,9.443411,-0.5004231,-0.4538147,0.030003555,-1.4087338,-1.7682445,1.7245651
3.5723448,3.6410532,-5.5626135,-2.8920245,-2.6813717,3.901695,-5.1565495,-5.2028527,6.4695115,3.6193204,4.257539,-5.983735
5.4234233,6.4113364,-8.856283,-0.31724393,-0.15924624,-0.2245003,-8.74981,-9.4978895,12.166353,-0.47374612,-0.32182387,-0.04850655
2.791006,3.281333,-4.991868,-0.36163104,-0.304322,-0.13228297,-3.598009,-3.7425413,4.395827,-6.1801133,-6.5674076,8.528488
3.6907063,4.0982747,-6.044,-1.4317895,-1.5188185,2.740199,-8.50857,-9.35209,11.868734,-1.8313915,-2.397203,2.4921339
0.18989027,-0.17569473,-0.51000446,-0.48785684,-0.5756066,1.3272471,-0.8356633,-0.48664224,0.22681534,0.13328636,-0.14618903,-0.355524
3.026235,3.117684,-4.8600287,-4.0017757,-4.228735,4.9654913,-4.645803,-5.255759,6.1297565,2.9159946,3.491911,-5.1377444
3.0754213,3.150651,-5.021772,-6.9946995,-7.452363,9.305506,-8.911006,-9.825976,12.456083,1.0345201,0.925763,-2.0417695
3.151495,3.2375908,-4.9943995,1.1623544,1.1365917,-2.3293593,-0.67106545,-0.26546112,0.07712538,0.5051697,0.6661465,-1.5887535
0.7652116,0.40661457,-0.79624224,-2.682242,-2.8753142,4.4390454,-1.2192545,-1.3615911,1.2129428,0.15551686,-0.19716552,-0.50456756
3.8071928,4.7886066,-6.6792912,-0.17461514,-0.38508153,-0.17873588,-2.3085527,-2.6301007,3.916837,-2.634704,-2.5832257,3.415639
3.6496959,3.7757397,-5.667732,-0.34439486,-0.73662704,1.032972,-6.380758,-6.4521813,8.224774,-2.0554752,-2.454859,2.8496394
0.8121513,0.51506144,-0.617312,-3.301928,-3.6606658,4.2121925,-5.2569375,-6.1900415,7.0935736,-1.1281244,-1.1016407,0.82067275
3.1975932,3.5720673,-5.3573766,-2.277125,-2.2652853,2.2474172,-3.5367417,-3.8310385,5.454177,0.31215686,0.69241697,-1.6028363
3.718698,3.6485949,-5.7818913,-1.3377104,-1.642236,1.6393329,-9.208488,-10.152143,13.224531,3.3055992,3.987831,-5.3941226
-0.05664718,0.3538016,-1.011272,-1.9664106,-2.0805755,3.5166256,-7.0647874,-7.5445795,10.034723,-1.5174471,-1.4576072,2.5855277
2.7050104,2.718604,-4.44661,-5.8016515,-6.011289,7.596652,-1.7040946,-1.9738691,2.4488218,0.24289155,0.52323496,-1.3168585
2.0831084,2.156724,-3.3577807,-9.933223,-10.887309,13.788015,-6.465297,-7.182148,9.491861,-1.2864976,-0.46187985,1.1398529
0.060728848,-0.18789047,-0.344332,-0.8949044,-0.9135721,1.6698291,0.18433928,0.6138453,-1.038268,0.018978179,-0.07402976,0.38173524
0.35432327,0.34911123,-0.054330163,0.039109796,-0.12331831,0.4143739,0.5199721,0.88790756,-1.4845948,0.7769344,0.572638,-0.36900896
-0.32379717,-0.26353374,-0.17926806,0.33468938,0.13783744,0.15503335,-0.49286425,-0.30575892,-0.016319446,-3.2239232,-3.4874053,4.9008555
4.433325,4.5074778,-6.633128,-0.08529967,-0.38686258,0.082865186,-1.622948,-1.4140258,1.4936492,-2.9159503,-3.5879917,3.6975207
-0.55715597,-0.43796116,0.05892045,-1.2315602,-1.4698325,1.6358926,-4.7396073,-4.345627,5.8516717,0.76589096,0.39409164,-0.57949275
3.6983852,3.9057221,-5.707808,-2.7024107,-3.142716,3.8666565,-2.2284288,-2.6547203,2.6811295,1.7734588,1.7557104,-2.1450772
0.55345607,0.5670626,-0.42888427,-0.39348412,-0.17268965,-0.1407457,0.23325723,0.010549672,-0.6382331,0.20900357,0.43334493,-1.2323154
0.2189821,0.1283398,-0.10725594,-5.4821877,-6.1634398,7.4282126,-7.7932053,-8.597765,11.17551,3.665482,4.5876727,-5.752419
2.8371544,3.075305,-4.8277583,-1.6506293,-2.0484931,2.0185535,-8.701175,-9.340152,12.400436,-2.7747664,-3.1908565,3.9882684
4.249296,4.4055834,-6.45799,-1.5357434,-2.066207,1.9428456,-3.38836,-3.1062815,3.7435188,-5.2806063,-5.5318785,7.479832
4.0518355,4.836816,-6.8772235,-3.1979227,-3.442832,4.0480785,-0.26063657,-0.1906859,0.8786975,-1.4071392,-1.4674191,1.1123592
3.5781693,4.430535,-6.362657,-2.1304603,-2.59345,2.86254,1.0282261,0.8307867,-1.6258068,2.0801005,2.982409,-4.192909
2.9035945,3.5956519,-5.2568836,-3.4300957,-3.850959,4.7152658,-6.3145137,-6.77138,8.771017,-6.9655,-7.463045,9.597339
0.30196184,-0.04564982,-0.68263906,0.5467665,0.27912423,-1.35339,-5.7174077,-6.2353306,7.8541536,-0.18970068,-0.44118336,0.00021896511
3.740574,3.8061118,-5.851316,-2.4214077,-2.1001635,2.459904,-2.9494672,-3.195074,4.363485,-0.075289965,-0.4101303,-0.20853707
1.3089794,1.8270346,-3.0050068,-2.728135,-2.9851737,4.281524,-5.375721,-5.553991,7.073006,0.8245615,0.50163764,-0.4484884
1.8394917,2.0127683,-3.387645,2.3695917,2.4392333,-3.4660828,-0.38996124,-0.20831367,-0.16782743,0.30673188,0.38895503,-1.121197
0.68093216,0.7487115,-0.7878899,-1.4486958,-0.9620822,0.9550399,-3.7829833,-3.7779443,5.3178887,1.956354,1.7455012,-3.1566813
2.9871798,3.8487594,-5.439512,-5.2762694,-5.146489,6.536616,-4.8160324,-5.4172626,6.2650847,-3.3475628,-4.020247,4.738546
-0.49488354,-0.20747173,-0.12710458,-1.1004789,-1.2506007,1.6197212,-4.45464,-4.8406363,5.882275,-4.384809,-4.9747186,6.271447
3.2760124,3.7226777,-5.6125445,-1.1558192,-1.0212255,0.73909885,-5.9126673,-6.0322475,7.366467,-4.4828024,-4.74339,5.6996684
1.6804847,1.6767434,-2.755157,0.10830909,-0.25316367,-0.40705165,-0.16619766,-0.011327408,-0.4544596,0.28046852,-0.09741876,-0.16268525
0.63375497,0.97656816,-1.955555,-4.2302556,-4.7772727,5.5626836,-2.9251027,-3.6952298,3.9857423,-0.3067999,-0.060891025,-0.2539124
0.94775116,1.1842012,-1.9962456,-6.6339545,-6.7589436,8.688816,-7.1089745,-7.9347835,9.907141,-6.352565,-6.1210756,8.592643
2.413885,2.5750387,-3.8125226,0.012238979,-0.32937017,-0.05644176,-6.717109,-7.6308775,9.960401,0.9139718,1.3770802,-1.3542756
3.0054593,3.0737772,-4.8369403,-7.5698533,-8.53285,10.520848,-0.1680257,-0.5044654,-0.08693298,-2.321167,-2.3951087,3.3546321
