class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.9033661,-0.0007041991,-3.8467472,-6.109754,-1.0098588,15.211968,-0.96976805,-0.34923708,1.0814581,-6.2418523,-0.9003178,15.677252
0.9760599,0.1145245,-3.5977705,-1.156578,-0.39418986,1.5031623,-5.762527,-0.6378719,14.698468,-6.634662,-1.0250984,16.147795
1.7449056,0.14958858,-5.8315563,-2.2921124,-0.23473746,6.4658017,-6.9607215,-1.0596012,17.549887,-5.073529,-0.8003926,12.234844
-1.0231218,-0.37604395,1.1248868,-1.3823264,-0.3774698,2.332915,-5.647857,-0.59266305,14.544306,-5.3136377,-0.4970315,13.831994
-0.11429869,-0.074049175,-0.80139136,-5.98564,-0.83943164,15.466897,-6.0579734,-0.6573557,16.345263,-1.3882916,-0.4067183,2.2384732
0.42349622,0.03140419,-1.6994542,-3.07968,-0.42433894,7.369277,-4.6567745,-0.8362961,9.913157,-6.0898137,-0.8520401,14.376279
-0.71600306,-0.33867043,0.24044889,-2.9615037,-0.51759696,6.6496506,-1.078405,-0.3841397,1.2806329,-5.614203,-0.68790483,14.392132
-1.045007,-0.38029227,1.1812975,-0.2837835,-0.09813245,-0.08115135,-6.1123605,-0.6196256,16.228231,-6.389869,-0.76858306,17.581137
2.4276826,0.3457142,-7.262091,-3.4814432,-0.58694685,8.258715,-6.2718163,-0.6870321,16.367819,-6.5183206,-0.8475293,16.610855
0.4850479,0.1793268,-1.660216,0.20205095,-0.008739628,-1.3227731,-1.7409916,-0.4518937,3.2401404,-2.2580905,-0.22687736,5.623023
1.8017462,0.21895812,-5.7396946,-1.945014,-0.4972577,3.7350345,-5.363022,-0.47259545,14.97119,-2.5662625,-0.29565108,7.044124
-0.39061278,-0.2513658,-0.4501808,-1.1193587,-0.38975564,1.3945906,-6.7215476,-0.8318267,17.903671,-5.177005,-0.5680012,12.792351
-1.0134575,-0.3754532,1.0954512,0.30753887,0.07165343,-2.0326014,-6.5600486,-0.9721806,15.764556,-4.423106,-0.501458,11.980826
-0.31346354,-0.05010821,0.45463046,-4.541021,-0.84936893,10.455686,-7.3191934,-0.9516543,18.768976,-4.837156,-0.57967037,13.037473
2.5952125,0.3038212,-8.114123,-1.346079,-0.27878788,2.8455582,-6.0639896,-0.6551105,16.047756,-6.9705186,-0.8836541,18.61239
2.5362575,0.3029141,-7.9589515,-3.6081486,-0.3530306,9.182245,-7.234141,-1.0960588,18.080276,-5.983833,-0.83779037,14.67213
-0.9635676,-0.37256145,0.93678594,-6.0479465,-1.0026526,15.620384,-1.2646912,-0.41139314,1.815385,-5.9214244,-0.8682152,14.866394
-0.99524736,-0.37713927,1.0224739,-0.81464314,-0.10177304,1.5144275,-6.173093,-0.75478184,15.407132,-5.5274615,-0.60799253,14.069495
1.4507487,0.1923866,-4.8618546,-2.4023728,-0.22125399,5.0553794,-6.2213397,-0.69723916,15.998277,-1.0622826,-0.37450442,1.2722794
1.9053775,0.22924048,-5.9611025,0.40704647,0.05076856,-1.9887352,-5.9405656,-0.6791881,15.160348,-6.289086,-0.68951184,17.054256
1.7466861,0.27427006,-5.1183577,-0.80582106,-0.32518527,0.6654711,-4.912045,-0.40904707,13.064516,-5.513723,-0.6012018,14.025411
2.6696153,0.37392488,-8.052941,-3.0254273,-0.46212214,7.34209,-1.016436,-0.3560043,1.2055188,-4.1164804,-0.3603912,11.02584
3.498541,0.54494274,-9.945994,-6.0402694,-0.83014596,15.558677,-5.87281,-0.6180862,15.26284,-6.14951,-0.8236424,15.706911
0.03027372,-0.13950244,-1.3491474,-1.0674944,-0.3700816,1.3084013,-6.268322,-0.82121736,16.5067,-1.0376899,-0.3795302,1.1559623
-0.85216534,-0.33641237,0.7406856,-4.822054,-0.6144783,12.11222,-6.8150487,-0.9836707,16.785852,-1.2025974,-0.40001622,1.6460015
-0.93748116,-0.2505921,1.5066937,-5.395223,-0.7125907,13.395424,-6.652678,-0.78734905,17.453249,-5.9514394,-0.717306,15.7283125
3.3898916,0.47609127,-10.035548,-2.4510136,-0.40962252,5.1683555,-6.087552,-0.70039403,15.754529,-6.4816976,-0.8790494,16.652483
1.0050904,-0.017835826,-4.190016,0.46730915,0.08259331,-1.8866036,-1.548891,-0.44254762,2.649264,-6.3622518,-1.0205185,15.578439
-0.05073227,-0.040690064,-0.75366306,-1.5111431,-0.12094924,4.054837,-5.840442,-0.7125623,14.152574,-5.641201,-0.66615754,14.14601
-4.399382,-0.6876255,10.4470215,-3.611087,-0.56616575,7.8531194,-2.5593119,-0.23694927,6.934576,-5.8704953,-0.60648984,15.7546835
3.200134,0.46733817,-9.383615,-4.628537,-0.67433083,12.11373,-6.6110277,-0.7709199,17.261906,-5.72578,-0.6084849,14.590783
3.0412724,0.40122306,-9.138765,-2.9781473,-0.7019559,6.0140533,-2.8933733,-0.5980512,6.023386,-4.348738,-0.37995428,11.746236
1.9731265,0.30986947,-5.89443,-1.7674849,-0.3239894,3.7962477,-1.6262916,-0.25990194,3.585753,-4.8727694,-0.57158005,12.986793
1.732221,0.23225376,-5.3300333,-1.1623999,-0.39644262,1.517873,-6.494883,-0.75611055,18.032843,-5.6688447,-0.60926664,14.927541
-0.1920535,-0.037942767,-0.07350701,-2.8874338,-0.44530642,6.9405003,-1.1308239,-0.33522603,1.7136086,-0.8575703,-0.24956733,1.174613
3.076994,0.38877058,-9.406762,-3.039701,-0.40542406,7.704354,-6.3544254,-0.7792064,16.525349,-4.849202,-0.54851717,12.658568
-0.9989039,-0.1666336,2.3128412,-0.6201571,-0.26868498,0.27359346,-5.835872,-0.764218,14.403322,-6.0480976,-0.6743572,15.837058
3.1165903,0.44813338,-9.1485195,-0.85177374,-0.25019482,1.2291149,-1.2463703,-0.40396103,1.760033,-7.261271,-0.8882106,19.826014
-0.5515789,-0.21959132,0.2500524,-4.733386,-0.5825563,12.691688,-6.8965583,-0.8595783,18.10975,-6.103088,-0.72104234,15.271876
-1.026658,-0.3611741,1.2183322,-4.413402,-0.73249376,10.393825,-5.8624372,-0.6887515,14.734011,-1.0451933,-0.3736893,1.2184161
1.6883142,0.21385875,-5.325487,-0.78762364,-0.34922948,0.42590722,-5.4162803,-0.5113195,14.439,0.02119457,0.047462042,-0.7857696
-1.0606209,-0.3815028,1.2274228,-1.0542647,0.0716688,3.294999,-5.641429,-0.5830652,14.504906,-5.284077,-0.9177847,12.092271
3.1462066,0.40524882,-9.6025095,-3.4492662,-0.6094489,8.23393,-6.240415,-0.9307804,15.256997,-5.4309707,-0.8369857,14.082152
2.9970076,0.44769654,-8.743487,-2.2675195,-0.24650162,6.1852884,-1.5496625,-0.4290899,2.7175007,-5.2168536,-0.49846518,13.949275
0.6784382,-0.09927258,-3.5146883,-1.1178883,-0.39046255,1.3965912,-6.50446,-0.9027082,15.9715605,-5.873963,-0.85918134,15.190174
-1.269082,-0.1723834,2.8283944,-5.720281,-0.69629824,14.836023,-1.4144217,-0.42560494,2.2599654,-7.040879,-0.978083,18.035994
0.65143204,0.23655264,-1.6431633,-5.055677,-0.888509,12.3112955,-5.0900664,-0.6083232,12.356872,-6.1719856,-0.7992604,15.772643
1.3170727,0.28342855,-3.7318027,-5.543957,-0.7691199,14.021436,-1.1825734,-0.40346804,1.6027979,-6.4998736,-0.91544116,17.329838
3.520335,0.6007668,-9.738805,-2.43664,-0.4822942,5.7605886,-3.9721582,-0.3322928,10.683488,-6.107427,-0.7090392,15.463634
-1.0403404,-0.3742339,1.1976088,-6.0207086,-0.79784733,16.39471,-5.161274,-0.5443513,12.731675,-6.4120164,-0.921126,15.677314
-1.0479805,-0.37960392,1.1932331,-0.9425137,-0.36561903,0.8817893,-6.438355,-0.7044511,16.671453,-5.955308,-0.6299447,15.95766
3.0599458,0.44867373,-9.07282,-6.246922,-0.9979309,15.923468,-5.8314176,-0.63612384,14.848451,-5.608887,-0.668289,14.0996065
0.59223783,0.039210968,-2.2715442,-4.0526834,-0.79424655,9.649196,-6.2987485,-0.7654818,15.998763,-5.5983853,-0.66383296,13.775783
-0.9277867,-0.37114617,0.8198955,-5.147095,-0.8855883,12.224594,-5.4986143,-0.50798965,14.9986,-5.7078757,-0.92916274,13.263072
1.9463022,0.24367991,-6.177128,-1.7041806,-0.29949114,3.9874766,-3.1713054,-0.4778638,8.030401,-6.1222115,-0.90869355,14.896354
-0.38744077,-0.10889274,-0.26239908,-0.9684868,-0.3642263,1.0271723,-6.386018,-0.78333145,16.313158,-1.956539,-0.5860118,2.9581063
1.5571138,0.15878308,-5.0905814,-4.0237365,-0.57371664,10.232366,-5.663615,-0.5569111,14.871345,-5.262837,-0.7096564,14.349233
1.9821197,0.26250082,-6.2225094,-3.1972463,-0.54354167,7.4577894,-5.754786,-0.64429283,14.8735285,-3.5866678,-0.5472086,8.875726
-0.09670224,-0.021779783,-0.1446966,-5.0784473,-0.71269196,13.152446,-7.127091,-0.87421644,18.570425,-5.891664,-0.81825,14.967628
2.4129453,0.33191282,-7.3643613,-3.210902,-0.48213154,8.118269,-5.4971814,-0.6254389,14.227283,-6.9509954,-0.9681376,17.255075
1.4136628,0.30022743,-4.5553236,-0.9000462,-0.3247395,1.0073518,-4.262703,-0.901317,9.284575,-5.582791,-0.55567217,14.405289
2.1834118,0.35562223,-6.5811996,-0.9561105,-0.23762703,0.8753576,-6.0893154,-0.75996566,15.1068325,-6.8877416,-0.850999,19.08484
2.3364432,0.27808663,-7.2819014,-6.819885,-1.0152112,17.593922,-6.791119,-1.0619998,16.411894,-5.1582413,-0.5510391,13.106649
2.207596,0.2805546,-7.0053244,-4.037482,-0.5227094,10.33504,-5.775369,-0.6982243,14.538974,-1.4194324,-0.4288655,2.2716103
-0.9224514,-0.3584861,0.86163867,-0.021816183,0.023480095,-1.1084708,-1.0847036,-0.38369524,1.3047186,-3.6825347,-0.43396968,9.300863
-0.6199807,-0.29770023,0.10575651,-6.9465938,-0.8891555,18.417112,-6.0156875,-0.6837252,15.385285,-2.9829838,-0.45190662,7.2730813
3.5006335,0.51190317,-10.216865,-6.7323565,-0.9574051,17.56337,-1.2521163,-0.40816265,1.7601055,-5.653807,-0.6297387,14.317927
2.850839,0.39345992,-8.562785,-1.0577348,-0.3825637,1.2159423,-7.2344785,-1.0765151,18.52411,-6.836295,-0.9526833,17.253181
2.8141983,0.41825002,-8.194468,-2.5001538,-0.5909574,4.873469,-5.91124,-0.7750264,14.465732,-4.581548,-0.62868637,11.508323
-1.375346,-0.09041107,3.1839185,-1.0315629,-0.37538287,1.1573637,-0.94406736,-0.37168002,0.866719,-6.729591,-1.0436515,16.72987
1.2002479,0.12632266,-4.1926403,-2.764163,-0.41352516,6.7618685,-6.087394,-0.6702145,15.550462,-4.413175,-0.43956017,12.299457
0.04690337,-0.047577232,-1.0038478,-0.6215079,-0.13897966,0.5912392,-5.583336,-0.6804699,13.874926,-6.419268,-0.749872,16.681372
0.8319998,0.1670298,-2.8244035,-0.7094332,0.0053445175,1.5611414,-5.459285,-0.7125174,13.117305,-4.9113355,-0.6199099,13.162616
2.6236484,0.360404,-8.116626,0.2425569,0.08835164,-0.7085433,-6.413945,-0.81509656,16.467226,-4.3101544,-0.3948541,12.337074
0.052626133,-0.15385659,-1.5242809,-1.2463588,-0.40179113,1.7783452,-7.23931,-1.0764685,18.289215,-6.7582765,-0.9827515,17.603964
1.2406818,0.1702587,-4.2532625,-1.1699667,-0.22732091,2.246365,-6.5928655,-0.92838156,16.689783,-5.896814,-0.5821106,15.588588
-0.90788436,-0.1599524,1.8120363,-1.1079496,-0.3865152,1.3698531,-2.9019525,-0.6009737,6.6438417,-6.3162236,-0.7074739,16.954256
2.7715385,0.40089625,-8.19373,-2.999235,-0.39447165,7.3356237,-5.2892118,-0.47613716,14.480808,-6.1902475,-0.82529294,15.918521
3.288983,0.4840374,-9.629707,-0.9955293,-0.35903564,1.1130455,-2.5382032,-0.436194,6.0972567,-6.895177,-0.8411926,18.041397
-0.49150845,-0.26866543,-0.1980445,-4.9459233,-0.53681314,12.8404875,-6.0530915,-0.8125201,14.883835,-4.340958,-0.58972037,10.439437
1.6701049,0.33555853,-4.8662424,-4.7655425,-0.52017653,12.74368,-5.499246,-0.6229433,13.92221,-5.965141,-0.62692493,15.330703
1.0926163,0.13974118,-3.6132479,-0.06219275,0.116901025,0.05339382,-6.294126,-0.74578995,15.777049,-5.6057997,-0.6703969,13.679038
-0.03186641,0.01688701,-0.69928837,-3.5190504,-0.69722444,6.9742002,-6.401831,-0.781641,16.239145,-5.8261685,-0.7710048,14.826512
3.297674,0.45749965,-9.86909,-3.603314,-0.49801314,9.846538,-6.2915444,-0.6409233,17.004166,-3.997193,-0.49529082,10.872536
2.904631,0.4925764,-8.1700115,-4.3007073,-0.5091706,11.966384,-0.99211645,-0.3725192,1.0340171,-7.304809,-1.0933233,18.468172
1.9033357,0.15683106,-6.408824,-5.2608557,-0.71590555,13.774182,-5.551991,-0.6105494,13.928507,-4.786175,-0.37571833,12.9487505
0.89264333,0.10668402,-3.1988497,-0.9408885,-0.32981664,1.0902709,-6.1443973,-0.76286674,15.2905245,-6.2944703,-0.74209976,16.596174
2.106258,0.2685951,-6.6593943,-1.2511138,-0.08421454,3.1591876,-5.0186734,-0.56551546,11.934699,-7.4766583,-1.0786138,19.17661
2.145592,0.29980946,-6.6298103,-2.5744112,-0.3274084,6.376445,-6.067517,-0.7023901,15.429172,-5.395713,-0.54997724,13.562736
-1.0118214,-0.37737703,1.0744841,-4.5926557,-0.65564877,11.993133,-6.4139466,-0.87368584,16.403105,-5.8887706,-0.73195416,14.509891
1.3407266,0.211803,-4.5541487,-5.072814,-0.6818931,13.497469,-1.0394626,-0.3772119,1.182624,-5.8570747,-0.93750525,14.617206
2.654722,0.3541999,-8.077687,0.27868834,0.12669198,-1.5601686,-6.8739305,-0.85685766,17.842274,-6.0624385,-0.6913691,16.759455
2.8345284,0.3919498,-8.404386,-4.2561293,-0.39065942,11.370833,-7.0168056,-0.94847035,18.165125,-5.750763,-0.5670768,14.833276
-0.63771904,-0.26385865,0.30121982,-1.032299,-0.34937963,1.2980677,-6.381038,-0.71540165,16.66926,-1.7038252,-0.46104324,2.9563792
2.4756916,0.34125298,-7.444813,-3.9731522,-0.5224311,9.87796,-6.694636,-0.93177795,16.346323,-5.227362,-0.72099483,13.39775
2.3871353,0.31960142,-7.2068253,-0.2056592,-0.010125585,0.24981347,-6.1313453,-0.77095056,14.988671,-5.7850614,-0.6165586,14.810338
1.7872449,0.24709682,-5.377107,-2.9285028,-0.37556186,7.7090664,-6.313604,-0.6803166,16.369097,-5.164873,-0.4956777,13.05052
-1.6628673,-0.20617402,3.8667736,-1.6095657,-0.17179826,3.0960066,-6.507006,-0.7349352,16.801851,-6.020808,-0.6835934,15.295913
3.4373226,0.49457094,-10.094193,-2.148651,-0.6175594,3.785096,-2.0979805,-0.51031345,4.257784,-3.922359,-0.6285716,9.796744
-1.9589963,-0.49195266,3.5333507,-3.756949,-0.51541865,8.905245,-5.8871384,-0.5337164,16.150549,-1.0924392,-0.3904864,1.3104424
1.938636,0.24049199,-6.0397296,-3.088705,-0.36115056,7.6178484,-5.7427526,-0.61956316,14.838521,-5.060691,-0.44637764,13.13392
1.8963655,0.2636827,-5.694027,-5.9169497,-0.85109276,14.801801,-6.156871,-0.6674528,15.967036,-5.5102096,-0.6479716,13.630514
2.8177161,0.35245788,-8.565557,-5.3656898,-0.60897446,15.24045,-5.3636174,-0.5007248,14.120912,-1.1718754,-0.39848617,1.5354944
0.6328882,0.05710347,-3.1291287,-1.0760325,-0.3830237,1.2738668,-6.7023025,-0.9187521,17.002375,-6.7351556,-0.75911677,18.074358
3.1408648,0.59320086,-8.376054,-0.6562828,-0.22700858,0.5995569,-4.405384,-0.47348583,12.315404,-6.815228,-1.0466459,16.634089
1.8358768,0.2745866,-5.5049686,-4.7861648,-0.6479913,13.013243,-7.0712147,-0.7918793,19.062819,-5.3636947,-0.7258537,14.144118
0.47971508,0.06973556,-2.1030118,-4.1718993,-0.4556787,11.275149,-6.006266,-0.6600034,15.351466,-6.0613933,-0.6493866,15.880294
1.3037199,0.16213468,-4.5901284,-2.4902048,-0.42152327,6.1601496,-6.0263753,-0.66138107,15.566262,-0.9446999,-0.3368773,1.0452803
-0.90107036,-0.3419858,0.8718443,-0.80851996,-0.22999543,1.1102637,-6.5247707,-0.922727,16.984554,-6.2044234,-0.80981106,16.197704
2.854888,0.38241747,-8.676528,-1.9373562,-0.4414996,3.9813993,-5.730771,-0.6204992,14.803055,-5.8612456,-0.87273836,13.557128
2.5416126,0.31764975,-7.9161296,-2.2246435,-0.32730952,5.5566244,-7.1878676,-1.033068,18.755983,-1.643253,-0.4518308,2.967509
-0.9927746,-0.37667328,1.0128762,-2.2884378,-0.4702006,4.1302085,-6.2656116,-0.79574656,16.09205,-5.1382394,-0.7150915,12.3126135
3.1209004,0.45446223,-9.193187,-0.9128467,-0.36478046,0.79971826,-6.2231727,-0.6585628,16.216524,-6.5693064,-0.84363234,16.547533
0.3427462,-0.07120806,-2.0786326,0.7679523,0.1531979,-2.4541707,-6.1295085,-0.7219436,15.566979,-5.8958836,-0.74421716,15.222473
3.2414303,0.50646746,-9.328519,-1.0729746,-0.38386118,1.2612875,-7.0358944,-1.0415367,17.500324,-2.877564,-0.4647342,7.2149553
2.3991253,0.34310126,-7.3207555,0.38061365,0.08931965,-1.496667,-6.3297343,-0.64519113,17.399439,-1.0871643,-0.38382015,1.3116589
2.394065,0.29415518,-7.4598475,-3.253802,-0.36185944,8.625069,-6.1697326,-0.7892412,15.746104,-5.8675447,-0.6813679,14.615074
1.3973272,0.27915812,-4.5217714,-5.4224863,-0.770305,14.393742,-7.268371,-1.1281105,18.002913,-6.237204,-0.7299359,15.66389
2.0807326,0.25332552,-6.5375586,-4.3215747,-0.6689543,11.191028,-1.0238328,-0.3664158,1.175692,-5.2899833,-0.6283243,13.69723
-1.1016413,-0.3867698,1.3461022,-2.4027545,-0.34420723,6.3203096,-3.3575866,-0.3344466,9.159417,-5.62867,-0.7603024,15.359588
3.0578763,0.4313252,-9.009561,-1.1005005,-0.3909219,1.3164105,-6.109184,-0.6532525,16.154179,-6.726042,-0.9944781,17.041239
-0.52832687,-0.31539574,-0.32131308,-6.3629265,-0.83223903,16.679033,-1.2139846,-0.4001435,1.6821553,-5.9727597,-0.64641774,15.551725
2.6467457,0.36395633,-8.189017,-5.4574,-0.8817057,14.011044,-5.495073,-0.5631956,14.37458,-0.7423049,-0.3458942,0.27690503
0.38118193,0.025134843,-1.8902326,-1.8526002,-0.23945653,4.8136263,-6.3682923,-0.8182632,16.204473,-6.797235,-0.81127894,18.287756
0.89331484,0.029299378,-3.477905,-2.4946043,-0.30307665,5.557838,-7.0671573,-0.9766654,18.51473,-5.7139373,-0.6192523,14.662519
-0.9988184,-0.37450057,1.0456046,-1.8608743,-0.29812306,4.429817,-6.668612,-0.86702335,16.55599,-6.516636,-0.8309214,17.499949
2.9613392,0.39356345,-8.987107,-3.1473255,-0.21252921,9.272901,-7.121549,-0.9207467,18.64398,-4.5925803,-0.67852306,11.250208
1.1524221,0.16915753,-3.6214898,-0.5036005,-0.21725875,0.005423125,-5.762357,-0.64185095,15.358551,-5.9240217,-0.6578398,16.019327
2.7095296,0.39112493,-7.9944286,-4.871097,-0.7670386,12.673097,-0.9961026,-0.3691814,1.0613382,-5.7412086,-0.89170295,13.719628
0.97179496,0.08148919,-3.476938,-4.800494,-0.5992894,12.877511,-5.580133,-0.5558268,14.8651285,-0.22442934,-0.16065682,-0.62277997
-0.9998851,-0.37043202,1.0723386,-1.4216791,-0.1941432,3.579486,-2.6235294,-0.5799226,5.83445,-5.770021,-0.63821536,14.610988
2.1441176,0.3035335,-6.3757515,-4.2400007,-0.42958498,11.68624,-3.057809,-0.7192256,6.422163,-5.4865327,-0.5668186,14.465176
3.0315776,0.42673454,-8.972568,-1.2824348,-0.059427798,2.8345191,-6.643312,-0.8721886,16.564781,-1.2565113,-0.40867287,1.7749969
-0.93195474,-0.36887166,0.85735667,-3.0957148,-0.5695052,7.520631,-6.1424804,-0.59889066,16.840597,-5.086208,-0.464563,13.43088
2.8765464,0.3629337,-8.772513,-4.9194303,-0.79056215,12.132816,-6.32979,-0.7406968,16.508768,-5.7375493,-0.6443241,14.521815
-1.0565783,-0.37740004,1.2348986,-0.43001223,-0.2500514,-0.30092427,-6.022858,-0.72444,15.293163,-5.461784,-0.61390257,13.624894
-1.3199052,-0.34014797,2.445436,-5.1337037,-0.64728665,13.699521,-5.7454953,-0.8337599,13.520764,-6.1482816,-0.89360476,15.196292
-0.2656899,-0.22576177,-0.754568,-4.224527,-0.5644355,11.077205,-6.3608856,-0.7254442,16.541925,-0.9313377,-0.3573956,0.8990147
3.0732367,0.4616743,-8.977337,-3.6003091,-0.30107942,9.521248,-5.694226,-0.6346257,14.141118,-5.2345347,-0.52898735,13.232551
0.18981655,-0.12277801,-1.8377454,-2.9269676,-0.4326982,6.9050837,-1.0352005,-0.37727076,1.1595894,-1.0814794,-0.39359614,1.2364151
2.6583698,0.39307857,-7.7971807,-3.0706108,-0.40782714,8.183989,-6.338303,-0.77927876,16.256636,-5.916135,-0.7627389,15.688246
-1.620917,-0.17901862,3.9218686,-0.6382669,-0.3194952,0.03708958,-1.8151318,-0.56898206,2.3223326,-5.197985,-0.5281831,13.245126
-0.9726038,-0.3702367,0.9756875,-5.088171,-0.57300085,13.868999,-2.4938395,-0.5500576,5.554998,-1.0766351,-0.3831523,1.278695
-0.9145076,-0.36710355,0.7815622,-2.8688056,-0.35544497,7.666105,-5.806241,-0.66609365,14.545482,-5.5867333,-0.8106433,14.407792
0.67034626,0.09875525,-2.4330025,-3.6448,-0.44439608,9.734049,-5.718874,-0.62912226,14.604329,-5.9395356,-0.8071033,15.118974
-0.7159339,-0.23612654,0.48445764,-4.2375484,-0.492532,11.36782,-1.2777925,-0.40644923,1.873319,-6.83976,-0.869225,17.881277
-0.8159592,-0.3395489,0.6108991,-3.7924335,-0.46831542,9.244648,-6.10222,-0.62155247,16.795938,-5.072486,-0.44396502,13.956684
