class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.3467106,-0.49866977,4.992901,6.8453836,0.05382517,5.9078417,-2.8228915,1.4204869,1.4831214,-0.9538199,-0.3687797,4.985338
0.8497225,-0.4818358,4.99349,6.81851,0.069178134,5.926553,-22.361086,1.4503566,1.2488775,-19.945927,0.9326843,3.1686041
1.4849906,-0.49766514,5.0036736,6.614711,0.02250275,5.859865,-2.498903,1.4033874,1.5021721,-14.102522,0.44134066,4.327405
1.4449815,-0.4977391,4.99829,4.9966884,-0.13653642,5.7106647,-2.6726725,1.4126018,1.492738,-22.558279,1.2565253,2.066704
-1.2479824,-0.353551,5.0660944,6.902279,0.078430384,5.934204,4.6933756,-0.18403879,5.6474714,-20.94607,1.4668989,1.013194
5.8362503,-0.07485336,5.773758,6.0897818,-0.007055253,5.853072,0.34608647,-0.4370549,4.972581,-18.155043,1.3790897,0.92597985
-0.30742913,-0.41685084,5.0033607,4.0796843,-0.24269518,5.5722685,-2.6913574,1.4134945,1.4917892,0.7216233,-0.47616103,4.9930143
1.4274027,-0.4958255,5.00704,5.4525967,-0.11925128,5.7114487,-2.6358643,1.410693,1.4945424,-13.801025,1.2633387,0.86720085
2.0830588,-0.44573697,5.1558094,1.4739817,-0.4975951,5.001068,-2.7380047,1.4161508,1.4882449,-15.178467,0.54073405,4.1300373
0.63886464,-0.46229813,4.9701796,4.5811763,-0.19668493,5.590687,-19.450033,1.4227484,0.9890896,-16.257282,1.3007846,0.8990928
-4.267681,-0.17615202,5.0323353,5.235544,-0.121420115,5.7424374,-2.80385,1.419628,1.4835801,-12.348107,0.3498496,4.5237627
2.7003949,-0.4066644,5.2314835,6.7595873,0.05447212,5.911495,-17.949312,1.3664328,0.94796467,-13.137408,1.2705541,0.8850527
2.3592637,-0.43545952,5.194935,1.1714696,-0.49590483,4.973791,-22.832548,1.3699702,1.6062346,-18.842691,1.394225,0.96217
1.3801572,-0.4988338,4.9965153,1.4644833,-0.4979439,5.0017548,1.3785332,-0.498328,4.997163,-12.459793,1.2714863,0.9106958
0.94129145,-0.48653695,4.9936085,4.7941775,-0.18140021,5.6634293,5.0693836,-0.14364758,5.7052975,-18.014885,0.7525306,3.679198
-6.2482753,-0.070478946,4.9402027,1.7420648,-0.486248,5.054044,-2.5007713,1.4033166,1.5023017,-18.438568,0.8268757,3.4504013
2.1091368,-0.4514726,5.104603,1.3245931,-0.49884596,4.991905,-2.574623,1.4072782,1.4988163,-14.183897,1.2563142,0.86196303
-2.5932424,-0.2723495,5.000517,1.4633428,-0.4979178,5.0033607,-21.482334,1.4732534,1.0625045,-15.600533,1.2777088,0.86510265
7.166849,0.1266037,5.9505606,1.2864543,-0.49651876,4.994377,-18.07042,1.3748608,0.93496656,-18.701033,0.8368964,3.4480426
-2.007598,-0.30356577,5.016633,1.2560478,-0.497349,4.9979305,-0.17226088,-0.424682,5.046896,-18.898678,1.4068238,0.94614863
