class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.58078426,-0.29815477,-0.29819947,-0.34623027,-0.04071115,-0.02344212,-0.025358092,0.043086864,0.01588288,-0.45360467,-0.28756028,-0.33199024
0.118777096,-0.2261815,-0.2430592,-0.44037628,-0.28904375,-0.33711475,-0.74688977,-0.50057924,-0.20881088,0.0825409,-0.18763691,0.18429734
-0.39374894,-0.29227155,-0.35531217,-0.8143171,-0.5271702,-0.28742146,0.09623909,-0.20045575,-0.09055643,0.21062775,-0.1637493,0.1990136
0.0945736,-0.19590917,-0.08144529,-0.19986023,-0.29450777,-0.43936366,0.1798786,-0.17908373,0.20585202,-0.33706918,-0.29228988,-0.3736096
0.22392945,-0.15492567,0.1902752,-0.8094722,-0.5313833,-0.28496212,-0.43555954,-0.28871778,-0.3386869,0.110269085,-0.1867739,0.20277362
0.23776664,-0.0001014024,0.09023327,0.11038624,-0.23794788,-0.28652436,-0.014732797,-0.26742673,-0.4932717,-0.14395042,-0.2906456,-0.46014
-0.70332634,-0.33923337,-0.2787055,0.052164543,-0.18082401,0.054703966,0.023106743,-0.24317399,-0.4056514,-0.5593156,-0.2932614,-0.30269796
-0.79014313,-0.53760576,-0.27802455,-0.75679,-0.43256673,-0.14741567,-0.8117991,-0.4458411,-0.2884575,-0.7421935,-0.2882881,-0.064020544
0.008292053,-0.2410044,-0.4185928,-0.52965295,-0.28962365,-0.30972642,-0.0037350915,-0.25960392,-0.4920324,-0.820822,-0.47013935,-0.29163116
-0.7535582,-0.4743869,-0.18423471,0.22283189,0.013728291,0.07720663,-0.32258478,-0.29233888,-0.38057584,0.104366854,-0.24409488,-0.29934412
-0.7494739,-0.36748907,-0.27791297,0.12887914,-0.18463045,0.20857613,-0.82033205,-0.46468458,-0.2909611,0.11377071,-0.21602571,-0.167256
-0.7613116,-0.35818872,-0.101227984,-0.8085437,-0.45568588,-0.28704423,-0.724074,-0.25615135,-0.053435124,0.069324225,-0.18437254,0.15699024
-0.43754423,-0.08590025,-0.03810735,-0.51276517,-0.117557794,-0.041930787,0.24389215,-0.11117804,0.16725476,-0.018848587,-0.24338523,-0.46793753
0.22949313,0.010241613,0.07753526,0.06932022,-0.18531978,0.16411228,0.20145491,-0.1697025,0.20306094,-0.3406711,-0.29278597,-0.37254417
0.06775005,-0.18663323,0.17157133,-0.74955916,-0.36823145,-0.2778667,0.090840206,-0.18754357,0.1900282,0.118884385,0.042938575,0.03762482
