class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.029738538,0.115782425,0.020226315,0.029734408,0.11577229,0.020231286,0.029709656,0.115785494,0.020237748,0.02973158,0.11578029,0.020225853
0.029736992,0.115765125,0.020235233,0.029740976,0.11577913,0.020230755,0.029742835,0.11578587,0.020225413,0.02974256,0.115780175,0.02023077
0.029730659,0.11577565,0.02022862,0.029738415,0.11576846,0.020245217,0.029734945,0.115780056,0.020227661,0.029722862,0.115777634,0.02023558
0.029732727,0.115783356,0.020225963,0.029737283,0.115774274,0.020230142,0.029727831,0.1157853,0.020218287,0.029746382,0.11577928,0.020215824
0.029736636,0.11577073,0.02024053,0.029739909,0.115772694,0.020238442,0.029731236,0.11577558,0.020240042,0.029724594,0.11577932,0.020241337
0.029727668,0.11578809,0.020224597,0.029732788,0.11577711,0.020235175,0.029678693,0.1157678,0.020266516,0.029732887,0.11577603,0.02023261
0.029743403,0.11576502,0.020236872,0.029742219,0.115781516,0.02022591,0.029739844,0.11577506,0.020230673,0.02973939,0.115782335,0.020225644
0.029740423,0.11577125,0.020231757,0.029731654,0.11577574,0.020228421,0.029729124,0.1157825,0.020235004,0.029726263,0.1157822,0.020229185
0.029734848,0.11578128,0.02022304,0.0297403,0.11578427,0.020228896,0.029735217,0.11578386,0.020225953,0.029733343,0.1157887,0.020228587
0.02974615,0.1157777,0.020231474,0.029733103,0.11578369,0.020229526,0.02973679,0.11578504,0.020228878,0.029721102,0.11578481,0.020240625
0.029740235,0.11577161,0.020232968,0.02973184,0.115777396,0.020237863,0.029731363,0.11577944,0.020225529,0.02973964,0.11577801,0.020234905
0.029734053,0.11577722,0.020238262,0.029739369,0.11577601,0.020239988,0.029727546,0.115777574,0.020242093,0.029723704,0.11576845,0.020242613
0.029734654,0.115787975,0.020228652,0.02973855,0.115781054,0.020230636,0.029730426,0.11577984,0.020232197,0.029734233,0.115785144,0.020227864
0.029741026,0.1157783,0.02022333,0.02973679,0.11578462,0.020227827,0.029737826,0.11578234,0.020227466,0.029732915,0.11578262,0.020230759
0.029736785,0.11577968,0.020234037,0.029737992,0.11577934,0.02022753,0.02974981,0.11576144,0.020249646,0.029735224,0.11578068,0.020235945
0.029731026,0.11578216,0.020224974,0.029736882,0.115776606,0.020227358,0.029725708,0.1157776,0.0202396,0.02973566,0.11577985,0.020219188
0.029741924,0.11577416,0.020228133,0.029739205,0.11577894,0.020237196,0.029723775,0.11577689,0.020240959,0.029741287,0.11578816,0.02022101
0.029739479,0.11578129,0.020227652,0.029742412,0.11578102,0.020224761,0.02975193,0.11578185,0.020228159,0.02973897,0.11577422,0.020238407
0.029741358,0.11577457,0.020238673,0.029747827,0.115774915,0.020233883,0.029752227,0.11579457,0.020236626,0.029744439,0.11578114,0.020236231
0.029740818,0.11577488,0.020234283,0.0297333,0.11578003,0.020224929,0.02974118,0.11576321,0.020238103,0.029729888,0.1157784,0.020248007
0.029735299,0.11577721,0.020237077,0.029726405,0.11578064,0.020230547,0.029739724,0.11578155,0.020229012,0.02973838,0.11578829,0.020231582
0.029746382,0.11577744,0.02023423,0.029731026,0.11577528,0.0202345,0.029737256,0.11577819,0.020235132,0.02973724,0.11577906,0.020227628
0.029742273,0.115780264,0.020234454,0.029733317,0.1157749,0.020232972,0.029740993,0.115774244,0.020224897,0.029738465,0.11577861,0.020233087
0.02973463,0.11577086,0.020235816,0.0297343,0.11577499,0.020229502,0.029740829,0.1157864,0.020226803,0.029744217,0.115784,0.020218946
0.029744241,0.11577344,0.020230884,0.029736513,0.1157768,0.02022425,0.02973539,0.11577454,0.020236257,0.029740006,0.1157816,0.0202279
0.029739399,0.115778655,0.020232856,0.029737499,0.11577874,0.020232271,0.029736774,0.115770824,0.020220678,0.029741924,0.115785144,0.020233968
0.029735696,0.115778886,0.020228457,0.029734386,0.11578007,0.020226335,0.029731702,0.115783036,0.020222863,0.029736111,0.115775205,0.020226903
0.029730868,0.115769655,0.020241281,0.029727947,0.11577696,0.020250801,0.029740276,0.115784965,0.020219665,0.029734215,0.11577533,0.020227196
0.029735744,0.11577509,0.02023964,0.029734427,0.11577743,0.020229995,0.029739443,0.11578229,0.020226706,0.029739156,0.11578169,0.020232454
0.02973561,0.115779996,0.020232568,0.029744077,0.115770176,0.020230092,0.029746594,0.11577847,0.020223372,0.029739102,0.115776286,0.02022358
0.029738225,0.115770996,0.02023673,0.029739177,0.11577351,0.020234153,0.02973503,0.11577828,0.020238183,0.029739788,0.11578027,0.020226369
0.02974023,0.115781635,0.020234302,0.029738938,0.11576557,0.020239953,0.029732684,0.115776576,0.020234536,0.029723972,0.11577725,0.020243606
0.029741205,0.11576715,0.020244468,0.029741041,0.11578274,0.020230472,0.029734828,0.115779355,0.020230208,0.029724695,0.1157815,0.020241378
0.02973325,0.11577991,0.020233102,0.029734151,0.115782924,0.020234238,0.029732585,0.11577647,0.020231482,0.029738309,0.11578196,0.020228788
0.02974216,0.115774654,0.020232614,0.029731564,0.115769185,0.020224858,0.02974037,0.115782306,0.020231575,0.029733289,0.11578054,0.020223722
0.029729074,0.11576815,0.020238321,0.02973443,0.115783475,0.02022861,0.02972963,0.11577619,0.020230358,0.029732514,0.1157792,0.020236379
0.02972898,0.11578236,0.020233868,0.029735303,0.1157795,0.020226574,0.029740736,0.11578475,0.020231254,0.029737778,0.1157776,0.02023438
0.029739214,0.11578004,0.020231655,0.029735245,0.115772225,0.020232866,0.029744383,0.11579522,0.020210393,0.029742133,0.115781344,0.020225398
0.029730642,0.11577445,0.020235028,0.029744392,0.1157709,0.020232515,0.029735105,0.11576831,0.020228034,0.02974342,0.115778625,0.020229263
0.029743616,0.11576806,0.020245833,0.029739484,0.11577428,0.020227734,0.029740866,0.11578583,0.020227809,0.02973862,0.1157808,0.020234644
0.029730558,0.115781166,0.02022191,0.029737834,0.11577537,0.020228062,0.029741123,0.11577978,0.020225149,0.029730132,0.11578333,0.020236012
0.029741528,0.11576809,0.020236678,0.029738102,0.11578046,0.020227423,0.029739285,0.11578345,0.020224515,0.02973262,0.11578368,0.020223822
0.029733742,0.1157906,0.020222329,0.029732712,0.11577693,0.020234693,0.029731829,0.11578123,0.020231463,0.02972808,0.115776844,0.020239547
0.029734831,0.11578657,0.020224303,0.029748049,0.11577887,0.020231312,0.029737275,0.1157749,0.02023657,0.029738162,0.115782805,0.02022938
0.02973343,0.115765154,0.020235902,0.029737517,0.11578089,0.020232929,0.029728036,0.11577566,0.020227548,0.029729228,0.11577382,0.020253269
0.029737389,0.115780935,0.020233419,0.029719565,0.11577691,0.02023698,0.029734066,0.11578341,0.02022614,0.02972279,0.11577997,0.020237014
0.029738838,0.11577822,0.02022727,0.029740488,0.11577611,0.020235673,0.029743081,0.11578629,0.020227987,0.029738465,0.115780205,0.020229533
0.029736731,0.11577939,0.020237211,0.029739477,0.11577438,0.020229358,0.029736133,0.11576853,0.020239066,0.029738342,0.11578373,0.020233948
0.029733311,0.11578417,0.020227503,0.029733133,0.115775056,0.020241562,0.029731395,0.115779,0.020229213,0.02972658,0.115782425,0.02023694
0.029734578,0.11576936,0.020246219,0.02974413,0.11577615,0.020235572,0.029740214,0.11577869,0.020229883,0.029745685,0.11578263,0.020228934
0.02973798,0.115773566,0.020241298,0.029742824,0.115767926,0.020236885,0.029739352,0.11577671,0.020237489,0.02972858,0.115777574,0.020240149
0.029745707,0.11577805,0.020226981,0.029743593,0.11577545,0.020235818,0.029715698,0.11577594,0.020240637,0.029734965,0.11578474,0.0202191
0.029732829,0.115781344,0.020224791,0.029744776,0.11577557,0.02022615,0.029758945,0.115765594,0.02022647,0.02974005,0.11578011,0.020240262
0.029740648,0.115763135,0.020249002,0.029741798,0.11577709,0.020233627,0.029745158,0.1157831,0.020223498,0.029731937,0.115786225,0.02023449
0.0297341,0.11577891,0.020227445,0.029739222,0.11578182,0.020227354,0.029727895,0.11577174,0.020233877,0.02972889,0.115780644,0.020241797
0.029730447,0.115782835,0.020231582,0.029746844,0.11576173,0.020245725,0.029724482,0.11576741,0.020251743,0.029730469,0.11577225,0.020231266
