class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
3.563165,-4.548978,-9.303931,-2.7853663,3.4988904,3.2223449,-0.9684404,1.1357651,-1.087851,-0.044021398,-0.1407938,-3.0665367
2.1539414,-2.5643597,-7.7437243,-2.2643383,2.8277993,1.9360847,2.7382567,-3.412109,-8.920882,1.1177258,-1.6329432,-6.1480155
0.7689669,-1.084443,-5.1487284,-4.080907,5.118519,4.0638914,-1.0292037,1.1851345,-1.0656061,2.0928602,-2.6534615,-7.8277392
8.940923,-12.401465,-20.164883,-1.8997532,2.086762,1.4267955,-1.9529022,2.0498333,0.31349072,3.1388743,-3.872819,-9.656989
1.7330419,-2.5392213,-6.9320083,-0.16064963,-0.2976272,-2.9895692,-1.0320089,1.0164951,-1.1531549,1.1183854,-1.5424594,-5.84554
0.790774,-0.62523156,-4.719938,-3.4944384,4.3367357,3.077651,-2.3739793,3.0125246,2.0688813,2.6964478,-3.3434186,-8.657828
2.6290252,-3.259831,-7.8975177,-6.303133,8.056405,9.488633,2.570014,-2.9612536,-7.90684,-0.83884704,0.75606656,-2.0668156
1.4190542,-1.6474727,-4.702688,-5.391403,6.4888687,7.579917,-0.65797126,0.882457,-1.7429159,-1.1667637,1.35242,-1.57035
10.3910055,-14.631958,-23.534552,-5.1226435,6.3397126,6.849745,-0.20531335,0.19236559,-2.6886675,-1.4736482,1.7835494,-0.31973138
3.2516935,-3.5307937,-8.850755,-3.4821155,3.647501,2.8810127,-1.6344491,1.9750339,0.09970936,0.22544733,-0.32798904,-3.806686
1.8913567,-2.7605186,-7.4480667,-9.389032,11.706812,15.111299,-0.87139654,1.1174624,-1.7436166,-2.3272252,2.7689867,0.56809187
9.872632,-13.775431,-22.38928,-2.2914102,2.9563732,2.4596577,1.3963085,-1.6458837,-5.9763575,3.0079434,-3.9542875,-9.516214
2.7972763,-3.3927836,-9.030249,-2.500132,3.3589602,1.728888,-4.0097766,5.0113945,5.306334,-4.396483,5.139867,4.797787
2.4921389,-3.5342674,-8.326837,-5.0420094,6.523674,6.8413596,-1.4569021,1.3794855,-0.7360058,-2.2021172,2.7784848,1.5604727
2.2542498,-3.1574726,-8.013728,0.15263835,-0.21144462,-2.213838,1.9448355,-2.6697898,-7.379751,1.3390226,-1.6133765,-6.2013307
2.0171835,-2.129702,-6.4834514,0.38957557,-0.6192244,-4.6697216,1.3028022,-1.5533439,-6.124207,2.8744285,-3.6199775,-9.204291
0.64425766,-0.5591204,-3.6943727,-1.1030327,0.953545,-1.6487386,0.059231192,-0.26701486,-3.5524917,1.8829867,-2.5444121,-7.0409856
2.3790123,-3.279354,-8.602829,-6.737089,8.532974,10.90021,-2.4196908,3.2043633,2.4592218,1.2112451,-1.5062135,-5.83415
10.793375,-15.359165,-24.65099,-1.1912086,1.371684,-0.36979094,-3.2798917,4.109833,4.1710153,2.6070786,-3.6408415,-8.711569
4.355411,-5.2364626,-11.618506,-4.2217445,4.6770773,4.4740906,-3.430126,4.2554903,3.0632746,0.64690626,-1.0035665,-4.540151
1.1940488,-1.2472705,-5.297433,-7.174596,9.138201,10.835709,2.5891695,-2.896698,-8.032847,-1.896303,2.4007173,0.6149821
3.0142252,-3.8823795,-9.586409,-4.811099,6.1446795,5.9261603,0.8559891,-1.1603854,-5.035406,2.124377,-2.667317,-6.909368
2.371501,-2.8332057,-6.8999844,-2.125651,2.0917654,0.15044877,-3.787398,4.6857452,4.12858,2.528558,-3.5843906,-8.752738
0.8825747,-3.681161,-6.842191,-6.7267065,8.258657,10.413114,2.4005718,-2.936471,-8.29719,3.5893066,-4.379263,-10.363681
1.6248614,-1.7566984,-5.8112364,-5.30908,6.487801,6.0768228,-0.07083082,-0.14778215,-2.8624973,2.8055928,-3.3696647,-8.905787
2.4577937,-2.9639716,-7.7480435,-3.6857631,4.64464,3.938898,1.6604285,-2.244739,-6.7385616,-1.0813462,1.2298478,-1.4846516
1.6102456,-1.9626898,-5.37907,-3.5384028,4.568143,3.2121797,4.243474,-5.240295,-11.641421,1.681631,-2.238039,-6.8427444
3.734589,-7.2755604,-12.422159,-0.32784677,0.1881001,-1.4079113,-2.8280046,3.32942,2.121294,1.9537383,-2.488153,-7.6357975
-0.49304006,-1.9182786,-4.039267,2.282281,-2.6534877,-7.784467,-5.334517,6.173291,6.470074,1.0658796,-1.2681643,-5.731685
2.8037474,-3.2412844,-8.364413,-4.3902225,5.845067,6.1656146,2.4124868,-2.9562273,-8.0636425,2.6499956,-3.2853708,-8.680329
1.7787806,-1.7359866,-6.2435966,-7.7091703,9.657459,11.315407,2.089146,-2.4678583,-7.492898,-1.9966344,2.533732,1.2747457
3.2236383,-3.4787674,-8.884328,-0.6189687,1.0710458,-1.7646737,-1.8734384,2.3695097,0.43307254,3.1917984,-4.24146,-9.720971
2.39347,-2.8018909,-6.8573303,-2.4144323,3.035286,0.67317593,1.750438,-2.3931541,-6.5103927,1.4462911,-1.7463101,-6.274771
3.6086717,-4.158622,-10.106324,-0.56124043,0.47169685,-1.3294135,3.3230968,-4.18444,-10.04935,0.38169035,-0.56532687,-4.484122
1.7350239,-4.7715926,-8.561864,-4.1420426,5.219639,4.707774,1.3035117,-1.466217,-5.8077817,0.51937294,-0.8021951,-4.835445
3.1241047,-3.8219056,-9.44337,1.4940934,-2.4706607,-6.7098413,-3.5022793,4.1082344,3.5618043,-2.899769,3.4848766,2.3511107
3.835395,-4.776733,-10.929248,-9.872363,12.12721,15.779043,-4.612048,5.5736575,5.682938,0.9381815,-1.2105933,-5.5401974
8.621165,-11.967865,-19.560246,-6.2127113,7.9358883,9.946173,-0.5576496,0.62223756,-2.54875,-3.5239146,4.1669908,3.072598
2.203839,-2.59979,-7.7968144,-4.122795,5.539667,5.4092593,1.2280586,-1.4072407,-4.950655,2.7033682,-3.443009,-8.613166
0.2592102,-2.88941,-5.5886817,-2.0800123,2.641336,1.8875644,-0.5535952,0.40472203,-2.4488528,2.5523708,-3.2520528,-7.809798
3.6237464,-4.3121886,-10.109082,-5.861208,7.228156,7.8569303,-0.5873538,0.36187768,-2.4930615,0.6545671,-0.7070929,-4.094212
0.80221283,-0.81093675,-4.48203,-3.969613,5.094022,4.366211,-2.5142787,3.0362887,1.9467856,3.5722651,-4.4012623,-10.40228
1.4645302,-1.6159462,-4.6756563,-0.75651777,1.1174425,-1.3790848,2.359285,-3.153812,-8.081393,3.2668583,-3.99957,-9.548903
3.4883516,-4.3459773,-10.396968,-1.5187824,1.7256856,-0.8785691,-3.075746,3.532496,2.8023276,3.9123743,-5.114661,-10.557729
-0.37618288,-2.0588503,-4.254084,-6.0290585,7.693687,8.670598,-3.1428833,3.7694378,2.6698146,1.4498935,-1.664475,-5.978195
2.9215674,-3.4738169,-9.129041,-6.1077776,7.5475793,7.956391,-0.8530228,0.93356484,-1.6421825,-5.763566,7.015743,7.4729896
6.987138,-9.123733,-15.732633,-6.943204,8.689447,9.739639,2.1676002,-2.5406485,-7.6853127,1.2011964,-1.6234026,-5.9189343
1.3826926,-4.3132854,-7.8337636,-1.6963165,2.2203617,-0.049170166,1.6519561,-1.7368786,-5.9245477,-0.3289313,0.12770593,-3.5455902
4.3083887,-8.003885,-13.547081,-2.4995625,3.0748887,1.6774108,-2.4010901,2.889237,2.2301607,-1.7215105,1.946691,-0.6909386
4.0287886,-5.4126625,-11.4345255,-1.2279439,1.038169,-1.4718215,3.6704316,-4.5505266,-10.619853,-2.5567248,2.8786402,1.0576458
0.8137406,-1.0627221,-4.4997163,-6.609534,8.149795,9.4259615,-1.5552493,1.9236149,0.30014202,2.6745014,-3.3965168,-8.660689
1.7364597,-2.1041832,-5.9484735,-2.487411,2.9984112,1.8439338,-2.3560798,2.7464933,1.3613052,-1.0140818,1.2677109,-1.5196038
8.197137,-10.758193,-18.334055,-1.9131045,2.627396,0.66560555,2.9176857,-3.4959602,-8.823756,2.5486658,-3.291051,-8.424341
6.773306,-8.844164,-15.340159,-3.388118,4.60837,4.123428,-3.6761897,4.618026,4.173106,2.1496737,-2.8743305,-7.967134
2.5530357,-3.1346207,-7.1313963,-4.067729,5.157202,4.780212,2.8337924,-3.5044503,-9.097138,1.9052432,-2.296812,-7.015761
1.7854773,-2.4158864,-7.2700605,0.19188723,0.053821266,-3.2921882,2.979583,-3.7109437,-9.32249,-0.51811373,0.5728291,-2.532386
1.8633713,-2.034637,-6.5250435,-4.499648,5.5955577,4.8071322,0.2706367,-0.40562344,-3.3909042,3.0364354,-3.6720138,-9.092986
0.40130645,-3.0243855,-5.675884,-1.616793,1.9636065,1.0725673,2.3388538,-2.9625268,-8.024316,-1.9802039,2.2778978,-0.15366068
0.4642459,-0.6690637,-4.2970147,-3.1289523,4.035965,2.6887193,-2.1815376,2.544083,1.3964909,-3.0719879,3.770697,3.2378435
4.094301,-5.1629033,-11.606945,-1.4885459,1.8157208,-0.47201684,-1.862889,2.1403642,-0.18367973,1.6187516,-1.9821931,-6.7645087
-0.5811155,0.2800889,-3.0536218,-9.018451,11.08181,14.382688,2.0803964,-2.4784117,-7.0527453,-3.3884141,4.335326,4.133817
0.73406756,-0.7513614,-4.694535,0.38764837,-0.75391704,-3.0910418,-2.0307128,2.3877087,0.8017175,3.5877645,-4.704892,-10.468137
0.5790099,-1.1558903,-4.861174,-7.604971,9.428778,11.209874,1.9256998,-2.2874546,-7.020553,2.926718,-3.4695778,-9.010498
3.323393,-4.0169144,-8.781632,-6.763284,8.688701,10.824849,-1.116995,1.0009254,-1.8096724,3.6966171,-4.529853,-10.412938
6.9600506,-11.187405,-18.453672,-7.2264977,9.028618,11.246831,2.6824973,-3.4122334,-8.623269,-0.3025845,0.2726755,-3.041953
5.5155835,-7.213207,-13.702712,-2.1574109,2.8727055,1.0525911,3.459016,-4.272565,-10.133785,1.398843,-2.0079465,-6.4767756
-0.11184627,-2.3985004,-4.7742305,-4.661785,4.9064927,4.873943,-1.7139112,1.9958284,0.3361052,1.1901766,-1.4440053,-5.595066
3.9559462,-4.7371955,-10.583651,-4.994271,6.3011093,6.1486645,-3.201773,4.193248,3.5664558,-0.23109493,0.21428704,-3.3900666
1.4333081,-2.2406635,-6.7156014,-5.079903,6.2979803,6.1967545,3.232879,-4.103141,-9.4808035,2.133552,-2.7476964,-7.314857
