class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
4.0829816,2.454375,-13.923676,-0.35567248,-0.10587968,6.4042153,-0.36063161,-0.3072891,3.9197488,3.6136723,2.0293899,-12.287835
4.340942,2.6712306,-13.673824,-2.7765958,-1.4016962,16.695633,1.9920945,1.2272514,-4.0342736,3.661932,2.139802,-11.052879
3.51915,2.0047805,-11.021572,-0.8636839,-0.59433633,4.592193,0.3189996,0.47955334,1.3050574,5.879431,3.4091384,-21.188545
4.0959525,2.5392823,-13.21301,-1.5047448,-0.53827053,12.308105,-0.7341791,-0.29927778,7.749652,-1.8579781,-0.7973217,10.71699
0.87346935,0.15995951,-3.8542347,-3.4319823,-2.1233535,10.524186,0.4924164,0.08112192,-0.56463784,2.3778741,1.3859996,-7.6656213
3.638858,2.2141225,-12.321986,-1.4362923,-0.69927067,11.196462,1.4254311,0.95762974,-3.934063,-2.1359324,-1.1605315,8.983257
5.656751,3.2964342,-19.955986,-1.9441804,-0.8343867,13.789855,-2.326537,-1.5699129,8.454335,1.7060561,0.94825405,-4.781546
3.2239208,1.7311664,-11.489607,-2.995363,-1.7661171,9.279258,-0.24798712,0.08912067,4.804273,5.776142,3.416476,-20.525448
4.6660914,2.774177,-15.719895,-0.8890191,-0.35147917,9.116065,1.9020541,1.0583867,-5.5249314,-1.5976115,-1.0807548,6.604731
3.669887,2.131163,-12.054598,-2.255302,-1.0438285,13.431709,-1.5107551,-0.5881194,9.049339,-1.4815139,-0.6834399,6.1513605
4.9812903,2.9272401,-18.194729,-0.042409927,-0.050129965,2.1584215,1.9813771,1.2082951,-3.3698974,1.3490845,0.8549467,-2.7559364
4.724156,2.882234,-16.505426,-0.04402636,0.31016064,5.166655,-2.904189,-1.3717704,16.547037,-0.60785186,-0.28946465,6.1091666
1.9552083,1.018042,-7.72144,-2.8641396,-2.021464,9.441887,0.8885686,0.77053404,1.6214849,2.8682897,1.7197504,-8.138123
2.3178551,1.2997258,-8.678087,1.4445434,1.0278674,-1.313985,-1.5200806,-0.6541193,10.9096155,1.7524333,1.0821779,-5.52947
1.1918733,0.6952363,-3.0150263,-1.5748737,-0.6618294,12.533105,0.68144625,0.5379998,3.0660172,5.211428,3.0802395,-17.781845
2.4093425,1.3101074,-10.031758,-2.0607893,-1.6187941,6.832462,-2.073023,-0.87225777,13.405413,-0.84576744,-0.8088744,1.341473
4.0571117,2.4491203,-12.926873,-0.5168421,-0.067818,6.847942,-0.088950396,0.18830596,4.361426,0.8629374,0.63800746,0.95355517
4.208423,2.4448116,-14.455443,0.1297738,-0.06132523,-1.2907174,1.6841166,0.97378343,-5.9587903,-1.5058336,-0.70981157,11.610078
1.8612338,1.2459189,-2.8404713,-1.139926,-1.2285535,2.964849,3.0292542,1.8045855,-8.308082,3.6745605,2.1024346,-11.737773
5.312383,3.040717,-18.420006,-2.631393,-1.62968,8.448258,-0.7160449,-0.7553461,2.4132802,1.335845,0.94839555,-2.4308953
3.5977194,2.0402272,-12.799764,-3.747915,-2.6146343,12.279121,4.325012,2.5592563,-14.766072,-1.6846433,-0.75840086,11.428457
0.7859207,0.30316824,-2.55068,-0.9854023,-0.75122917,3.7176032,1.2571553,0.9640898,-0.6290346,-0.2149652,-0.09289403,5.10741
5.524355,3.1930134,-19.988304,-3.9712834,-2.0716367,20.790215,2.514795,1.5556675,-5.797405,3.0973005,1.9827464,-7.911574
2.0645092,1.2882507,-5.4242635,-3.9865294,-2.095422,19.75568,-3.1308994,-1.589667,15.613646,-2.4377158,-1.2657434,13.112544
0.22951195,-0.07729563,-1.035534,-3.9147103,-1.9393986,20.842564,1.0801716,0.6853257,-2.219599,4.3556695,2.4490576,-14.97918
-0.58075273,-0.22166891,5.2906966,-3.55011,-2.1050267,11.1535425,3.0149183,1.7470605,-8.702253,0.036048017,0.064554974,5.23364
1.4301803,1.0867453,-1.6038994,-0.9102312,-0.44612038,3.9808116,3.1845846,1.8327835,-9.485181,-0.63748986,-0.23469158,5.8555818
5.4118304,3.1034539,-20.268265,-4.3229036,-2.165519,23.272053,-2.3745553,-1.0341928,15.102914,4.459233,2.5279484,-15.322488
2.260024,1.0560848,-9.512476,-2.8615844,-1.4981114,16.887209,2.5755093,1.4173007,-8.751154,0.8690556,0.555819,0.4173016
0.3573136,-0.02543433,-2.7326493,-2.8921707,-1.4888923,10.739356,4.375874,2.3343694,-15.159018,2.0274653,1.1413114,-4.79417
0.94667166,0.7468743,-0.16884847,0.6480834,0.49948096,2.622614,3.0927825,1.7757888,-10.0292635,1.8968303,1.1852704,-3.1694343
3.2337375,1.9718635,-9.405748,-1.1146808,-0.3922696,9.422279,-0.27131653,-0.18221952,6.3145776,4.3488984,2.6964948,-14.274001
2.909369,1.7456583,-9.734616,1.0480503,0.726211,-1.4256847,0.5643831,0.120713964,-1.415033,4.1142464,2.3700488,-13.561567
4.7148166,2.6181216,-15.730504,1.0412242,0.71756023,-0.41677645,-2.146075,-0.8872556,14.274513,0.1924682,0.23747645,4.7585187
3.6319797,2.0048263,-12.111985,-1.7850695,-0.7857971,13.182636,-1.1533136,-0.59911567,8.932768,3.0085008,1.4477972,-12.312055
2.9214804,1.7556825,-8.542782,2.6052012,1.6098756,-6.811131,-2.4279346,-1.2434342,15.555968,4.6314254,2.7614865,-15.68878
3.1647713,1.8220265,-10.428896,-1.662323,-1.1968966,4.249015,-1.5706632,-0.7384948,9.1102915,2.9251173,1.460484,-10.796635
4.732384,2.746883,-16.888367,-3.6669657,-1.8771234,19.901459,-2.346865,-1.1177461,13.830826,4.6063714,2.5362206,-17.642109
3.7596242,2.3791769,-12.415303,-1.5788655,-0.7816511,7.365621,0.30762574,0.40535587,3.8319783,-0.15907471,0.08264218,2.0426283
1.8957181,1.1823108,-2.9527035,-2.3984292,-1.3398318,11.5947695,0.721697,0.26501447,-1.580149,-1.6277106,-0.7423275,11.166223
1.2109187,0.6895953,-4.3605747,-3.1053102,-1.9380088,9.168326,3.8095324,2.3020523,-11.863759,3.6101503,2.1063182,-11.894834
4.193711,2.3915608,-14.178363,-1.8132336,-0.7533939,12.351306,3.7510993,2.005831,-12.865602,-2.915112,-1.5185874,9.982127
0.8630882,0.58458054,-2.3321733,-1.131719,-0.44575256,8.974097,1.741619,0.8383539,-3.5882394,-0.774115,-0.20336743,7.1198497
5.3666434,3.117205,-18.981161,-3.6957393,-1.8664436,19.304499,-4.046057,-2.0356338,19.810116,-2.5961227,-1.2665029,16.212135
1.2212586,0.6382586,-3.8804932,-3.5676377,-1.7665968,19.668167,-0.5589765,-0.13169058,6.672995,4.504203,2.5077143,-15.676131
1.4136304,0.93119127,-7.2248616,-3.436305,-2.233856,11.67097,-1.4642344,-0.61196816,10.887328,2.441415,1.5681577,-6.7505126
4.412928,2.5515063,-15.03089,1.9202812,1.1680509,-2.74581,5.5022044,3.195592,-19.006495,4.3829613,2.6221225,-13.889681
2.6410363,1.4870332,-10.36744,-3.4152548,-1.7948818,16.698334,0.13878116,-0.08260396,0.65716356,-0.2175515,-0.18378307,0.7895829
3.5791957,1.9621141,-14.132771,-2.662794,-1.2022462,17.348042,2.5362754,1.375944,-8.784772,0.23862481,0.20355849,0.7277079
2.5113032,1.4895666,-5.8325796,-3.0082223,-1.96909,9.441243,1.9317074,1.21232,-4.2716036,1.2115611,0.759685,-0.22771633
5.4409027,3.2165422,-19.164652,-0.45786783,-0.31493515,1.8376576,0.010486208,0.008345321,2.8582468,-0.69998854,-0.38733774,2.1417487
0.52139044,0.4109975,-0.22687715,-0.62864834,-0.14238198,6.411122,1.7975451,1.1476895,-3.5009704,1.4058411,0.8883369,-2.8770008
3.9889748,2.4839242,-12.803449,-2.0866673,-1.0840322,14.8379135,4.343593,2.6311717,-14.228176,0.2218683,-0.004334703,1.5327331
-0.38877186,0.07928173,6.2093177,-3.729948,-2.51393,12.231383,2.9606702,1.8383859,-8.114302,4.3406935,2.615311,-14.459337
2.3953059,1.5849602,-6.559362,-2.9470563,-1.4641706,17.916586,-2.1520593,-1.0023444,14.01519,-2.7950852,-1.5271351,11.005371
-0.66925997,-0.52855384,2.3576581,-0.92495435,-0.70451874,3.7403564,-3.4799657,-1.7233721,17.34568,4.0872936,2.3601196,-13.795497
-0.01709988,0.101613715,-0.5634654,-1.833529,-0.83230186,11.06813,1.238986,0.77889246,-1.4517269,0.7555384,0.31973028,-0.6106117
1.4275956,0.6870672,-2.6637244,-1.3763702,-0.5404273,9.440644,2.7783823,1.5115907,-8.920861,1.8722098,1.193652,-4.2056932
5.4954786,3.1984448,-20.181244,-2.3317528,-1.0756925,14.157517,-0.7116574,-0.33422333,6.546761,4.650883,2.6518676,-16.077808
3.328421,2.0242949,-10.573451,-1.6482744,-0.8621207,11.870044,-1.3773639,-0.500545,10.989094,2.6536868,1.5787716,-6.2560296
1.4467642,0.74280214,-4.0940375,-1.4559631,-0.57561105,11.454797,2.9478867,1.5528499,-9.592427,-2.081946,-0.9546426,13.651555
2.8805606,1.6846994,-7.823153,-0.6875738,-0.7669553,0.9909397,-3.5180302,-1.7788037,18.466282,2.6585133,1.5517118,-7.92524
0.60566324,0.27148044,-1.4335893,-1.9649515,-1.0171514,13.931367,-0.15132248,-0.015248135,3.3950753,-0.48433456,-0.33167648,4.5799155
3.181882,1.6376646,-13.52821,-2.8799715,-1.369703,15.61977,4.977374,2.8267076,-17.650452,3.571255,2.0879345,-11.031375
3.234794,1.9159381,-11.224245,-0.86010873,-0.97348684,3.4497464,0.50563294,-0.08248218,-1.3678625,3.1539025,1.8975499,-8.748093
1.9825447,1.1223967,-3.8408031,0.9286539,0.71956456,0.5201556,3.1499717,1.9095234,-9.774287,4.9622893,2.9088137,-16.880302
3.3714302,1.8270645,-10.967261,-1.7000228,-0.95589465,10.708165,-1.742057,-0.7266529,12.520793,0.56413245,0.390108,1.8118074
2.2129488,1.4110178,-4.659329,-4.1624117,-2.7474473,12.437829,-1.2252684,-0.70927495,6.4069467,-1.4576412,-0.96596175,4.938032
3.836153,2.238919,-12.090063,-1.8877366,-0.86903065,12.131989,3.968006,2.3986897,-12.493325,0.67193514,0.40982455,1.097226
5.114057,3.0180738,-18.286781,-0.54974556,-0.17107542,6.685417,-2.723982,-1.8051211,10.852357,2.3884337,1.4648255,-5.989281
1.5831692,1.0704242,-6.214131,-0.91543293,-0.3092534,8.628163,-2.3887606,-1.3383718,9.375508,-2.0408835,-1.1389863,11.521144
2.1284153,1.1387354,-6.500316,-1.5081418,-1.1259239,3.688137,0.75078434,0.45342863,1.9305371,1.1941688,0.8211779,-0.8971242
1.4947681,1.0073053,-1.7781012,-0.5394717,-0.65731436,0.19458686,5.1541715,2.9719703,-18.14864,1.6952629,0.99755234,-3.6110234
0.3587894,-0.041649256,-3.0395145,-2.6572173,-1.1861048,16.2201,0.6377116,0.6318118,2.5185575,2.0030477,1.165274,-4.6608305
2.0390658,1.2321907,-5.580192,0.079875566,0.27669388,4.9522862,-2.271755,-1.0541183,12.927403,4.1369276,2.4865844,-13.39667
0.63416773,0.15520592,-0.35668084,-3.187585,-1.5512965,17.033543,-0.04019873,0.09637694,3.6299655,2.593993,1.6202623,-7.056827
0.2669734,-0.10442707,-1.7071592,-3.46667,-2.007448,12.712972,-0.76949215,-0.2156929,8.950453,2.5487227,1.4575413,-8.6614065
2.5083745,1.5574605,-6.7126803,-0.52986604,-0.7585338,0.8560311,2.2330174,1.3893093,-5.192182,-0.014569677,-0.026013866,2.676578
3.5046742,2.1249406,-11.498271,-2.3980753,-1.568909,8.730526,-0.8182839,-0.23548062,8.890669,3.3869407,2.0779939,-9.498758
4.49239,2.6154358,-15.291152,-3.9639742,-2.384518,11.126628,1.253957,0.7639425,-4.8004956,-1.4011295,-0.7288739,6.141833
2.4873354,1.5027194,-6.4625897,-0.7263619,-0.4972129,4.8190007,4.95575,2.8739798,-16.520302,2.2389946,1.2563324,-5.1264863
5.493344,3.2870944,-19.317587,-3.6676028,-2.4154708,9.909289,3.081582,1.8330488,-10.104876,-1.5177406,-0.61842525,6.8966203
-1.9003805,-1.1278597,7.0509906,-1.9271389,-1.1991179,6.70298,2.3029659,1.3776588,-7.5401773,5.0706744,2.9992535,-17.579082
3.6232576,2.1658242,-11.74774,-1.5761464,-0.8976975,11.992366,-0.1697185,0.07661782,4.2231584,2.1828668,1.2467431,-4.297087
1.4848105,0.96178144,-2.4870627,-3.1501887,-1.7065487,9.548494,2.1792595,1.0832038,-7.628155,4.3012376,2.425297,-16.22127
3.249502,1.9175388,-9.70297,0.19123009,0.07939999,3.7885904,1.9920259,1.1112328,-5.997108,-1.4076792,-0.5042015,10.39868
4.2769804,2.495549,-14.327129,-2.3026984,-1.5608488,8.423586,1.8086221,1.2189593,-4.090777,2.7176607,1.4574966,-8.783673
6.104508,3.4919372,-22.794731,-3.3255916,-1.6706815,17.797737,6.057943,3.4903197,-21.956211,2.3280418,1.3977221,-6.4189363
4.0667663,2.425855,-12.088172,-0.031442925,0.21737997,3.8904707,1.9005337,1.1708512,-4.8892484,-1.3233724,-0.6120695,4.5951915
3.2919843,1.9035597,-10.974465,-1.672672,-0.91083354,11.391923,0.27466276,0.37353325,1.8447644,2.1727357,1.3000755,-5.8822403
0.8711678,0.12657118,-3.1193564,2.591911,1.7198018,-6.9984226,-2.624472,-1.7102613,11.1153345,1.422857,0.75289714,-3.0111766
3.4517207,1.7897776,-12.333621,-3.001915,-2.2412903,11.586521,-2.0093863,-0.93547344,14.019104,-1.5701816,-0.7151662,8.16616
5.49025,3.0922115,-20.556953,-2.8810222,-1.8879553,8.874585,-1.9606133,-0.7668635,13.918623,0.7297518,0.41260856,2.2591567
1.2849636,0.7170785,-4.570336,-3.6648676,-1.913693,18.154438,0.9490213,0.5163886,-0.07174469,1.4405059,0.9949474,-2.4045038
5.541575,3.212664,-19.727118,-2.2298617,-1.137063,14.017711,-1.5664676,-0.64774376,10.134013,1.0991665,0.5542117,-1.1533622
4.379477,2.4382944,-16.283825,-4.0671754,-2.0924242,21.255812,2.027528,1.0514796,-7.0140595,1.542942,1.1350758,-3.7275817
5.634167,3.2643127,-20.250175,-4.189089,-2.2142792,20.520073,4.488992,2.6356483,-15.652284,-0.0053603575,0.19648783,4.137186
3.8989651,2.178042,-14.679122,-3.4595847,-1.6458418,19.179398,3.1211073,1.9082774,-10.412053,-2.560069,-1.3211725,11.099842
3.8679254,2.1450782,-10.859877,-2.0744247,-1.0920149,14.481534,-0.6424301,-0.10738523,8.652672,0.3106896,0.28569186,1.2831388
1.2528048,0.8934728,-1.036967,-3.6304796,-2.6683133,10.593476,1.6164637,0.809801,-4.66211,4.397599,2.5608232,-14.468777
-0.6418751,-0.80270195,2.2855334,-3.2837842,-1.6802129,18.593613,2.270913,1.3915397,-5.7950163,-0.66666776,-0.08090146,6.7004137
2.7307978,1.6954958,-7.541085,-1.0235178,-0.57915455,5.063482,2.4997244,1.5210028,-5.478594,1.5207022,0.9922933,-2.0418189
2.294226,1.4531848,-7.503681,-1.5175482,-0.66043425,10.014552,-0.3745059,-0.081770375,5.7305064,-1.2771008,-0.5992606,7.9297767
-0.49765608,-0.79093146,-0.42373866,-1.4957001,-0.7879863,4.65795,-2.6833198,-1.2835596,15.727508,3.4139805,1.9685917,-10.479747
1.599687,0.9822182,-4.7854347,-3.4912088,-2.0127552,10.89971,1.8095459,1.2257539,-4.166206,3.3907983,2.0282598,-8.894767
4.939611,2.8840392,-18.028887,-1.020224,-0.23006804,9.2218275,-1.3044666,-0.6094671,8.659299,2.1373012,1.161076,-5.73892
5.5506244,3.1481216,-20.156996,0.6351865,0.612839,1.2751034,3.1188972,1.8675184,-8.754485,1.5548292,0.82950974,-4.8753695
2.1360607,1.4452379,-3.083249,-1.1426411,-0.5965186,8.100556,-1.045481,-0.4025594,9.55656,-1.8380752,-0.8145348,11.321531
1.0792885,0.7748737,-4.5982237,-1.8524432,-1.6616552,4.9654613,-0.1538187,0.13115142,5.7979245,3.2882028,2.0198476,-9.524318
4.868689,2.8488395,-17.208178,-2.813765,-1.3432367,14.309761,1.9344332,1.316962,-2.8276718,4.1635947,2.4537055,-13.148874
2.3384817,1.1845176,-8.419309,-4.073279,-2.0996592,20.860603,0.24333075,0.28509045,2.4647162,0.94864756,0.5200091,-2.8791227
3.4839964,1.8860161,-13.20391,-1.8349931,-0.92958635,6.3593316,-2.0774276,-0.98028815,13.136348,1.3711624,0.7411214,-2.2627413
4.0711274,2.3538318,-13.720971,0.56897146,0.28304547,-3.0181525,3.5907824,2.202442,-10.160751,4.8110647,2.8437493,-16.13847
5.071532,2.9706979,-17.696379,-2.6471016,-1.8418806,8.668874,-0.8107154,-0.40102202,7.048802,5.75535,3.2482417,-20.72667
2.8035986,1.6427107,-9.589976,-3.5371077,-2.2567508,12.434411,-2.4469001,-1.154635,14.162124,1.4592037,0.75091857,-3.1936007
3.9954956,2.4227145,-13.507815,-3.5200646,-1.7999194,18.949177,-2.4437225,-1.117139,14.317896,2.0274773,1.2620461,-6.2104273
4.666821,2.7933786,-16.58258,-3.3214595,-2.2143242,11.906817,-0.9190276,-0.3193665,7.483592,0.729482,0.29605156,-0.7896413
1.1458328,0.48323923,-3.2723022,0.18017423,0.09089129,4.74029,-1.0899831,-0.35859787,7.480151,0.5838609,0.24819688,0.32413697
3.75636,2.0823405,-12.754241,-4.0508676,-2.1285446,19.248955,3.291209,2.0126052,-10.075728,4.8044057,2.7560925,-17.059319
4.1839137,2.4309735,-13.540874,-2.3909347,-1.4383528,7.099931,3.5221176,2.1112747,-9.330843,3.6607,2.1756175,-12.608689
2.1699698,1.441824,-4.838437,-2.8777547,-2.0359848,9.736553,-1.1452903,-0.28503948,7.985168,3.3299997,1.8910038,-10.739435
2.2057872,1.5353856,-4.0832095,-2.4947703,-1.1615847,15.060662,0.89920646,0.70699906,-0.25050637,-0.5750226,-0.29220408,6.0177927
3.716626,2.2177155,-11.478377,-2.217412,-1.0282881,13.824201,4.544225,2.658014,-16.24152,4.76464,2.8339736,-16.102482
1.3150042,0.5165841,-5.652759,-2.0106845,-1.5051279,4.69684,-2.1601322,-1.0033165,12.001234,1.6353562,1.0188241,-1.5173119
-0.8080467,-0.18019798,0.96696144,0.05947619,0.16186719,4.5670066,1.348958,0.9873113,-1.4173387,2.8520663,1.7886448,-7.482987
-0.06265453,-0.4311238,-1.0229317,-3.3543253,-1.7374057,16.844566,3.8151941,2.2178006,-11.306833,-1.09702,-0.47941267,8.850585
5.090239,2.8913667,-18.25113,-3.3574264,-2.1792812,11.472155,1.831973,1.1488588,-2.9807062,0.39271018,0.36685777,3.680908
3.0331397,1.8589728,-8.502851,-1.71827,-0.79375786,13.0062475,-1.2685864,-0.4358676,11.226303,5.107528,2.8547895,-18.60692
5.286367,3.0831301,-18.41039,-0.985127,-0.36682087,9.632173,-1.46698,-0.7120435,9.936715,1.2009048,0.80464303,-1.0320399
3.4048493,1.9136251,-12.045252,-0.44101873,0.017657086,5.580453,-2.9030335,-1.5101333,15.1780615,4.8217473,2.7945838,-16.48143
1.9117475,1.0041629,-5.748554,-2.0192149,-1.0381997,12.01905,-3.3042326,-1.6042086,19.058693,1.7552981,1.0431956,-3.6099956
4.0184884,2.3603601,-12.5025015,-1.7050284,-0.8155086,10.583148,0.71929795,0.6512771,2.4529853,-2.496898,-1.2271423,13.309792
0.98974615,0.8038507,1.9317893,-2.357207,-1.160804,11.889614,-0.87208384,-0.27421647,10.065069,4.0031366,2.2426348,-15.34329
2.1524615,1.3159238,-5.92024,-2.116597,-0.9219086,14.559175,1.9872887,1.1027539,-7.487079,3.1596022,1.9112835,-7.9020963
