class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-1.6747552,0.84797597,1.3686259,0.13010907,-1.2897267,-0.36521596,-5.0760984,4.9308844,4.773635,-0.5017844,-0.5280473,0.29633027
-0.30232626,-0.89380455,0.110088855,-0.07862398,-0.9675956,-0.12083261,0.2795445,-1.4699348,-0.48493016,-0.071902424,-0.9773941,-0.12598655
-2.2088103,1.3247635,1.9190654,-1.1456542,0.17335823,0.83630407,-2.2329068,1.3547004,1.943435,-0.31269485,-0.91009223,0.09429997
-2.1745903,1.1907165,1.7831318,0.1314373,-1.3806119,-0.35129592,-0.10544269,-0.9263847,-0.10718623,-2.2648013,1.3742476,1.9768054
-4.4754925,3.503726,3.9865942,-4.4817953,3.5156925,3.9908223,-0.09467238,-0.9508767,-0.10384047,-0.3127209,-0.9117129,0.09412764
-1.6761699,1.1559752,1.5022314,-0.21832515,-0.65693474,0.020125348,-0.63522494,-0.35041958,0.36546576,0.09567413,-1.2593794,-0.28933156
-2.1972873,1.3113629,1.9082658,-1.8674458,0.8209705,1.5530398,-5.25412,4.8549614,4.9556646,-2.1995752,1.311494,1.909185
-0.094478324,-0.9475268,-0.10778634,-0.655057,-0.32360232,0.4416971,0.29131952,-1.4784257,-0.49564978,-2.2629092,1.3728819,1.974374
-0.30187,-0.8935374,0.10921952,-4.476746,3.5083456,3.9860272,-5.077667,4.931012,4.7741065,-1.4111981,0.43635118,1.079159
-0.23448718,-0.6397146,0.03461935,-1.1217003,0.14934196,0.8144777,-2.207489,1.1570349,1.790341,0.28689066,-1.4749498,-0.4922485
-1.2380894,0.4058219,1.0228604,0.27598968,-1.45717,-0.49021405,-3.1767657,3.349508,2.8966994,-0.24940804,-0.9729326,0.0045453273
-0.10115789,-0.93646836,-0.10608001,-5.232438,4.843549,4.9503036,-1.7490014,0.84084404,1.3778069,0.29256788,-1.4807386,-0.49502376
-1.370197,0.65317285,1.2231746,0.30113783,-1.4864278,-0.5028879,0.28591385,-1.4754934,-0.48859236,-0.8236565,-0.15229711,0.6014162
-2.6803901,2.6151783,2.361639,-5.24596,4.851924,4.95432,-4.46841,3.494614,3.9792843,-3.9164894,2.7118087,3.7574086
-0.8128116,-0.15782523,0.58645654,-4.4770365,3.5074713,3.9868345,-0.09873338,-1.0444654,-0.05089687,-0.24719398,-0.9698067,0.00653651
-0.19279425,-0.6905791,-0.0028683282,-0.5827335,-0.4359988,0.3729357,-3.915733,2.7191155,3.752935,-1.6262137,0.6915863,1.2477043
-5.117751,4.926465,4.8487196,0.2885733,-1.4768066,-0.49292576,-2.1722784,1.1149852,1.757659,-5.2277327,4.8267527,4.946433
-0.606104,-0.40866804,0.39367944,-0.5893339,-0.4271291,0.37729037,-0.34493962,-0.8542299,0.14452192,-2.2152102,1.3267864,1.9258777
-0.24338236,-0.62884885,0.042726304,-0.72768533,-0.27750343,0.5107264,-0.34263015,-0.85552025,0.14207047,-0.17952996,-0.7070885,-0.017320622
-2.7824044,3.0558841,2.5523403,-3.926686,2.7242754,3.7609768,-0.3608974,-0.84008074,0.16213802,-0.2208424,-0.9454937,0.050578665
-0.08942786,-0.9541,-0.11214565,-1.5178103,0.58819854,1.1889861,-0.33540434,-0.8614733,0.13467611,-4.4880037,3.5309494,3.9935894
-1.7658728,0.72566223,1.4534385,-1.2928658,0.36949494,0.96883947,-2.1891868,1.1554358,1.7666994,-1.0757384,0.103024006,0.7717577
-2.1996274,1.3145996,1.9110291,-0.23221686,-0.6430382,0.032748785,-0.826928,-0.14443302,0.59938437,-1.2749308,0.30318305,0.95678675
-3.9262197,2.7218485,3.7625837,0.3020055,-1.4871747,-0.5021807,-1.2804277,0.30897954,0.9614523,-0.25273654,-0.6111561,0.052896034
-1.0566323,0.084228486,0.7548242,-0.09048094,-0.947701,-0.11773622,-0.11113775,-0.91975117,-0.10180232,-4.486683,3.5282972,3.9928212
-3.9262066,2.724075,3.76159,-0.73543,-0.26846647,0.51745087,-3.3828936,3.5713756,3.1411617,0.13509896,-1.2941859,-0.33521628
-5.09209,4.9338617,4.8203135,-0.5926813,-0.38818002,0.3842491,-0.15535547,-0.98345745,0.009384137,0.29351428,-1.4815577,-0.49551827
-2.11235,1.0404314,1.793875,-0.28780138,-0.90278375,0.08398524,-0.827003,-0.14800078,0.6050361,-2.2656052,1.3774891,1.9763575
