class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.034510344,0.010521953,0.04683402,0.034406133,0.01066338,0.04662542,0.03448946,0.01036811,0.04648698,0.034447737,0.010428293,0.046672117
0.034518912,0.010404794,0.046604738,0.034454312,0.010397142,0.046674527,0.034410197,0.010490526,0.046573468,0.034603078,0.010436997,0.046686366
0.034572087,0.010570895,0.04678616,0.03432286,0.010350389,0.04648839,0.034755033,0.010027815,0.046741623,0.034716874,0.010273062,0.04665119
0.03429136,0.010479711,0.046605274,0.034479447,0.0104782,0.0465819,0.03434206,0.010422091,0.04667187,0.03448332,0.01043508,0.046690743
0.03444634,0.01037685,0.046621975,0.034368876,0.010395728,0.046595924,0.03434968,0.01046916,0.04641754,0.03445655,0.010539142,0.046638705
0.034433223,0.010465359,0.046552718,0.034452464,0.010553084,0.046657853,0.03444861,0.010273423,0.046407633,0.034566805,0.010411148,0.046670582
0.034453705,0.010545634,0.04692828,0.03448382,0.010530784,0.046557,0.034078736,0.0101902895,0.046510287,0.0343328,0.0104880165,0.04649739
0.034186687,0.010437919,0.046557225,0.034372456,0.010548925,0.046625875,0.034579378,0.0103202695,0.04668891,0.034462176,0.010400839,0.046659
0.03457031,0.010733955,0.046633728,0.034477502,0.010396002,0.0467601,0.03459437,0.010484583,0.046601187,0.034485526,0.010423224,0.046634015
0.03452342,0.010579123,0.046577387,0.034457665,0.010458429,0.04664953,0.03407797,0.0103443675,0.04617907,0.03441753,0.010550417,0.04653007
0.03443666,0.010422826,0.04664139,0.034452304,0.010399146,0.04665128,0.03463591,0.010591388,0.04691975,0.034414142,0.010142436,0.046469204
