class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
1.7991437,0.7258665,-1.1835113,0.7797714,0.6084247,-1.1059866,0.7588282,-0.39995703,-0.57815665,-1.6230239,-0.21458498,0.69379586
-1.3140273,-0.25874165,-0.76100713,0.68706334,0.8027562,0.16900164,1.9378972,0.8332163,-1.1328247,-1.0256329,0.339482,0.31979427
5.364603,1.2273948,-3.293701,-0.36481917,0.22843285,-0.64302474,-1.0424798,0.8081042,0.87475485,-0.7905323,-0.47981077,-0.3017512
0.07954279,-1.6939462,-0.81773275,-1.5059526,-0.28216186,0.16431466,-0.43738467,-2.409489,-0.963191,-0.08780322,-0.5452359,-0.6043727
-6.85459,-2.7933044,1.8780625,-1.901546,0.5671485,1.3377683,2.822542,0.82123506,-0.99621373,2.0480196,0.7729414,-0.8641669
0.3680473,0.9898597,-0.3504175,-1.304701,-0.15933439,0.6879051,1.1601735,-0.06705902,-1.3781466,-1.6390057,-0.8500258,-0.64128065
-15.632824,-4.4056644,6.0426507,22.341206,3.4638312,-9.788795,-3.2322898,-0.0029926347,1.6858213,-1.605107,0.5554795,1.2460554
-5.399164,-0.9187025,2.4217865,-2.3006904,-1.1065904,-0.0060628206,2.447693,-0.35783085,-2.556053,-0.7978774,0.10103171,0.23761141
0.6852862,-0.59700817,-0.6114295,-0.90224093,0.68189013,0.42287502,-3.0038471,-0.6201611,0.19623348,-3.5105057,-0.3442229,1.7380738
4.6599045,0.36832806,-2.11813,2.3789196,0.32725358,-0.85922235,-0.628365,0.5767909,0.1023003,-7.0059257,-1.3531216,1.6230421
2.1708312,-0.14658435,-2.441118,-0.8923015,-0.4055309,-0.43949032,1.1197155,0.02112418,-1.8093102,-0.02336941,-0.21921222,-1.2807662
-2.1990347,-1.9487511,0.12949625,-0.030325927,0.105156116,0.1936897,2.016829,-0.48706707,-1.7261772,-0.7127364,-0.88565856,-0.29826885
-0.5423539,-0.81570816,-1.1783261,1.7332374,0.098801695,-1.2053571,21.345182,2.890621,-9.47117,-0.1526202,0.7984967,0.55078316
-20.989777,-7.974437,6.9841137,-2.1167898,-0.14934206,0.72830206,-0.5522422,0.75616395,0.41580752,-0.58672696,0.52078974,0.28139544
1.1472617,-0.21082732,-1.0944605,-0.5309803,0.5734055,-0.13641164,-3.594789,-2.1084187,0.5753194,-1.9194455,0.33846784,0.77197725
-1.5380139,0.6826322,0.98480207,-3.123816,-0.14136687,1.7794292,-4.3606,-0.8009838,0.6303879,-1.4115794,0.5933509,0.7811514
-3.1188006,0.73837316,0.93374115,5.812517,-1.1197712,-3.576929,-0.23099944,-1.3155607,-0.7658127,-4.9115543,-0.35849062,2.4713008
-1.8116149,0.43772605,0.96426666,2.417082,0.92955136,-2.1256363,-2.1578822,0.51094854,1.3413234,3.3167114,0.06167799,-1.9468968
-5.3903933,-0.89669186,2.4263816,-11.90429,-3.0585551,4.9912887,1.0179508,-1.0210615,-1.2546058,10.151364,0.42271414,-4.8935685
0.54378885,0.14331782,-0.96654207,-0.35233763,0.55863297,-0.048508316,22.908222,3.5501194,-9.989689,-6.423753,-1.1564,2.9019892
-3.1013927,-0.3411042,1.2014356,-0.2978731,0.78934085,0.6360489,-5.2250147,-0.6918599,2.38439,-2.5210924,-0.5010699,1.1915832
0.23049313,-0.1412363,-0.64094293,-3.058685,-0.22206268,1.0453742,-0.5501954,-0.5814378,-1.479734,-0.7020479,0.20669875,0.532395
-0.923359,-0.060586866,-0.6463367,-0.5145908,0.9148595,-0.16660336,13.867053,1.4381359,-6.4649777,-2.9340389,-1.2123338,-0.22228837
0.40886912,-0.29241803,-0.72306496,-0.24554539,-0.79784524,-0.717328,11.952295,2.0830905,-5.6902595,3.4768252,1.5573459,-1.133764
-5.03982,-0.21261737,1.379499,6.9780264,1.3093407,-3.296892,-3.641107,-0.57046795,1.4492931,-5.2665806,-0.8322788,2.2808719
-3.4589984,-0.49317518,1.5052874,-2.432214,-0.31437805,1.143836,-1.909579,0.23240378,1.100621,5.229621,1.2162069,-1.9186933
-1.0094995,-1.4808462,-0.5396781,-2.427797,0.31119323,1.5867434,-0.42398983,0.11133265,0.20792627,0.80213165,0.29656675,-0.99183756
4.7615776,-0.042744998,-2.9154582,1.1005212,0.90288675,-0.07341376,-9.188777,-1.9565557,3.878619,-3.9555159,-0.29413328,1.9441459
-2.9028242,-0.4005028,1.3981609,-5.107412,-1.1369382,2.280286,-0.93014675,1.0895368,0.79931974,-1.9040589,0.4714195,1.2405329
0.27064764,1.409409,0.24405536,-0.15065873,-0.32454824,-1.2633705,-0.68379784,-0.48213428,-0.4325263,-1.241998,-0.17499253,0.39603156
-21.740705,-8.476021,7.035497,-0.27713546,-0.62596345,-0.818199,1.0245922,-0.20783117,-0.91424555,-0.7803356,0.21417484,0.38045657
-2.5509346,-2.6763356,-0.32779923,-8.391625,-2.7331085,3.4581594,-1.9200447,0.42917523,0.94755393,2.2744286,0.026561137,-2.5316381
-5.989637,-0.94070476,2.6060846,2.5381942,0.7106439,-0.8925676,-1.9252532,-0.1094963,0.23613375,-12.325797,-5.2046833,4.178006
-5.5588527,-3.0486193,0.8690115,21.038801,3.099962,-9.382389,-2.8029604,-1.3619474,0.32318413,-2.9177892,-0.73331106,-0.48661113
-5.579566,-0.69896626,2.6577408,-1.6604912,-0.13748905,0.72442555,12.356946,2.653244,-5.634831,2.0061517,1.3378694,-0.8097393
-5.3637795,-0.90931886,2.3962176,1.3917294,0.6157803,-0.7205416,-2.5853581,-0.96361935,1.2487335,2.0845208,1.119086,-0.470603
-9.379086,-4.289377,2.5088222,0.20538014,-0.49328625,-1.7410991,-2.6725502,-0.95216817,0.25294146,-7.446538,-0.62177914,2.468468
-21.88477,-8.362556,7.188888,-5.4479337,-0.7846521,2.5647974,-3.4029732,-0.43299854,1.4469402,-5.2818446,-1.1091783,1.0957704
-7.518201,-1.4541615,3.201995,2.8430972,0.6772907,-2.2038457,1.4697745,1.1287082,-0.81657755,6.3048487,1.5170275,-2.5228236
1.7327257,-0.49352315,-1.5061533,-0.045195065,-1.4825422,-0.8301987,-3.6848435,-1.0443722,-0.0010170937,5.8572598,0.14097482,-3.409971
-2.3662155,0.21573466,1.3908622,1.7107155,0.7901227,-1.1434088,0.53363365,0.019602444,-1.5280116,1.2397947,-0.033420417,-1.3265979
-1.3965343,-0.64677197,0.14357811,2.68018,0.99429536,-0.7384382,-4.030243,-1.1471565,1.0680773,-1.7709455,0.27027464,1.1168666
-1.3799891,0.49116865,0.36290196,-2.8523426,-0.2182878,1.4233906,12.007558,1.2159243,-5.879757,1.0123377,-1.2845265,-1.2472231
0.46770728,-0.7936798,-1.3249414,-3.712072,-0.3987457,1.7740865,-1.5724174,0.3871473,1.1797986,0.21004388,0.07292523,-0.46353334
-0.07421707,-0.6272304,-0.680751,-4.9771366,-0.873588,2.0804834,-1.153912,0.11510346,-0.6108228,14.725574,1.4174,-6.559357
-7.7995205,-1.3536819,3.4256227,15.546067,2.5552814,-7.0875034,-5.368416,-0.82511145,2.415698,-0.76566803,-0.22861925,0.41351783
-0.39854556,-0.5904193,-0.6043825,1.8193551,0.754107,-1.1375945,-2.9909866,-0.19628838,1.6074243,-2.7559457,-0.40724564,1.2772136
-2.1928437,-0.28315705,0.11040716,-2.0191112,-0.8388475,0.54599845,-4.488469,-1.1212548,1.1199155,-3.039936,-0.0092195915,1.5691092
-10.995308,-3.6480143,3.767649,20.886894,3.407667,-9.061535,3.304388,-1.0289799,-2.2248664,0.4568895,0.47298816,-0.12770766
-19.664673,-8.3225765,5.84992,-2.6682005,0.15430486,1.4837275,4.107879,-0.10536427,-2.7497556,-0.3197107,0.5989314,0.32029095
-2.3560338,0.26675317,1.3449457,0.60736984,-0.1798298,-0.84187895,0.3076355,1.163657,0.0310027,0.08058404,-0.45155922,-1.5156956
-2.4324253,0.13022879,1.2737417,0.6184697,0.3413957,-0.57762027,15.224496,1.0498939,-7.0831146,3.9515119,-0.62902224,-2.975792
0.32134223,0.050397094,-0.04872173,-1.4250387,0.33762845,0.8288973,-2.059874,-1.9397112,-0.4516185,-0.50507814,0.695114,0.53118825
4.7903395,2.1555965,-2.20425,4.584724,0.005905683,-2.9616435,5.2524176,1.3395114,-2.5056646,4.9668064,0.5852094,-2.311945
4.348095,1.3166357,-2.1334689,1.3082232,0.30032545,-1.6941309,19.9017,2.6260917,-8.7236,-4.766135,-0.57905275,1.9450374
-2.064613,0.3209738,1.241339,-1.5218983,-0.48496646,0.7508442,-3.5718834,-1.0042157,1.6343932,-6.1755023,-0.81451535,2.8810632
-22.808157,-8.8055315,7.2886696,1.0529914,-1.3349468,-1.4600139,-2.3464115,0.4053342,1.4581578,-1.8026246,-1.1162415,-0.36723918
-19.724283,-7.05387,6.7756495,1.5264665,-1.4083197,-1.9640353,-1.612647,-0.29937774,-0.45787388,0.1871948,0.7390997,-0.19498038
-19.769783,-6.9519515,6.906626,18.113031,2.2505271,-7.945042,-2.637785,-0.8716499,0.7759158,-2.6143994,-0.6693419,-0.2174316
