class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-5.3799,1.0002941,-1.646713,7.9970636,-1.6419448,2.1243474,-9.853696,0.2850567,-3.0516675,15.2193575,-0.4875232,4.33035
-4.203216,-0.06250103,-0.89737475,2.4125252,-1.215255,1.0934306,-5.2549405,0.20487748,-0.94372225,4.009693,0.15169702,2.0568683
-12.569572,0.6220571,-3.343334,26.096485,1.9050039,6.7143025,-12.149616,-0.60341084,-2.8751485,-1.4195069,1.049511,-0.05339259
4.2967997,-0.7675179,2.4235153,-5.5805626,0.46066558,-1.542406,5.992745,-1.1183585,2.6926095,1.5473317,-0.38629568,1.495654
3.374043,-0.9720338,1.7925702,-0.6740502,-1.0412418,0.24912485,0.3868415,-0.86469764,1.2168738,13.4648485,-0.6158124,2.8922985
0.3480837,-0.6874378,1.2191006,3.0428958,0.4057113,2.086933,-6.4688935,-0.64600456,-1.428825,-5.1690774,0.9179573,-0.88863385
2.1303267,-0.72158206,1.7377465,7.0835238,-2.345262,2.3783033,0.6280502,-1.3766042,1.2497172,2.1275558,-0.19432952,1.3753954
1.5556949,-1.5270133,0.82689476,-2.866863,-1.0246506,-0.08490804,23.279455,1.9815322,5.712701,1.4321436,0.31090337,1.2516547
-4.138894,-0.76293516,-1.0425384,13.38598,1.3654375,4.07474,2.712186,-1.6558796,0.9118155,1.4523109,-1.4695522,0.98264277
-4.448748,0.43656152,-1.0322278,3.571082,-0.47403193,1.9679196,7.6383286,-1.7372466,2.5995781,6.6249704,0.7610649,2.277597
1.0236095,-1.2091038,1.2262847,1.275222,-2.0850496,1.0145442,-13.6474495,0.32378948,-3.8640099,1.4624878,1.1568177,1.0491148
-4.391761,-0.3194816,-0.69618404,-5.096797,-1.232521,-1.2950698,10.946934,-1.1161631,3.0679834,-1.6233531,1.119665,-0.23236665
-4.8104753,0.73823583,-1.6043763,2.6549072,-0.7181189,1.8844674,1.0080961,-1.1572496,1.3705384,16.508938,-0.6221396,3.645114
-1.0400455,-1.9040502,0.07096495,-5.300387,-0.07270111,-1.1726196,1.5008453,-1.0528345,1.8722662,-4.877235,-1.0417632,-1.6254827
0.44748828,-2.0346828,1.30008,3.0450637,-1.0233057,1.553017,-15.008948,0.017732963,-3.9926202,-0.9612142,1.6835805,-0.27442822
-16.74543,-0.3971001,-4.5074296,4.6540613,0.29019094,2.2541733,-3.7664287,-0.60870767,-0.37774476,2.5525787,-0.62385106,1.2556425
-3.7245677,-0.26485032,-0.16839746,-4.2643185,0.03105633,-1.1304746,0.8769566,1.728508,0.09662257,0.270295,1.3972286,0.3428335
-4.4737043,-0.69345105,-0.037749827,9.354286,-1.5991129,3.337796,18.174973,2.374757,4.783952,-1.100154,-1.0550412,-0.3060086
-12.022059,0.03226386,-3.275463,0.11861512,-1.3424132,0.40893346,-2.7086477,-0.6998671,-0.090797246,-3.4097304,-1.0188346,-0.06473997
-2.649982,-0.76196074,-0.23152989,-4.208515,1.0585893,-0.74915814,19.532629,2.1738467,4.986659,-3.186544,-0.71313953,-0.6703936
-8.107458,0.34195483,-2.5219274,-0.83765817,-0.82718515,0.35854748,-15.977801,-0.030758515,-4.7174788,-10.047456,0.16639243,-2.4441655
-7.0665436,0.15269147,-2.3517058,4.3653297,-1.2724144,2.1091928,-2.8855596,-0.2793969,-0.78232896,-1.8830513,-0.6666647,0.08651739
-2.211663,-0.9228455,-0.1427322,-1.4744197,-0.39325857,-0.021235228,-5.1249776,0.45651662,-1.3380493,-7.413188,-0.033339992,-1.7626828
-7.218115,0.16307913,-2.1966445,5.673129,-0.91968846,2.889983,0.459873,-2.2836745,0.64451754,-3.711834,-0.4600891,-0.7279843
1.9776632,-0.86809313,1.924774,-0.39058426,-1.4374577,0.5701299,15.807158,1.1084665,3.314369,-2.7112093,0.5167305,-0.8677044
-1.7539719,-1.1535112,-0.116478845,4.8954477,-0.73632085,2.8067045,-4.3257246,1.2925624,-0.6110674,-7.163386,0.43508577,-2.2637022
-2.514365,-0.36964887,-0.42163882,9.235698,-1.3251005,3.7324195,-5.5538034,-0.23801996,-0.96625507,-1.5583638,-0.32055128,0.0044060647
-3.9492447,-0.5193193,-0.7364727,6.9177856,0.26660478,2.9597592,8.805941,-0.98146737,3.6417668,0.3831863,-1.3559862,0.27771714
3.682496,0.4652487,2.1338394,27.218803,1.8091499,6.8695984,23.991022,1.9953889,6.2277217,-4.0413494,-0.47978115,-0.3455205
-1.8674946,-0.15615971,0.17250945,2.198306,-0.59173965,1.7829335,7.100812,-0.36290252,3.3983338,0.51681364,-0.33762258,0.94040036
-13.843327,0.0024658293,-3.8707688,-2.4622607,-1.074708,0.72053206,2.0731397,1.9319521,0.9428233,3.7515612,-1.3436803,0.8643606
-6.1917515,0.37075412,-1.8689643,-4.3319893,-1.2247128,-0.88222075,-2.157655,-0.6120649,0.6936636,2.5044613,-0.23231246,1.7043322
-2.8922617,-1.271352,-0.22213459,-5.8186865,0.34056544,-1.8718333,2.289215,-0.14809942,0.21689811,-2.6776834,-1.2706746,-0.060835212
-2.3179474,1.101314,-0.21120659,5.031245,0.7821144,1.0825258,-2.6935577,0.17781053,0.17199028,4.5749245,-0.67161685,1.0047094
4.252823,-0.9255916,2.4726872,-4.4545927,0.17252253,-1.0965945,29.06374,1.2359549,6.9328876,3.690165,0.72325325,1.4610041
-20.358698,0.18826948,-5.295675,-4.016654,0.8598245,-0.4767935,-6.394472,-1.1835673,-1.9518076,0.102889925,0.044563994,1.2910179
-2.795486,1.3841032,-0.9148606,2.6473846,-0.55745983,2.1575773,14.02085,-1.0130059,3.3316743,-0.35849562,1.2554362,-0.3657023
1.1061596,-0.2816425,1.4262363,22.899109,0.11502443,5.1632733,-1.2812575,-0.4112928,-0.052833647,18.94834,0.113644704,5.075201
-22.04556,0.72819054,-5.7671432,5.8760557,2.269749,2.0366127,5.732037,0.36873937,2.1305273,-0.21343818,1.3121233,0.15931743
3.5772276,-1.5822784,1.5129713,-2.5351293,1.5311952,-0.070349306,3.0662906,1.6613184,1.0949677,-6.7163696,1.3354112,-1.4086108
-4.1546583,-0.10456438,-0.8344704,8.740153,-1.1701874,3.8318138,-0.048282295,0.0676157,0.32760265,-5.807059,-0.5430317,-0.47845766
-4.8808603,0.36731648,-1.2975725,-0.012461454,-1.2381119,1.0924102,13.262704,1.1691703,3.162991,22.150358,-0.36006033,4.9279056
2.7130508,-1.232833,0.7735884,20.165363,-0.101770535,5.0466123,-3.35849,-1.088039,-0.44294587,24.236853,1.9503347,5.9599104
