class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.5373853,16.416044,-1.0375468,-1.6507666,-8.193104,0.12301239,0.78627187,-24.035517,0.37276086,-0.59972733,-4.971695,-0.1765658
-0.93713087,6.8490663,-0.5254882,0.24820626,2.4174428,-0.2518856,0.47195598,-8.62951,0.2810684,-1.892872,-3.1954412,-0.4443439
0.7342055,4.5497155,-0.4825257,-3.0066555,2.6981869,-0.47979045,-1.0220125,-4.2976546,-0.022856623,0.31236395,-16.301859,0.61374104
-2.6756427,4.6678367,-0.44897583,-0.87182355,-10.565204,0.021318108,0.61586124,1.3383163,-0.3226644,-1.942289,-3.2669983,-0.37007326
-2.6124718,-3.121748,-0.098105386,-0.24561003,-12.783051,0.15570578,-0.39218226,-13.765647,0.31083664,-0.2512969,-12.669875,0.00702706
-0.22847667,-7.0513253,0.10936323,0.76846606,0.37864944,-0.2028669,-0.88226676,-6.7462425,0.120475054,-0.9232312,3.7338247,-0.55097353
-3.0838594,4.5387216,-0.47899088,-0.18423179,-16.21958,0.45278254,-2.7187073,-0.66791,-0.423677,0.6063861,-6.909738,-0.028573662
-2.082885,1.714027,-0.3872689,1.2248923,-1.9759554,-0.037302464,1.2020291,1.8815298,-0.08015509,-0.88591284,-7.2538247,-0.1266016
1.3847595,-10.658977,0.40831742,1.348086,-7.6360793,0.121679634,-2.3168201,0.2348859,-0.3436983,0.83829147,-21.326866,0.5951885
-0.78123266,-1.7665843,-0.16212296,-0.41486898,-18.369379,0.36136958,0.619376,-24.41323,0.4562914,-0.34198883,-8.839249,0.21276411
-2.4537299,7.0416527,-0.563346,-1.1799332,-11.102838,0.25529894,1.3406447,-23.056421,0.6892866,-1.9834825,-5.1292596,-0.34841272
-2.5760734,3.1631079,-0.35346797,0.39338633,-13.267869,0.26845112,-2.2115667,-3.8353376,-0.34037676,0.8705326,-20.104284,0.47644624
-2.6670747,3.7124476,-0.34315395,-1.2922678,7.3145537,-0.7025262,-0.60100543,-6.7111974,0.11992851,0.79216427,-0.7371576,-0.2726006
-3.1803336,6.830684,-0.5687947,2.1091566,-22.463856,0.7808938,0.021990977,-7.0746765,0.07386622,-0.43160525,4.5869365,-0.5432005
-2.0601606,5.736181,-0.49266005,0.78914934,-5.549277,-0.19148755,0.45175323,-11.975387,0.29277334,0.0529178,-7.4463043,0.2121264
-1.3285071,10.658415,-0.6242467,1.6829702,-4.8426223,0.1202842,-1.8831598,-2.8685932,-0.32925856,0.7119773,-20.910254,0.57273257
-3.2261214,5.6050572,-0.50596416,-2.1453202,-5.856528,-0.26435563,1.56874,-21.505802,0.5968462,-2.5057058,-3.4696836,-0.37230733
1.0526084,4.1470947,-0.37382272,-0.7202801,-5.5823665,-0.09060061,1.3392384,-18.198214,0.29332832,-1.0352868,-5.7844396,0.02389279
-2.6253655,7.6381464,-0.44607946,-3.1247437,2.0272784,-0.3202755,-0.75073427,-9.086464,0.14960709,-2.406111,-3.4509034,-0.3365898
-1.0148624,-1.1380891,-0.13357773,-2.0988088,-10.122895,-0.09265104,-1.4354193,-2.4653945,-0.18519306,-1.4822216,-9.89462,-0.033308506
-2.9939482,2.8172898,-0.43237507,1.719721,-16.165274,0.33876202,0.1549975,-7.55255,0.19380361,-2.68986,3.8762865,-0.4815734
-1.6150173,1.0902872,-0.38031352,1.1279582,3.19134,-0.4451887,-0.114196695,-13.423818,0.49269673,-1.6602348,-8.868359,0.017220467
-2.8250778,-0.3455851,-0.40844113,-0.25742954,0.40906632,-0.18117595,-2.356089,-5.0295463,-0.29879168,0.13402572,-9.151619,0.19720614
-3.0435183,0.11097321,-0.26514712,-2.539467,2.2207808,-0.25149742,-2.4341705,-5.141306,-0.3365764,-0.040775932,-13.485396,0.2604479
-2.4946125,8.569236,-0.5480857,-1.1973426,-6.8990245,0.061868012,0.4630433,-7.164031,0.14101961,-0.22624034,-4.6157002,0.029070646
-2.1468904,0.44816107,-0.46981627,-2.2029986,6.370854,-0.5149964,-2.6708453,-0.39616627,-0.4080922,-2.6331413,-2.3965955,-0.32614854
-1.739343,4.2101865,-0.4863719,-0.2799556,-10.101697,0.25995317,0.17750153,-22.96314,0.3490444,-0.2955908,-5.1013246,0.07931799
-1.4461735,0.29753697,-0.20427758,-2.76484,4.1046457,-0.48020962,-1.608982,-5.570506,-0.36532584,-2.2043014,-8.735849,0.093532115
-0.56011266,20.272057,-1.1341156,-1.9758073,-2.9178596,-0.3572994,1.3494362,-0.14212859,-0.18694198,-1.7966574,-2.362411,-0.30563122
-2.6294527,6.7580504,-0.5070386,0.35535678,-17.298119,0.30937228,-0.96537465,3.5579295,-0.41684788,1.6024594,-6.4495387,0.14399162
-2.2538073,3.705943,-0.3818814,-2.3718436,1.4608438,-0.42272985,-0.25131583,-5.234379,0.015202731,-2.51039,-3.3984103,-0.3631034
1.2023371,9.239978,-0.7507751,-2.3048263,-3.164815,-0.30404118,-0.46280017,-5.9161453,0.010526478,-2.563828,-2.8165836,-0.3715445
-3.0396821,8.986445,-0.59852004,-0.6464949,-4.8176665,-0.28457403,0.4212462,4.377356,-0.45300007,0.8750139,-23.049755,0.33745953
-1.3012252,-4.3435645,-0.3716257,-2.4738152,-3.3603964,-0.07752684,1.4185014,-16.611668,0.51300585,-0.35368747,-4.158377,-0.11411573
-2.822272,5.114621,-0.47987542,1.0568156,-16.059322,0.4514111,-3.2464566,5.5912366,-0.48168027,-1.9365219,-5.5481677,-0.252114
-1.7582883,-3.4188676,-0.16045702,-0.88231134,-9.092736,0.18951544,-0.9988641,6.0583186,-0.5301746,-0.5826071,0.9180313,-0.09068312
-2.7193108,7.475321,-0.5661571,1.1653641,-16.509884,0.49691817,0.56563646,-22.088297,0.4978476,-1.6871942,-7.96868,-0.21218115
-2.697041,7.722034,-0.5869858,-2.1897068,-8.555928,-0.11789289,0.67024666,-20.060835,0.5933821,0.06428822,-10.050557,0.4291083
-2.9156199,7.8718386,-0.5691627,-0.8563232,-3.1789336,-0.14361393,1.178859,-1.5356997,-0.24771976,-2.5322933,0.81350076,-0.451595
0.25963244,-4.3538704,-0.069808155,-2.9378216,2.4930992,-0.47834054,-1.7727717,2.020209,-0.41807082,1.2456188,-6.1281037,0.18584207
-2.5388389,-1.929521,-0.32226175,-2.8084764,-2.5465398,-0.16341795,0.23999009,-2.3293457,0.05327812,-2.9213867,0.6801962,-0.4511479
-0.02873642,0.5171567,-0.3165936,-0.8837476,4.252178,-0.58993244,-0.86742705,-7.917928,0.18930683,-1.737863,-6.1571474,-0.3458409
-3.142617,4.9282045,-0.49116778,0.64305747,-8.823218,0.14630678,-2.1443732,-3.7508688,-0.34014142,1.3728694,-12.415256,0.05703363
1.0281681,8.981492,-0.7893437,1.1654481,-5.4761043,0.14543527,-1.6430395,-11.767901,0.025168687,0.040749036,-7.542606,0.13714814
-0.86161715,-4.434268,-0.028099984,0.9023352,-20.955816,0.50621593,-2.6326025,-0.8467941,-0.3825182,0.29022548,-7.6261926,0.13770545
-2.053867,1.3007451,-0.24091673,-2.8745978,0.98391056,-0.3901517,-0.6024061,1.2537962,-0.24479797,1.3840326,-21.064363,0.54279876
-0.4162375,18.306288,-1.1321985,-3.134578,1.6317637,-0.44263434,-1.6342522,-8.480822,-0.20567694,1.3269395,-16.62115,0.71040225
-2.9513767,3.2658944,-0.47764936,0.81631947,-7.4140034,-0.015146732,-0.19678858,-6.820618,0.0885115,1.3664612,2.5976663,-0.21542153
-0.5291254,20.772936,-1.1456789,-2.3897655,-4.8805537,-0.30587637,-1.4492567,4.391508,-0.509259,-1.8431535,-4.690844,-0.2622352
0.78793097,-0.7432827,-0.16513802,-2.9524038,0.8026147,-0.4212896,0.8512407,-5.809363,0.13797262,1.2244893,-23.32767,0.6116594
-2.8712652,1.9380623,-0.4613941,0.62869567,0.61772645,-0.14879537,0.596935,-4.3738685,-0.12085736,1.1348852,-10.396169,0.27191553
-3.3691475,5.945763,-0.52111375,-2.9037094,1.1404445,-0.43189526,1.0725025,-1.3578155,-0.15258121,1.0793093,-26.372976,0.647735
-1.5389313,19.48689,-1.1040258,-0.954338,-13.905639,-0.07752189,-2.8772044,-0.6819247,-0.39031723,1.7769266,-5.3109097,0.20773274
0.55683535,-0.7711787,-0.40160093,-2.4889524,1.7640998,-0.33183715,-2.0467486,0.42617354,-0.28626996,-2.7641885,-0.45610976,-0.2234546
-0.0962402,19.135492,-1.1712549,-1.6860408,-7.0125556,-0.2418705,-2.3411744,-5.9568715,-0.18832505,0.8743687,-6.9626718,-0.0074907243
-1.5590695,7.2776055,-0.6945994,-0.14378038,-17.20761,0.019151002,-2.7622247,-1.3418583,-0.40768564,0.9679644,2.6080055,-0.37053668
-3.0555878,5.487309,-0.576156,1.7311295,-5.9921203,0.112309754,1.3904895,-0.81281114,-0.19371934,1.37103,-14.9745,0.21083173
-2.41821,2.0282347,-0.3802567,-2.7020223,-2.5200548,-0.36177337,0.97240645,-22.259382,0.42955253,1.5601114,-9.361275,0.14968082
-1.634725,1.1744189,-0.26616538,-0.057375826,-19.430822,0.2749394,0.43220958,-14.289922,0.46482584,-1.1931165,8.795971,-0.71543777
-2.5645716,5.3320394,-0.4956708,-1.0768263,-7.638742,0.08450571,1.2579858,-3.5978913,0.028339356,0.9321094,-22.054485,0.5778861
-2.6172945,6.549185,-0.4592735,0.43428805,-4.1242986,-0.08028749,-2.6016638,-2.8077703,-0.33152694,0.83232194,-21.951563,0.57207835
-0.72639537,-2.6503272,-0.10469936,1.2625065,-1.4871862,0.019407779,1.151463,-16.853697,0.21249256,0.8927718,-5.801105,-0.15567747
-2.115104,7.158969,-0.49168116,0.7453986,-11.600516,0.25009403,-1.78183,2.7115102,-0.4573103,-2.427653,-3.6261382,-0.33724502
-0.6110237,5.826218,-0.43250975,-3.1262739,5.859973,-0.46010062,-2.1604333,-2.4591813,-0.31596828,0.82604176,-21.922232,0.48279187
1.2065529,-8.1178465,0.2208552,1.3518877,3.7487388,-0.40438122,-2.656422,-1.540883,-0.43507385,0.8043314,-1.8281854,-0.18070948
-0.70356625,4.2651677,-0.35251838,-1.1359707,-7.62065,0.13026306,-1.1602408,-8.23,0.15585306,-2.836481,7.7806687,-0.5847058
-3.2519672,3.073287,-0.3570974,1.0709156,-1.4551876,-0.24603054,0.8625794,-24.919645,0.50472236,0.54963034,3.6285124,-0.34626314
-0.78426176,1.7146156,-0.45437136,-2.6886938,0.20298362,-0.40337119,0.9762352,3.093773,-0.4602194,0.6371172,-4.5394073,0.07507557
-2.4271097,3.5592046,-0.35943842,0.27236113,-13.309944,0.25036368,-0.015964545,-6.8551526,0.112694114,-1.8365847,2.8071275,-0.39416468
-3.2043276,6.8695245,-0.5239943,-1.1341227,-5.1614833,0.052738458,1.2615222,-2.61122,-0.124426216,1.0462614,-23.935555,0.5374814
-1.1073712,-2.408064,-0.023849964,-2.9207633,2.7645516,-0.46233943,-1.8310804,-5.5480695,-0.30941164,-2.0919464,-5.8022895,-0.25402495
-2.821022,7.5433645,-0.58141196,-2.7792003,-0.51278263,-0.31203723,-3.1028864,0.49260455,-0.37792248,-1.6567127,4.805372,-0.471209
-1.5487412,2.9151359,-0.5163157,-2.5907004,1.5569035,-0.42686617,1.4078029,0.59731454,-0.59371114,0.8679033,-22.382524,0.4139919
0.1820189,4.890576,-0.38080975,0.6948959,0.14246258,-0.2795359,-2.855926,-1.2354648,-0.27940077,0.5544779,-13.029489,0.0142558515
