class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.09856204,0.13691881,0.022796141,-0.0982827,0.13659841,0.023659077,-0.10104915,0.13694452,0.021855837,-0.09846233,0.1370192,0.022819588
-0.09844581,0.1368688,0.023064736,-0.098442614,0.13686341,0.023107491,-0.09852898,0.13700208,0.022755248,-0.100101985,0.13546985,0.02386185
-0.10008462,0.13543263,0.023750536,-0.09906045,0.13589072,0.024162391,-0.10145231,0.1369741,0.021497501,-0.098439775,0.1368842,0.023074495
-0.09825803,0.13650323,0.023768928,-0.098511845,0.1368491,0.022933282,-0.09905932,0.13593769,0.02427001,-0.09864716,0.13619477,0.024099808
-0.09832174,0.13631894,0.023859112,-0.09840866,0.1367572,0.023331875,-0.1008828,0.13513254,0.023690771,-0.09825069,0.13651824,0.023766067
-0.09854566,0.13699785,0.022753377,-0.098428644,0.13629878,0.024001125,-0.09827813,0.13636416,0.023924101,-0.10077952,0.13509867,0.02362613
-0.10023042,0.13536543,0.023735598,-0.10081785,0.13521206,0.023694336,-0.09876427,0.13694406,0.022648,-0.09859619,0.13621263,0.024074316
-0.09995293,0.13555774,0.023960238,-0.09934559,0.13578705,0.02418763,-0.09866047,0.13685262,0.02273743,-0.09850554,0.13701847,0.022785408
-0.10120026,0.13497819,0.023518082,-0.09823861,0.13643117,0.023793288,-0.10168924,0.1349622,0.023342324,-0.100392304,0.13523984,0.02366246
-0.09865898,0.1361436,0.0240218,-0.098934256,0.13599111,0.024168931,-0.098216936,0.13641769,0.023843145,-0.09874508,0.13609263,0.024065975
-0.0983627,0.1368821,0.023261685,-0.10024884,0.13537619,0.023721816,-0.09846515,0.13679944,0.023220802,-0.098506056,0.13689603,0.022865884
-0.09830124,0.13658187,0.023605932,-0.09934885,0.13575369,0.024076905,-0.10157764,0.13493226,0.023466311,-0.098388955,0.13693292,0.023117796
-0.09843337,0.13630131,0.023981981,-0.09970998,0.13563031,0.023926485,-0.09844278,0.13628916,0.023995647,-0.09849959,0.13626616,0.024024844
-0.09878839,0.136065,0.024095047,-0.09832951,0.13668792,0.023504,-0.099472456,0.13572055,0.024033936,-0.09843959,0.13700071,0.022913024
-0.09980264,0.13558692,0.02389758,-0.10110682,0.13507017,0.023575354,-0.09889147,0.1360053,0.024124775,-0.09961293,0.13565037,0.023940653
