class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.032114673,0.015309009,0.004464522,0.032092635,0.015348378,0.0045053065,0.032026116,0.015463087,0.004632309,0.03222442,0.01511729,0.0042570084
0.032122273,0.015294316,0.004450336,0.0321181,0.015303853,0.004461348,0.032125402,0.015286568,0.0044444203,0.032177586,0.015209976,0.004346773
0.032241423,0.015073123,0.0042277128,0.03201038,0.015491727,0.0046615005,0.032212395,0.015134606,0.0042809993,0.032181296,0.015198174,0.0043386966
0.032111723,0.015307161,0.004470989,0.032040197,0.015432629,0.00460504,0.03222621,0.015106442,0.004252121,0.03218249,0.015189412,0.004339546
0.03213482,0.015267464,0.0044252425,0.032096226,0.01534203,0.004498616,0.032181,0.015197608,0.0043382347,0.032153208,0.015236261,0.0043926835
0.031996656,0.015517595,0.004686415,0.032156292,0.015237573,0.0043875277,0.032179225,0.015197578,0.004345596,0.032055367,0.015406015,0.0045763254
0.032136533,0.015265646,0.004423648,0.032140348,0.015260938,0.0044173747,0.03215151,0.015239331,0.0043956637,0.032144595,0.015253815,0.0044085532
0.03209587,0.0153367845,0.0044997334,0.0321115,0.015313956,0.004470825,0.032109726,0.0153076975,0.0044751912,0.032069746,0.015379014,0.0045496076
0.032402504,0.0148181645,0.0039205104,0.032174382,0.015203002,0.0043533742,0.032068852,0.01538879,0.0045506656,0.032187182,0.015180799,0.0043286085
0.032086823,0.015360656,0.004515901,0.032073844,0.015370014,0.0045407414,0.03217261,0.015205982,0.00435704,0.03225853,0.015058312,0.0041954964
0.03215586,0.015232953,0.004387215,0.03213452,0.015274051,0.004428789,0.032110948,0.015311244,0.004469484,0.03220998,0.015140417,0.004287064
0.03218915,0.015168044,0.0043252707,0.032150123,0.015243563,0.0043993443,0.032151166,0.015245291,0.004396975,0.032027517,0.015457693,0.0046292096
0.032241885,0.015085193,0.004226938,0.032088656,0.015349927,0.0045119524,0.032112706,0.015313539,0.0044675022,0.032035355,0.015450123,0.00461486
0.03209417,0.01533753,0.0045036823,0.032167334,0.015213641,0.0043668896,0.032166842,0.015217247,0.00436832,0.032132138,0.0152871935,0.0044356138
0.03209311,0.015342089,0.004503563,0.032124046,0.015286568,0.004445687,0.032143924,0.015263948,0.0044106543,0.032227058,0.015124503,0.0042553693
0.032188434,0.015173468,0.004328072,0.032203037,0.015150133,0.0042980313,0.032185424,0.01518372,0.0043325424,0.032250408,0.01507068,0.0042094737
0.032089774,0.015349361,0.004510537,0.032102842,0.015327933,0.004486248,0.032044966,0.015429559,0.0045942217,0.03214355,0.015258077,0.004411295
0.03212451,0.015285614,0.0044458956,0.032119248,0.015292379,0.0044543296,0.03215753,0.0152334,0.0043852627,0.032236654,0.015098157,0.0042389333
0.031900663,0.015688809,0.004866019,0.032137264,0.015275422,0.0044201165,0.032200146,0.015155884,0.004305169,0.032123584,0.015291664,0.0044481605
0.032213066,0.015127513,0.0042818785,0.032127637,0.015284988,0.0044400096,0.03218073,0.015191319,0.0043396205,0.032149646,0.015243861,0.0043997765
0.03198946,0.015543523,0.0046987385,0.03212123,0.0152977435,0.004452482,0.0320845,0.015350225,0.00451912,0.032151718,0.015242192,0.0043944716
0.03215878,0.015226516,0.0043817163,0.032133076,0.01527119,0.00443016,0.03213005,0.01528162,0.0044368953,0.032270942,0.0150384335,0.0041712224
0.032114018,0.015309426,0.004465446,0.032123554,0.015293392,0.004447773,0.032176543,0.0152024655,0.004349008,0.032131646,0.015273514,0.0044317693
0.03201497,0.015481058,0.004652843,0.032177154,0.015200737,0.004346311,0.03214361,0.015259328,0.0044112653,0.03210107,0.015333715,0.004489407
0.03207368,0.015376273,0.004542008,0.03210475,0.0153208105,0.0044819117,0.03221901,0.015130403,0.004271269,0.032156114,0.015233907,0.0043872744
0.03212138,0.015292737,0.004451975,0.032123674,0.015287551,0.004447654,0.032168213,0.015206817,0.0043679327,0.032156084,0.015238437,0.0043884963
0.032109234,0.015315446,0.0044742674,0.032157157,0.015231582,0.004385665,0.03213719,0.015266481,0.004422322,0.03213452,0.015277627,0.004426405
0.032221306,0.015112313,0.0042652935,0.03211305,0.015305522,0.0044663996,0.03214698,0.015250537,0.00440298,0.03219155,0.015178534,0.0043188483
0.032094393,0.015357795,0.0045037568,0.03219003,0.015178594,0.0043230504,0.0322191,0.015123996,0.0042678863,0.032193083,0.01517019,0.0043185353
0.032106806,0.015322748,0.004480526,0.032046665,0.015417132,0.0045930594,0.032228503,0.015114549,0.004253164,0.032136668,0.015265646,0.0044225603
0.032152403,0.01524103,0.0043947846,0.032123256,0.015289965,0.004449025,0.032146785,0.015247616,0.0044039637,0.032078225,0.015373322,0.004533291
0.032206375,0.0151389865,0.0042934567,0.03212889,0.015280697,0.0044386685,0.03222305,0.015118691,0.0042604357,0.032150436,0.01524544,0.0043973178
