class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
7.245902,-8.411803,6.5287676,-1.9199687,0.95562047,1.4220518,-0.72185767,-0.083035275,1.3458401,-2.1682863,1.2805631,0.67762053
-9.693566,9.803253,-4.8797655,25.58238,-25.232878,11.86014,17.88176,-16.768948,7.2641687,33.58741,-31.298285,11.962669
-21.284328,20.25297,-6.997385,30.735779,-30.38879,13.109898,-1.7452322,0.9135771,1.1100549,12.937818,-14.577541,9.278705
-7.666432,7.027298,-1.5425789,36.483788,-35.68587,15.865017,-17.226524,15.830574,-1.8746105,35.156563,-33.080013,11.902814
-15.025264,13.5169735,-2.356476,13.119244,-12.264611,5.6756563,-7.224051,6.650724,-1.5375329,14.750528,-15.937246,8.736145
-22.691217,21.574556,-6.7726946,37.791767,-36.147526,14.5684395,5.4670463,-6.601174,6.184475,23.652367,-21.928974,10.317419
-59.376137,56.755917,-14.99597,31.326183,-29.746895,11.527224,21.917805,-21.114462,11.887793,29.666647,-28.547441,12.110531
-1.5010955,0.8115812,1.4588473,38.270206,-38.50292,18.141005,25.458302,-25.020159,11.953358,13.395744,-13.352792,7.6797633
-59.76204,57.144543,-15.230992,19.310553,-20.24425,11.209049,-10.740571,9.472296,-1.2546853,14.4667425,-13.618478,7.27724
-8.654392,7.8581634,-1.5500205,1.0199932,-1.7116029,3.184867,0.38273376,-1.1952709,1.6451029,19.840343,-20.853598,9.844246
-50.72425,48.604225,-11.256507,6.867823,-8.020645,5.5266943,33.047436,-32.564297,14.667892,4.225838,-4.858523,2.464719
-15.749555,15.054481,-4.1978836,4.1944604,-4.8014407,2.7013543,8.541133,-9.683512,6.5876784,-0.5183215,-0.33372647,1.6294785
-57.40407,55.538372,-23.997446,-0.1672128,-0.7569246,1.9146003,11.941432,-11.580978,6.284363,22.302021,-20.612062,9.660868
-14.495353,13.340849,-2.3495858,-12.8738785,11.879395,-3.7576306,3.7613583,-3.1449072,2.0388377,15.329213,-15.448273,7.9528456
-7.837324,7.5068297,-3.4148846,19.097092,-18.950388,9.606017,18.602633,-19.63918,8.55476,34.416862,-33.60072,14.960945
-13.883578,12.679977,-2.7078078,41.91619,-42.02432,18.236652,28.833857,-27.911287,11.017199,17.455647,-17.789059,7.9323673
-24.971468,23.334173,-6.4229064,16.699274,-17.606485,8.293611,-1.1615888,0.40691537,1.0478357,4.049378,-3.4124742,1.2402449
2.1885917,-2.4176552,1.4969395,-0.35202265,-0.45937216,1.5449136,-0.3418513,-0.39409262,1.5004653,-0.34480947,-0.5569405,1.8836061
-57.793034,55.23591,-14.170233,37.760868,-38.3924,17.689604,44.14404,-42.065884,16.99015,25.30292,-24.178413,8.620208
-9.175713,9.276358,-4.416108,-5.62857,5.6458745,-1.4022869,-1.0403519,0.19918716,1.359907,27.324226,-27.753527,13.446469
-56.844204,54.98652,-23.75403,34.614674,-33.131474,14.960275,29.897902,-30.314373,13.527876,39.621693,-39.24293,16.045742
-1.5791423,0.71846384,1.2040819,15.433146,-16.86505,9.667953,12.695039,-13.61128,6.7170334,35.41812,-35.054554,14.346172
-58.603836,56.00417,-14.456286,20.93142,-22.417355,11.08197,41.0993,-41.092083,18.167505,-3.5073404,2.1506515,1.9421846
-19.215721,17.951166,-5.668482,10.830184,-11.208572,5.3487916,13.323228,-14.830461,7.8564067,-0.74811405,-0.100743905,1.5227737
10.461017,-11.416857,7.0664196,41.222637,-40.513523,16.950554,18.789677,-18.078825,6.6037793,0.69407517,-1.1026394,2.4293752
-2.2653453,1.6812439,0.7333003,39.246258,-38.61514,16.449131,-12.8532715,11.709074,-1.8784841,4.0345945,-3.882524,1.5238689
-59.61924,56.999973,-15.187626,32.040592,-32.32152,14.426323,-5.144998,4.230662,-0.45747814,7.2533994,-9.882306,8.870447
1.8180984,-3.0854917,4.1888266,7.8832335,-8.678563,5.090562,16.640627,-17.751959,10.747856,26.873459,-25.67275,12.028741
-15.167257,14.285376,-3.8805597,-0.4915402,-0.32193238,1.4398719,-1.8414674,1.0181358,0.9870939,26.994102,-26.411554,11.715563
-54.855618,52.44246,-20.16547,22.469301,-23.075512,12.023551,9.059693,-8.614385,5.264577,-3.8408184,2.728527,0.8865794
-53.043472,51.387127,-21.953005,-1.5090203,1.0600123,1.379975,2.9078007,-3.2883627,3.6428268,29.617474,-30.097092,13.550088
-58.74311,56.141544,-14.533317,-2.0034866,1.1157395,1.6026078,-1.4731092,0.66469234,1.1631993,2.0626411,-2.724033,2.1275089
4.3637776,-4.152722,2.1727946,29.391052,-29.711802,14.346725,34.815968,-34.48795,15.378,19.598166,-19.480284,6.8027363
0.6563212,-0.701243,0.60574067,15.315183,-16.905668,10.075563,-0.95218086,0.10555686,1.3804467,29.5831,-31.472214,15.606005
-56.818714,55.01941,-23.855589,0.25088006,-1.096339,2.1086943,40.630154,-41.410805,18.707026,23.69706,-22.683922,9.727926
-0.6089371,-0.20657022,1.4724659,26.50433,-26.76592,13.138132,40.68849,-40.820892,17.760197,24.514431,-26.08665,13.001522
-55.517006,53.80541,-23.277498,33.829918,-32.377434,13.671298,11.705096,-10.999552,6.4385967,11.034762,-10.912219,4.9153404
-40.63793,38.215107,-13.022443,39.748657,-38.759224,16.41143,12.997482,-12.32167,7.1124573,38.346558,-37.72967,15.728252
-55.704987,53.931313,-23.2778,44.552574,-43.564724,18.2381,-1.8015252,1.0349717,1.2563225,2.6869502,-2.8352618,1.3597136
-56.97907,55.116337,-23.830938,35.124294,-34.907635,15.045683,6.6642594,-7.515862,5.2463303,24.29351,-25.355171,13.020695
-2.4369311,1.5354506,1.119838,3.87353,-4.453946,3.1828592,30.964994,-31.764963,15.456373,3.247316,-3.6279945,2.8303564
-58.903767,56.2953,-14.628811,-2.9254043,1.9237201,1.0775595,-0.1550376,-0.590247,1.5453099,-0.66928333,-0.11233093,1.2952119
-59.604176,56.970406,-15.064855,12.609628,-12.260384,7.2716675,25.035797,-26.629856,13.4339695,12.019927,-11.380963,6.5615196
-15.85107,15.699867,-7.2092814,29.300404,-28.71027,12.679928,35.8536,-34.65671,14.55105,13.333238,-13.223698,5.187129
-13.569988,12.516041,-2.9455316,-0.45136553,-0.31620198,1.419383,1.8635467,-2.7564902,2.8810532,10.130645,-10.297688,4.865573
-49.136944,47.591312,-20.117144,29.60826,-28.1354,11.979089,24.147457,-23.501099,9.064835,22.197018,-24.193342,12.82141
2.9070835,-3.5524473,3.8854344,31.576344,-30.634064,13.979753,30.555069,-31.350718,14.653301,6.021851,-7.4452405,5.7849097
-58.593513,56.083916,-20.98308,37.29518,-36.749004,15.169004,14.283105,-13.415062,5.035394,0.1770219,-0.7875425,1.8205199
-3.40699,2.508884,0.6710161,5.0046735,-5.3087697,3.083325,-0.3754456,-0.29498875,1.7295495,2.925665,-3.6031876,2.4537265
-9.096626,8.067921,-1.2001685,30.75079,-31.254059,14.469051,11.636379,-12.801558,6.934618,-0.30277562,-0.5426767,1.6775914
-15.449391,14.920606,-5.6283646,0.26044035,-1.1297494,1.9293766,23.834621,-22.524027,9.784576,-0.9203517,0.1738946,1.1685418
-10.489055,9.769781,-2.5964172,-16.359804,15.544904,-4.030075,43.472595,-42.28227,17.261137,-0.705334,-0.064431,1.2647219
-4.248487,2.7022915,1.6316459,15.168368,-15.17899,7.2850013,30.217094,-31.840662,15.902176,-0.028250918,-0.7469862,1.5128595
-56.81823,55.038162,-24.00453,45.590538,-45.235405,20.004253,1.0349036,-2.368351,4.174264,17.710169,-18.368446,7.5704446
-10.710571,9.9854555,-2.2073195,6.21934,-7.877641,5.9957767,10.926908,-12.178349,4.8846674,32.95717,-32.3421,14.115637
-56.243454,54.394108,-23.78494,8.092871,-8.791076,5.4530106,27.755674,-28.562574,13.768149,14.252366,-13.35964,6.2559276
