class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.07030937,-0.08640601,0.22938998,-0.5338509,-0.5498074,0.8576244,-0.44500008,-0.46157426,0.7371162,-0.34295884,-0.3582242,0.59786135
-0.18207398,-0.197969,0.37976974,-0.21338782,-0.22918178,0.42244625,-0.31682923,-0.3321718,0.5652439,-0.3297111,-0.34531933,0.5792446
-0.084067285,-0.099394366,0.24628593,-0.41615906,-0.43238205,0.69867533,0.05443895,0.038527817,0.05733998,-0.33746716,-0.3532976,0.58896816
0.35809,0.34273452,-0.3538143,-0.2172184,-0.23315705,0.42685544,-0.32891384,-0.34497362,0.5791342,-0.38997653,-0.40605623,0.66206974
-0.17006525,-0.1857727,0.36184764,-0.1928775,-0.20927529,0.39833957,-0.27390635,-0.28971124,0.5049277,-0.2163482,-0.23189203,0.4264043
0.38499913,0.36946452,-0.39108735,-0.20984015,-0.22577094,0.41658854,-0.3817921,-0.3979382,0.65109557,-0.054577947,-0.07003264,0.20724119
-0.10959196,-0.12559085,0.28154373,-0.41312292,-0.42931855,0.69296277,0.020166487,0.004552439,0.10441367,-0.24622735,-0.26214123,0.4666171
0.38329956,0.3675754,-0.38890618,-0.06250754,-0.07777022,0.21906932,-0.3088185,-0.3247679,0.55286545,-0.19335872,-0.20908217,0.39732116
-0.16587159,-0.1816025,0.35757267,-0.44118038,-0.45732147,0.7317745,-0.36648187,-0.38216406,0.6314606,-0.06313646,-0.07920708,0.22034754
0.37227684,0.3565737,-0.37419128,-0.53562534,-0.55177534,0.8613195,0.21764994,0.20161553,-0.16205092,-0.099649966,-0.11593701,0.26663184
0.38484135,0.3692931,-0.39087635,-0.25658768,-0.27277583,0.48164582,-0.19964835,-0.21608572,0.4045788,-0.18839142,-0.20427041,0.38867295
-0.15500194,-0.17066006,0.34250838,-0.3726782,-0.38916975,0.6398167,-0.28200844,-0.29776776,0.51556087,-0.18355033,-0.19932161,0.38230145
-0.2027885,-0.21874033,0.40768456,-0.37090114,-0.38681877,0.63595295,-0.2024422,-0.21804373,0.40918612,-0.30783948,-0.3233772,0.54793763
0.38330606,0.3675964,-0.38889694,-0.5116193,-0.5277739,0.8283269,-0.35575262,-0.37177998,0.6119347,-0.1668677,-0.1830392,0.3586763
-0.11889601,-0.13522615,0.2954573,-0.3811485,-0.39677668,0.650229,-0.37915316,-0.39450622,0.64643043,0.030980676,0.015721127,0.09070544
