class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
39.095417,6.43802,-20.101856,-12.846603,-1.1480572,10.202225,10.539077,1.1770172,-11.780329,12.591407,1.0789781,-7.239904
25.064926,3.0693467,-14.999094,-19.80212,-1.0117126,16.139706,4.159458,1.8151958,10.348352,-37.24102,-3.5120656,19.89324
23.95906,4.396083,-1.8910315,-15.095174,-1.4478302,13.774902,-5.4467883,1.7053633,13.189079,11.574247,3.051948,4.434661
25.258205,3.2191904,-13.214874,-10.558494,-0.2691821,-3.2272298,10.970814,4.313441,-4.887684,-8.271911,-0.8992327,6.738196
23.186142,2.699403,-20.466743,-37.688107,-3.1851819,11.915447,15.655417,3.731949,-3.1569362,-13.531775,0.06965256,0.40087986
56.193825,9.0745325,-21.358128,-15.840846,-0.5697161,16.92474,-24.778086,-3.257879,6.8096285,9.50189,0.5519013,-6.573755
25.656988,4.688995,-14.34234,-13.396623,1.6119847,8.954588,-17.807781,-2.8222952,5.9427395,-29.579018,-2.2001553,12.864548
53.324337,6.51104,-17.991695,-20.525124,-1.7543985,19.223654,10.771879,2.8226855,8.304672,21.539492,4.7963376,-13.571131
34.367382,4.886721,-22.63012,-23.437782,-1.4174639,13.950588,-9.999607,0.73879534,0.5724942,4.473921,2.92607,-10.014345
20.846289,3.4017656,-0.2772498,-11.774331,2.1225536,7.5526805,2.4513621,-0.8169442,-7.5280633,25.01179,3.795634,-14.487719
20.09578,3.0235374,-8.609358,-21.832827,-1.491471,14.565269,1.5174884,2.0859485,-7.817858,-18.18621,-1.3811672,8.574538
10.3244705,3.413677,1.5090387,-25.099426,-2.6802633,15.552738,-29.429241,-2.164369,15.364765,-10.703198,-1.1475787,5.4597187
31.49028,5.8433146,-25.905123,-8.969347,-1.3592606,15.74637,12.687505,3.0642142,7.788352,19.694538,3.255986,-11.427387
18.673172,3.4570968,2.071814,-11.956904,-1.5687113,6.751865,-20.879913,-1.5592265,12.681021,6.576079,1.7284408,-9.9075775
27.536041,4.1438055,-20.220081,-18.981503,-0.28297454,21.879095,-0.5970477,1.6824443,12.054483,0.53878725,2.992345,2.5710063
25.98825,2.9036784,-6.528711,-16.836962,-0.40802342,9.835596,-21.860107,-1.4561367,9.721287,43.687916,6.1537127,-9.265236
26.985207,5.056258,-6.7749543,-27.200125,-1.8537333,19.92702,-4.8186235,-0.34313518,8.382338,-1.5820996,0.0076270103,4.41061
25.939913,3.259877,0.14576006,-21.887772,-3.278404,15.384045,-34.64074,-2.8399427,22.023514,-11.413231,-0.36400062,5.8386736
30.720943,3.6934426,-13.0240555,-9.62939,1.8716376,6.911302,-4.572695,2.2539613,8.6819,1.5641037,1.4081533,1.5236909
17.059462,5.5529423,-9.4525795,-15.590403,0.0045800805,7.790855,8.7422085,1.9139252,-4.488087,-10.810293,0.65423864,13.141867
26.425283,3.7138245,-4.6679273,-10.112305,0.45229286,2.0726085,-36.045856,-3.7058866,25.086016,31.992512,5.123702,-1.3744226
7.193728,2.9087179,1.7302006,-2.0190792,2.9247234,2.3909233,18.714287,3.0341592,-9.538849,-15.276765,0.1569984,1.0872287
24.916014,4.2673774,-2.119803,-21.688208,-1.5051997,15.137741,11.100313,4.2677674,-7.757273,25.466955,4.2613425,-17.694492
22.446325,4.260592,1.2013178,-4.560503,-1.1776267,9.344666,-31.822506,-2.9784405,18.127695,24.26242,5.089091,-20.421305
65.46127,9.105213,-20.66347,-4.016058,1.122258,-0.77278924,-1.7797389,1.1551013,-9.639355,35.920773,4.066604,-12.743336
17.945047,2.7475948,-12.30105,-20.661106,-0.7222955,16.257524,-27.81429,-2.0240407,13.923586,-30.312344,-2.3104508,10.5338955
23.648987,3.4156177,-12.872944,-8.641263,-1.1100328,8.321745,13.5552025,1.4408503,-13.112663,-36.80785,-3.4778736,11.739826
13.927241,3.6466367,-1.6335518,-30.16498,-2.85502,19.199175,32.66157,6.0222654,-8.694344,-18.71283,-1.2837585,8.960638
26.884876,3.6753232,-1.9257379,-18.37014,-1.9882514,13.6586,3.627562,0.52900857,-3.7708955,19.994484,4.0797377,1.6190617
33.838505,4.6553226,-21.206894,-12.593023,-0.05720359,8.908232,-19.03592,-0.54908234,8.723562,40.816418,6.343056,-10.52886
31.488903,5.141652,-20.482294,2.036633,3.1484401,1.6079764,-13.701989,-1.0040572,14.776482,35.37801,5.433296,-12.895781
61.90038,6.662762,-37.062813,-5.6699495,0.93530446,-1.3784137,-9.581641,-0.08197504,12.2033615,-31.388231,-1.2866676,18.851278
38.775883,6.3437333,-21.865261,-12.853013,0.029983103,11.477886,20.066727,3.3356416,-19.955954,-18.71175,-0.4703912,5.428559
50.795437,8.548056,-26.479546,-19.993073,-1.1503831,9.025076,-13.092645,-0.5420333,7.0448427,-25.703157,-1.8394752,9.439531
53.13958,6.757706,-15.619566,-19.96848,-1.8080425,17.12937,5.951057,1.4210215,-0.40461302,7.331968,0.9621088,-10.994789
31.55503,2.919349,-11.15489,-43.843945,-4.93555,19.17599,-8.961909,-1.4634621,-2.4389386,18.781681,4.8028264,-12.959734
37.292362,3.5074155,-14.792719,-10.695603,2.1834717,6.9389787,-16.942993,-1.4459746,16.074192,-21.712944,-1.8786054,9.850849
25.896217,4.5616107,-14.359547,-12.136192,1.4708674,7.9724936,32.652317,5.159886,-3.8492684,29.81139,5.648634,1.5020499
26.563568,3.6874754,-23.405178,-8.435736,-0.43813694,5.5049205,-4.9496603,-1.4954214,5.111709,-19.180035,-2.9439864,15.379183
6.816732,1.4865539,-6.8109665,-25.604286,-3.5723088,17.291395,-9.969363,-0.14796573,4.9579725,-13.415507,-1.7785819,15.970301
32.380127,2.8276207,-12.441614,-1.102292,-0.4529008,8.557884,-3.0407238,-1.5799463,-2.2014437,0.028900266,0.32080203,4.3932505
