class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.0119533,-0.098792,-0.10286203,-0.017051317,-0.101525225,-0.10523422,-0.0148823075,-0.10444883,-0.103718564,-0.012779076,-0.10786122,-0.10542823
-0.01533664,-0.10487834,-0.10533595,-0.014682497,-0.10571757,-0.106676325,-0.01391501,-0.10091238,-0.10142239,-0.011918917,-0.10064645,-0.10233356
-0.011913104,-0.10131089,-0.10180055,-0.015008874,-0.10840336,-0.104758106,-0.011841383,-0.097876884,-0.10235791,-0.014778554,-0.104340784,-0.10327571
-0.012360947,-0.09881365,-0.10306537,-0.014397592,-0.10934292,-0.10444939,-0.011627042,-0.09921663,-0.10243355,-0.01577819,-0.109933406,-0.10449877
-0.015438487,-0.0994196,-0.10638094,-0.011392891,-0.09985063,-0.102478646,-0.014197843,-0.10041335,-0.10385288,-0.010926544,-0.1021618,-0.10383048
-0.0153321745,-0.10794081,-0.1030424,-0.012875579,-0.105799116,-0.106053196,-0.014482723,-0.1045243,-0.10372295,-0.013881641,-0.104245454,-0.1033111
-0.015510463,-0.1005517,-0.10705891,-0.014659096,-0.108550005,-0.104226574,-0.01402372,-0.09954595,-0.101904765,-0.014610022,-0.107979685,-0.10426293
-0.012652837,-0.09922615,-0.10295865,-0.014647665,-0.10850591,-0.10408261,-0.011925271,-0.09843282,-0.10259378,-0.012035489,-0.1005959,-0.10206054
-0.015028831,-0.10798311,-0.10416513,-0.014967042,-0.10060709,-0.10872709,-0.015688447,-0.10951084,-0.10481775,-0.014582056,-0.10706195,-0.10455278
-0.012639376,-0.09950038,-0.10338628,-0.011434987,-0.097476296,-0.103527345,-0.015183208,-0.10057604,-0.10715329,-0.015363097,-0.10052963,-0.107037604
-0.015189707,-0.09992595,-0.1064498,-0.015549272,-0.10653591,-0.1064413,-0.014294539,-0.10731141,-0.10416758,-0.011625344,-0.09826058,-0.10298879
-0.012234997,-0.10280125,-0.10390649,-0.014565751,-0.103835076,-0.10643934,-0.015831044,-0.108656384,-0.10453872,-0.01615902,-0.10722551,-0.10384874
-0.015759582,-0.10057588,-0.106385715,-0.015133757,-0.09938813,-0.10301982,-0.015372109,-0.09996722,-0.107291915,-0.013454794,-0.109083384,-0.104236834
-0.014103442,-0.107920535,-0.10375221,-0.015094202,-0.10754055,-0.10449695,-0.014329046,-0.102795124,-0.1079593,-0.015696513,-0.101925686,-0.1064201
-0.014862552,-0.10801682,-0.10305318,-0.013242157,-0.10895589,-0.1037492,-0.014190088,-0.104851395,-0.10381269,-0.014856746,-0.10504543,-0.10380464
-0.014181374,-0.103593476,-0.105604865,-0.016990284,-0.100943744,-0.10524887,-0.014354073,-0.104507074,-0.10377344,-0.015106734,-0.10025628,-0.10626584
-0.012121014,-0.1058239,-0.105667934,-0.011558032,-0.09824031,-0.102844045,-0.011134215,-0.10287166,-0.10434779,-0.014406256,-0.10057725,-0.10793842
-0.015272224,-0.105055474,-0.10547417,-0.014518635,-0.10807812,-0.10383914,-0.015166633,-0.1050637,-0.103801176,-0.012255999,-0.10191546,-0.102585174
-0.01631277,-0.09900078,-0.10389938,-0.015556597,-0.10859427,-0.10418558,-0.012939431,-0.10074201,-0.10166489,-0.014865397,-0.11002178,-0.106161095
-0.011518955,-0.100882165,-0.10214788,-0.012823938,-0.10051445,-0.10149806,-0.01387608,-0.103281826,-0.106407344,-0.014900062,-0.09932071,-0.10326786
-0.015385661,-0.10024775,-0.10681732,-0.014416454,-0.10872441,-0.10489914,-0.011804606,-0.09781056,-0.10350587,-0.01500271,-0.11005306,-0.105908856
-0.0142168235,-0.10196167,-0.106672555,-0.017660342,-0.10086518,-0.10264322,-0.012716416,-0.10651575,-0.10463457,-0.015836274,-0.100033,-0.1046958
-0.017071342,-0.09903991,-0.103460774,-0.014457785,-0.10045207,-0.104163796,-0.013740713,-0.10041209,-0.101541296,-0.012441399,-0.10666131,-0.104655124
-0.014255043,-0.101967186,-0.10722838,-0.012302691,-0.09882912,-0.10324752,-0.015994508,-0.109856784,-0.103313275,-0.013513071,-0.10228142,-0.10604634
-0.015142936,-0.10863869,-0.10344292,-0.0155248325,-0.105635926,-0.10464789,-0.0123675745,-0.10520849,-0.106065914,-0.01376668,-0.10198067,-0.10682302
-0.014840533,-0.09892339,-0.10368018,-0.017390318,-0.101289846,-0.10465464,-0.01588172,-0.1098573,-0.103696235,-0.014284443,-0.09956486,-0.109041885
-0.014759959,-0.10436799,-0.10487384,-0.01459946,-0.108096704,-0.104026325,-0.014877368,-0.10522625,-0.10369088,-0.012195382,-0.104816474,-0.10556109
-0.015356557,-0.10520046,-0.10519869,-0.016898185,-0.10015751,-0.10452977,-0.0118566565,-0.09763461,-0.10321324,-0.015085094,-0.10984227,-0.10561605
-0.011977041,-0.1039254,-0.104397394,-0.01146066,-0.10052402,-0.10260279,-0.011856816,-0.10311285,-0.10444484,-0.015688846,-0.10972555,-0.10469457
-0.014877418,-0.10854458,-0.103235796,-0.014926856,-0.109192714,-0.10427572,-0.011720327,-0.10395041,-0.10535802,-0.01423076,-0.09995042,-0.100822225
-0.011448383,-0.10047365,-0.102544054,-0.014322027,-0.10478153,-0.10441868,-0.016253034,-0.10694012,-0.10389159,-0.011523085,-0.098081596,-0.103476934
-0.015101151,-0.09992908,-0.10596724,-0.016153846,-0.099569626,-0.103371896,-0.014654735,-0.105663225,-0.10555681,-0.016221445,-0.100678846,-0.1053324
-0.0137293525,-0.107919715,-0.10410856,-0.01565458,-0.10097424,-0.10785791,-0.011457525,-0.102028206,-0.10337616,-0.014660843,-0.10805815,-0.10569759
-0.014758067,-0.101492725,-0.107318886,-0.013490483,-0.10886857,-0.10367867,-0.011543158,-0.10454995,-0.10487462,-0.015458688,-0.10522569,-0.1059562
-0.0128053315,-0.10657082,-0.10553211,-0.017281082,-0.10003057,-0.10390262,-0.011876743,-0.098265305,-0.10229838,-0.014309251,-0.10166254,-0.108256556
-0.0151141025,-0.10496925,-0.10493768,-0.015642632,-0.109849855,-0.10355253,-0.010906573,-0.102816254,-0.10415945,-0.015966441,-0.110122934,-0.1053505
