class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.07362315,0.045895483,-0.11770533,-0.07278379,0.05049505,-0.116810754,-0.072363734,0.04395628,-0.1148521,-0.07362045,0.049343377,-0.1175408
-0.07592229,0.045539476,-0.114270985,-0.06165816,0.051166426,-0.11800764,-0.07513594,0.050027616,-0.117929876,-0.06464087,0.04263937,-0.11816889
-0.07184635,0.051072888,-0.11710825,-0.06677779,0.040408626,-0.11646897,-0.07282406,0.047468714,-0.11944423,-0.064036734,0.046304327,-0.1170484
-0.07408114,0.04792231,-0.11504574,-0.07284681,0.05158979,-0.117777884,-0.072078034,0.049100254,-0.11832807,-0.07422237,0.046472307,-0.11557923
-0.07304367,0.043714587,-0.11619367,-0.07300025,0.050882224,-0.11675517,-0.06940373,0.051558256,-0.11857912,-0.0744025,0.047342118,-0.11670065
-0.06469017,0.045947537,-0.11687999,-0.06619582,0.04135809,-0.11729197,-0.06541019,0.042756762,-0.116634265,-0.07473977,0.04866649,-0.114408985
-0.07210842,0.05111113,-0.11766169,-0.075374536,0.048677176,-0.11384098,-0.07181387,0.043680977,-0.11459524,-0.0612057,0.049795277,-0.11771264
-0.067220025,0.040117305,-0.11662095,-0.074616,0.045806255,-0.11797084,-0.072650775,0.0487829,-0.116527006,-0.07378791,0.04883073,-0.118017115
-0.07310852,0.048945125,-0.11692986,-0.06685849,0.040079877,-0.116907954,-0.07303412,0.0466424,-0.11703681,-0.072831914,0.045171138,-0.115715146
-0.07408874,0.047976922,-0.11531891,-0.075647525,0.046785787,-0.11386948,-0.06533548,0.040265895,-0.1168754,-0.07402481,0.04688811,-0.115276046
-0.07432831,0.042732798,-0.11825161,-0.075047635,0.04424206,-0.11913194,-0.07413476,0.045280665,-0.11953006,-0.073081516,0.044867255,-0.11600797
-0.07348198,0.048570283,-0.116252564,-0.06290426,0.042831272,-0.117961094,-0.07372721,0.046256024,-0.11605416,-0.072421506,0.046975404,-0.11599815
-0.068957664,0.04171558,-0.11584953,-0.074677795,0.041842304,-0.119234644,-0.072779335,0.0465551,-0.117097445,-0.071587294,0.04349201,-0.11623176
-0.07374655,0.050729737,-0.11674817,-0.075177245,0.04932014,-0.118324324,-0.07255273,0.051688716,-0.11657716,-0.0719476,0.042413134,-0.113876805
-0.07394547,0.043411344,-0.116020784,-0.061142787,0.043323655,-0.117461644,-0.07316161,0.046740033,-0.11539611,-0.07362773,0.041093178,-0.119428724
-0.07606971,0.044090122,-0.115213834,-0.0755589,0.043600716,-0.1153667,-0.07429673,0.044556998,-0.12002083,-0.07288141,0.051369384,-0.116148576
-0.064921364,0.05770513,-0.11717084,-0.0744563,0.049233954,-0.11639738,-0.07353501,0.049936093,-0.117147036,-0.07022132,0.047218736,-0.1168298
-0.06606895,0.04771859,-0.11723579,-0.064460665,0.041285276,-0.117065445,-0.06483389,0.04194771,-0.11668579,-0.07369016,0.044767015,-0.11874274
-0.07422932,0.048553456,-0.11465545,-0.06716673,0.039975375,-0.11703979,-0.073622376,0.049123265,-0.11643295,-0.07412696,0.048728038,-0.11786015
-0.07657055,0.0499311,-0.11790647,-0.073147684,0.051403414,-0.11775186,-0.0751664,0.044696152,-0.11592984,-0.07608673,0.044575974,-0.11493651
-0.06435875,0.043219317,-0.11807034,-0.07468395,0.046286643,-0.11922463,-0.07243061,0.051624134,-0.11782553,-0.07295379,0.05301969,-0.11839549
-0.07424662,0.042495977,-0.11821271,-0.07483333,0.048922624,-0.114060014,-0.06124088,0.04393621,-0.11876333,-0.07488158,0.041996133,-0.11756353
-0.074117385,0.04907907,-0.114219815,-0.07640301,0.045218803,-0.11991751,-0.0668615,0.03998566,-0.115947574,-0.07353894,0.048184328,-0.11739915
-0.076261505,0.04994626,-0.11798945,-0.07392414,0.049471866,-0.11533661,-0.06525692,0.0505846,-0.11974127,-0.07397292,0.049278907,-0.11475954
