class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
35.70711,-22.39638,-32.08563,-28.469507,9.484674,15.683426,15.656565,-7.4584165,1.9785839,-31.338215,21.854383,21.853586
17.111834,-18.37559,-19.580452,-14.217756,-2.8243227,4.0431957,1.6198506,11.737706,4.644389,-14.292914,3.8653593,2.8621564
14.293313,-13.787555,-26.611507,-20.293318,4.7612653,5.10796,14.045868,-21.15014,-27.522993,-13.274351,10.164636,6.40388
33.579235,-30.307493,-30.037348,-5.8791184,5.7930403,19.20998,1.6757075,-0.05168593,9.117499,-11.074728,8.830351,3.006272
24.243816,-14.839656,-10.777264,-28.779434,17.553778,20.349085,-12.400645,5.9662204,9.321474,9.505722,5.2632036,-2.8573537
18.120903,-10.015449,-21.77841,-30.527206,18.128954,36.241383,10.797852,-16.41342,-28.027006,-0.6277573,2.2094069,6.823869
33.202618,-23.67196,-25.85118,-10.238539,-4.3763247,-8.300781,-5.2073317,-5.5189533,-5.314807,-27.297487,11.688935,30.611435
11.24078,-14.152748,-23.73183,-17.662485,7.7306027,6.968317,2.604157,1.0787686,-7.6704183,-15.529992,-0.5885261,1.7977036
31.590544,-17.73254,-13.748053,-11.687193,3.3896604,5.175771,5.05521,-15.175277,-15.565842,-1.9907851,-8.047147,-6.9559984
14.998035,-16.59347,-27.12514,-15.419818,13.4581785,12.044256,5.667303,-13.176145,-24.706825,-21.1374,28.898233,30.586874
57.66058,-40.156555,-56.489265,-17.398335,0.20807469,0.6219026,-11.40906,9.038414,21.31534,-22.124826,9.625435,12.46284
15.51997,-10.919169,-10.319889,-12.960278,6.0000973,8.419749,-6.852966,-6.0629225,-10.340123,6.9207563,11.822161,2.224774
19.192347,-12.33402,-15.980187,-15.124641,3.5625887,-0.0938171,-4.7356806,5.851918,6.804597,10.423294,-12.117181,-21.50902
6.0689654,-4.307789,-5.618655,-21.98872,16.495304,19.069006,1.163271,-10.403543,-15.561348,-2.3382456,-3.2878551,-9.108935
15.908672,-12.683307,-20.988688,-21.496517,9.945983,10.390025,-3.5444252,5.9196568,-2.02163,-0.043977946,2.055837,6.097245
24.062435,-12.028756,-23.476986,-9.931061,-5.0798063,2.3051226,-3.2225482,-3.136685,-8.084484,3.7564578,-10.254798,-14.636009
18.118584,-8.986689,-4.159007,-24.109623,8.553817,8.544268,7.0366344,-6.44532,-10.839029,4.2433887,4.228179,12.746006
28.264433,-16.609325,-19.180937,-21.760107,16.542793,13.354647,20.13013,-13.288499,-18.165373,-16.482395,4.109198,13.931306
30.672802,-26.338715,-42.95237,-16.38577,25.52169,20.585773,-6.506582,-6.63198,-10.793664,-31.971584,15.421023,34.886314
15.788725,-8.811433,-18.230024,-17.735828,25.935984,20.985426,-4.8069615,6.314036,-1.8423427,-10.756618,20.046864,22.38289
27.382156,-8.772426,-13.979253,-19.541637,4.1922197,12.441776,0.4504464,-11.683137,-18.370054,-10.3649845,1.2592078,1.14776
8.205352,12.35118,-0.4475137,1.350801,-5.1413646,-9.653215,-6.9462905,6.276661,7.7727265,-26.995443,4.8710938,5.621647
24.97728,-2.1778169,-13.93792,-16.839775,-0.87750185,-3.6735394,8.288138,-14.6496,-10.606012,-9.295259,-3.9654894,3.2222078
32.069256,-15.615537,-22.124792,-16.555906,2.4217434,10.055138,4.124795,0.5358652,5.373585,-35.15528,26.427008,41.534935
11.823591,-6.9560018,-14.678752,-23.581224,20.361044,32.75998,-9.844097,18.766687,14.673486,-3.6604154,-2.9852757,-8.121046
27.897171,-22.747461,-16.414545,-13.547601,-1.9327692,-7.315434,-1.3909576,-4.543878,-11.145402,-34.365448,38.262817,36.81732
