class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-5.1413655,11.536786,-5.837457,0.27694547,-0.5387925,2.12031,-8.6840105,-4.3445315,2.8209255,-0.6736467,-4.2481475,3.656668
-6.4697895,23.267607,-13.020384,-9.869637,-6.0905333,3.4763498,-3.8373506,-16.409895,8.3316,-4.09695,-19.976467,12.014505
2.4028711,17.177958,-8.349947,4.152994,-3.9520063,1.9510355,-8.934239,-14.739048,8.36378,-10.032606,-8.474379,4.757626
-8.246865,9.914683,-5.227558,2.7015598,-17.70567,11.220487,-6.5265627,11.74066,-5.9344487,2.8461413,-10.570651,7.584386
-8.094092,7.6771874,-4.021855,1.0238314,-0.60594785,2.1892624,-3.9385414,-19.357344,11.577069,-8.000277,-3.3273287,2.0300753
2.337124,20.524302,-11.943352,-1.3335814,-2.3128152,0.07597786,-6.9369426,-4.718587,2.436516,1.8795605,-14.250008,6.2557893
-8.294937,12.0775385,-6.851495,-6.4530325,-15.970704,9.550335,2.7564976,-17.20608,10.907267,-9.686243,-14.52284,8.067378
2.3072307,6.1191916,-4.2046156,2.1604962,-8.203462,4.9388313,-2.2299008,-15.588781,9.495623,-3.2683594,-6.285147,4.676174
2.3805995,21.15869,-11.315609,-2.9954522,-2.223959,2.5222483,-9.806751,-16.104542,8.994727,-9.22639,-5.5755606,3.4954355
-2.285497,10.780255,-5.144163,2.8478446,-14.975753,6.4723835,-8.207663,10.485548,-5.4996033,3.0365229,-3.0576644,2.3720133
-5.8231893,8.894272,-4.0687304,1.1405177,-5.2117543,4.075541,-2.8011446,-6.343439,2.4227142,-8.895119,-6.153903,3.7402987
-0.09145713,16.230524,-8.013038,4.201857,-8.409084,5.2645717,2.933946,-15.288407,10.242104,0.011875153,-6.4775167,4.369459
3.7674828,3.4312482,-2.346152,1.6413119,-0.6909708,-0.64639014,-1.419381,9.341582,-6.0610886,2.235112,-6.312382,5.290109
2.6209645,10.227616,-3.9606676,2.472247,0.20734346,1.3273197,-8.892925,-10.206928,5.9310484,2.8344235,-12.579664,5.1836205
1.7156018,19.634756,-11.794276,2.9984996,-8.314684,2.8605392,3.7147171,8.0074415,-5.027651,0.63984466,-16.021664,10.12807
3.754776,6.9904428,-3.5648937,2.1065614,-9.982599,5.9899282,2.8232133,-13.606822,9.031692,2.0078273,-12.665023,5.390621
3.4686208,17.210052,-9.66233,-3.338574,-11.23722,5.3623285,-8.410369,-1.3523488,1.1383538,-5.8889976,-2.3039408,0.91594094
-4.110495,3.545353,-1.1807024,-0.634534,-10.927898,6.974835,2.3949933,-10.799422,7.2493973,-0.68522847,-16.038708,7.627792
0.60980403,5.3624063,-1.1260357,2.4935749,-10.718835,4.2547607,2.8140013,-10.265211,5.4221973,0.49400014,-8.718332,6.616097
-3.077244,20.791788,-12.207994,-8.851674,-0.09169197,0.20032233,-9.377449,-13.84185,7.7541914,-5.80064,3.1490421,-0.7897524
4.0055084,6.914946,-3.7943363,0.88873696,-3.201137,3.719486,-10.0749855,-15.108438,8.403064,2.8428555,-16.49544,7.2739935
2.422198,22.359919,-11.570129,-0.05431348,-2.3911076,0.10329348,1.1338115,10.951915,-4.3205113,-9.723104,-12.199042,6.795887
0.80833864,23.240034,-11.42516,-1.5879862,-0.45198762,-0.8852462,0.21756637,11.32382,-5.313341,-1.6883979,-1.3600584,-0.41693467
