class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.016160248,-0.11078814,-0.09952273,0.016258255,-0.11092193,-0.099497095,0.01613748,-0.11079771,-0.099580474,0.01609592,-0.11071909,-0.0995643
0.016413243,-0.11125384,-0.09980741,0.015860563,-0.11114651,-0.09942577,0.014448563,-0.11022572,-0.10015074,0.01616145,-0.11081141,-0.09952057
0.016090473,-0.11080329,-0.09964915,0.016171742,-0.11076902,-0.09953816,0.016045101,-0.110882305,-0.0995279,0.01615619,-0.110917665,-0.09944604
0.016196717,-0.11074468,-0.099569395,0.016131738,-0.11079466,-0.09960863,0.015944775,-0.11098812,-0.09932951,0.01618632,-0.11075375,-0.09951636
0.016095288,-0.110990144,-0.09977759,0.016177777,-0.11089125,-0.09958674,0.016152048,-0.110748045,-0.09955044,0.01616201,-0.11098147,-0.099529326
0.016166298,-0.11089577,-0.099432066,0.016149916,-0.110826164,-0.099438116,0.016157739,-0.11079273,-0.099572375,0.016116818,-0.11086023,-0.099283144
0.016333383,-0.110940106,-0.099430636,0.016365588,-0.11085412,-0.09945342,0.016136397,-0.11078967,-0.0995582,0.016178818,-0.11080171,-0.099526
0.016156383,-0.110997714,-0.09945573,0.016122075,-0.110819235,-0.09954475,0.016168915,-0.11073682,-0.0995358,0.016083121,-0.1109558,-0.09950223
0.016168943,-0.110807195,-0.09941524,0.016208047,-0.11079517,-0.09950672,0.015743116,-0.110654525,-0.09931593,0.01615718,-0.110729575,-0.09956441
0.016027635,-0.111006066,-0.09955503,0.016146874,-0.11078312,-0.09947496,0.016158266,-0.1107438,-0.099549234,0.016175726,-0.11086698,-0.099558525
0.016075678,-0.110632345,-0.099810675,0.016159253,-0.1107724,-0.099547714,0.015892653,-0.11121055,-0.09949143,0.016203694,-0.110815704,-0.09952435
0.016162649,-0.11073236,-0.09956277,0.016169306,-0.11075002,-0.09953375,0.01587981,-0.11093507,-0.099752024,0.016035955,-0.11087444,-0.09972236
0.016179997,-0.110754766,-0.09955483,0.016194938,-0.11078558,-0.09948265,0.016397191,-0.11093967,-0.09938168,0.016167479,-0.11073542,-0.09955612
0.01619187,-0.11075855,-0.09956512,0.016190322,-0.110692754,-0.099576496,0.01625201,-0.11082077,-0.099541895,0.016107861,-0.110856496,-0.099526994
0.016120747,-0.110723265,-0.09954065,0.016227059,-0.111048,-0.09949165,0.016210778,-0.110862166,-0.09939564,0.016193524,-0.110813715,-0.09958403
0.01618166,-0.11102562,-0.09938847,0.016165284,-0.110737875,-0.09955423,0.016107831,-0.11106164,-0.09979459,0.016151953,-0.11085371,-0.09955705
0.01596193,-0.11115881,-0.09946945,0.016166225,-0.1107429,-0.099529386,0.016175391,-0.11077503,-0.099600926,0.016169572,-0.11076936,-0.09949528
0.016225327,-0.11099452,-0.099500686,0.0161995,-0.11078909,-0.09954836,0.016135985,-0.1108135,-0.099522196,0.016150711,-0.11081465,-0.09952474
0.016163282,-0.1108899,-0.099377796,0.01599641,-0.11096005,-0.099189736,0.016201474,-0.11076959,-0.09957994,0.016041422,-0.11087978,-0.099569574
0.016170926,-0.11092943,-0.099553145,0.01619843,-0.110811554,-0.09952456,0.016001021,-0.11092749,-0.099560015,0.016219769,-0.110831894,-0.09956311
0.016175684,-0.110725746,-0.099559896,0.015767492,-0.11127348,-0.09917546,0.016293148,-0.11058879,-0.09952596,0.016179634,-0.11090115,-0.09963545
0.016185313,-0.11069869,-0.099542305,0.016155897,-0.11078426,-0.09954673,0.01573835,-0.11120393,-0.099399224,0.016186312,-0.11073067,-0.09954838
0.016265891,-0.110872924,-0.09935609,0.016204182,-0.11093054,-0.09941333,0.016217658,-0.110814884,-0.09948227,0.016150203,-0.11080061,-0.09957336
0.016197287,-0.110779285,-0.09950896,0.016150804,-0.11079608,-0.09959226,0.016166223,-0.11077304,-0.099546894,0.016107608,-0.11051852,-0.09965952
0.016088145,-0.11096578,-0.09985596,0.016190821,-0.11081465,-0.09949597,0.01600095,-0.11083791,-0.09968327,0.016105924,-0.11073834,-0.09956642
0.016171198,-0.11078893,-0.09949438,0.016195932,-0.11084388,-0.099711105,0.016156306,-0.11071601,-0.09953663,0.016168745,-0.11092465,-0.09943844
0.016135614,-0.110834256,-0.099500135,0.016169177,-0.11070302,-0.099030636,0.016228449,-0.11085649,-0.09944289,0.01603572,-0.11095377,-0.099647395
0.016163804,-0.11077995,-0.09958572,0.016145319,-0.110762425,-0.09956141,0.01616649,-0.11074019,-0.09955214,0.016190134,-0.110845804,-0.099526145
0.01619902,-0.11087603,-0.09953213,0.01615415,-0.110753536,-0.09955726,0.016092822,-0.110879935,-0.0994687,0.016250275,-0.110848546,-0.099492446
0.016180865,-0.11077038,-0.09955318,0.016198764,-0.110760964,-0.09952146,0.016132152,-0.110808514,-0.09951724,0.016183967,-0.1107699,-0.099555045
0.016178785,-0.11079106,-0.099583924,0.016259436,-0.11081475,-0.09952939,0.016170256,-0.110787176,-0.09958107,0.016158348,-0.110957466,-0.09952056
0.016318496,-0.11080217,-0.09972894,0.016265921,-0.11082162,-0.09956616,0.015332181,-0.11099525,-0.098867446,0.016176436,-0.110764615,-0.09955607
0.016075479,-0.11078936,-0.09955132,0.016135607,-0.11072497,-0.099537596,0.01607924,-0.11143119,-0.09912716,0.016424011,-0.110855356,-0.09962487
0.016185557,-0.11081168,-0.09951271,0.016187105,-0.11081019,-0.09952828,0.016182119,-0.1108367,-0.09958841,0.016039612,-0.11080384,-0.09970222
0.016148372,-0.11076819,-0.09955589,0.01618477,-0.11078659,-0.09952819,0.016038941,-0.110953875,-0.099516355,0.016014446,-0.110813454,-0.09972732
0.016181793,-0.11076033,-0.099540316,0.016166227,-0.110738955,-0.09955339,0.016185489,-0.11080486,-0.09958069,0.01614783,-0.110811144,-0.09961871
0.015934937,-0.11108925,-0.09924899,0.016240409,-0.11100299,-0.09941499,0.016095184,-0.111035556,-0.09954221,0.016184127,-0.110816635,-0.099555045
0.016171793,-0.110786974,-0.09959324,0.016096938,-0.11082079,-0.09957754,0.016132949,-0.11077616,-0.09955758,0.016138446,-0.11071426,-0.09960012
0.015787797,-0.11076562,-0.09895059,0.016163936,-0.110742345,-0.0995193,0.016045084,-0.11102555,-0.099441014,0.016151203,-0.11072804,-0.09956697
0.016176326,-0.11080912,-0.09952214,0.016167782,-0.11081359,-0.09956537,0.01613178,-0.11082806,-0.09954925,0.016171917,-0.11076008,-0.09958107
0.01552375,-0.11062449,-0.09944264,0.015897065,-0.110628545,-0.0996957,0.016204081,-0.11099211,-0.099686556,0.016103268,-0.110840365,-0.099265486
0.016075503,-0.11089732,-0.09944746,0.016141143,-0.11075766,-0.099521905,0.016154263,-0.11074915,-0.09953716,0.015729351,-0.11104825,-0.099236816
0.016259918,-0.11091779,-0.099425256,0.016187843,-0.11080648,-0.099521376,0.016170045,-0.110735856,-0.099556625,0.016159223,-0.11083652,-0.09957247
0.016144618,-0.11075951,-0.099536,0.016151207,-0.111116104,-0.099926814,0.016178649,-0.110747665,-0.099573456,0.01613568,-0.11078505,-0.09955193
0.016208556,-0.110754155,-0.099548236,0.015900204,-0.1105971,-0.09967829,0.016139809,-0.11084846,-0.099682175,0.016171029,-0.11075844,-0.09952778
0.01611292,-0.111275114,-0.09961497,0.016176404,-0.11075964,-0.09953975,0.015948199,-0.111386836,-0.09966591,0.016170545,-0.11082754,-0.099553205
0.016281275,-0.11119389,-0.100005776,0.016130129,-0.11077613,-0.09946436,0.01614439,-0.11082974,-0.09951989,0.016122436,-0.110824384,-0.09952997
0.01620097,-0.11106774,-0.09954751,0.016132463,-0.11080607,-0.099503815,0.016223153,-0.110764734,-0.09956689,0.016197026,-0.11077151,-0.099544436
0.016146068,-0.110770404,-0.09955842,0.01617703,-0.110839315,-0.099537306,0.016177302,-0.11074685,-0.09955931,0.016148388,-0.110794276,-0.09955203
0.016177174,-0.110839635,-0.09957206,0.01624866,-0.110871784,-0.099623084,0.016188411,-0.11079295,-0.09954083,0.015578631,-0.11135219,-0.09952453
0.01617325,-0.11076124,-0.099581584,0.016238337,-0.110991344,-0.09958678,0.016018381,-0.11079407,-0.09964774,0.016201997,-0.11111703,-0.09951256
0.016114922,-0.11120307,-0.099317364,0.016170513,-0.11075124,-0.09954016,0.015971325,-0.11110306,-0.09952964,0.01630556,-0.11088081,-0.09935768
0.016156612,-0.11078018,-0.0995568,0.016118927,-0.11097685,-0.0997449,0.016148247,-0.11090349,-0.09949611,0.01627915,-0.11085974,-0.099586144
0.01613684,-0.11138593,-0.099536866,0.016162831,-0.110807166,-0.0995128,0.015769713,-0.11068618,-0.09945522,0.016177274,-0.11074542,-0.09954898
0.016134065,-0.11076586,-0.09958574,0.01620554,-0.11089929,-0.09943177,0.016076598,-0.11075465,-0.09966767,0.015572621,-0.11089999,-0.099938005
0.01605786,-0.11091823,-0.09942138,0.016172256,-0.110811174,-0.09956776,0.01619832,-0.11081669,-0.099561736,0.01618801,-0.110933565,-0.09936076
0.01601551,-0.110798545,-0.09970855,0.016167462,-0.11076571,-0.099525236,0.01586825,-0.11109539,-0.09981676,0.016151916,-0.11087499,-0.09957491
0.016152289,-0.11074935,-0.09954047,0.01619684,-0.11077307,-0.099470004,0.016106676,-0.11099318,-0.10015795,0.01593181,-0.11068099,-0.09971307
0.016079394,-0.110975884,-0.099492945,0.016169805,-0.11073788,-0.09955191,0.016204642,-0.110774145,-0.09955688,0.015880894,-0.1109243,-0.09943827
