class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
3.6288729,1.7400653,-2.8982081,-5.335539,-1.1129075,3.5509624,0.23786327,0.4053244,-0.3749733,-3.7965503,-0.7312989,2.3129873
2.13505,0.6616788,-1.9157389,-0.39719138,0.41890898,-0.09235868,-8.806231,-2.3457263,6.0034676,-6.156308,-1.4083608,3.9936237
1.8571547,0.5378125,-1.7152711,-1.8313195,-0.045134515,1.0844451,4.659804,2.432947,-3.7659879,-4.8055706,-1.0638472,3.1069145
1.0785766,1.0314593,-1.0996559,-5.07031,-1.0673114,3.2543612,-3.3449254,-0.68620634,2.0148869,1.8216007,1.4474667,-1.8032461
0.632964,0.55849946,-0.6609539,-5.543991,-0.88019884,3.4734082,1.3896339,1.1145339,-1.4751778,-2.2032135,-0.25987583,1.1644224
4.7041774,1.829894,-3.6795502,-0.95246184,0.43328193,0.22929072,-5.78313,-1.2975067,3.7813206,-3.3836756,-0.808692,1.8576952
5.7061176,2.1817508,-4.2538238,-4.4746747,-1.0175518,2.6366067,-1.5034884,0.19381693,0.68315256,-2.681312,-0.551666,1.3237321
3.5028858,1.8971987,-2.9281507,-8.569139,-2.2295556,5.848561,-2.8167105,-0.56523144,1.7122914,-6.2921653,-1.4998604,4.22477
2.8722754,1.294776,-2.3925781,-3.544846,-0.49274173,2.0279627,-8.258288,-1.9610656,5.5632434,-2.0230541,-0.16853467,1.1355189
-3.0968826,-0.8361629,1.6937963,-1.3766614,0.23438686,0.5234368,-3.674377,-0.42903033,2.200213,-3.1960108,-0.79887366,1.743297
6.1736856,2.3664236,-4.6156254,-7.0186234,-1.5878035,4.606953,-0.75463295,0.15625787,0.10388696,2.0938077,1.1577216,-2.0128236
-1.9017786,-0.24967375,0.8901899,-4.7927184,-1.2195764,2.9351535,-0.90511894,0.06526974,0.4133885,-6.6894016,-1.7878581,4.4615493
2.2023604,1.1077543,-1.929807,-5.693873,-1.2016745,3.622941,-1.0730622,0.30644473,0.38521314,-1.0005702,-0.01891318,0.35686266
1.0309628,0.68386835,-0.9381746,-7.983916,-2.1840553,5.5551233,-3.921009,-0.8252306,2.422914,-3.218895,-0.64422095,2.000152
1.8564538,0.52729404,-1.7078456,-0.793061,0.29095152,0.2093457,-2.3159866,-0.37781325,1.2170459,-4.1413684,-0.87353194,2.3625445
3.0091372,1.6820711,-2.5439472,-1.3008281,0.16111979,0.5457567,-5.5771337,-1.2667009,3.6532383,0.9593773,0.86814094,-1.1608733
-0.93756855,0.08002485,0.24141991,-6.8774214,-1.7382373,4.5680537,-2.3118773,-0.37599865,1.1329988,-3.6458535,-0.69828856,2.1323047
5.268011,2.0232997,-3.91437,-1.6187257,0.08235577,0.8473803,-0.12835345,0.45613667,-0.28145093,-3.6798487,-0.5307945,2.1785493
-3.8089576,-0.5408412,2.2577639,-7.338774,-1.873942,4.9753795,0.41902086,0.9729465,-0.7620982,-0.7982807,0.08977163,0.21626139
-0.1940023,0.32793617,-0.20164326,-3.4054856,-0.80836964,1.8859557,2.881953,1.274808,-2.4149961,2.5279813,1.4307879,-2.2182143
0.96763,0.80913246,-0.9691777,-7.6580586,-2.0386314,5.1987195,-2.1422224,-0.25921893,1.0401713,-5.4649825,-1.179573,3.5593143
0.43541542,0.8175039,-0.63552976,-4.9335604,-1.0726628,2.983252,-6.7002177,-1.3907877,4.3965874,-5.8156457,-1.545924,3.7934537
-1.2023731,-0.1963171,0.73423755,-7.5113254,-1.9257413,5.108365,-3.1096954,-0.65386915,1.6668514,1.6597651,0.91430664,-1.4908812
0.7779975,0.8859265,-0.8656326,-4.7246075,-0.848215,3.077918,-5.671574,-1.1918843,3.55514,-3.0558457,-0.6172707,1.833737
4.619488,1.8940257,-3.5920815,-0.42072847,0.35047483,-0.107346654,-3.5719376,-0.60746515,2.12492,-4.2428384,-0.7631177,2.58814
3.9547546,1.3783002,-3.2759347,-7.986649,-1.80662,5.345577,-3.308794,-0.85509884,1.8298305,-1.813778,-0.086913675,0.9735631
-1.9244462,-0.13171339,0.89636016,-2.9549718,-0.6211523,1.534891,-5.4813075,-1.4590615,3.667492,-2.9842315,-0.5627959,1.7587601
2.5478349,1.3278285,-2.1485896,3.060901,1.8802774,-2.6783547,-5.7206917,-1.5380644,3.8033314,-1.8863863,0.0104088485,0.93125165
4.8891835,1.7628162,-3.9806051,-3.5406575,-0.96994436,2.0326424,1.4370402,1.1309196,-1.3716844,-2.5018406,-0.52269506,1.4087611
-2.8555975,-0.58664083,1.4389943,-7.2436566,-1.959814,4.9342504,-4.4193854,-0.661901,2.7767472,-5.0712748,-1.1015795,3.2342076
-4.646625,-0.99182737,2.871201,-5.5981717,-1.2179105,3.7140083,-3.024763,-0.7772969,1.6212219,-0.69377697,0.5335037,0.035523295
2.1158721,0.6531929,-1.9116477,-6.670251,-1.4345368,4.294752,-1.4296054,0.02348265,0.5439718,-7.724465,-2.0688355,5.187257
-3.0594459,-0.38117036,1.6438574,-2.3954635,-0.43273875,1.116318,-7.500185,-1.9603318,5.0410414,-3.5833197,-0.51687264,2.0326567
-3.1837237,-0.4080887,1.7973274,-8.0501795,-1.9882687,5.3927717,-1.8763949,-0.16526094,0.93782437,-5.5008197,-1.2954439,3.6154137
5.7562776,2.2376754,-4.323769,-8.110275,-1.9269129,5.439823,-2.7421815,-0.5967705,1.3867332,-2.1524258,-0.37025765,1.1464082
2.44879,1.3090081,-1.9699609,-3.928412,-0.6120857,2.438417,-3.812488,-0.71678245,2.249588,-3.3385787,-0.8732921,1.8720351
