class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.05829598,0.014216686,-0.1400314,-0.058882285,0.014593295,-0.14027537,-0.058645565,0.01477087,-0.13997415,-0.059493534,0.014738368,-0.14025047
-0.057836816,0.014693785,-0.14010602,-0.05844647,0.014292226,-0.14004438,-0.058376633,0.014081443,-0.14014298,-0.05868159,0.014530843,-0.13991855
-0.05837153,0.014421074,-0.14006601,-0.058015507,0.014310141,-0.14012718,-0.059371304,0.014914047,-0.13886376,-0.058503706,0.0144560505,-0.13981463
-0.05844374,0.014684508,-0.14024045,-0.058475785,0.014144007,-0.14015248,-0.058753222,0.014606429,-0.14015774,-0.05759496,0.014721887,-0.14079903
-0.0584197,0.014404573,-0.13993631,-0.0584415,0.014075454,-0.14010729,-0.058203258,0.014551922,-0.14027438,-0.059162494,0.014381242,-0.13968681
-0.058180742,0.014137744,-0.14007895,-0.05850155,0.014684929,-0.1400741,-0.058439575,0.014111243,-0.14013505,-0.05836843,0.0141881835,-0.14062321
-0.058466654,0.014081384,-0.14010972,-0.058300555,0.014040773,-0.14004244,-0.058692332,0.014132506,-0.14024803,-0.05886999,0.014111401,-0.13946916
-0.058449745,0.01428149,-0.14006108,-0.058304895,0.014132227,-0.14016008,-0.05835881,0.014211139,-0.13968208,-0.058453195,0.0140841035,-0.14006838
-0.058495514,0.013963611,-0.1399731,-0.058401663,0.014129456,-0.14013758,-0.05861199,0.014155982,-0.13994707,-0.058075953,0.014420152,-0.14002246
-0.058361918,0.01433972,-0.14017704,-0.058265924,0.014895291,-0.14023493,-0.058323577,0.014671674,-0.14009832,-0.05871451,0.014158686,-0.13998458
-0.05842328,0.014090044,-0.14001828,-0.058295734,0.014321972,-0.14016898,-0.058489334,0.014160716,-0.14007549,-0.058385707,0.014093457,-0.14015116
-0.05831669,0.014206937,-0.14005162,-0.05823333,0.014496878,-0.14007771,-0.05793349,0.014299877,-0.13972414,-0.0578001,0.015646847,-0.14043915
-0.058266427,0.014403585,-0.13994388,-0.058189873,0.014341213,-0.14002219,-0.058542002,0.014423266,-0.14066114,-0.05839961,0.015315178,-0.1405537
-0.058435984,0.014081493,-0.140146,-0.058114957,0.0146932015,-0.13999934,-0.058427997,0.014088903,-0.14014444,-0.058775898,0.0145979095,-0.14044921
-0.058249377,0.014041762,-0.1399552,-0.05797393,0.014438033,-0.140168,-0.058653176,0.014869619,-0.14011137,-0.058219206,0.014414532,-0.13985358
-0.058376893,0.014108642,-0.14001514,-0.058175776,0.014555481,-0.13974373,-0.05875446,0.014058012,-0.14020778,-0.05814066,0.014381928,-0.1403177
-0.058403816,0.014093494,-0.1401487,-0.05842242,0.014085114,-0.14013296,-0.059270773,0.015119923,-0.14102936,-0.05835194,0.014707049,-0.13983175
-0.058635138,0.014159588,-0.13976479,-0.05822056,0.014401471,-0.13998453,-0.058408115,0.014647227,-0.14003006,-0.05829117,0.01419397,-0.14011416
-0.058528025,0.014263755,-0.13986309,-0.05854737,0.014050852,-0.1400827,-0.05841213,0.014095712,-0.14021595,-0.05843546,0.0140776,-0.14012825
-0.05823532,0.014423685,-0.13983972,-0.05833028,0.014402648,-0.14022642,-0.058399424,0.014447796,-0.14041163,-0.058185417,0.0142989075,-0.13999143
-0.058391906,0.014140908,-0.14006121,-0.058471896,0.014067691,-0.14011525,-0.058184676,0.014569104,-0.1403064,-0.05820295,0.014949112,-0.13963485
-0.058338672,0.0146145485,-0.14004077,-0.058119953,0.014553405,-0.13989146,-0.058111742,0.014308026,-0.14021875,-0.05791355,0.014789304,-0.14020103
-0.058153566,0.014365317,-0.13990177,-0.05798017,0.014195193,-0.14019044,-0.059168607,0.012786109,-0.14050277,-0.05788136,0.0144790625,-0.14015901
-0.05840915,0.014007094,-0.14000523,-0.058452133,0.014158953,-0.14005077,-0.058471058,0.014085476,-0.14014731,-0.058430914,0.014080211,-0.14011572
-0.058489382,0.014175152,-0.13995822,-0.058514822,0.014602382,-0.14007385,-0.058475494,0.014246697,-0.14012393,-0.058727484,0.01441919,-0.1403367
-0.058201417,0.014296728,-0.14034003,-0.058035333,0.0142858345,-0.13997814,-0.058412835,0.014795211,-0.13977309,-0.058381524,0.014767636,-0.13984594
-0.05835544,0.014259864,-0.14007942,-0.058339123,0.014557949,-0.13968265,-0.059145853,0.014812661,-0.1405248,-0.057992257,0.014621386,-0.14007133
-0.058163952,0.014442547,-0.13998823,-0.058337234,0.014117442,-0.14010145,-0.05886719,0.014837437,-0.13995968,-0.058774922,0.014476439,-0.14075272
-0.058369286,0.01504931,-0.14012238,-0.0586702,0.013872337,-0.13967876,-0.058339305,0.014127367,-0.14013523,-0.05858818,0.013655821,-0.139794
-0.058160566,0.014389721,-0.1397266,-0.05848118,0.0141808735,-0.14027311,-0.058423977,0.014093071,-0.14013173,-0.059201736,0.01407861,-0.13965939
-0.058415808,0.014162096,-0.14010565,-0.05816,0.014491918,-0.13995902,-0.058201153,0.014576206,-0.14001207,-0.058411755,0.014094273,-0.14013809
-0.058046207,0.01482852,-0.14005832,-0.057858903,0.014641856,-0.14022635,-0.05920137,0.014243986,-0.14010473,-0.05938775,0.014270864,-0.1398227
-0.058156647,0.014401101,-0.14019069,-0.0585984,0.01446653,-0.14025329,-0.058347788,0.01584352,-0.14037493,-0.058926757,0.013927946,-0.13970132
-0.058289833,0.014182576,-0.14011304,-0.058337558,0.014283419,-0.14026035,-0.05868403,0.014411514,-0.14055099,-0.058173165,0.014827808,-0.13997512
-0.05794781,0.01432324,-0.13979737,-0.05845481,0.014350079,-0.140042,-0.059787463,0.015141043,-0.1402607,-0.058600973,0.015197458,-0.1398558
