class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
9.571865,-9.734751,-0.9176609,-8.638264,11.067982,-5.870969,-4.4801226,6.25251,-3.2298708,-5.1205277,6.9130974,-1.0761977
13.02725,-13.507481,0.9078858,-1.1578107,2.517587,-2.858979,-1.2023586,2.5151196,-0.9070395,3.9158115,-4.005271,3.3022575
12.021449,-12.319353,3.603323,-2.7338653,3.4344802,-0.79899275,-5.7121897,7.675765,-4.0852985,1.1750631,0.26331276,-0.367405
1.0289817,-1.0760283,2.9181347,-4.38249,6.2260475,-2.2277973,-4.384169,5.242152,-2.0207903,-2.7737792,3.3101137,-0.4461509
13.792358,-14.761647,0.80241466,2.9074104,-2.862027,3.3347702,-5.5649157,6.6025267,-2.2273376,5.070897,-4.7986107,0.68013203
10.757106,-11.054699,0.8575914,-22.298738,26.729393,-5.2788253,-0.7515757,1.8242378,-1.8044524,-4.740934,5.861224,-2.4470582
10.46778,-10.507856,3.3317847,-2.9562905,3.8574522,-2.2068129,-0.5090215,1.0145979,-0.9496638,2.57249,-2.4712036,2.9922585
10.536522,-10.671543,0.07090402,-1.66324,3.421351,-0.49124062,0.87883526,-0.16043991,-1.6066567,-9.262625,11.719911,-5.7226167
6.4644065,-6.4898334,0.88004804,-0.97495425,1.1049829,1.0670106,4.4123197,-4.1766157,1.2552502,-0.24262911,1.3557056,-1.48314
6.7806597,-6.452997,0.29997253,-7.251709,8.427598,-1.5273625,-2.2089999,3.5043008,-0.9207441,-1.0923107,2.6794305,-0.18663275
6.0253677,-5.7871895,0.9400346,-6.4304085,8.555138,-4.789629,-7.658782,9.920066,-4.72567,-3.8300185,4.906887,-1.9437675
12.254272,-12.881002,0.10192287,-2.171371,3.627249,-1.4411174,-2.30145,2.6877306,0.015770555,-9.955908,11.307214,-0.5912128
10.627491,-11.783411,2.8967524,-1.9190681,3.2706568,-3.1409228,-4.6914315,5.5597534,-1.8936725,0.63531,0.9808498,0.23572469
10.381475,-10.637764,-0.73127925,-4.7284346,5.9883204,-2.693457,-7.9940395,10.532517,-0.9469713,0.19772452,0.8780629,-3.0300927
1.6591558,-1.8640895,2.0464299,-1.2477512,1.829382,2.5810077,-6.2128,8.184136,-0.86355484,3.4689245,-2.8758552,-0.014295101
8.8511305,-9.925202,5.039699,-0.54789984,0.96343994,2.9327629,-2.217982,2.5528448,1.2936087,-3.4299662,4.9416885,-1.9205232
11.977292,-12.110035,2.598839,-7.0066895,8.05297,-0.95478165,0.29172605,0.8957147,-3.085403,3.459354,-3.1930304,1.7550356
2.815878,-2.7670827,3.2480884,-4.7046847,6.477316,-3.6492076,0.028694808,0.9552101,-0.96010077,-2.1005692,3.502743,-3.679643
3.6866498,-3.6212006,-0.65637213,-4.816993,6.0010176,-2.604954,0.57015973,1.0018663,-0.15568733,-1.578433,2.9409027,-3.0522466
3.2837906,-3.2545748,-0.51286316,-2.8062093,3.2027168,2.7626348,-2.3823218,3.8916016,-1.597505,-2.9645429,4.190602,-2.2145705
13.831189,-14.820433,1.095799,-0.68895286,2.2134256,1.0249965,-3.7272892,4.574969,-1.4271288,-0.4801914,1.7047262,-2.703864
11.189686,-11.697397,0.5553974,-6.334173,7.4441395,-1.2383993,-5.768912,7.820271,-1.7999573,0.07259756,0.20419616,-0.94106436
5.627114,-5.981045,3.9046998,-4.7209806,5.900795,-2.6357567,-5.9278398,6.8276935,-0.66870904,-2.3033488,3.3163133,1.4397018
3.7833705,-3.3877678,-0.8671982,-5.1717696,6.647672,-3.0293536,-3.8538957,5.649144,-1.0026764,-8.161962,10.498842,-5.751861
1.4473655,-1.6215563,1.6187036,-0.8297069,1.9381816,-1.1900951,0.7388509,0.14931935,-0.8566046,6.908331,-6.615138,-0.16990477
6.697503,-6.7152033,1.2780504,-0.5268412,1.2771313,-1.8310845,-6.8757305,8.055325,-2.3978462,-7.3858447,9.725549,-5.7330976
