class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.018076962,0.12999795,0.03105767,0.018277183,0.13012405,0.031246211,0.018298395,0.13017628,0.030986395,0.018361252,0.1300252,0.031079978
0.018189607,0.12995608,0.03134229,0.018411424,0.12997222,0.031056106,0.018440314,0.13025813,0.031411555,0.018276403,0.13017106,0.031114113
0.018160604,0.13023807,0.031226601,0.01831998,0.1302883,0.0313948,0.018369038,0.13017443,0.031082034,0.018350663,0.1301484,0.030985853
0.018166251,0.12993369,0.031429056,0.017991412,0.13018118,0.031294428,0.01819716,0.12985073,0.031418286,0.017990706,0.13021871,0.03133279
0.018253338,0.1299182,0.031137038,0.018068982,0.1299949,0.031063432,0.01826156,0.1301258,0.031286065,0.0180201,0.13019489,0.031329095
0.01832262,0.13011199,0.03130419,0.018193305,0.13025406,0.031278957,0.018077213,0.1301958,0.031305697,0.018438583,0.13022344,0.031393796
0.018369172,0.13020706,0.031385083,0.01832062,0.12990595,0.031121908,0.018334249,0.13023853,0.03104903,0.018221185,0.13003182,0.031062836
0.018278241,0.13020681,0.03098285,0.018140625,0.12991266,0.031090673,0.018083531,0.13000092,0.031052053,0.018039789,0.12991826,0.031091884
0.01826507,0.13022427,0.031326212,0.018008122,0.13007164,0.031335812,0.018352794,0.1302056,0.030937554,0.018285293,0.12995647,0.031116085
0.01827411,0.13017398,0.031094395,0.018158738,0.12994452,0.03140647,0.018316858,0.13023072,0.030946966,0.018376224,0.1299113,0.031065986
0.018308979,0.1301778,0.030992605,0.018373849,0.13012387,0.031058155,0.018317107,0.13028425,0.03134542,0.018409386,0.13002571,0.031062094
0.018261615,0.12990625,0.031136326,0.018249288,0.13012137,0.031326663,0.018179893,0.12995656,0.031352136,0.018089063,0.1299672,0.031331632
0.018267743,0.1302434,0.031281285,0.018069826,0.12995337,0.031011082,0.018363366,0.13017328,0.031399466,0.018158648,0.12986563,0.031387806
0.018286956,0.13017814,0.030989945,0.018365486,0.1299223,0.031080479,0.018046048,0.12993172,0.031017493,0.018235069,0.12989962,0.031118056
0.018149968,0.12991011,0.03109375,0.018332506,0.12991092,0.031094346,0.018343657,0.13022956,0.03103489,0.018252134,0.13010587,0.031313352
0.018373054,0.1301806,0.031397525,0.01814476,0.13022603,0.031268727,0.018181555,0.12992255,0.03114249,0.018125813,0.13000228,0.031055972
0.018154763,0.13022634,0.031261176,0.018139947,0.1300002,0.031059097,0.01802517,0.12995772,0.031049509,0.018323475,0.13026074,0.031003673
0.01830182,0.1301613,0.031011458,0.018212046,0.12998326,0.03132043,0.01816696,0.1298549,0.03140882,0.018443633,0.13022316,0.031379517
0.01821339,0.12992547,0.0311633,0.018100273,0.12991305,0.031060956,0.018319085,0.13011889,0.031306554,0.018146198,0.13021405,0.031272035
0.018176008,0.12993644,0.03142725,0.018247455,0.1301301,0.0312504,0.018254288,0.1301251,0.03131762,0.018242922,0.13003886,0.03111266
0.018076967,0.12995626,0.031043617,0.018284643,0.13015798,0.031204615,0.018182907,0.12994057,0.031398345,0.01803923,0.13021587,0.031294435
0.018075934,0.12997046,0.031029668,0.018072061,0.12996541,0.031016517,0.018371327,0.13028061,0.03136881,0.018186385,0.12994415,0.031374514
0.018281817,0.13018066,0.03097779,0.018101156,0.12995932,0.03138082,0.01837743,0.13020556,0.030948285,0.018260188,0.13002624,0.031204354
0.018382678,0.1300627,0.031076975,0.018084254,0.12995684,0.031023607,0.01814815,0.12991135,0.03109546,0.018256517,0.13010742,0.031162541
0.018179506,0.12994356,0.031411186,0.01819858,0.12992261,0.031113513,0.018370207,0.13027069,0.031376157,0.018171368,0.13023207,0.031293716
0.018091822,0.13021357,0.031217663,0.017961342,0.13016352,0.03131486,0.018006338,0.12995411,0.031056134,0.018066008,0.13000643,0.031058865
0.018292854,0.13015094,0.031008728,0.01817387,0.129932,0.03136848,0.01816653,0.12984027,0.031423405,0.018340312,0.13017397,0.031395663
0.018150214,0.12993653,0.031102248,0.018370813,0.1301854,0.031390917,0.018339535,0.13013725,0.031013777,0.018381925,0.12990333,0.031064756
0.018164467,0.12999472,0.031377234,0.018159043,0.1299987,0.031083811,0.018199742,0.12993231,0.03110304,0.018129952,0.12994456,0.031433385
0.018085144,0.13002318,0.031333834,0.018230954,0.12991172,0.03111776,0.01805947,0.13001612,0.031332713,0.018298525,0.12989584,0.031115096
