class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.0089636,0.035481207,-0.013153359,0.008967295,0.035513364,-0.013156906,0.008965924,0.035468414,-0.013151601,0.008969113,0.035485275,-0.013152704
0.0089645535,0.03547442,-0.013152644,0.008965358,0.035497874,-0.013155803,0.008965954,0.035471953,-0.013152346,0.008967757,0.035469227,-0.013151243
0.008964047,0.035485215,-0.013154104,0.0089677125,0.035505243,-0.01315628,0.00897029,0.035505384,-0.013155565,0.008966476,0.035473548,-0.013151363
0.008967489,0.035506055,-0.0131555945,0.008970723,0.03550964,-0.0131561905,-0.86297935,-1.444709,0.44447392,0.008974627,0.035485044,-0.013152227
0.008966535,0.035487875,-0.013154194,0.008965999,0.035523444,-0.013157889,0.008969173,0.03550709,-0.0131563395,0.0089696795,0.03548517,-0.013152823
0.008967146,0.035510443,-0.013156161,0.008970752,0.035526454,-0.013158396,0.008969367,0.035507828,-0.013156518,0.0089663565,0.035463385,-0.013150319
0.008967325,0.035494134,-0.013155058,0.008967012,0.03549865,-0.013155058,0.008965433,0.03545613,-0.013149843,0.008963048,0.035444833,-0.013147965
0.008966908,0.0354883,-0.013154045,0.008963153,0.03548704,-0.013154253,-0.86381525,-1.4409293,0.44384468,0.008966818,0.03546363,-0.01315023
0.008967191,0.035502397,-0.013155356,0.008966789,0.03550221,-0.01315625,0.00896357,0.035448678,-0.013149485,0.00897418,0.035495833,-0.013153657
0.008969471,0.035489775,-0.013154551,0.008966789,0.035504766,-0.013156578,0.008966073,0.03549917,-0.0131555945,0.008964583,0.035431817,-0.013146952
0.0089671165,0.035497516,-0.013155386,0.008969262,0.035497345,-0.013155416,0.008965448,0.03551075,-0.01315628,0.008969307,0.035443775,-0.013148114
0.008966133,0.03549172,-0.013154969,0.008967593,0.035509944,-0.013156906,0.008964181,0.035502918,-0.013156131,0.008964807,0.035437077,-0.013147548
0.008966729,0.03549894,-0.013155118,0.008970976,0.035515986,-0.013156906,0.008969232,0.035502136,-0.013155863,0.00896664,0.03545262,-0.013148621
0.00896509,0.035484202,-0.013153747,0.0089704245,0.035510667,-0.01315622,0.008971736,0.03550864,-0.013155714,0.008967355,0.035489388,-0.0131530315
0.008972093,0.03552612,-0.0131581575,0.008968979,0.03553185,-0.013158932,0.008964658,0.035467014,-0.013151631,0.008969545,0.03547488,-0.013152197
0.008963481,0.03549794,-0.0131557435,0.008969113,0.03552576,-0.013157859,-0.8648089,-1.4416612,0.44339418,0.00895901,0.035455346,-0.013150558
0.008963168,0.03547921,-0.0131533,0.008969709,0.03552848,-0.013158217,0.00896734,0.03547255,-0.013151273,0.008967936,0.035477698,-0.013152644
0.008970484,0.03549745,-0.013154492,0.008969262,0.035525456,-0.013158187,-0.86412114,-1.4429356,0.4440263,0.008967057,0.035480738,-0.013153419
0.0089624375,0.035493247,-0.013155296,0.008968785,0.03548578,-0.013154045,0.008964404,0.03544101,-0.0131480545,0.008966759,0.035495073,-0.013154104
0.008966655,0.03549365,-0.013154879,0.008971408,0.035517193,-0.013156965,0.008965358,0.035497062,-0.013155177,0.008963779,0.035476156,-0.013152674
0.008968279,0.03548702,-0.013154164,0.008966878,0.035514332,-0.013156995,0.008965358,0.035478085,-0.013151899,0.008974299,0.03549651,-0.013153836
0.008967489,0.035510167,-0.013156101,0.008963779,0.035507217,-0.013156816,0.00896959,0.03551683,-0.013156846,0.008964241,0.03549145,-0.013153836
0.0089652985,0.035492517,-0.013154998,0.008967772,0.035511427,-0.013157383,0.008964643,0.03547833,-0.013152823,0.008965537,0.035490118,-0.013154581
0.008967742,0.03551928,-0.013158098,0.008967727,0.035494365,-0.013154969,0.008962929,0.035437778,-0.013147846,0.008959338,0.03544365,-0.013148949
0.008965969,0.03551206,-0.013156459,0.0089657605,0.035522334,-0.013157979,-0.86243856,-1.4435341,0.44395435,0.00896509,0.035486653,-0.013154104
0.008968338,0.035494015,-0.013154641,0.008962706,0.035498023,-0.013155833,-0.8646625,-1.4427172,0.44479734,0.008967906,0.03547021,-0.013150886
0.008966535,0.03549362,-0.013155386,0.008964077,0.03549186,-0.013154849,0.0089665055,0.035464585,-0.0131510645,0.008958772,0.03543529,-0.013147846
0.008966446,0.035517223,-0.013157025,0.008971974,0.035526507,-0.013158217,0.008963019,0.035452962,-0.013149634,0.008962601,0.035479553,-0.0131533295
0.008968517,0.035493456,-0.01315473,0.0089735985,0.03552284,-0.013157859,0.008969381,0.03551156,-0.013155833,0.008963987,0.035474576,-0.01315175
0.00896351,0.03548129,-0.013153419,0.008968115,0.035507493,-0.013156548,-0.86402255,-1.4400378,0.44433373,0.008967966,0.03545826,-0.013150051
0.0089657605,0.03550876,-0.013157234,0.008971408,0.035511844,-0.01315628,0.008968368,0.035502188,-0.013155058,0.008964643,0.0354537,-0.013149962
0.008967295,0.035510987,-0.013156161,0.00896512,0.035491414,-0.013154849,-0.8633292,-1.4438,0.44429153,0.00897038,0.035480887,-0.013153121
0.008972868,0.03552047,-0.013157234,0.008965194,0.035513237,-0.013157532,-0.86333257,-1.44472,0.4433245,0.008964583,0.035455488,-0.013149157
0.0089684725,0.035500646,-0.0131555945,0.008969739,0.035513192,-0.0131561905,0.008966908,0.035509944,-0.0131560415,0.00896357,0.035459384,-0.013150498
