class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.09484956,-0.13479167,0.031090075,0.09494804,-0.13474871,0.031205874,0.09497188,-0.1351598,0.031233344,0.095018014,-0.13507873,0.031153616
0.09493063,-0.13472433,0.031045718,0.094916984,-0.1347378,0.031074172,0.094898954,-0.13455056,0.031005835,0.09491486,-0.13460624,0.030981135
0.09493284,-0.13490419,0.031123407,0.09482626,-0.13479392,0.031069608,0.09479302,-0.13461033,0.03107883,0.09475796,-0.13469596,0.03112001
0.09450552,-0.13498993,0.031405278,0.09491149,-0.13482894,0.031167902,0.094709784,-0.1346989,0.031103367,0.094639026,-0.13449386,0.030820835
0.094935335,-0.13512175,0.03124608,0.09481832,-0.13472956,0.031011868,0.09481768,-0.13481675,0.031077923,0.09483932,-0.13469735,0.030850869
0.09483236,-0.1346739,0.03101089,0.09486415,-0.13481648,0.031096855,0.09486039,-0.13452177,0.031037856,0.09491325,-0.13512918,0.031212244
0.09493767,-0.13462986,0.031025779,0.094866835,-0.13473739,0.031018574,0.09475327,-0.13486739,0.031013329,0.09470851,-0.1346788,0.031048547
0.09487211,-0.13488998,0.031119728,0.09499617,-0.13483419,0.031087678,0.09483646,-0.13478754,0.030995818,0.09473996,-0.13474217,0.031012652
0.09497182,-0.13497262,0.03131403,0.094820395,-0.13484967,0.031066293,0.09474049,-0.13463476,0.030996025,0.09476745,-0.13455303,0.030870989
0.09496398,-0.13502619,0.03122242,0.09489921,-0.13486958,0.031207213,0.0948249,-0.1346735,0.03105202,0.09477646,-0.13468128,0.031000964
0.09465858,-0.13464947,0.031062199,0.09484664,-0.13478899,0.031116787,0.09473502,-0.13474493,0.031096322,0.09475449,-0.13487948,0.030901618
0.09450953,-0.13492106,0.031272076,0.09489651,-0.13498168,0.031166732,0.09483167,-0.13472266,0.030977182,0.094685145,-0.13465273,0.031013802
0.09475787,-0.13478087,0.030920828,0.094831996,-0.1347933,0.031127932,0.094933435,-0.13484533,0.031041948,0.094892986,-0.13477886,0.031037878
0.09489764,-0.13510321,0.031230286,0.09482061,-0.13472433,0.031009048,0.09483364,-0.1347641,0.03116875,0.094902806,-0.13478452,0.031135317
0.09457212,-0.13464448,0.031038577,0.09480603,-0.13472052,0.030969847,0.09480087,-0.13471234,0.031000774,0.09476359,-0.13476743,0.031047076
0.09485875,-0.13476263,0.031075668,0.09483857,-0.13481838,0.031096715,0.09481543,-0.1347823,0.030823424,0.09473096,-0.13455749,0.030864414
0.09485478,-0.13502668,0.03122577,0.094786234,-0.13487971,0.031092988,0.09478367,-0.13445932,0.031003693,0.09485421,-0.13481048,0.031103743
0.09442863,-0.13487464,0.031546816,0.09491773,-0.13497998,0.031167474,0.094647415,-0.13473345,0.031013465,0.094783455,-0.13469367,0.031039525
0.094691254,-0.13470834,0.031036627,0.09479598,-0.13477147,0.031073455,0.094841346,-0.13488205,0.031274993,0.094855346,-0.1346983,0.031053564
0.09492399,-0.13475245,0.031064887,0.09482803,-0.13491637,0.031094145,0.09479781,-0.13468263,0.031021908,0.094730206,-0.13476957,0.03101013
0.09480897,-0.13481764,0.031025551,0.09483559,-0.13485116,0.030888036,0.09479776,-0.13456525,0.030875139,0.09482743,-0.13467109,0.03105545
0.09474339,-0.13467847,0.030825544,0.09484035,-0.13481557,0.031121533,0.09478625,-0.13479605,0.031125797,0.09467072,-0.1346953,0.0310333
0.09466511,-0.13470612,0.030919448,0.09489298,-0.13486989,0.031032544,0.0948656,-0.13511066,0.031212866,0.09478614,-0.13471349,0.031063095
0.094392754,-0.13505861,0.031765588,0.09488662,-0.13485698,0.03095594,0.094813354,-0.1348187,0.031112334,0.09476006,-0.13478617,0.031037217
0.094902635,-0.13478325,0.031036709,0.094834134,-0.13481,0.031035101,0.09470368,-0.13474108,0.030866576,0.09456917,-0.1345265,0.030923937
0.09478909,-0.13473913,0.031006195,0.09492258,-0.13487783,0.031059023,0.09480551,-0.13474125,0.031055368,0.0947657,-0.13459998,0.031020768
0.09489939,-0.13523832,0.03128312,0.09474899,-0.13481674,0.031042019,0.09472572,-0.13479297,0.0309503,0.09487297,-0.13487399,0.031002708
0.094904564,-0.1348651,0.031141838,0.09487072,-0.13467714,0.030958084,0.09485489,-0.13465412,0.030974552,0.09491009,-0.13471934,0.030988544
0.09479265,-0.1346553,0.030994251,0.09484517,-0.13474998,0.031015277,0.09483096,-0.13474825,0.030970078,0.09480102,-0.1346502,0.031098919
0.09493621,-0.13471426,0.031081252,0.09486832,-0.13487792,0.031101963,0.094879456,-0.13497818,0.031093907,0.09471039,-0.1347222,0.03104848
0.09460304,-0.13460101,0.030914214,0.09486038,-0.13479248,0.03107587,0.0947121,-0.13478804,0.03109273,0.09473636,-0.13474904,0.030964157
0.09487092,-0.13535865,0.031332865,0.09483099,-0.13483727,0.031085178,0.09480751,-0.13485026,0.030963173,0.09481349,-0.13482058,0.031082068
0.09469979,-0.13475855,0.030995581,0.09488323,-0.1347745,0.031016996,0.09489684,-0.13481677,0.031079575,0.094633475,-0.13474056,0.031142334
0.09441058,-0.13497455,0.031257775,0.094795346,-0.13485825,0.031078303,0.094826885,-0.13492054,0.030892732,0.094683126,-0.13470718,0.03091671
0.094775885,-0.13475114,0.03102451,0.094870165,-0.13475093,0.030987296,0.09467432,-0.13483346,0.031044511,0.094850026,-0.1347625,0.031019576
0.09490266,-0.13488042,0.031214315,0.09488905,-0.13479286,0.031107644,0.0948696,-0.13483456,0.031107882,0.094934486,-0.13488372,0.0312844
0.09487389,-0.13482484,0.031036489,0.0948049,-0.13484979,0.031036738,0.094745934,-0.13465552,0.030966222,0.09483696,-0.13475539,0.031087112
0.09486026,-0.1348373,0.030905116,0.094793774,-0.13476446,0.030820446,0.09495591,-0.13470693,0.030985612,0.094787255,-0.13470186,0.031036567
0.094859295,-0.1347723,0.031060467,0.09483618,-0.13476835,0.031052101,0.09472627,-0.13469332,0.03095214,0.09480382,-0.13471173,0.030974245
0.094503865,-0.13494359,0.03128023,0.09476838,-0.13471033,0.031008812,0.0948609,-0.13495983,0.030994453,0.09498372,-0.13471745,0.030888166
0.09486814,-0.13481982,0.031095894,0.0948055,-0.13473485,0.031033589,0.09479441,-0.13475493,0.031035786,0.09475077,-0.13485265,0.031010214
0.09482415,-0.1348963,0.03107993,0.094863124,-0.13468651,0.030967917,0.09474147,-0.13474865,0.031009145,0.0948411,-0.13478413,0.030854175
0.09474918,-0.13464408,0.03088862,0.09482834,-0.13475332,0.031017333,0.09485827,-0.1348227,0.03111095,0.09482011,-0.13473447,0.031039573
0.094935715,-0.1350068,0.03123213,0.09480226,-0.1347893,0.031152898,0.09492724,-0.13506246,0.031227505,0.09470253,-0.13477458,0.031150363
0.094846286,-0.13485305,0.03103039,0.09474705,-0.13479556,0.031000823,0.094906725,-0.13472281,0.031007774,0.09488292,-0.13481641,0.031123605
0.09487523,-0.13469876,0.030996103,0.094903946,-0.13482077,0.03112686,0.094936185,-0.13474661,0.031113453,0.09492584,-0.13481288,0.03116284
0.09490316,-0.13485314,0.031128418,0.09494725,-0.1348759,0.03107696,0.094681635,-0.13473108,0.031112678,0.09485987,-0.13482776,0.031113032
0.094761714,-0.13468406,0.030855555,0.094888225,-0.13495645,0.031098353,0.094768286,-0.13465004,0.030847058,0.09469075,-0.13464996,0.030973967
0.0948386,-0.13485913,0.031108193,0.09487932,-0.13473688,0.030994901,0.09484483,-0.134468,0.03091657,0.09480287,-0.13479634,0.031093547
0.09492382,-0.13511232,0.031326015,0.09480293,-0.13480964,0.031133134,0.09485054,-0.13491435,0.031229787,0.09487742,-0.13486893,0.031125436
0.09487397,-0.1347264,0.031090507,0.0949039,-0.13486408,0.031106777,0.09487673,-0.13474639,0.031014597,0.0948432,-0.13472475,0.031240884
0.09486335,-0.13487464,0.031128587,0.094859,-0.13485411,0.031015068,0.09468378,-0.13465083,0.030861605,0.09473865,-0.13473266,0.030995276
0.094942845,-0.13468781,0.03103116,0.094833404,-0.13477488,0.031157624,0.09474633,-0.13476375,0.03076919,0.094894625,-0.13478668,0.031013634
0.09467947,-0.13471079,0.03096078,0.09482806,-0.13487084,0.031008558,0.09476683,-0.13472976,0.030681929,0.09474621,-0.13471891,0.031014623
0.09481327,-0.13471957,0.031035943,0.09479376,-0.13476026,0.03084433,0.0947501,-0.13460413,0.030914344,0.09497966,-0.13470773,0.030890018
0.09466034,-0.13460906,0.03089474,0.09482844,-0.13477533,0.031016098,0.09475369,-0.13476487,0.03089672,0.094834656,-0.13486783,0.031104404
0.09489727,-0.1349891,0.031158984,0.09474623,-0.13476248,0.031113166,0.09490549,-0.13485338,0.031068703,0.09463831,-0.13470754,0.03093407
0.094731785,-0.1344408,0.03156741,0.09484553,-0.13480648,0.031134622,0.09476615,-0.13476406,0.030922288,0.09484378,-0.13474299,0.03097201
0.09474075,-0.13469343,0.031009672,0.094880976,-0.13486987,0.031003686,0.09478066,-0.13471487,0.030924648,0.094673045,-0.13462608,0.030980604
0.094908476,-0.13504651,0.031180428,0.09484569,-0.13481744,0.031006416,0.0947636,-0.13458821,0.03093702,0.09479675,-0.13473299,0.031071747
0.09482391,-0.13487923,0.031060567,0.094850354,-0.13481179,0.0310379,0.09480229,-0.13487603,0.031114094,0.09482959,-0.1347105,0.031045292
0.094872326,-0.13478707,0.031035904,0.09491199,-0.13500023,0.031143155,0.0948053,-0.13483535,0.031030387,0.094715655,-0.13454475,0.030979443
0.09481606,-0.13480937,0.031075822,0.094786435,-0.13480419,0.030998895,0.09481762,-0.13465795,0.0310852,0.09477315,-0.13475332,0.031106934
0.094917476,-0.13505363,0.03143047,0.09469774,-0.13469727,0.031050934,0.094707176,-0.13463272,0.030977763,0.094878435,-0.13487476,0.031148992
0.09481149,-0.13474494,0.030989189,0.09477971,-0.13480975,0.030923214,0.09477833,-0.13477972,0.031078346,0.094789065,-0.13466857,0.030974042
0.09485361,-0.13482967,0.031090813,0.09480516,-0.1346694,0.03095169,0.09487328,-0.13502419,0.03111021,0.09470831,-0.13475545,0.030928189
0.09488775,-0.13473482,0.031037828,0.09484001,-0.13469963,0.030961031,0.09492294,-0.13470997,0.031130554,0.0947543,-0.1346744,0.030802598
0.094921626,-0.13479926,0.030996624,0.09480143,-0.13484688,0.031011898,0.09467411,-0.13462304,0.030978607,0.09460225,-0.13463557,0.030848395
0.094851464,-0.13478604,0.031036612,0.094791204,-0.13473876,0.03081817,0.094867855,-0.13501972,0.031148966,0.09469392,-0.13464017,0.031020854
0.09494271,-0.13467343,0.031021342,0.09490793,-0.13473088,0.03116282,0.094714954,-0.1347843,0.031045409,0.0948473,-0.13474914,0.030976627
0.094635665,-0.13462374,0.031010222,0.09491713,-0.13520327,0.0312687,0.09469428,-0.13482895,0.030992597,0.09484392,-0.13466902,0.031088429
0.09476099,-0.13487506,0.031029847,0.0947103,-0.1345684,0.031077314,0.09476632,-0.13474159,0.03112648,0.09458126,-0.13468274,0.030977728
0.09465496,-0.13468659,0.030940771,0.09480126,-0.13488953,0.030994963,0.09468341,-0.13458915,0.031020507,0.094808735,-0.13481015,0.030850876
