class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.019606631,-0.110893644,-0.07579107,-0.019348985,-0.11129635,-0.077584386,-0.0154655995,-0.10707754,-0.062068287,-0.016350374,-0.113912836,-0.076725006
-0.02046907,-0.10945294,-0.07686149,-0.018539988,-0.11305093,-0.07693398,-0.018019138,-0.11271857,-0.07606093,-0.014382824,-0.10678002,-0.060826622
-0.014797581,-0.1091203,-0.063016675,-0.012857635,-0.11520066,-0.071931295,-0.017858475,-0.107983805,-0.07161543,-0.018857647,-0.11151911,-0.07742064
-0.014985927,-0.11493445,-0.07487024,-0.017345339,-0.11260452,-0.07854895,-0.014518458,-0.10872032,-0.06086022,-0.012790586,-0.115394086,-0.07255828
-0.019134935,-0.108727604,-0.07304328,-0.01521501,-0.11110323,-0.0658788,-0.014769299,-0.108680084,-0.060861297,-0.018398633,-0.11202376,-0.07862769
-0.016246542,-0.11018786,-0.065211594,-0.01760263,-0.10899338,-0.06559235,-0.019068476,-0.1109549,-0.075972855,-0.013081653,-0.11390779,-0.067380674
-0.013614759,-0.11484274,-0.07258233,-0.011447654,-0.112587474,-0.065370634,-0.014402667,-0.10933651,-0.06109359,-0.02132677,-0.11070801,-0.07949158
-0.014389648,-0.114955395,-0.07482789,-0.01550605,-0.10869325,-0.068946,-0.013022729,-0.10978656,-0.06384915,-0.01865444,-0.11259528,-0.077253684
-0.016322939,-0.11346171,-0.07765168,-0.019190792,-0.11138113,-0.07741927,-0.018862292,-0.11110701,-0.075869426,-0.018709209,-0.11238089,-0.076587856
-0.018754499,-0.112276815,-0.07601648,-0.018547514,-0.112846196,-0.076865435,-0.018014986,-0.112863295,-0.075981684,-0.019352272,-0.10915952,-0.0745383
-0.01372093,-0.10864836,-0.061354354,-0.014393673,-0.114560954,-0.07418846,-0.022863444,-0.1091259,-0.07971716,-0.020225426,-0.110763624,-0.077477284
-0.01602846,-0.10998348,-0.06366073,-0.013577332,-0.108911715,-0.060414594,-0.014714195,-0.108510345,-0.061944187,-0.015079864,-0.11428028,-0.07463923
-0.016486984,-0.10926875,-0.06342861,-0.016325416,-0.109380305,-0.067978956,-0.020033842,-0.109757684,-0.07648284,-0.020562153,-0.11146532,-0.0804735
-0.018906899,-0.11054996,-0.074553736,-0.0121667255,-0.11594811,-0.07099376,-0.022468612,-0.10921307,-0.079596855,-0.013964435,-0.109459095,-0.061701152
-0.0146533875,-0.11492449,-0.0754473,-0.020981494,-0.11079828,-0.07951685,-0.021829978,-0.10938976,-0.07901398,-0.01991481,-0.11011909,-0.07605825
-0.017217992,-0.1128066,-0.07872086,-0.020782432,-0.109364785,-0.078789935,-0.021201836,-0.110827744,-0.07960741,-0.014591138,-0.10635013,-0.0608342
-0.015423111,-0.10780369,-0.061092038,-0.011053717,-0.112312205,-0.065946996,-0.020953704,-0.109379105,-0.07812656,-0.014376921,-0.107274435,-0.06168594
-0.013836429,-0.109114945,-0.06191074,-0.01585962,-0.11095642,-0.06556461,-0.020141572,-0.110714346,-0.07877821,-0.0151595585,-0.11406232,-0.074378856
-0.016192013,-0.10889683,-0.07008075,-0.01967512,-0.11173178,-0.07715815,-0.02103283,-0.1094399,-0.07839766,-0.019596213,-0.11072402,-0.07755621
-0.012523992,-0.11042448,-0.063737564,-0.015216591,-0.111278854,-0.065802515,-0.014401171,-0.115417324,-0.07363589,-0.014414932,-0.114587605,-0.0742745
-0.015670545,-0.11123372,-0.065072484,-0.015251464,-0.10938216,-0.067564145,-0.02024338,-0.1101636,-0.07733865,-0.02192499,-0.11032657,-0.079640776
-0.017592462,-0.11263655,-0.07916565,-0.014730016,-0.11048433,-0.06827023,-0.016545,-0.11338043,-0.07543456,-0.014957786,-0.10895126,-0.060765058
-0.013315234,-0.10879547,-0.061972518,-0.01349554,-0.11056799,-0.06255045,-0.013777101,-0.109454565,-0.060985476,-0.012863651,-0.115607575,-0.07118326
-0.014385095,-0.10786476,-0.06128004,-0.018339135,-0.11284694,-0.07733974,-0.013583338,-0.11350705,-0.06739321,-0.011478678,-0.11348508,-0.06529983
-0.014794835,-0.11479865,-0.07544863,-0.018109884,-0.11312811,-0.07667187,-0.014559543,-0.11515843,-0.07439094,-0.02086359,-0.10902264,-0.07611009
-0.014784353,-0.11518988,-0.07474463,-0.014056603,-0.109269544,-0.06074918,-0.015673619,-0.10565231,-0.060908653,-0.011978567,-0.11185147,-0.06412336
-0.01818018,-0.112388544,-0.07569316,-0.016550368,-0.11327195,-0.077843584,-0.02084404,-0.11089137,-0.079977855,-0.019788858,-0.10970572,-0.07582472
-0.019369362,-0.11071163,-0.0786147,-0.013507573,-0.115502134,-0.07273443,-0.015589242,-0.1086975,-0.07073046,-0.016934047,-0.10966788,-0.06543513
-0.013089886,-0.10892212,-0.062261645,-0.013628533,-0.109640606,-0.06011997,-0.012303352,-0.11600717,-0.07025285,-0.01011079,-0.11435628,-0.066345595
-0.022206359,-0.109250255,-0.079758,-0.0152025875,-0.109118015,-0.06923091,-0.017193198,-0.11275227,-0.078653835,-0.01358461,-0.10931736,-0.06172237
-0.01602608,-0.113341376,-0.07618706,-0.016668841,-0.10907583,-0.06403756,-0.012484968,-0.11585757,-0.07102564,-0.016322305,-0.108567916,-0.06858492
-0.014295852,-0.10961219,-0.06366061,-0.016285816,-0.108762555,-0.068348415,-0.019555084,-0.110245354,-0.07605878,-0.01805279,-0.10810783,-0.07171423
-0.0119939195,-0.11119171,-0.06421375,-0.014101399,-0.10832957,-0.060110264,-0.014109431,-0.114494465,-0.07320064,-0.015084068,-0.10918598,-0.061819244
-0.013999058,-0.11013159,-0.06328569,-0.016206808,-0.10797418,-0.062189437,-0.014698061,-0.106309205,-0.061571755,-0.011967413,-0.111909755,-0.06516928
-0.011997786,-0.1112085,-0.06483694,-0.020769585,-0.11093747,-0.079462886,-0.017693566,-0.11220754,-0.07541779,-0.014534005,-0.10744128,-0.060899876
-0.01293123,-0.114588544,-0.0703966,-0.012862645,-0.10999749,-0.062217936,-0.013978401,-0.113298684,-0.067879215,-0.018287158,-0.11244311,-0.076568894
-0.018868664,-0.11064801,-0.07455608,-0.015036913,-0.10894487,-0.06926407,-0.018212346,-0.11215105,-0.075293064,-0.01658023,-0.108015686,-0.06296574
-0.017849728,-0.112568356,-0.07839605,-0.013609775,-0.10868516,-0.061437927,-0.013699039,-0.10850006,-0.061191767,-0.0142585505,-0.107989706,-0.06089804
-0.014589629,-0.11481821,-0.0746915,-0.01763111,-0.10852339,-0.0647699,-0.014298916,-0.10654392,-0.060761377,-0.017215613,-0.10906802,-0.065417886
-0.018158428,-0.11092997,-0.07416246,-0.013851974,-0.10909897,-0.06030247,-0.016812244,-0.112771295,-0.07717943,-0.01872462,-0.108849384,-0.07363785
-0.014155474,-0.10934192,-0.06257206,-0.014430022,-0.109815575,-0.060267735,-0.014136558,-0.10911875,-0.061718628,-0.014663208,-0.114407375,-0.074155495
