class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
0.039478526,1.2973701,0.907375,0.03948766,1.2973753,0.9073892,0.03947006,1.297376,0.9073689,0.039457627,1.2974008,0.9073729
0.03947915,1.2973493,0.90736103,0.03945431,1.2974216,0.907384,0.03946116,1.2973901,0.9073685,0.039479822,1.2973946,0.90739524
0.039479353,1.2973479,0.9073621,0.03946896,1.2973967,0.9073842,0.03947634,1.2974051,0.90739596,0.03945192,1.2974142,0.90737516
0.03947494,1.2973825,0.9073783,0.03946562,1.2973914,0.90737695,0.03949251,1.2973173,0.90735453,0.039482906,1.297377,0.9073848
0.039473012,1.2973772,0.90737104,0.039469194,1.2973787,0.9073707,0.039469168,1.2973589,0.90736026,0.03947064,1.2973703,0.9073693
0.03947545,1.2973715,0.9073712,0.039460234,1.2974123,0.9073836,0.0394479,1.297453,0.9074004,0.03946609,1.2973572,0.90735555
0.03946567,1.2974021,0.90738356,0.039447013,1.2974157,0.9073732,0.039487705,1.297374,0.9073893,0.039465398,1.2973719,0.9073605
0.039471246,1.2973775,0.907373,0.03946476,1.2974046,0.9073835,0.039457005,1.297395,0.90736955,0.039463717,1.2973865,0.9073702
0.03944975,1.2974018,0.9073652,0.039486274,1.297384,0.9073916,0.03948169,1.2973444,0.90736353,0.039469264,1.2973682,0.9073662
0.039466456,1.2973846,0.9073717,0.039479773,1.2973741,0.9073802,0.039459296,1.297417,0.90738547,0.039472867,1.2973976,0.90738845
0.039458334,1.2974051,0.9073771,0.039454795,1.2974287,0.90738684,0.039476313,1.2973759,0.90737677,0.03948677,1.2973458,0.9073687
0.039475847,1.2973593,0.9073666,0.039469443,1.297398,0.90738285,0.039472662,1.2973868,0.90737927,0.039461464,1.2973987,0.9073765
0.03947922,1.297361,0.90737045,0.03949002,1.2973253,0.9073593,0.039444886,1.2974294,0.90738225,0.0394618,1.2974147,0.90738606
0.03946718,1.2973903,0.90737724,0.039480343,1.2973765,0.90738314,0.03947419,1.297361,0.9073639,0.039465193,1.2973824,0.9073681
0.03946868,1.2973827,0.90737134,0.039489273,1.2973263,0.907358,0.03947755,1.2973989,0.90739506,0.03947126,1.297374,0.9073694
0.039484467,1.2973366,0.907359,0.039463695,1.2973849,0.90737027,0.039478004,1.2973456,0.9073601,0.039470635,1.297395,0.90738684
