class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-20.455544,-30.55018,-28.968601,15.471081,24.12997,25.190918,4.881357,8.416424,0.6855903,13.5481825,14.558573,12.114978
1.5928595,-9.091909,-14.034092,18.254189,14.900074,18.642344,1.4445878,-10.748899,-12.506116,1.3669975,-5.44838,-15.757752
-0.5243446,-13.54378,-3.588117,21.73881,16.096703,14.255923,-8.843608,-11.480464,3.151579,20.65676,20.286688,3.9983523
-4.9028764,-8.139448,2.3930795,12.110634,18.693052,9.379098,-5.228378,-9.880479,-12.808702,21.115974,27.963108,25.38234
-13.058195,-24.601377,-25.053074,6.0694785,9.342657,17.103,-3.8376102,-10.616464,-11.189826,18.506107,26.941572,14.173135
-12.577358,-25.000807,-13.690743,31.789557,30.42322,16.299831,11.638383,7.690443,-6.134934,20.654177,27.724152,14.282036
-24.814451,-42.378864,-41.305927,21.015917,26.582827,14.879191,10.641649,6.695859,11.783475,14.540474,23.240065,26.672844
-15.444238,-31.790339,-15.018044,17.613134,12.925248,-3.1907396,13.585222,18.089323,20.804596,11.518461,3.2096553,0.43585616
-21.09136,-37.812904,-37.90577,14.375197,16.778429,10.6967745,2.9981647,2.1206572,9.136344,25.936266,24.344168,23.360636
-5.761086,-11.152318,-13.73544,17.014341,24.351938,13.1185255,12.813473,4.8648424,-5.571235,-13.389823,-23.87171,-14.506106
7.040541,-3.9653456,-3.047308,26.104973,35.28682,29.892757,9.093703,14.201922,20.855,14.616598,12.691803,-0.30203313
8.826749,-1.2026888,-1.975429,11.949504,7.9753304,11.1186,8.541336,1.7251976,8.864348,1.4611897,-8.390309,2.9048474
-23.100782,-41.811584,-21.835724,17.866796,18.600637,8.804385,-3.0132167,-10.66791,-15.592814,-9.198579,-17.931475,-10.410569
