class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-17.078514,4.3155355,-11.660736,2.367813,-1.1337079,-3.7519143,-3.3585405,-1.8354524,-0.36984658,4.25728,-4.31647,-0.77248824
-11.621542,8.980197,-3.1359513,4.848337,-2.5605955,2.5136704,11.030792,7.9043846,2.7130446,8.263839,10.879849,-0.9449127
-7.085261,4.000647,-13.241516,15.579991,-1.7629094,4.5693064,-1.8145028,0.5759552,-0.0446707,2.0207071,7.073395,4.7822237
-11.911491,1.7764089,-0.6412556,3.9869294,-3.7358253,4.6068687,6.89652,-3.2748454,-1.3113089,-1.4498292,2.054605,3.5004458
-8.991478,8.853529,-8.687363,10.288524,4.016306,7.0752163,1.7178891,-2.2613895,2.9427788,-0.8016777,-1.4710603,-2.877051
-5.290558,-0.3396786,-4.234255,14.556648,-1.1060276,2.7040288,2.4545825,2.1225946,1.7360023,-1.8726429,4.240449,2.7663739
-6.228392,4.0995355,-12.698162,7.083155,2.6002352,7.333912,5.9216933,-3.8988738,-0.14940321,1.0232412,4.4889092,-2.774993
-14.101148,3.474542,-14.258081,2.1267934,-0.39530694,-3.3993614,-0.6594912,-0.11798693,-4.715908,-8.426852,-3.1604743,-0.90316284
1.8749943,0.14725135,-4.232459,7.729344,6.950614,8.908302,8.615189,11.374335,-0.19818926,0.55876404,3.8938086,-4.578949
-9.629232,3.2383902,-1.5025675,9.33465,-2.3217216,3.4571078,0.039909363,-4.365836,0.62327486,2.1605854,-2.6134198,1.375586
-6.580928,11.0629,-9.551121,4.4291096,0.8668057,5.9217463,0.050243497,1.1867412,4.233245,4.4820642,0.3334527,8.631509
