class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.027077353,-0.36399305,0.011934578,-0.027113965,-0.3637926,0.011844426,0.008947964,-0.7028353,0.15520433,-0.027010316,-0.36443788,0.012164831
-0.027012637,-0.36407036,0.011979118,-0.023871934,-0.39360285,0.024726063,0.014588216,-0.63556796,0.13471118,-0.027386287,-0.36305088,0.011482805
0.2342678,-2.1542356,0.8110485,-0.027077919,-0.3638739,0.011877209,-0.026951378,-0.3644284,0.0121539235,0.0053206664,-0.5965482,0.1163089
2.2135797,-16.353088,7.1415663,-0.027038997,-0.3639295,0.011912152,-0.027007831,-0.36408544,0.0119863,-0.027073538,-0.36397356,0.011936888
-0.027104175,-0.3642522,0.012067556,-0.027090022,-0.3639049,0.011896819,-0.027047804,-0.36427844,0.012086511,0.52924114,-4.2861676,1.7648392
-0.027082166,-0.36388373,0.011883646,-0.027032131,-0.36406142,0.011969209,-0.027082441,-0.36390024,0.011884689,-0.026987983,-0.3641767,0.012033492
1.2246277,-9.072785,3.9059646,-0.027040122,-0.36399812,0.011940002,-0.02703956,-0.36400098,0.011943683,-0.02705103,-0.36399758,0.011945322
-0.027187737,-0.3635624,0.011731118,-0.027051037,-0.36406726,0.011977732,-0.027042082,-0.36399537,0.0119383335,-0.027124098,-0.36386657,0.011885658
-0.027046578,-0.36400932,0.011948243,-0.027125267,-0.36471283,0.012271613,-0.027018057,-0.364457,0.012176707,-0.024634926,-0.38084084,0.019525379
-0.02706028,-0.36391687,0.011900514,-0.027082628,-0.36397648,0.011936814,-0.027029848,-0.36402625,0.0119559765,-0.02705883,-0.36415702,0.012029707
-0.027036263,-0.36400348,0.011942476,-0.027044578,-0.36395997,0.011921614,-0.02706485,-0.3639285,0.011906952,-0.027069716,-0.3639161,0.011900321
-0.027035391,-0.364052,0.011967957,-0.026086306,-0.3704303,0.014856443,-0.027188843,-0.36377126,0.011835545,-0.027121404,-0.36371523,0.011797994
-0.027176498,-0.3635953,0.0117461085,-0.02707388,-0.36387813,0.011880636,0.18466172,-1.9018376,0.69697046,-0.0027174167,-0.52261776,0.08340293
-0.027075497,-0.3638972,0.011889696,-0.027057001,-0.36405027,0.011972636,-0.027068326,-0.36429107,0.012090534,-0.027072212,-0.36396474,0.011917055
-0.027036661,-0.36404592,0.011971593,-0.026311385,-0.3665381,0.013090819,-0.027053429,-0.36396843,0.011927381,-0.027154868,-0.36358172,0.011726052
-0.02705404,-0.36395675,0.011921719,-0.02703772,-0.36407506,0.011983067,-0.027060507,-0.36392337,0.011906013,-0.026734008,-0.3650962,0.012473494
-0.027058465,-0.3639534,0.011919826,-0.027070208,-0.36388242,0.011882067,-0.027054647,-0.36397278,0.011932105,0.2020255,-1.9503806,0.7193415
0.20004623,-1.9194129,0.70799756,-0.027134242,-0.36369896,0.011794701,-0.027212316,-0.36347795,0.011685163,-0.026476214,-0.3658269,0.012816787
0.116490655,-1.3641515,0.462181,-0.02703525,-0.36401832,0.011951864,-0.027186105,-0.36353242,0.0117094815,-0.027119758,-0.36389256,0.011892825
-0.027373532,-0.3629375,0.01146394,-0.027063197,-0.3639347,0.0119102,1.5039912,-11.369718,4.916298,-0.027165549,-0.36362857,0.01175876
