class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
18.035023,-3.6263514,13.817803,-9.877517,1.7075329,-7.709399,5.2241874,-3.8809423,4.600494,-4.2018733,2.6609511,-3.7302885
20.915243,2.023695,14.973168,-9.798286,-5.5359354,-5.580529,-2.6892014,-5.330202,-1.3407106,-1.836676,-2.0985124,-1.0404558
20.121622,-3.5868804,15.296013,-10.57011,-4.438895,-6.2949705,4.3127203,-6.4009666,5.055599,5.1931534,-6.5644636,5.6903915
9.16969,-9.316229,8.759535,-0.03908509,-4.186531,0.760483,-7.979805,2.3937035,-6.444675,-1.1379436,-3.9860969,0.60284084
4.720917,-4.4173985,4.580387,3.4837527,-2.9363227,3.1079001,-0.9890257,-5.302374,-0.030181786,-10.365067,-3.9675405,-6.481393
25.85741,-4.6175947,19.790379,-9.729504,1.3232465,-7.676733,-5.5664754,-2.5082614,-3.635007,-3.0779524,-3.214291,-1.5800835
8.263534,-4.4120717,6.9139657,-2.8375988,-2.9644074,-1.3316374,-0.31928295,-2.5199015,0.43391427,8.27721,1.7988439,5.896052
-0.27177605,1.5990596,-0.6205278,-4.7038574,0.22736484,-3.70468,4.5081887,-3.3142812,4.298109,-11.379242,-1.3244553,-8.629559
7.730624,-4.942542,6.8857174,-0.55600584,-2.1395514,0.04091347,-2.2665696,-2.706783,-1.2671864,9.500465,-2.7512107,7.6853085
3.0510838,-3.440474,3.0901344,-8.575069,-5.219803,-5.012711,-8.961629,2.1784196,-7.663166,-11.807982,-1.5272503,-8.361073
5.362401,-2.2038305,4.2042933,-5.584045,-3.8169863,-3.015458,1.1525369,-8.769055,2.672357,-0.10909712,-6.7074556,1.9835578
16.19407,-2.9261298,12.183378,-7.63272,-3.650165,-4.578678,-0.43788278,-2.2055993,0.03287565,-3.1973207,2.3902655,-2.8734136
16.29675,-3.0615788,12.851595,-6.4572806,-3.6858656,-3.5980747,5.940581,-0.7774846,4.712577,0.6195296,-1.1494622,0.8939561
7.0262003,-3.47127,6.0063486,-4.865444,-3.2861128,-2.6857755,1.7234634,-6.47626,3.2593815,3.4830554,2.3128848,2.236096
3.8611236,-3.60859,3.7706602,-2.625526,-0.7401681,-1.834047,10.368898,-3.25915,8.436099,13.185892,-3.6318643,10.596373
8.337803,-4.625595,7.0554433,-7.1225853,1.1655028,-5.576416,2.4969268,0.38120872,1.7376097,3.1177392,-6.7489977,4.3376603
8.997919,-4.8930845,7.8563223,-0.49167314,-4.5539126,0.8480244,4.743603,-3.140914,4.4472427,-3.317484,-1.3516872,-2.5787027
8.737948,-2.3805835,6.686128,-6.4187603,-4.2022014,-3.7662687,0.22368798,-1.5823667,0.69665104,8.687413,-6.3557,7.275527
10.453995,-3.0085492,8.100062,-12.784992,-2.833086,-8.851599,4.218626,-4.55211,4.0932636,-6.057652,-3.8611636,-3.6081183
4.733651,-1.4739975,4.022765,-5.1030025,-4.5550017,-2.6500058,5.4892974,-2.5656075,4.6146235,4.929047,-3.853163,4.3450136
5.3108234,-6.12825,4.9686365,5.363561,-2.5390143,4.216414,5.6555986,-2.6473682,4.412326,11.115816,-7.277131,9.9654045
6.853116,-8.385241,6.9372644,-11.71867,2.966643,-9.45581,0.89120066,-0.7237937,0.5980096,-5.9894757,-0.6774276,-5.0244637
16.133043,-6.0120077,13.740349,-6.4051156,-3.6691985,-3.875535,-3.4673486,-1.6745108,-2.3244274,17.228603,-3.8074868,13.820998
3.5792103,-0.33203313,2.6566253,-1.8533989,-0.17377508,-1.4941114,-0.6362661,-6.6930943,0.5608006,-10.597317,-5.466574,-6.2139654
18.482601,1.7675276,13.239525,-1.1876926,-5.0316825,0.34016383,0.45858762,2.4425435,-0.39361048,2.651472,-2.575868,2.154657
26.831936,-3.8449697,20.341347,-0.96274996,-0.2889307,-0.7771776,-4.9596024,2.649905,-4.2618074,3.2732086,1.5400805,2.1168573
6.3130684,2.602882,3.9763794,0.4855214,-4.6683803,1.5464271,6.0152392,-1.4198204,4.947339,-3.270556,-2.41792,-1.5029136
8.437542,-7.155061,7.5437713,-7.2315893,-3.537769,-4.2674284,2.9303293,-5.960364,4.002909,-11.881603,0.96702164,-9.2395
