class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-1.9562538,-0.5382527,0.043880448,-2.9033215,0.3854017,-0.29619622,-1.7664913,-0.48273394,0.016476557,-1.9301052,-0.24995147,-0.10237669
-2.644988,0.41359016,-0.31235906,-1.6995175,-0.5744598,0.07081118,-2.3899293,0.114678115,-0.2555288,-1.6567962,-0.57810795,0.07405874
-2.0508895,-0.049882635,-0.1994909,-2.0670161,-0.13337733,-0.17320493,-2.3074484,0.081668645,-0.24109437,-3.3100019,0.66344464,-0.43540376
-2.9138103,0.5909997,-0.38785648,-1.7136443,-0.5218955,0.040054858,-1.9249909,-0.31905347,-0.049277507,-2.3975317,0.07639775,-0.19303954
-1.9250879,-0.22331157,-0.12597208,-1.780803,-0.47335893,0.021232232,-2.0283194,-0.28228265,-0.07160775,-2.9603713,0.41365537,-0.320947
-2.5029676,0.2742448,-0.2593931,-1.9496748,-0.37263137,-0.014896989,-2.0841227,-0.1158845,-0.16484365,-2.632614,0.39639542,-0.3180229
-2.0510354,-0.50759906,0.022424087,-1.9903853,-0.3056486,-0.059222832,-1.724369,-0.5265261,0.051598877,-1.5797242,-0.75981367,0.12524112
-1.9904644,-0.5752845,0.05593553,-2.4440625,0.08895761,-0.21908048,-2.7611647,0.37429574,-0.32106668,-1.8599203,-0.3682099,-0.015916824
-2.8011262,0.38141695,-0.29848525,-2.8241851,0.29048997,-0.2803939,-1.6523707,-0.7533971,0.12417854,-1.9732482,-0.23013403,-0.10571602
-2.7605479,0.3157532,-0.28925645,-1.944406,-0.2517839,-0.07038735,-2.0323074,-0.044721812,-0.2035774,-2.2085998,-0.07708369,-0.15029016
-2.7922738,0.37640497,-0.29646865,-2.380386,0.04037881,-0.1960215,-1.7222712,-0.52202904,-0.015374765,-2.1292179,0.026183188,-0.23244253
-2.7628257,0.35329542,-0.29081652,-2.5268629,0.27032423,-0.25450474,-1.6013371,-0.68240595,0.09827928,-2.127083,-0.3917854,-0.02736327
-1.8805125,-0.31066072,-0.085147046,-2.064869,-0.33607012,-0.029924043,-2.7493312,0.3067323,-0.28592664,-2.0127695,-0.076837525,-0.1892848
-2.8419948,0.30254638,-0.28845888,-1.9191738,-0.215499,-0.13348874,-2.916033,0.5339612,-0.36698323,-1.7968225,-0.47893217,0.02732861
-2.0490468,-0.028581738,-0.20931251,-2.1545215,-0.09425074,-0.18730974,-1.576424,-0.68351924,0.11616768,-1.8140574,-0.65051556,0.077564105
-2.9583027,0.38577518,-0.3222974,-2.2340214,0.059178054,-0.24191678,-2.9928198,0.69312394,-0.43047625,-1.7849257,-0.5463365,0.041657493
-2.8154607,0.28959662,-0.2828889,-3.0378366,0.72167194,-0.42982483,-2.2300982,0.059604615,-0.23705189,-3.4513552,0.6952449,-0.44086182
-1.6277968,-0.64912015,0.09369245,-2.1456316,-0.36316308,-0.030713156,-2.8598082,0.38769147,-0.3091824,-1.7847497,-0.48102435,-0.03386052
-1.6670116,-0.61157644,0.08180216,-2.4446025,0.18246433,-0.22699675,-2.5381277,0.25102252,-0.24240993,-2.0442188,-0.16855177,-0.15031147
-1.5760996,-0.65131444,0.08534296,-3.073642,0.43731102,-0.34806144,-2.9595988,0.43535033,-0.33231926,-2.034848,-0.22409792,-0.07634255
-2.0352676,-0.5272845,0.036858365,-1.762963,-0.4965593,0.0370885,-3.3228583,0.5920719,-0.40188837,-2.114689,-0.08984831,-0.175827
-2.7064388,0.45622,-0.33236665,-2.9763215,0.4565352,-0.3407575,-2.0846083,-0.38561848,-0.030348934,-2.511222,0.2550999,-0.24933511
-2.8711507,0.3134871,-0.29465473,-2.3947508,0.06314936,-0.21208218,-1.6583507,-0.63468933,0.06021321,-2.207688,-0.0475363,-0.20668648
-2.791112,0.3096004,-0.29204917,-3.4696648,0.7037405,-0.4480626,-3.4617896,0.7373283,-0.4603082,-2.1197078,-0.15577799,-0.11263511
-2.6545966,0.41671976,-0.31213257,-1.842558,-0.28579625,-0.0974516,-1.6914835,-0.5906851,0.08261351,-1.5544715,-0.6736249,0.050109357
-1.903233,-0.14356695,-0.16382179,-2.1255534,-0.17503189,-0.11489688,-2.7595508,0.30214795,-0.28793573,-2.7841938,0.31793404,-0.27667555
-1.8304116,-0.467392,0.025332227,-2.3606138,0.036164284,-0.19769779,-2.9937434,0.683383,-0.42261177,-3.080636,0.45041874,-0.3505506
-1.9475095,-0.2165996,-0.12075722,-2.1157572,-0.1950834,-0.11110686,-3.1823394,0.59848607,-0.40175194,-2.735854,0.48443636,-0.34651873
-1.9742527,-0.27563134,-0.07969043,-2.498274,0.121501386,-0.231538,-2.9887803,0.6973525,-0.43777978,-2.8614695,0.4230264,-0.33104026
-2.0521846,-0.4993005,0.017995998,-2.0571747,-0.3727765,-0.021496639,-3.3279774,0.5998919,-0.40425545,-1.9535694,-0.14370899,-0.16772026
-1.8113284,-0.39781,-0.022289634,-3.030267,0.7176541,-0.43709677,-1.5399915,-0.7715312,0.120948955,-1.5993406,-0.76915395,0.12891783
-1.7841989,-0.5123098,0.04799305,-2.1500435,-0.15800227,-0.10662207,-1.9615457,-0.5995867,0.06419253,-2.9451044,0.6368065,-0.40007347
-2.141397,-0.020544067,-0.20862454,-2.835277,0.31317735,-0.28448898,-2.302976,-0.01098758,-0.17316335,-2.850259,0.36592785,-0.2910242
-2.7860348,0.3113544,-0.28695643,-2.5520792,0.30137527,-0.26427925,-2.6154845,0.39478847,-0.30863965,-3.4098732,0.714327,-0.4489951
-2.9108133,0.59822834,-0.39435548,-1.89052,-0.26122326,-0.10269371,-1.9966099,-0.22198103,-0.11496393,-2.8799226,0.40211818,-0.31656855
-1.9086937,-0.15469983,-0.15839368,-2.5071785,0.22273543,-0.2359618,-2.8746,0.37859538,-0.29454386,-1.883295,-0.3689482,-0.018896535
-2.688722,0.31694838,-0.28893203,-3.0375164,0.7303542,-0.44103926,-2.9012678,0.546891,-0.37186506,-2.523301,0.26640826,-0.25289696
-2.365565,0.10251957,-0.2080573,-1.6868427,-0.5724118,0.037095174,-1.5664228,-0.76421916,0.12152852,-2.9027765,0.5472449,-0.37279934
