class_0_source_fc2_collect_0_dim,class_0_source_fc2_collect_1_dim,class_0_source_fc2_collect_2_dim,class_1_source_fc2_collect_0_dim,class_1_source_fc2_collect_1_dim,class_1_source_fc2_collect_2_dim,class_0_target_fc2_collect_0_dim,class_0_target_fc2_collect_1_dim,class_0_target_fc2_collect_2_dim,class_1_target_fc2_collect_0_dim,class_1_target_fc2_collect_1_dim,class_1_target_fc2_collect_2_dim
-0.11042405,0.030747645,0.037634343,-0.11040177,0.03078223,0.037627175,-0.11041222,0.030767865,0.037630364,-0.11039894,0.030787759,0.037626535
-0.11040575,0.030776016,0.03762886,-0.11040258,0.030782036,0.03762722,-0.110374354,0.030825801,0.037620455,-0.110409,0.030772544,0.037629873
-0.11038784,0.030802377,0.03762403,-0.11043314,0.030735575,0.037635505,-0.11039073,0.030800961,0.03762524,-0.11038933,0.030801512,0.037625387
-0.11039815,0.030788325,0.037628114,-0.11040319,0.030778937,0.037628517,-0.11040685,0.030773498,0.037628904,-0.1103952,0.030791663,0.037626684
-0.11041332,0.030764244,0.037629873,-0.11040387,0.030778907,0.037628353,-0.11038331,0.030810483,0.037624404,-0.110391386,0.030797653,0.037624627
-0.11040164,0.030782975,0.037627608,-0.110391684,0.030798785,0.037625358,-0.11038899,0.030801095,0.037626117,-0.110416345,0.030758344,0.03763224
-0.110404946,0.030778818,0.037628904,-0.110439844,0.030725531,0.037638247,-0.110393755,0.03079585,0.0376247,-0.11038438,0.030808799,0.037624165
-0.110395335,0.030791618,0.03762643,-0.11039778,0.030788653,0.03762588,-0.11040104,0.030781977,0.037626475,-0.11037759,0.030818902,0.037622094
-0.11038206,0.03081312,0.037622392,-0.1103845,0.030809484,0.037623495,-0.11043354,0.030734755,0.037635535,-0.110392414,0.030796044,0.037626445
-0.1104003,0.0307839,0.037628144,-0.11039961,0.030785643,0.037627116,-0.110365875,0.030839778,0.037620097,-0.11037385,0.030825235,0.037618846
-0.11039276,0.030795835,0.03762418,-0.110396184,0.030791245,0.03762637,-0.110413216,0.030764692,0.03763044,-0.11042898,0.030742653,0.037634984
-0.110402815,0.030780949,0.037627697,-0.11039982,0.030784465,0.03762725,-0.11042587,0.030744396,0.03763467,-0.11038422,0.03080871,0.037626132
-0.11042371,0.03074912,0.037633374,-0.11038568,0.030807443,0.037623346,-0.110400416,0.030784838,0.03762774,-0.110421605,0.030750625,0.037633568
-0.11040742,0.030775227,0.037630185,-0.11040742,0.03077311,0.037630588,-0.11038194,0.03081306,0.03762406,-0.11040435,0.030778043,0.037629515
-0.1104118,0.030768089,0.03763023,-0.11040226,0.030783884,0.03762871,-0.110409565,0.030770682,0.03763035,-0.1104097,0.030768208,0.037629783
-0.110395886,0.030792318,0.037626296,-0.110407956,0.03077405,0.037628293,-0.11039937,0.030786924,0.037627086,-0.11040313,0.030779727,0.03762874
-0.11042211,0.030753277,0.03763406,-0.11040691,0.030774407,0.037629813,-0.11038587,0.030806683,0.03762366,-0.11038955,0.03080108,0.037625372
-0.110395454,0.030791752,0.037626445,-0.11039441,0.03079345,0.037625805,-0.11038751,0.030804224,0.037625536,-0.1103913,0.03079661,0.037625343
-0.11040678,0.030774273,0.037629157,-0.11036623,0.030836858,0.03762023,-0.11040994,0.030770712,0.0376285,-0.11040472,0.030778252,0.037627935
-0.11038298,0.030811273,0.037623584,-0.11040548,0.030776478,0.037629798,-0.11041281,0.030766524,0.037630916,-0.110409655,0.03077019,0.037630394
-0.11041505,0.03076183,0.037630856,-0.110403486,0.030779712,0.037627965,-0.11040331,0.030779056,0.03762883,-0.11036476,0.030839674,0.03761947
-0.11040879,0.030771278,0.037630156,-0.11040253,0.030780815,0.037627995,-0.110415645,0.030761741,0.037633836,-0.11039398,0.030793868,0.037626043
-0.11040204,0.030782662,0.03762822,-0.110397,0.030789651,0.037626892,-0.11037473,0.03082452,0.037621096,-0.11044731,0.03071358,0.037640482
-0.110396646,0.03078916,0.037626907,-0.11041213,0.0307663,0.03763099,-0.11040457,0.030778266,0.037628725,-0.11042353,0.030749835,0.037632793
-0.11040855,0.03077092,0.037630618,-0.11039639,0.030790217,0.03762652,-0.110391505,0.03079743,0.037625387,-0.11038441,0.03080868,0.037623525
-0.11042031,0.030755125,0.03763339,-0.11040237,0.03078302,0.03762977,-0.110403664,0.030782081,0.037628725,-0.1103969,0.030789934,0.037627712
-0.11041912,0.030756526,0.037631467,-0.11041803,0.030757628,0.037634343,-0.11041889,0.030757092,0.037631497,-0.11037672,0.030822031,0.03761992
-0.110412575,0.030765392,0.037631363,-0.110399105,0.030786194,0.037626743,-0.11040857,0.030772932,0.037629694,-0.11041392,0.030763887,0.037631363
-0.11042086,0.03075289,0.03763315,-0.110377975,0.030819558,0.037623107,-0.11037292,0.03082759,0.03762135,-0.11038294,0.03081154,0.037623703
-0.11041526,0.030762665,0.037630424,-0.110433795,0.030734397,0.03763579,-0.11039806,0.030787684,0.037626624,-0.110400505,0.03078451,0.037628397
-0.110419475,0.030754946,0.03763336,-0.110394366,0.030794732,0.03762594,-0.110412456,0.030767106,0.037630767,-0.11039869,0.030787207,0.037626237
-0.11041159,0.030768506,0.037629485,-0.110447295,0.030712627,0.03763856,-0.11038073,0.030814372,0.03762266,-0.11039931,0.030786596,0.037626
-0.1104124,0.030765392,0.03763181,-0.11037103,0.030830316,0.037620276,-0.11039404,0.03079506,0.03762576,-0.11039967,0.03078606,0.037627846
-0.11037918,0.030818008,0.037623405,-0.11042046,0.030754872,0.03763175,-0.11040912,0.030771337,0.03762968,-0.11039799,0.030787997,0.037626594
-0.11039705,0.030790798,0.03762582,-0.11042727,0.030745097,0.037633777,-0.11042554,0.030746795,0.037633225,-0.11042676,0.030744813,0.037633523
-0.11040155,0.03078162,0.037627682,-0.11039684,0.03078892,0.037626132,-0.11038781,0.03080415,0.037625447,-0.110426925,0.030744769,0.037634283
-0.110394485,0.030793644,0.037625983,-0.11040341,0.03077861,0.037627384,-0.110385574,0.030807666,0.03762494,-0.11040292,0.030780666,0.037628204
-0.11042283,0.030751787,0.037633717,-0.11042265,0.030751891,0.037632152,-0.11043257,0.030738093,0.037637576,-0.110409446,0.030772083,0.037630796
-0.11039547,0.03079205,0.03762628,-0.11042916,0.030742042,0.037634,-0.11039845,0.030788757,0.03762573,-0.110411815,0.030767582,0.037630677
-0.110423215,0.030750282,0.037631527,-0.11040283,0.030782245,0.03762719,-0.11040936,0.030771278,0.03762856,-0.110396154,0.030791037,0.037626132
